# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 106.946 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052807963578e-05       4.927702987593e+01 
       2.352713877128e-05       1.067958588554e+02 
       3.657270395910e-05       1.632429715669e+02 
       4.970052343139e-05       2.192558777540e+02 
       6.294694706346e-05       2.751943301450e+02 
       7.634925644306e-05       3.313262388996e+02 
       8.994600567360e-05       3.878796842710e+02 
       1.037773775211e-04       4.450641529960e+02 
       1.178855595494e-04       5.030814193487e+02 
       1.323151449221e-04       5.621321013205e+02 
       1.471135625522e-04       6.224202070778e+02 
       1.623315412098e-04       6.841566543268e+02 
       1.780236119899e-04       7.475622681587e+02 
       1.942486531248e-04       8.128705145752e+02 
       2.110704803784e-04       8.803301111819e+02 
       2.285584850483e-04       9.502076065815e+02 
       2.467883197222e-04       1.022789957976e+03 
       2.658426291575e-04       1.098387124251e+03 
       2.858118196580e-04       1.177334654853e+03 
       3.067948547504e-04       1.259996226459e+03 
       3.289000573938e-04       1.346766024985e+03 
       3.522458889436e-04       1.438070882090e+03 
       3.769616622471e-04       1.534371935980e+03 
       4.031881303182e-04       1.636165635390e+03 
       4.310778731430e-04       1.743983709614e+03 
       4.607953840079e-04       1.858391785736e+03 
       4.925167350372e-04       1.979986163233e+03 
       5.264286824636e-04       2.109388267233e+03 
       5.627270604340e-04       2.247236218722e+03 
       6.016143146715e-04       2.394173144547e+03 
       6.432960524117e-04       2.550831812193e+03 
       6.879765412181e-04       2.717815545151e+03 
       7.358531826733e-04       2.895675810312e+03 
       7.871101174963e-04       3.084887185505e+03 
       8.419112759710e-04       3.285821371798e+03 
       9.003933482234e-04       3.498721916974e+03 
       9.626592773655e-04       3.723682368113e+03 
       1.028772934362e-03       3.960630203318e+03 
       1.098755583872e-03       4.209318642731e+03 
       1.172584584722e-03       4.469328006340e+03 
       1.250194508415e-03       4.740076721237e+03 
       1.331480555359e-03       5.020841255691e+03 
       1.416303868000e-03       5.310820039727e+03 
       1.504498142286e-03       5.609086025672e+03 
       1.595876857627e-03       5.914644690268e+03 
       1.690240480427e-03       6.226497914661e+03 
       1.787383118814e-03       6.543651151832e+03 
       1.887098274083e-03       6.865135445584e+03 
       1.989183506405e-03       7.190024544055e+03 
       2.093443979114e-03       7.517447009555e+03 
       2.199694952594e-03       7.846594094421e+03 
       2.307763363477e-03       8.176724453186e+03 
       2.417488653685e-03       8.507164060909e+03 
       2.528723016384e-03       8.837305960188e+03 
       2.641331212050e-03       9.166606992329e+03 
       2.755190085468e-03       9.494584281419e+03 
       2.870187889577e-03       9.820811171349e+03 
       2.986223498027e-03       1.014491141285e+04 
       3.103205567240e-03       1.046655713222e+04 
       3.221051691227e-03       1.078545888389e+04 
       3.339687578590e-03       1.110136892368e+04 
       3.459046270523e-03       1.141407138923e+04 
       3.579067410833e-03       1.172337966220e+04 
       3.699696573416e-03       1.202913305458e+04 
       3.820884648717e-03       1.233119616867e+04 
       3.942587288154e-03       1.262945313689e+04 
       4.064764403838e-03       1.292380766601e+04 
       4.187379719976e-03       1.321417836966e+04 
       4.310400371864e-03       1.350049764713e+04 
       4.433796548217e-03       1.378271278848e+04 
