# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854580478670e-10       7.806639909908e-15       5.603665920688e-13       4.801532469386e-15       8.323601217259e-09       4.705307523607e-10      -2.075081162963e-12 
    3       2.442143247187e-10       1.011670791996e-14       4.540120409758e-13       4.836400782299e-15       5.201971216764e-09       3.349786081319e-10      -1.661554919836e-12 
    4       2.251760845162e-10       9.681164680623e-15       3.881850535388e-13       4.206585881554e-15       3.639388065699e-09       2.542635112508e-10      -1.179975017427e-12 
    5       2.145225824268e-10       7.468221581339e-15       3.248966063925e-13       3.295429736118e-15       2.729276959334e-09       2.013304174692e-10      -7.501312524047e-13 
    6       2.075428695005e-10       4.911370179840e-15       2.623287966396e-13       2.391294571565e-15       2.139777409282e-09       1.642179968337e-10      -4.076961492415e-13 
    7       2.029855538929e-10       2.945504674915e-15       2.058540643038e-13       1.653091767417e-15       1.731836841744e-09       1.369156563265e-10      -1.613653073391e-13 
    8       2.000017754163e-10       1.814714929090e-15       1.590675393678e-13       1.133970702114e-15       1.436790512858e-09       1.161472728069e-10      -4.720985310941e-15 
    9       1.981572218251e-10       1.327153244813e-15       1.236136387930e-13       8.220849764821e-16       1.215591867153e-09       9.998843574384e-11       7.708402850884e-14 
   10       1.971284360815e-10       1.181520814152e-15       9.942013409640e-14       6.755209050740e-16       1.044224629564e-09       8.714589800551e-11       1.030201202790e-13 
   11       1.966091272661e-10       1.163891298663e-15       8.518480689794e-14       6.461125929804e-16       8.795364652779e-10       7.760667904973e-11       9.194620771245e-14 
