# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854586042334e-10       7.806955969966e-15       5.603665875029e-13       4.801848529414e-15       8.324688351999e-09       4.705847352823e-10      -2.075205399014e-12 
    3       2.442154337190e-10       1.011734018945e-14       4.540120206513e-13       4.837033051484e-15       5.203028765831e-09       3.350350600252e-10      -1.661649175999e-12 
    4       2.251779246680e-10       9.682218787942e-15       3.881849952292e-13       4.207639987395e-15       3.640408945628e-09       2.543192780733e-10      -1.180018984378e-12 
    5       2.145253275788e-10       7.469803334554e-15       3.248964738150e-13       3.297011484303e-15       2.730257168551e-09       2.013841168640e-10      -7.501388909925e-13 
    6       2.075466879220e-10       4.913585595385e-15       2.623285365553e-13       2.393509973510e-15       2.140713885324e-09       1.642690832187e-10      -4.076847459523e-13 
    7       2.029906075187e-10       2.948459996366e-15       2.058536039919e-13       1.656047057554e-15       1.732727869443e-09       1.369639410618e-10      -1.613460946929e-13 
    8       2.000082192683e-10       1.818516634830e-15       1.590667845208e-13       1.137772343933e-15       1.437635427543e-09       1.161926382479e-10      -4.699890299310e-15 
    9       1.981652036198e-10       1.331908043814e-15       1.236124718658e-13       8.268396567822e-16       1.216390768490e-09       1.000309596325e-10       7.710405686488e-14 
   10       1.971380960313e-10       1.187335629537e-15       9.941841312778e-14       6.813355164383e-16       1.044978190666e-09       8.718571533684e-11       1.030376540643e-13 
   11       1.966205980715e-10       1.170873239115e-15       8.518236480614e-14       6.530942049597e-16       8.803054868722e-10       7.767575497486e-11       9.198163600846e-14 
   12       1.965375759402e-10       1.195603689742e-15       7.874008365626e-14       7.001187686288e-16       7.721286395992e-10       6.839703319402e-11       6.409013585468e-14 
   13       1.967491313655e-10       1.251899341715e-15       7.762395400727e-14       7.916775624348e-16       6.829291046817e-10       6.054274245438e-11       3.002106281293e-14 
   14       1.971796961032e-10       1.349085252988e-15       7.954466706910e-14       9.075794316304e-16       6.085321755407e-10       5.455175322073e-11      -5.562702010752e-16 
   15       1.977999674630e-10       1.486102257620e-15       8.262856842398e-14       1.036626398756e-15       5.457494939794e-10       4.963454242847e-11      -2.188193197044e-14 
   16       1.985282183548e-10       1.652387480153e-15       8.570106479615e-14       1.173315847582e-15       4.922153920920e-10       4.511208627846e-11      -3.287646062140e-14 
   17       1.994167404571e-10       1.839025272560e-15       8.811735986732e-14       1.314874624349e-15       4.461459965536e-10       4.088509515959e-11      -3.567865856036e-14 
   18       2.003685651370e-10       2.043700016797e-15       8.961170148548e-14       1.460963650749e-15       4.060533649473e-10       3.751555094915e-11      -3.233210688022e-14 
   19       2.014008920049e-10       2.270331458852e-15       9.034747173132e-14       1.611366706126e-15       3.713224767820e-10       3.472341482007e-11      -2.517923102779e-14 
   20       2.024850399714e-10       2.524198387682e-15       9.065152570448e-14       1.765845054923e-15       3.406176956879e-10       3.186608159764e-11      -1.733302371015e-14 
   21       2.036318794661e-10       2.807043828054e-15       9.077018960918e-14       1.924298135797e-15       3.135018451192e-10       2.920160501362e-11      -1.069446344457e-14 
   22       2.048099666068e-10       3.118745432962e-15       9.090148962464e-14       2.086740981188e-15       2.893846500086e-10       2.718888552721e-11      -6.668501049109e-15 
   23       2.060380530792e-10       3.458093532475e-15       9.103235009796e-14       2.253075304638e-15       2.679355489348e-10       2.553614467941e-11      -5.154247774240e-15 
   24       2.073095815194e-10       3.823285181846e-15       9.103178235717e-14       2.423194005056e-15       2.486444200071e-10       2.373974013944e-11      -5.422859704181e-15 
   25       2.086211260748e-10       4.214356025499e-15       9.069468645842e-14       2.596904671179e-15       2.312961585911e-10       2.197979540918e-11      -6.988282355419e-15 
   26       2.099445258819e-10       4.631786925281e-15       8.975311643410e-14       2.773994667877e-15       2.155980441046e-10       2.059828775623e-11      -9.286159902528e-15 
   27       2.112903827439e-10       5.075948647515e-15       8.796073200692e-14       2.954208022039e-15       2.013701597599e-10       1.947609207918e-11      -1.155849789329e-14 
   28       2.126623352728e-10       5.547193655882e-15       8.507429262014e-14       3.137286969711e-15       1.883745496998e-10       1.835588858193e-11      -1.301509527118e-14 
   29       2.140737644008e-10       6.046359034346e-15       8.097379537976e-14       3.323011802407e-15       1.765577644815e-10       1.722165013761e-11      -1.354638768524e-14 
   30       2.155167805000e-10       6.574454821974e-15       7.557572221916e-14       3.511188228055e-15       1.658110598613e-10       1.613425836084e-11      -1.329610878614e-14 
   31       2.169642993315e-10       7.132539018196e-15       6.881944816205e-14       3.701627051589e-15       1.559331938952e-10       1.515096076430e-11      -1.247073369442e-14 
   32       2.184275618243e-10       7.721730491245e-15       6.074598972968e-14       3.894089310996e-15       1.468694063104e-10       1.428186171925e-11      -1.128555095177e-14 
