# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730619998e+01 
       2.321812845909e-05       1.108985041097e+02 
       3.609173376214e-05       1.695112885672e+02 
       4.904439972694e-05       2.276638177403e+02 
       6.211104704304e-05       2.857256836202e+02 
       7.532746857735e-05       3.439709422173e+02 
       8.873064804492e-05       4.026320526695e+02 
       1.023590926816e-04       4.619218460480e+02 
       1.162531841578e-04       5.220447480856e+02 
       1.304555520066e-04       5.832034994775e+02 
       1.450114738458e-04       6.456037738960e+02 
       1.599693066204e-04       7.093829574274e+02 
       1.753809529236e-04       7.748975357656e+02 
       1.913023661048e-04       8.423194878760e+02 
       2.077940972509e-04       9.118972725057e+02 
       2.249218861034e-04       9.838966466499e+02 
       2.427572963948e-04       1.058603184930e+03 
       2.613783937365e-04       1.136324829687e+03 
       2.808704608154e-04       1.217394421968e+03 
       3.013267399410e-04       1.302172198173e+03 
       3.228491865615e-04       1.391048168777e+03 
       3.455492088576e-04       1.484444251225e+03 
       3.695483575494e-04       1.582816035764e+03 
       3.949789163640e-04       1.686653915703e+03 
       4.219843271948e-04       1.796483337290e+03 
       4.507193653102e-04       1.912863841779e+03 
       4.813499602484e-04       2.036386413534e+03 
       5.140525396193e-04       2.167668736362e+03 
       5.490127597171e-04       2.307347835629e+03 
       5.864234841229e-04       2.456069621581e+03 
       6.264818863382e-04       2.614474984437e+03 
       6.693855925968e-04       2.783182300851e+03 
       7.153278528514e-04       2.962766420185e+03 
       7.644918338936e-04       3.153734900467e+03 
       8.170442633386e-04       3.356502489300e+03 
       8.731288006756e-04       3.571365704951e+03 
       9.328596442615e-04       3.798479589753e+03 
       9.963159659543e-04       4.037839114542e+03 
       1.063537764581e-03       4.289267509191e+03 
       1.134523626239e-03       4.552413260080e+03 
       1.209230679194e-03       4.826756685688e+03 
       1.287576767919e-03       5.111625684589e+03 
       1.369444599257e-03       5.406241175604e+03 
       1.454687391959e-03       5.709726110377e+03 
       1.543135431684e-03       6.021079940013e+03 
       1.634602912099e-03       6.339295876546e+03 
       1.728894515478e-03       6.663357334589e+03 
       1.825811320550e-03       6.992262601270e+03 
       1.925155782887e-03       7.325044105854e+03 
       2.026735681319e-03       7.660783694473e+03 
       2.130367042364e-03       7.998622562800e+03 
       2.235876135455e-03       8.337767680230e+03 
       2.343100676636e-03       8.677494562522e+03 
       2.451890394377e-03       9.017147018051e+03 
       2.562107107073e-03       9.356135185587e+03 
       2.673624445823e-03       9.693932769910e+03 
       2.786327334635e-03       1.003007250192e+04 
       2.900111317649e-03       1.036414177967e+04 
       3.014881802039e-03       1.069577857673e+04 
       3.130553267074e-03       1.102466451680e+04 
       3.247048475047e-03       1.135052518909e+04 
       3.364297708069e-03       1.167311871636e+04 
       3.482238045924e-03       1.199223931872e+04 
       3.600812693636e-03       1.230770824884e+04 
       3.719970362791e-03       1.261937256705e+04 
       3.839664707406e-03       1.292710377481e+04 
       3.959853813072e-03       1.323079185216e+04 
       4.080499736700e-03       1.353034785409e+04 
       4.201568093487e-03       1.382569531571e+04 
       4.323027687306e-03       1.411677429625e+04 
       4.444850180647e-03       1.440353717359e+04 
       4.567009800288e-03       1.468594784716e+04 
       4.689483075068e-03       1.496397732424e+04 
       4.812248602367e-03       1.523761144071e+04 
       4.935286840186e-03       1.550684059923e+04 
       5.058579921982e-03       1.577165768730e+04 
       5.182111491712e-03       1.603206767093e+04 
       5.305866556801e-03       1.628807771609e+04 
       5.429831356981e-03       1.653970251693e+04 
       5.553993247203e-03       1.678695521254e+04 
       5.678340593007e-03       1.702985637545e+04 
       5.802862676925e-03       1.726843230372e+04 
       5.927549614682e-03       1.750271254942e+04 
       6.052392280055e-03       1.773270815993e+04 
       6.177382237451e-03       1.795844208393e+04 
       6.302511681309e-03       1.817997008450e+04 
       6.427773381594e-03       1.839730404590e+04 
       6.553160634691e-03       1.861049556572e+04 
       6.678667219123e-03       1.881958316526e+04 
       6.804287355565e-03       1.902459784204e+04 
       6.930015670697e-03       1.922557915544e+04 
       7.055847164480e-03       1.942256444829e+04 
       7.181777180500e-03       1.961559473612e+04 
       7.307801379070e-03       1.980470462667e+04 
       7.433915712780e-03       1.998994115834e+04 
       7.560116404275e-03       2.017133444342e+04 
       7.686399926014e-03       2.034893721756e+04 
       7.812762981825e-03       2.052277996940e+04 
       7.939202490069e-03       2.069290650298e+04 
       8.065715568266e-03       2.085935969392e+04 
       8.192299519033e-03       2.102217264131e+04 
       8.318951817208e-03       2.118138611059e+04 
       8.445670098062e-03       2.133704425755e+04 
       8.572452146474e-03       2.148918621637e+04 
       8.699295887004e-03       2.163785407450e+04 
       8.826199374763e-03       2.178308352057e+04 
       8.953160787016e-03       2.192491370543e+04 
       9.080178415459e-03       2.206338807001e+04 
       9.207250659091e-03       2.219854721059e+04 
       9.334376017655e-03       2.233042244759e+04 
       9.461553085572e-03       2.245905616640e+04 
       9.588780546346e-03       2.258448555001e+04 
       9.716057167395e-03       2.270674698911e+04 
       9.843381795262e-03       2.282588510205e+04 
       9.970753351189e-03       2.294192603720e+04 
       1.009817082702e-02       2.305491505972e+04 
       1.022563328138e-02       2.316488632910e+04 
       1.035313983621e-02       2.327186347424e+04 
       1.048068967341e-02       2.337588834051e+04 
       1.060828203188e-02       2.347701667194e+04 
       1.073591620467e-02       2.357528646670e+04 
       1.086359153639e-02       2.367068385139e+04 
       1.099130742072e-02       2.376328259470e+04 
       1.111906329821e-02       2.385311419348e+04 
       1.124685865418e-02       2.394018372167e+04 
       1.137469301670e-02       2.402456568091e+04 
       1.150256595483e-02       2.410626758713e+04 
       1.163047707693e-02       2.418532885225e+04 
       1.175842602905e-02       2.426177500513e+04 
       1.188641249350e-02       2.433565054222e+04 
       1.201443618746e-02       2.440697401293e+04 
       1.214249686173e-02       2.447578564273e+04 
       1.227059429957e-02       2.454211334522e+04 
       1.239872831558e-02       2.460601087744e+04 
       1.252689875467e-02       2.466745326099e+04 
       1.265510549116e-02       2.472652001126e+04 
       1.278334842789e-02       2.478322358871e+04 
       1.291162749538e-02       2.483759950768e+04 
       1.303994265110e-02       2.488967171351e+04 
       1.316829387881e-02       2.493946079203e+04 
       1.329668118784e-02       2.498701637815e+04 
