# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434898041160e-10       5.120179841519e-15       3.941693158731e-13       0.000000000000e+00       8.295087818130e-09       4.689818002265e-10      -2.069961177812e-12 
    3       1.352895235847e-10       7.272963086772e-15       4.620913028499e-13       0.000000000000e+00       5.166018872967e-09       3.331962727551e-10      -1.657325715281e-12 
    4       1.274901185820e-10       7.071366817394e-15       4.487734650060e-13       0.000000000000e+00       3.599279391130e-09       2.523861550401e-10      -1.177728919082e-12 
    5       1.215458784801e-10       5.382209811411e-15       3.963858402047e-13       0.000000000000e+00       2.687312775932e-09       1.994321578894e-10      -7.494945577919e-13 
    6       1.173472510826e-10       3.407934704090e-15       3.302963940142e-13       0.000000000000e+00       2.097649427085e-09       1.623385374263e-10      -4.080036203556e-13 
    7       1.145496234785e-10       1.921982391860e-15       2.661616670883e-13       0.000000000000e+00       1.690383717827e-09       1.350745950253e-10      -1.621209245243e-13 
    8       1.127555212240e-10       1.102595148535e-15       2.121134085706e-13       0.000000000000e+00       1.396182869918e-09       1.143563832273e-10      -5.637379507015e-15 
    9       1.117759173885e-10       7.630671079561e-16       1.714817979167e-13       0.000000000000e+00       1.175852027541e-09       9.825252941441e-11       7.615632893797e-14 
   10       1.114289343330e-10       6.416358251261e-16       1.445258190303e-13       0.000000000000e+00       1.005516078761e-09       8.546593820231e-11       1.021542264839e-13 
   11       1.114911586688e-10       5.698203608741e-16       1.297186331425e-13       0.000000000000e+00       8.467528770793e-10       7.532400047896e-11       9.187013002247e-14 
   12       1.119355605043e-10       4.964597165572e-16       1.245070629185e-13       0.000000000000e+00       7.398121967973e-10       6.669760609026e-11       6.312370179831e-14 
   13       1.126508170312e-10       4.342783832224e-16       1.260358180407e-13       0.000000000000e+00       6.520318276278e-10       5.943952743965e-11       2.907452175044e-14 
   14       1.135791288158e-10       4.032050768050e-16       1.317085470420e-13       0.000000000000e+00       5.789947718458e-10       5.334802785742e-11      -9.899321335803e-16 
   15       1.147023115107e-10       4.061958749606e-16       1.394328559382e-13       0.000000000000e+00       5.175239955012e-10       4.820031190322e-11      -2.218448458507e-14 
   16       1.159452546656e-10       4.334431616359e-16       1.478767344253e-13       0.000000000000e+00       4.652637069456e-10       4.376784257239e-11      -3.331079216037e-14 
   17       1.173638575491e-10       4.752843593685e-16       1.562822577015e-13       0.000000000000e+00       4.204338121231e-10       3.981852534433e-11      -3.583008423693e-14 
