# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730619998e+01 
       2.321812845909e-05       1.108985041097e+02 
       3.609173376214e-05       1.695112885672e+02 
       4.904439972694e-05       2.276638177403e+02 
       6.211104704304e-05       2.857256836202e+02 
       7.532746857735e-05       3.439709422173e+02 
       8.873064804492e-05       4.026320526695e+02 
       1.023590926816e-04       4.619218460480e+02 
       1.162531841578e-04       5.220447480856e+02 
       1.304555520066e-04       5.832034994775e+02 
       1.450114738458e-04       6.456037738960e+02 
       1.599693066204e-04       7.094577388766e+02 
       1.753809529236e-04       7.749870535660e+02 
       1.913023661048e-04       8.424255828373e+02 
       2.077940972509e-04       9.120219817406e+02 
       2.249218861034e-04       9.840422355772e+02 
       2.427572963948e-04       1.058772184233e+03 
       2.613783937365e-04       1.136520078112e+03 
       2.808704608154e-04       1.217619115972e+03 
       3.013267399410e-04       1.302429949563e+03 
       3.228491865615e-04       1.391343071645e+03 
       3.455492088576e-04       1.484780959588e+03 
       3.695483575494e-04       1.583199853469e+03 
       3.949789163640e-04       1.687090900192e+03 
       4.219843271948e-04       1.796980418840e+03 
       4.507193653102e-04       1.913428959704e+03 
       4.813499602484e-04       2.037028670514e+03 
       5.140525396193e-04       2.168398571546e+03 
       5.490127597171e-04       2.308177216293e+03 
       5.864234841229e-04       2.457012251886e+03 
       6.264818863382e-04       2.615546528197e+03 
       6.693855925968e-04       2.784400613169e+03 
       7.153278528514e-04       2.964151780429e+03 
       7.644918338936e-04       3.155310236656e+03 
       8.170442633386e-04       3.358293581665e+03 
       8.731288006756e-04       3.573401354990e+03 
       9.328596442615e-04       3.800791740611e+03 
       9.963159659543e-04       4.040462909825e+03 
       1.063537764581e-03       4.292241280239e+03 
       1.134523626239e-03       4.555778436307e+03 
       1.209230679194e-03       4.830557628311e+03 
       1.287576767919e-03       5.115909449950e+03 
       1.369444599257e-03       5.411057239995e+03 
       1.454687391959e-03       5.715126037661e+03 
       1.543135431684e-03       6.027116963366e+03 
       1.634602912099e-03       6.346024548991e+03 
       1.728894515478e-03       6.670833155071e+03 
       1.825811320550e-03       7.000541656457e+03 
       1.925155782887e-03       7.334182735525e+03 
       2.026735681319e-03       7.670838187131e+03 
       2.130367042364e-03       8.009648883430e+03 
       2.235876135455e-03       8.349821231527e+03 
       2.343100676636e-03       8.690629978206e+03 
       2.451890394377e-03       9.031417985501e+03 
       2.562107107073e-03       9.371594295299e+03 
       2.673624445823e-03       9.710631389701e+03 
       2.786327334635e-03       1.004806067130e+04 
       2.900111317649e-03       1.038346812254e+04 
       3.014881802039e-03       1.071649023078e+04 
       3.130553267074e-03       1.104680707146e+04 
       3.247048475047e-03       1.137414264440e+04 
       3.364297708069e-03       1.169825343608e+04 
       3.482238045924e-03       1.201893200722e+04 
       3.600812693636e-03       1.233599792264e+04 
       3.719970362791e-03       1.264929653610e+04 
       3.839664707406e-03       1.295869763251e+04 
       3.959853813072e-03       1.326408946103e+04 
       4.080499736700e-03       1.356538134754e+04 
       4.201568093487e-03       1.386249508555e+04 
       4.323027687306e-03       1.415536899837e+04 
       4.444850180647e-03       1.444395372906e+04 
       4.567009800288e-03       1.472821144709e+04 
       4.689483075068e-03       1.500811142678e+04 
       4.812248602367e-03       1.528363779651e+04 
       4.935286840186e-03       1.555477925054e+04 
       5.058579921982e-03       1.582152696296e+04 
       5.182111491712e-03       1.608388421614e+04 
       5.305866556801e-03       1.634185649355e+04 
       5.429831356981e-03       1.659545682867e+04 
       5.553993247203e-03       1.684469669290e+04 
       5.678340593007e-03       1.708959501752e+04 
       5.802862676925e-03       1.733017648307e+04 
       5.927549614682e-03       1.756646904136e+04 
       6.052392280055e-03       1.779848207478e+04 
       6.177382237451e-03       1.802623691676e+04 
       6.302511681309e-03       1.824978785303e+04 
       6.427773381594e-03       1.846914512909e+04 
       6.553160634691e-03       1.868435887319e+04 
       6.678667219123e-03       1.889546609955e+04 
       6.804287355565e-03       1.910249628120e+04 
       6.930015670697e-03       1.930548750317e+04 
       7.055847164480e-03       1.950447564055e+04 
       7.181777180500e-03       1.969950027377e+04 
       7.307801379070e-03       1.989059456497e+04 
       7.433915712780e-03       2.007780418024e+04 
       7.560116404275e-03       2.026115780323e+04 
       7.686399926014e-03       2.044070686271e+04 
       7.812762981825e-03       2.061648046019e+04 
       7.939202490069e-03       2.078852109419e+04 
       8.065715568266e-03       2.095687035277e+04 
       8.192299519033e-03       2.112156002358e+04 
       8.318951817208e-03       2.128262961906e+04 
       8.445670098062e-03       2.144012208178e+04 
       8.572452146474e-03       2.159407533261e+04 
       8.699295887004e-03       2.174453028428e+04 
       8.826199374763e-03       2.189152144391e+04 
       8.953160787016e-03       2.203508682258e+04 
       9.080178415459e-03       2.217526876820e+04 
       9.207250659091e-03       2.231210679588e+04 
       9.334376017655e-03       2.244563112414e+04 
       9.461553085572e-03       2.257588311816e+04 
       9.588780546346e-03       2.270289894113e+04 
       9.716057167395e-03       2.282671398655e+04 
       9.843381795262e-03       2.294737194470e+04 
       9.970753351189e-03       2.306489796855e+04 
       1.009817082702e-02       2.317933645308e+04 
       1.022563328138e-02       2.329072065827e+04 
       1.035313983621e-02       2.339907328660e+04 
       1.048068967341e-02       2.350443537879e+04 
       1.060828203188e-02       2.360686197441e+04 
       1.073591620467e-02       2.370639030334e+04 
       1.086359153639e-02       2.380300548311e+04 
       1.099130742072e-02       2.389678075551e+04 
       1.111906329821e-02       2.398774689960e+04 
       1.124685865418e-02       2.407590816329e+04 
       1.137469301670e-02       2.416133860915e+04 
       1.150256595483e-02       2.424404499621e+04 
       1.163047707693e-02       2.432406617230e+04 
       1.175842602905e-02       2.440142705908e+04 
       1.188641249350e-02       2.447617167085e+04 
       1.201443618746e-02       2.454831797042e+04 
       1.214249686173e-02       2.461790573504e+04 
       1.227059429957e-02       2.468496239529e+04 
       1.239872831558e-02       2.474954138198e+04 
       1.252689875467e-02       2.481161702533e+04 
       1.265510549116e-02       2.487126869775e+04 
       1.278334842789e-02       2.492850841006e+04 
       1.291162749538e-02       2.498337136805e+04 
       1.303994265110e-02       2.503588117895e+04 
       1.316829387881e-02       2.508605810211e+04 
       1.329668118784e-02       2.513395161067e+04 
