# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434898518189e-10       5.120179877339e-15       3.941693235378e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    3       1.352896460953e-10       7.272963050692e-15       4.620913081950e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    4       1.274903569730e-10       7.071366650785e-15       4.487734609161e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    5       1.215462903859e-10       5.382209542245e-15       3.963858356439e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    6       1.173478736646e-10       3.407934395163e-15       3.302963604026e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    7       1.145504699578e-10       1.921982315032e-15       2.661615863030e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    8       1.127566468816e-10       1.102595493567e-15       2.121133152077e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    9       1.117773706653e-10       7.630678911171e-16       1.714817053492e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   10       1.114307496652e-10       6.416369784850e-16       1.445257216117e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   11       1.114933609895e-10       5.698216897801e-16       1.297185222148e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   12       1.119381752788e-10       4.964610398172e-16       1.245069076746e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   13       1.126539042869e-10       4.342800335956e-16       1.260355577012e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   14       1.135827450003e-10       4.032077287564e-16       1.317082876139e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   15       1.147064676988e-10       4.061995315835e-16       1.394326717950e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   16       1.159499833787e-10       4.334474754830e-16       1.478764796450e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   17       1.173691955357e-10       4.752894381000e-16       1.562819025985e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   18       1.188748534231e-10       5.295664257960e-16       1.643074375083e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   19       1.204668579808e-10       6.003245005563e-16       1.720691657198e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   20       1.221357885810e-10       6.927870958340e-16       1.798313917363e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   21       1.238819851187e-10       8.089006159865e-16       1.878072696276e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   22       1.256794678336e-10       9.487961145668e-16       1.961610078609e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   23       1.275395186970e-10       1.111407125579e-15       2.048458851179e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   24       1.294616195006e-10       1.295003505377e-15       2.136917616951e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   25       1.314364377369e-10       1.499679212319e-15       2.224632798107e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   26       1.334391337425e-10       1.725918546097e-15       2.308622451267e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   27       1.354778617056e-10       1.973992075691e-15       2.386166529752e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   28       1.375602598715e-10       2.244142432941e-15       2.454576617324e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   29       1.396918551830e-10       2.537385835483e-15       2.512421864821e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   30       1.418638737325e-10       2.855031625932e-15       2.558630081777e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   31       1.440573876028e-10       3.198468883012e-15       2.592350054280e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   32       1.462784480933e-10       3.569109701635e-15       2.613779925036e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   33       1.485335617147e-10       3.968434347332e-15       2.623686642023e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   34       1.508214415709e-10       4.397870022325e-15       2.622887818714e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   35       1.531402739456e-10       4.858300724459e-15       2.611098908425e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   36       1.554811484593e-10       5.350377101834e-15       2.587687692065e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   37       1.578318853443e-10       5.874687849269e-15       2.551994595265e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   38       1.602002666254e-10       6.431934653817e-15       2.503408336078e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   39       1.625973777447e-10       7.022805208225e-15       2.441308362007e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   40       1.650308133715e-10       7.647920888379e-15       2.365040228352e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   41       1.675039240171e-10       8.307878608970e-15       2.273963106358e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   42       1.700143444843e-10       9.003403060447e-15       2.167619082024e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   43       1.725542276974e-10       9.735236830636e-15       2.045613246482e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   44       1.751100430267e-10       1.050409746311e-14       1.907567641934e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   45       1.776680088513e-10       1.131062170315e-14       1.753164016303e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   46       1.802334380425e-10       1.215518101749e-14       1.582287039945e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   47       1.828163740032e-10       1.303800900315e-14       1.394924114081e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   48       1.854260606708e-10       1.395924706203e-14       1.191128967272e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   49       1.880708110521e-10       1.491894012674e-14       9.710242334900e-14       0.000000000000e+00                     -nan                     -nan                     -nan 
   50       1.907566458912e-10       1.591709827633e-14       7.347146953282e-14       0.000000000000e+00                     -nan                     -nan                     -nan 
   51       1.934830790424e-10       1.695391121657e-14       4.819932703505e-14       0.000000000000e+00                     -nan                     -nan                     -nan 
   52       1.962459608401e-10       1.802958462979e-14       2.125596744088e-14       0.000000000000e+00                     -nan                     -nan                     -nan 
   53       1.990384231299e-10       1.914427822775e-14      -7.389880601563e-15       0.000000000000e+00                     -nan                     -nan                     -nan 
   54       2.018506899283e-10       2.029810457815e-14      -3.777089397377e-14       0.000000000000e+00                     -nan                     -nan                     -nan 
   55       2.046733591607e-10       2.149111651371e-14      -6.991785669759e-14       0.000000000000e+00                     -nan                     -nan                     -nan 
   56       2.075086363256e-10       2.272326838483e-14      -1.038484327514e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   57       2.103615598683e-10       2.399444312585e-14      -1.395758889739e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   58       2.132367216791e-10       2.530446124619e-14      -1.771123388297e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   59       2.161382129889e-10       2.665307921203e-14      -2.164687701583e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   60       2.190695702658e-10       2.803998782805e-14      -2.576550729228e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   61       2.220336060091e-10       2.946480919746e-14      -3.006768184164e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   62       2.250319791510e-10       3.092709046582e-14      -3.455246893037e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   63       2.280654317800e-10       3.242630579486e-14      -3.921827154824e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   64       2.311338391212e-10       3.396185602985e-14      -4.406312394363e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   65       2.342361517810e-10       3.553306703621e-14      -4.908468409106e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
