# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.419682437510e-10       2.686460068388e-15       1.661972761957e-13       4.801532469386e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089248011339e-10       2.843744833191e-15      -8.079261874010e-15       4.836400782299e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.768596593421e-11       2.609797863228e-15      -6.058841146722e-14       4.206585881554e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297670394674e-11       2.086011769929e-15      -7.148923381217e-14       3.295429736118e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.019561841791e-11       1.503435475750e-15      -6.796759737463e-14       2.391294571565e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.843593041436e-11       1.023522283055e-15      -6.030760278459e-14       1.653091767417e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.724625419230e-11       7.121197805546e-16      -5.304586920276e-14       1.133970702114e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.638130443664e-11       5.640861368571e-16      -4.786815912367e-14       8.220849764821e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.569950174858e-11       5.398849890262e-16      -4.510568493393e-14       6.755209050740e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.511796859727e-11       5.940709377886e-16      -4.453382624453e-14       6.461125929804e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.458860841042e-11       6.908876536423e-16      -4.576362360473e-14       6.918629486124e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.408285271538e-11       8.079829114511e-16      -4.840737720627e-14       7.820402370177e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.358293919820e-11       9.347530192487e-16      -5.215801981477e-14       8.964532684281e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.307775539399e-11       1.067182767723e-15      -5.679678827020e-14       1.023904090121e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.256068982579e-11       1.204517006046e-15      -6.216624322261e-14       1.158890172830e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.202813928685e-11       1.347502850544e-15      -6.815323539233e-14       1.298638511958e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.147239072641e-11       1.495984287899e-15      -7.468198250459e-14       1.442810239292e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.091073724116e-11       1.649835459490e-15      -8.170516721774e-14       1.591189394009e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.032391082342e-11       1.809112213262e-15      -8.916020622150e-14       1.743537556648e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.972246024531e-11       1.973611728759e-15      -9.701390714472e-14       1.899754511117e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.910094299690e-11       2.143081243406e-15      -1.052324423307e-13       2.059855672408e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.846680604009e-11       2.317378285388e-15      -1.137821797379e-13       2.223743143304e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.781397663476e-11       2.496430749461e-15      -1.226240024450e-13       2.391310226762e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.714837455815e-11       2.680180509195e-15      -1.317277179633e-13       2.562364896479e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.646670501492e-11       2.868624462060e-15      -1.410631324699e-13       2.736694892984e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.577141492401e-11       3.061864921414e-15      -1.506044895949e-13       2.914044580830e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.505849527315e-11       3.260014263999e-15      -1.603260646069e-13       3.094156501976e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.433579563663e-11       3.462894087729e-15      -1.702048043996e-13       3.276811193468e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.360419684328e-11       3.670205101342e-15      -1.802171004221e-13       3.461814561471e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.285553998836e-11       3.881616266257e-15      -1.903385487385e-13       3.648977562527e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.209501851916e-11       4.096835486854e-15      -2.005479442283e-13       3.838061328949e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.132491338349e-11       4.315560481557e-15      -2.108247739912e-13       4.028811846267e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.054142936262e-11       4.537483525937e-15      -2.211486906911e-13       4.220979191023e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.974789734588e-11       4.762379693358e-15      -2.315011865654e-13       4.414335692816e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.894469856474e-11       4.990048642162e-15      -2.418646033705e-13       4.608664498883e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.812837354625e-11       5.220296110356e-15      -2.522210814958e-13       4.803744877985e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.730316918449e-11       5.452949690969e-15      -2.625502277414e-13       4.999317001379e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.647230612679e-11       5.687848928745e-15      -2.728307307189e-13       5.195105152856e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.563426107078e-11       5.924841766851e-15      -2.830410000545e-13       5.390826490009e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.478510196497e-11       6.163779461551e-15      -2.931629729050e-13       5.586198134371e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.392758528643e-11       6.404498077642e-15      -3.031949911334e-13       5.780962468917e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.306419584955e-11       6.646831849699e-15      -3.131431389730e-13       5.974869199708e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.219428723308e-11       6.890618405720e-15      -3.230180812664e-13       6.167668458735e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.131576749790e-11       7.135686818071e-15      -3.328279794491e-13       6.359106570093e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.043145456874e-11       7.381817183642e-15      -3.425540703706e-13       6.548911834688e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.954411754517e-11       7.628769185561e-15      -3.521682511096e-13       6.736804498927e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.865448300012e-11       7.876292577471e-15      -3.616396556162e-13       6.922500385709e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.776105321529e-11       8.124126620473e-15      -3.709345041373e-13       7.105710652375e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.686150008881e-11       8.371992234436e-15      -3.800189108198e-13       7.286154559728e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
