# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730628887e+01 
       2.321812845909e-05       1.108985036414e+02 
       3.609173376214e-05       1.695112901681e+02 
       4.904439972694e-05       2.276638169466e+02 
       6.211104704304e-05       2.857256836159e+02 
       7.532746857735e-05       3.439709419553e+02 
       8.873064804492e-05       4.026320523646e+02 
       1.023590926816e-04       4.619218460456e+02 
       1.162531841578e-04       5.220447483970e+02 
       1.304555520066e-04       5.832034997594e+02 
       1.450114738458e-04       6.456037739676e+02 
       1.599693066204e-04       7.094577389301e+02 
       1.753809529236e-04       7.749870530872e+02 
       1.913023661048e-04       8.424255819980e+02 
       2.077940972509e-04       9.120219822102e+02 
       2.249218861034e-04       9.840422354134e+02 
       2.427572963948e-04       1.058772184224e+03 
       2.613783937365e-04       1.136520078025e+03 
       2.808704608154e-04       1.217619116006e+03 
       3.013267399410e-04       1.302429949639e+03 
       3.228491865615e-04       1.391343071709e+03 
       3.455492088576e-04       1.484780961836e+03 
       3.695483575494e-04       1.583199852313e+03 
       3.949789163640e-04       1.687090896411e+03 
       4.219843271948e-04       1.796980418595e+03 
       4.507193653102e-04       1.913428959674e+03 
       4.813499602484e-04       2.037028670347e+03 
       5.140525396193e-04       2.168398571873e+03 
       5.490127597171e-04       2.308177215143e+03 
       5.864234841229e-04       2.457012251539e+03 
       6.264818863382e-04       2.615546527517e+03 
       6.693855925968e-04       2.784400611607e+03 
       7.153278528514e-04       2.964151781303e+03 
       7.644918338936e-04       3.155310233267e+03 
       8.170442633386e-04       3.358293579628e+03 
       8.731288006756e-04       3.573401349594e+03 
       9.328596442615e-04       3.800791735228e+03 
       9.963159659543e-04       4.040462899733e+03 
       1.063537764581e-03       4.292241260345e+03 
       1.134523626239e-03       4.555778413381e+03 
       1.209230679194e-03       4.830557594858e+03 
       1.287576767919e-03       5.115909416204e+03 
       1.369444599257e-03       5.411057180884e+03 
       1.454687391959e-03       5.715125960774e+03 
       1.543135431684e-03       6.027116878617e+03 
       1.634602912099e-03       6.346024409057e+03 
       1.728894515478e-03       6.670832993892e+03 
       1.825811320550e-03       7.000541438699e+03 
       1.925155782887e-03       7.334182478611e+03 
       2.026735681319e-03       7.670837842089e+03 
       2.130367042364e-03       8.009648439840e+03 
       2.235876135455e-03       8.349820718666e+03 
       2.343100676636e-03       8.690629308775e+03 
       2.451890394377e-03       9.031417096359e+03 
       2.562107107073e-03       9.371593304938e+03 
       2.673624445823e-03       9.710630303778e+03 
       2.786327334635e-03       1.004805908500e+04 
       2.900111317649e-03       1.038346670936e+04 
       3.014881802039e-03       1.071648802705e+04 
       3.130553267074e-03       1.104680464796e+04 
       3.247048475047e-03       1.137413973639e+04 
       3.364297708069e-03       1.169825009408e+04 
       3.482238045924e-03       1.201892824769e+04 
       3.600812693636e-03       1.233599332003e+04 
       3.719970362791e-03       1.264929135396e+04 
       3.839664707406e-03       1.295869147032e+04 
       3.959853813072e-03       1.326408286492e+04 
       4.080499736700e-03       1.356537385988e+04 
       4.201568093487e-03       1.386248648749e+04 
       4.323027687306e-03       1.415535957423e+04 
       4.444850180647e-03       1.444394220091e+04 
       4.567009800288e-03       1.472819965935e+04 
       4.689483075068e-03       1.500809847085e+04 
       4.812248602367e-03       1.528362345727e+04 
       4.935286840186e-03       1.555476288313e+04 
       5.058579921982e-03       1.582150871415e+04 
       5.182111491712e-03       1.608386354019e+04 
       5.305866556801e-03       1.634183458307e+04 
       5.429831356981e-03       1.659543262010e+04 
       5.553993247203e-03       1.684467002622e+04 
       5.678340593007e-03       1.708956614140e+04 
       5.802862676925e-03       1.733014517096e+04 
       5.927549614682e-03       1.756643446442e+04 
       6.052392280055e-03       1.779844443672e+04 
       6.177382237451e-03       1.802619661812e+04 
       6.302511681309e-03       1.824974225862e+04 
       6.427773381594e-03       1.846909612448e+04 
       6.553160634691e-03       1.868430712626e+04 
       6.678667219123e-03       1.889540958601e+04 
       6.804287355565e-03       1.910243718057e+04 
       6.930015670697e-03       1.930542301830e+04 
       7.055847164480e-03       1.950440723264e+04 
       7.181777180500e-03       1.969942719754e+04 
       7.307801379070e-03       1.989051696080e+04 
       7.433915712780e-03       2.007772049138e+04 
       7.560116404275e-03       2.026107149096e+04 
       7.686399926014e-03       2.044061159502e+04 
       7.812762981825e-03       2.061637994545e+04 
       7.939202490069e-03       2.078841566291e+04 
       8.065715568266e-03       2.095675720892e+04 
       8.192299519033e-03       2.112143799998e+04 
       8.318951817208e-03       2.128250453033e+04 
       8.445670098062e-03       2.143998659953e+04 
       8.572452146474e-03       2.159393302778e+04 
       8.699295887004e-03       2.174437888414e+04 
       8.826199374763e-03       2.189136021194e+04 
       8.953160787016e-03       2.203491894678e+04 
       9.080178415459e-03       2.217509258905e+04 
       9.207250659091e-03       2.231191928169e+04 
       9.334376017655e-03       2.244543525371e+04 
       9.461553085572e-03       2.257567749628e+04 
       9.588780546346e-03       2.270268602277e+04 
       9.716057167395e-03       2.282648975963e+04 
       9.843381795262e-03       2.294713516702e+04 
       9.970753351189e-03       2.306464930281e+04 
       1.009817082702e-02       2.317907545810e+04 
       1.022563328138e-02       2.329044726515e+04 
       1.035313983621e-02       2.339879265651e+04 
       1.048068967341e-02       2.350414020761e+04 
       1.060828203188e-02       2.360655599804e+04 
       1.073591620467e-02       2.370606268325e+04 
       1.086359153639e-02       2.380266723257e+04 
       1.099130742072e-02       2.389642942968e+04 
       1.111906329821e-02       2.398738138774e+04 
       1.124685865418e-02       2.407552578958e+04 
       1.137469301670e-02       2.416094073481e+04 
       1.150256595483e-02       2.424362871235e+04 
       1.163047707693e-02       2.432363340253e+04 
       1.175842602905e-02       2.440098471060e+04 
       1.188641249350e-02       2.447570742552e+04 
       1.201443618746e-02       2.454783658404e+04 
       1.214249686173e-02       2.461740623090e+04 
       1.227059429957e-02       2.468444479885e+04 
       1.239872831558e-02       2.474900441641e+04 
       1.252689875467e-02       2.481105672815e+04 
       1.265510549116e-02       2.487069382649e+04 
       1.278334842789e-02       2.492791390072e+04 
       1.291162749538e-02       2.498275618899e+04 
       1.303994265110e-02       2.503524325469e+04 
       1.316829387881e-02       2.508539957804e+04 
       1.329668118784e-02       2.513327146014e+04 
       1.342510461258e-02       2.517886453478e+04 
       1.355356421189e-02       2.522223169817e+04 
       1.368206006859e-02       2.526336651041e+04 
       1.381059228906e-02       2.530233918079e+04 
       1.393916100277e-02       2.533914094999e+04 
       1.406776636193e-02       2.537381622571e+04 
       1.419640854111e-02       2.540639546617e+04 
       1.432508773700e-02       2.543690196208e+04 
       1.445380416806e-02       2.546534999290e+04 
       1.458255807434e-02       2.549176456107e+04 
       1.471134971720e-02       2.551619283159e+04 
       1.484017937920e-02       2.553863905794e+04 
       1.496904736387e-02       2.555914263389e+04 
       1.509795399561e-02       2.557773326440e+04 
       1.522689961960e-02       2.559441595421e+04 
       1.535588460169e-02       2.560922944458e+04 
       1.548490932832e-02       2.562219460856e+04 
       1.561397420656e-02       2.563333844317e+04 
       1.574307966400e-02       2.564269114626e+04 
       1.587222614882e-02       2.565025607977e+04 
       1.600141412980e-02       2.565608271572e+04 
       1.613064409636e-02       2.566016821018e+04 
       1.625991655862e-02       2.566255351037e+04 
       1.638923204749e-02       2.566325932109e+04 
       1.651859111480e-02       2.566230459366e+04 
       1.664799433338e-02       2.565973615541e+04 
       1.677744229721e-02       2.565554306133e+04 
       1.690693562161e-02       2.564978513912e+04 
       1.703647494338e-02       2.564241536789e+04 
       1.716606092099e-02       2.563351211769e+04 
       1.729569423481e-02       2.562310206465e+04 
       1.742537558732e-02       2.561117526952e+04 
       1.755510570338e-02       2.559778977021e+04 
       1.768488533045e-02       2.558294064541e+04 
       1.781471523888e-02       2.556665343141e+04 
       1.794459622222e-02       2.554895149407e+04 
       1.807452909752e-02       2.552986572402e+04 
       1.820451470563e-02       2.550939291092e+04 
       1.833455391158e-02       2.548757179500e+04 
       1.846464760492e-02       2.546444084150e+04 
       1.859479670009e-02       2.543997318893e+04 
       1.872500213684e-02       2.541425845969e+04 
       1.885526488061e-02       2.538724052637e+04 
       1.898558592297e-02       2.535896340145e+04 
       1.911596628205e-02       2.532946853007e+04 
       1.924640700304e-02       2.529877406633e+04 
       1.937690915863e-02       2.526686455729e+04 
       1.950747384953e-02       2.523382487580e+04 
       1.963810220498e-02       2.519959873249e+04 
       1.976879538329e-02       2.516425402303e+04 
       1.989955457238e-02       2.512779100207e+04 
       2.003038099040e-02       2.509021257713e+04 
       2.016127588626e-02       2.505159461366e+04 
       2.029224054028e-02       2.501192139560e+04 
       2.042327626483e-02       2.497114683165e+04 
       2.055438440499e-02       2.492942331607e+04 
       2.068556633919e-02       2.488664957775e+04 
       2.081682347996e-02       2.484292608135e+04 
       2.094815727463e-02       2.479819887504e+04 
       2.107956920606e-02       2.475253154223e+04 
       2.121106079346e-02       2.470595510548e+04 
       2.134263359313e-02       2.465843950569e+04 
       2.147428919931e-02       2.461000260003e+04 
       2.160602924503e-02       2.456072274788e+04 
       2.173785540298e-02       2.451056718970e+04 
       2.186976938640e-02       2.445959261092e+04 
       2.200177295002e-02       2.440770558636e+04 
       2.213386789100e-02       2.435508689267e+04 
       2.226605604995e-02       2.430167022612e+04 
       2.239833931193e-02       2.424735812774e+04 
       2.253071960749e-02       2.419241268747e+04 
       2.266319891380e-02       2.413664297326e+04 
       2.279577925570e-02       2.408016263734e+04 
       2.292846270690e-02       2.402294213918e+04 
       2.306125139117e-02       2.396507188275e+04 
       2.319414748354e-02       2.390640268790e+04 
       2.332715321158e-02       2.384722363194e+04 
       2.346027085672e-02       2.378720301582e+04 
       2.359350275556e-02       2.372662171772e+04 
       2.372685130130e-02       2.366540946839e+04 
       2.386031894514e-02       2.360359615176e+04 
       2.399390819777e-02       2.354116821672e+04 
       2.412762163093e-02       2.347815793248e+04 
       2.426146187892e-02       2.341457817819e+04 
       2.439543164029e-02       2.335043828936e+04 
       2.452953367946e-02       2.328567221089e+04 
       2.466377082853e-02       2.322044117686e+04 
       2.479814598899e-02       2.315472531146e+04 
       2.493266213362e-02       2.308847439283e+04 
       2.506732230841e-02       2.302173677421e+04 
       2.520212963448e-02       2.295449331771e+04 
       2.533708731018e-02       2.288679311363e+04 
       2.547219861317e-02       2.281860836916e+04 
       2.560746690259e-02       2.275001103219e+04 
       2.574289562134e-02       2.268102219479e+04 
       2.587848829840e-02       2.261157580162e+04 
       2.601424855124e-02       2.254175341703e+04 
       2.615018008833e-02       2.247146046726e+04 
