# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730617822e+01      -5.522795691771e-09      -5.116730628887e+01       0.000000000000e+00      -5.116730628887e+01      -5.116730628887e+01       5.116730628887e+01      -5.116730628887e+01 
       2.321812845909e-05       1.108985024933e+02      -5.978333053858e-08      -1.108985036414e+02       0.000000000000e+00      -1.108985036414e+02      -1.108985036414e+02       1.108985036414e+02      -1.108985036414e+02 
       3.609173376214e-05       1.695112865437e+02      -2.208076546044e-07      -1.695112901681e+02       0.000000000000e+00      -1.695112901681e+02      -1.695112901681e+02       1.695112901681e+02      -1.695112901681e+02 
       4.904439972694e-05       2.276638059783e+02      -5.476118779965e-07      -2.276638169466e+02       0.000000000000e+00      -2.276638169466e+02      -2.276638169466e+02       2.276638169466e+02      -2.276638169466e+02 
       6.211104704304e-05       2.857256629994e+02      -1.102267460560e-06      -2.857256836159e+02       0.000000000000e+00      -2.857256836159e+02      -2.857256836159e+02       2.857256836159e+02      -2.857256836159e+02 
       7.532746857735e-05       3.439709044330e+02      -1.951769408873e-06      -3.439709419553e+02       0.000000000000e+00      -3.439709419553e+02      -3.439709419553e+02       3.439709419553e+02      -3.439709419553e+02 
       8.873064804492e-05       4.026319899647e+02      -3.169973664754e-06      -4.026320523646e+02       0.000000000000e+00      -4.026320523646e+02      -4.026320523646e+02       4.026320523646e+02      -4.026320523646e+02 
       1.023590926816e-04       4.619217495342e+02      -4.839732497772e-06      -4.619218460456e+02       0.000000000000e+00      -4.619218460456e+02      -4.619218460456e+02       4.619218460456e+02      -4.619218460456e+02 
       1.162531841578e-04       5.220446086975e+02      -7.055331879651e-06      -5.220447483970e+02       0.000000000000e+00      -5.220447483970e+02      -5.220447483970e+02       5.220447483970e+02      -5.220447483970e+02 
       1.304555520066e-04       5.832033048120e+02      -9.925336997039e-06      -5.832034997594e+02       0.000000000000e+00      -5.832034997594e+02      -5.832034997594e+02       5.832034997594e+02      -5.832034997594e+02 
       1.450114738458e-04       6.456035024431e+02      -1.357596760864e-05      -6.456037739676e+02       0.000000000000e+00      -6.456037739676e+02      -6.456037739676e+02       6.456037739676e+02      -6.456037739676e+02 
       1.599693066204e-04       7.094573799879e+02      -1.815515083505e-05      -7.094577389301e+02       0.000000000000e+00      -7.094577389301e+02      -7.094577389301e+02       7.094577389301e+02      -7.094577389301e+02 
       1.753809529236e-04       7.749865769549e+02      -2.383742271186e-05      -7.749870530872e+02       0.000000000000e+00      -7.749870530872e+02      -7.749870530872e+02       7.749870530872e+02      -7.749870530872e+02 
       1.913023661048e-04       8.424249667011e+02      -3.082990816859e-05      -8.424255819980e+02       0.000000000000e+00      -8.424255819980e+02      -8.424255819980e+02       8.424255819980e+02      -8.424255819980e+02 
       2.077940972509e-04       9.120211992159e+02      -3.937963853257e-05      -9.120219822102e+02       0.000000000000e+00      -9.120219822102e+02      -9.120219822102e+02       9.120219822102e+02      -9.120219822102e+02 
       2.249218861034e-04       9.840412451155e+02      -4.978255461572e-05      -9.840422354134e+02       0.000000000000e+00      -9.840422354134e+02      -9.840422354134e+02       9.840422354134e+02      -9.840422354134e+02 
       2.427572963948e-04       1.058770940759e+03      -6.239461534461e-05      -1.058772184224e+03       0.000000000000e+00      -1.058772184224e+03      -1.058772184224e+03       1.058772184224e+03      -1.058772184224e+03 
       2.613783937365e-04       1.136518528359e+03      -7.764553447554e-05      -1.136520078025e+03       0.000000000000e+00      -1.136520078025e+03      -1.136520078025e+03       1.136520078025e+03      -1.136520078025e+03 
       2.808704608154e-04       1.217617197400e+03      -9.605579948504e-05      -1.217619116006e+03       0.000000000000e+00      -1.217619116006e+03      -1.217619116006e+03       1.217619116006e+03      -1.217619116006e+03 
