# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435551830583e-10       6.113152027152e-15       4.351050576995e-13       0.000000000000e+00       8.377315749231e-09       4.643140732081e-10      -2.267213364182e-12 
    3       1.354703751583e-10       9.517357270196e-15       5.272600072052e-13       0.000000000000e+00       5.229087519193e-09       3.313332931161e-10      -1.910551671566e-12 
    4       1.275819936289e-10       1.020681410527e-14       5.289390660613e-13       0.000000000000e+00       3.648030042745e-09       2.516216540085e-10      -1.447012840422e-12 
    5       1.214440145922e-10       8.630513929189e-15       4.817304618473e-13       0.000000000000e+00       2.725268463628e-09       1.991995899205e-10      -1.005429928385e-12 
    6       1.170088644916e-10       6.072818438852e-15       4.129504818107e-13       0.000000000000e+00       2.129621297691e-09       1.623878758104e-10      -6.273240299365e-13 
    7       1.139768051875e-10       3.704308457298e-15       3.404939557626e-13       0.000000000000e+00       1.717412706574e-09       1.352795513364e-10      -3.299172084312e-13 
    8       1.119893914321e-10       2.104153624215e-15       2.745909581789e-13       0.000000000000e+00       1.418045619621e-09       1.146050828732e-10      -1.160542329786e-13 
    9       1.108367087758e-10       1.288979113819e-15       2.205476907317e-13       0.000000000000e+00       1.193213814475e-09       9.844954454703e-11       2.055469216960e-14 
   10       1.103369498549e-10       9.811779069373e-16       1.803852412094e-13       0.000000000000e+00       1.019879252011e-09       8.559986692063e-11       9.218939497953e-14 
   11       1.103194977588e-10       8.796437938492e-16       1.540020205177e-13       0.000000000000e+00       8.587769489142e-10       7.539509722078e-11       1.139406299120e-13 
   12       1.106322358599e-10       8.047695015265e-16       1.398717410412e-13       0.000000000000e+00       7.502651018821e-10       6.681762359665e-11       1.032616465597e-13 
   13       1.112854597569e-10       7.097441509610e-16       1.354949620488e-13       0.000000000000e+00       6.611944325042e-10       5.942217802238e-11       7.366971252386e-14 
   14       1.121652224716e-10       6.198243039575e-16       1.379298647897e-13       0.000000000000e+00       5.870914742231e-10       5.336659473780e-11       3.787171732110e-14 
   15       1.132100987492e-10       5.679889254928e-16       1.445327849425e-13       0.000000000000e+00       5.247303330186e-10       4.830373202395e-11       4.353588357922e-15 
   16       1.144427776845e-10       5.633927891678e-16       1.531682159783e-13       0.000000000000e+00       4.717157531981e-10       4.382065862996e-11      -2.188233135500e-14 
   17       1.157880260612e-10       5.933723927240e-16       1.622148749200e-13       0.000000000000e+00       4.262403504001e-10       3.988518873703e-11      -3.839723657358e-14 
   18       1.172284668468e-10       6.391261032845e-16       1.707273964117e-13       0.000000000000e+00       3.867733881241e-10       3.645144737145e-11      -4.534941260184e-14 
   19       1.187865475101e-10       6.951619038768e-16       1.784490421086e-13       0.000000000000e+00       3.526896758648e-10       3.348166278851e-11      -4.434427593993e-14 
   20       1.204309066768e-10       7.609011301844e-16       1.853389794400e-13       0.000000000000e+00       3.226736021031e-10       3.086777671925e-11      -3.819078790463e-14 
   21       1.221534036779e-10       8.440687910172e-16       1.916760085541e-13       0.000000000000e+00       2.962529232085e-10       2.854079533276e-11      -2.931040817665e-14 
   22       1.239233567837e-10       9.548681615746e-16       1.978862841107e-13       0.000000000000e+00       2.727950302488e-10       2.641450217901e-11      -2.030575772243e-14 
   23       1.257470700837e-10       1.095726851287e-15       2.042599556354e-13       0.000000000000e+00       2.519768772467e-10       2.450277002608e-11      -1.267720912701e-14 
   24       1.276211587713e-10       1.265619718775e-15       2.110192873306e-13       0.000000000000e+00       2.333165738410e-10       2.282282696805e-11      -7.517917579971e-15 
   25       1.295451489961e-10       1.462372712765e-15       2.181777280600e-13       0.000000000000e+00       2.165940999941e-10       2.133551374306e-11      -5.039057885149e-15 
   26       1.315050976768e-10       1.683087883189e-15       2.256159129503e-13       0.000000000000e+00       2.015064154132e-10       1.997102353131e-11      -4.983281527637e-15 
   27       1.335021295236e-10       1.927170005266e-15       2.330527217075e-13       0.000000000000e+00       1.878730671254e-10       1.871381660406e-11      -6.668049323237e-15 
   28       1.355325642787e-10       2.194549645998e-15       2.401192459725e-13       0.000000000000e+00       1.754597170688e-10       1.755712928953e-11      -9.179902740186e-15 
   29       1.376038615831e-10       2.485347492509e-15       2.465440492924e-13       0.000000000000e+00       1.642026359671e-10       1.650158191203e-11      -1.192283386538e-14 
   30       1.397147443911e-10       2.799559916376e-15       2.520410295649e-13       0.000000000000e+00       1.539801293326e-10       1.554082844407e-11      -1.428321232773e-14 
   31       1.418535091527e-10       3.137208248144e-15       2.563133272056e-13       0.000000000000e+00       1.445828433017e-10       1.466010683892e-11      -1.564633842541e-14 
   32       1.440236315822e-10       3.499346304658e-15       2.592365649896e-13       0.000000000000e+00       1.359623074490e-10       1.385376734675e-11      -1.595795250970e-14 
   33       1.462251245242e-10       3.887440107532e-15       2.607438528636e-13       0.000000000000e+00       1.280579519960e-10       1.311259591556e-11      -1.537724107204e-14 
   34       1.484515872591e-10       4.303102265343e-15       2.607966184511e-13       0.000000000000e+00       1.207595322004e-10       1.242290056036e-11      -1.413258432517e-14 
   35       1.507077058738e-10       4.748028767024e-15       2.594440258036e-13       0.000000000000e+00       1.140296014086e-10       1.178215613072e-11      -1.250212778563e-14 
   36       1.529962133250e-10       5.224059175148e-15       2.567882251915e-13       0.000000000000e+00       1.078138958622e-10       1.118791102452e-11      -1.083634472892e-14 
   37       1.553146969174e-10       5.732932679724e-15       2.529388397810e-13       0.000000000000e+00       1.020312409102e-10       1.063507959668e-11      -9.486688220545e-15 
   38       1.576633663013e-10       6.275356850770e-15       2.479012098064e-13       0.000000000000e+00       9.666665974835e-11       1.012225713244e-11      -8.523676408048e-15 
   39       1.600386324206e-10       6.851623937097e-15       2.416527294341e-13       0.000000000000e+00       9.170317093635e-11       9.646941124714e-12      -7.927559119083e-15 
   40       1.624301952350e-10       7.461844476401e-15       2.341726706729e-13       0.000000000000e+00       8.709347614924e-11       9.203495882761e-12      -7.662121052962e-15 
   41       1.648264826005e-10       8.106101141490e-15       2.254284497528e-13       0.000000000000e+00       8.277643582197e-11       8.785088756850e-12      -7.671203942849e-15 
   42       1.672346589285e-10       8.784999965255e-15       2.153292515065e-13       0.000000000000e+00       7.873930403334e-11       8.390904131177e-12      -7.870078808903e-15 
   43       1.696660359317e-10       9.499277935938e-15       2.037571665995e-13       0.000000000000e+00       7.497130187279e-11       8.020824640623e-12      -8.149047368629e-15 
   44       1.721303186871e-10       1.024965156843e-14       1.905785341958e-13       0.000000000000e+00       7.144493985017e-11       7.673312900031e-12      -8.373920470312e-15 
   45       1.746342553053e-10       1.103676187193e-14       1.756715256105e-13       0.000000000000e+00       6.812582678525e-11       7.346110485173e-12      -8.420037351507e-15 
   46       1.771776519895e-10       1.186099161436e-14       1.590211265055e-13       0.000000000000e+00       6.500872742469e-11       7.038861240976e-12      -8.289889890325e-15 
   47       1.797557714600e-10       1.272259199739e-14       1.406508199895e-13       0.000000000000e+00       6.209002234225e-11       6.751072161080e-12      -8.028181355291e-15 
