# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842278648762e-10       9.203181641333e-15       5.597390892550e-13       5.557382837680e-15       8.509005324281e-09       4.560220390135e-10      -2.223968225325e-12 
    3       2.421670220091e-10       1.307249109564e-14       4.628021524931e-13       5.966616411359e-15       5.224481681693e-09       3.250587191265e-10      -1.874150851056e-12 
    4       2.229931984719e-10       1.374983653190e-14       4.070558386975e-13       5.525578368819e-15       3.635423740596e-09       2.472217064738e-10      -1.420749532966e-12 
    5       2.120135959731e-10       1.172665244235e-14       3.511118917609e-13       4.606531237107e-15       2.716045096422e-09       1.959002774978e-10      -9.882311716483e-13 
    6       2.046563025539e-10       8.511317407503e-15       2.924619928075e-13       3.547048506584e-15       2.123215048005e-09       1.597645154540e-10      -6.176722840475e-13 
    7       1.997439099971e-10       5.476755149128e-15       2.363042593218e-13       2.575123408711e-15       1.714023915443e-09       1.331825704784e-10      -3.258884435919e-13 
    8       1.964693605768e-10       3.333691509903e-15       1.865027657585e-13       1.805479292945e-15       1.417164407168e-09       1.129275393650e-10      -1.157752787680e-13 
    9       1.943688261346e-10       2.154465620836e-15       1.456309255422e-13       1.268036140093e-15       1.193438221815e-09       9.703070674876e-11       1.872881643805e-14 
   10       1.931011055053e-10       1.658874415564e-15       1.150015531359e-13       9.421350373207e-16       1.019935879316e-09       8.432468885475e-11       8.957255351590e-14 
   11       1.924390138902e-10       1.510033157124e-15       9.468959012741e-14       7.844063427404e-16       8.565998067540e-10       7.435150331705e-11       1.115288987237e-13 
   12       1.922662021031e-10       1.482350783297e-15       8.350072690800e-14       7.472831616842e-16       7.484612911380e-10       6.582767387541e-11       1.012343520597e-13 
   13       1.924020658134e-10       1.487915933579e-15       7.945898566956e-14       7.897787026093e-16       6.596935426353e-10       5.878327204468e-11       7.278301019977e-14 
   14       1.927447124739e-10       1.524003030886e-15       8.034638518317e-14       8.805065553579e-16       5.858352292194e-10       5.267226246224e-11       3.760490733440e-14 
   15       1.932945287985e-10       1.608428657042e-15       8.396471144493e-14       9.984944814865e-16       5.236690335077e-10       4.755146853089e-11       4.578823561099e-15 
   16       1.940404977396e-10       1.744367569650e-15       8.842635312652e-14       1.131457379535e-15       4.708155328106e-10       4.322844882050e-11      -2.115217488398e-14 
   17       1.948392242527e-10       1.918928168788e-15       9.245370613369e-14       1.272128112918e-15       4.254773073544e-10       3.950127984071e-11      -3.736348923584e-14 
   18       1.957358364207e-10       2.113737324741e-15       9.526619068702e-14       1.417712248609e-15       3.861251489973e-10       3.614260619320e-11      -4.431413289752e-14 
   19       1.967573898100e-10       2.323698971536e-15       9.666553341661e-14       1.567186119181e-15       3.521380860226e-10       3.314718278770e-11      -4.350322949994e-14 
   20       1.978050727218e-10       2.548757591553e-15       9.670026469038e-14       1.719873919854e-15       3.222037483984e-10       3.051689865693e-11      -3.755519291217e-14 
   21       1.989032512282e-10       2.796204154725e-15       9.572866451622e-14       1.875682075444e-15       2.958521897775e-10       2.821826671353e-11      -2.883493669164e-14 
   22       2.000573500266e-10       3.075526932822e-15       9.425979306144e-14       2.034818638735e-15       2.724539918068e-10       2.616560001738e-11      -1.993911104121e-14 
   23       2.012600201311e-10       3.388849829608e-15       9.257255048678e-14       2.197248631605e-15       2.516873314071e-10       2.431670861231e-11      -1.240905874285e-14 
   24       2.024661450831e-10       3.735051336434e-15       9.086449213993e-14       2.362916865500e-15       2.330716749833e-10       2.262492850846e-11      -7.387818587692e-15 
   25       2.037007755243e-10       4.111986347570e-15       8.920903932833e-14       2.531705691525e-15       2.163882670414e-10       2.109274072580e-11      -5.057585948585e-15 
   26       2.049799123060e-10       4.516891982436e-15       8.757935571920e-14       2.703500214555e-15       2.013355440847e-10       1.972145746557e-11      -5.100571088193e-15 
   27       2.062939470719e-10       4.949305683279e-15       8.574018320732e-14       2.878108149552e-15       1.877329667809e-10       1.849249636497e-11      -6.779724211977e-15 
   28       2.076095772076e-10       5.409313694887e-15       8.335509030415e-14       3.055333129591e-15       1.753459405070e-10       1.737254588007e-11      -9.146275899689e-15 
   29       2.089419306123e-10       5.897064198749e-15       8.017158179928e-14       3.235001986993e-15       1.641111951589e-10       1.635137859959e-11      -1.167334861982e-14 
   30       2.103003932739e-10       6.412565305648e-15       7.591862406547e-14       3.416971178572e-15       1.539080884351e-10       1.541526975337e-11      -1.387080779575e-14 
   31       2.116752367293e-10       6.955828877496e-15       7.031817742219e-14       3.601107064954e-15       1.445285029442e-10       1.454310939347e-11      -1.524221256459e-14 
   32       2.130740496855e-10       7.527692885889e-15       6.328114803580e-14       3.787204261423e-15       1.359240717721e-10       1.373335444948e-11      -1.570683469907e-14 
   33       2.144940922962e-10       8.129311365988e-15       5.478498281055e-14       3.975037443218e-15       1.280340496857e-10       1.298568000943e-11      -1.533826861587e-14 
   34       2.159206346737e-10       8.761943568445e-15       4.483405165837e-14       4.164376836953e-15       1.207481248323e-10       1.229526867394e-11      -1.427392203327e-14 
   35       2.173629675088e-10       9.426930769581e-15       3.349278227851e-14       4.354969237640e-15       1.140290248822e-10       1.165957153781e-11      -1.276379139190e-14 
   36       2.188279201383e-10       1.012572425290e-14       2.086772957100e-14       4.546549448795e-15       1.078228345842e-10       1.107299767480e-11      -1.114791476916e-14 
   37       2.203134153866e-10       1.085969154213e-14       7.070040053339e-15       4.738854408649e-15       1.020487712298e-10       1.052730450508e-11      -9.771363332850e-15 
   38       2.218241765254e-10       1.162940501573e-14      -7.891496103589e-15       4.931656792930e-15       9.669192295209e-11       1.002071964208e-11      -8.716957040121e-15 
   39       2.233590389697e-10       1.243511133828e-14      -2.403777888557e-14       5.124742310456e-15       9.173530484691e-11       9.551259029872e-12      -7.986597428079e-15 
   40       2.249052837661e-10       1.327690889059e-14      -4.139114856379e-14       5.317900922781e-15       8.713164977234e-11       9.113953138879e-12      -7.571663046345e-15 
   41       2.264462795358e-10       1.415484884046e-14      -5.998196918131e-14       5.510919076559e-15       8.281987956966e-11       8.702564119255e-12      -7.444933854003e-15 
   42       2.279901452959e-10       1.506930237995e-14      -7.987022279532e-14       5.703552961000e-15       7.878731765978e-11       8.316032373131e-12      -7.535415423005e-15 
   43       2.295484963593e-10       1.602069591385e-14      -1.011314586449e-13       5.895546823793e-15       7.502328254206e-11       7.953692480616e-12      -7.743769869409e-15 
   44       2.311279375882e-10       1.700940765534e-14      -1.238518450512e-13       6.086639780379e-15       7.150041950355e-11       7.613357111583e-12      -7.947376987954e-15 
   45       2.327312359827e-10       1.803576006377e-14      -1.481117574940e-13       6.276566625633e-15       6.818447599146e-11       7.292170109668e-12      -8.029291630782e-15 
   46       2.343625265404e-10       1.910000041678e-14      -1.739289617703e-13       6.465061458193e-15       6.507024080540e-11       6.989760202870e-12      -7.978756661943e-15 
   47       2.360227459513e-10       2.020231013172e-14      -2.012996937284e-13       6.651854490048e-15       6.215409129502e-11       6.705820554460e-12      -7.818344793714e-15 
   48       2.377076272055e-10       2.134280655293e-14      -2.302140840331e-13       6.836670642015e-15       5.942315318800e-11       6.439149089103e-12      -7.576534398021e-15 
   49       2.394072592024e-10       2.252154013491e-14      -2.606559048952e-13       7.019229230581e-15       5.685461258112e-11       6.187581514954e-12      -7.288050524877e-15 
   50       2.411108068970e-10       2.373846439491e-14      -2.926018025852e-13       7.199255151096e-15       5.442258770427e-11       5.948658386409e-12      -6.989870473762e-15 
   51       2.428232038890e-10       2.499334269080e-14      -3.260193369680e-13       7.376516732467e-15       5.212253935804e-11       5.721995141209e-12      -6.707171127857e-15 
   52       2.445522296071e-10       2.628581126996e-14      -3.608679720280e-13       7.550797616389e-15       4.995229714779e-11       5.507439607696e-12      -6.464156653810e-15 
