# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.419682437491e-10       2.686460068333e-15       1.661972760387e-13       4.801532469378e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089248011372e-10       2.843744833199e-15      -8.079261880213e-15       4.836400782207e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.768596592698e-11       2.609797863127e-15      -6.058841168556e-14       4.206585881526e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297670392664e-11       2.086011769857e-15      -7.148923394016e-14       3.295429736065e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.019561842202e-11       1.503435475833e-15      -6.796759735164e-14       2.391294571462e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.843593041921e-11       1.023522283007e-15      -6.030760280231e-14       1.653091767558e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.724625418502e-11       7.121197806642e-16      -5.304586926695e-14       1.133970702133e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.638130443535e-11       5.640861368763e-16      -4.786815912872e-14       8.220849765728e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.569950175458e-11       5.398849889986e-16      -4.510568491469e-14       6.755209051720e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.511796859997e-11       5.940709379756e-16      -4.453382626159e-14       6.461125927840e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.458860840877e-11       6.908876533340e-16      -4.576362353411e-14       6.918629487598e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
