# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730354058e+01      -5.522795407421e-09      -3.108391580541e-07      -1.910355741190e+00      -2.341217608728e+00      -8.836200635705e+00       5.581950234909e+00      -1.518265769647e-06 
       2.321812845909e-05       1.108985104878e+02      -5.978333484699e-08      -8.522250420983e+00      -4.328566339583e+00      -3.534668236308e+00      -9.371960413249e+00       6.015109580720e+00      -1.093195929436e-05 
       3.609173376214e-05       1.695113005625e+02      -2.208076730060e-07      -1.362872242733e+01      -4.348885581700e+00      -3.544669318302e+00      -9.376158721704e+00       6.018617297144e+00      -3.726921683590e-05 
       4.904439972694e-05       2.276638372213e+02      -5.476119542885e-07      -1.718017866363e+01      -4.358124132802e+00      -3.549378245637e+00      -9.378143458828e+00       6.021046430198e+00      -8.997199319604e-05 
       6.211104704304e-05       2.857257227035e+02      -1.102267692588e-06      -1.991642392749e+01      -4.354316990709e+00      -3.548164571837e+00      -9.378682990221e+00       6.022904816923e+00      -1.789664141555e-04 
       7.532746857735e-05       3.439710113126e+02      -1.951770023168e-06      -2.215177567375e+01      -4.356667275523e+00      -3.549569325790e+00      -9.378110740120e+00       6.024441812773e+00      -3.149704172482e-04 
       8.873064804491e-05       4.026321624211e+02      -3.169975030029e-06      -2.404951747337e+01      -4.355230580271e+00      -3.549240585510e+00      -9.376553759129e+00       6.025749517741e+00      -5.098041441406e-04 
       1.023590926816e-04       4.619220134039e+02      -4.839735288378e-06      -2.570546091349e+01      -4.356246134251e+00      -3.549935375409e+00      -9.374081837249e+00       6.026904357967e+00      -7.767315501322e-04 
       1.162531841578e-04       5.220449925790e+02      -7.055337104462e-06      -2.718069801849e+01      -4.357614040999e+00      -3.550737743386e+00      -9.370710015504e+00       6.027943840186e+00      -1.130850519209e-03 
       1.304555520066e-04       5.832038460124e+02      -9.925346291658e-06      -2.851662426360e+01      -4.359425115253e+00      -3.551684393169e+00      -9.366426125210e+00       6.028896022176e+00      -1.589548670079e-03 
       1.450114738457e-04       6.456042448666e+02      -1.357598343119e-05      -2.974261755608e+01      -4.361121389656e+00      -3.552540459827e+00      -9.361194375910e+00       6.029780266087e+00      -2.173044236751e-03 
       1.599693066204e-04       7.094583710714e+02      -1.815517642764e-05      -3.088033465556e+01      -4.361285290871e+00      -3.552727025194e+00      -9.354959141033e+00       6.030610782449e+00      -2.905035689094e-03 
       1.753809529236e-04       7.749878784216e+02      -2.383746313220e-05      -3.194620029649e+01      -4.361457247230e+00      -3.552897184168e+00      -9.347649476649e+00       6.031401295404e+00      -3.813487824901e-03 
       1.913023661048e-04       8.424266532303e+02      -3.082997069034e-05      -3.295302599313e+01      -4.363296309793e+00      -3.553726290274e+00      -9.339174382995e+00       6.032161876458e+00      -4.931590628762e-03 
       2.077940972509e-04       9.120233516511e+02      -3.937973247016e-05      -3.391099790043e+01      -4.363705191225e+00      -3.553940233528e+00      -9.329419313558e+00       6.032898095354e+00      -6.298932809942e-03 
       2.249218861033e-04       9.840439647681e+02      -4.978269344128e-05      -3.482837858603e+01      -4.364589310187e+00      -3.554325510384e+00      -9.318251616180e+00       6.033617940597e+00      -7.962946232975e-03 
       2.427572963948e-04       1.058774347957e+03      -6.239481786503e-05      -3.571198511338e+01      -4.365913502888e+00      -3.554861049728e+00      -9.305511593033e+00       6.034326724230e+00      -9.980687683702e-03 
       2.613783937365e-04       1.136522771225e+03      -7.764582698358e-05      -3.656751898359e+01      -4.366450567454e+00      -3.555049793122e+00      -9.291010981880e+00       6.035029180402e+00      -1.242104260764e-02 
