# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.04811e-05 to 105.28 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.048106663850e-05       5.035042459680e+01      -5.531133014911e-09      -3.007631018190e-07      -3.438779778305e-01      -1.005475026076e+00      -5.099696815334e+00       3.191768170040e+00      -1.503341134640e-06 
       2.345186185086e-05       1.092555838028e+02      -6.008946002701e-08      -4.840091822055e+00      -2.574411208409e+00      -2.104471685833e+00      -5.585769745145e+00       3.585711625851e+00      -1.099843109049e-05 
       3.646879554247e-05       1.670603038034e+02      -2.221857092446e-07      -7.886885272970e+00      -2.590913007283e+00      -2.112167563635e+00      -5.586447935935e+00       3.586977760407e+00      -3.763811808282e-05 
       4.956738198481e-05       2.244176795642e+02      -5.513775154087e-07      -1.000505729647e+01      -2.599131338974e+00      -2.116004551205e+00      -5.585961728701e+00       3.587848760771e+00      -9.098389189319e-05 
       6.278372999796e-05       2.816956283107e+02      -1.110387011314e-06      -1.163672505545e+01      -2.594441741907e+00      -2.114077202048e+00      -5.584571491197e+00       3.588503012863e+00      -1.810967057355e-04 
       7.615486941233e-05       3.391678107380e+02      -1.967025720841e-06      -1.296959424236e+01      -2.596684063160e+00      -2.115166285974e+00      -5.582396776829e+00       3.589053795630e+00      -3.188550561511e-04 
       8.971908809500e-05       3.970670109648e+02      -3.196197304403e-06      -1.410114928767e+01      -2.594711238716e+00      -2.114373180683e+00      -5.579451610941e+00       3.589519704542e+00      -5.162771296263e-04 
       1.035162840816e-04       4.556068845331e+02      -4.882111804716e-06      -1.508857176572e+01      -2.595087143705e+00      -2.114586110584e+00      -5.575739712069e+00       3.589935812880e+00      -7.868760779683e-04 
       1.175883373888e-04       5.149931085925e+02      -7.120820543359e-06      -1.596831675935e+01      -2.596009706435e+00      -2.115011536864e+00      -5.571233329862e+00       3.590313328990e+00      -1.146066722892e-03 
       1.319795061164e-04       5.754300799497e+02      -1.002318431876e-05      -1.676508041398e+01      -2.597369315185e+00      -2.115595110190e+00      -5.565889782811e+00       3.590661744548e+00      -1.611641886186e-03 
       1.467368514517e-04       6.371255534893e+02      -1.371840462191e-05      -1.749638816753e+01      -2.598496696946e+00      -2.116052764724e+00      -5.559650617208e+00       3.590987311680e+00      -2.204339181436e-03 
       1.619106961211e-04       7.002942499695e+02      -1.835827526339e-05      -1.817515910756e+01      -2.598187090304e+00      -2.115892203136e+00      -5.552442554044e+00       3.591294779169e+00      -2.948523520474e-03 
       1.775551206327e-04       7.651608743410e+02      -2.412234019347e-05      -1.881118581790e+01      -2.598212283944e+00      -2.115858245750e+00      -5.544179687615e+00       3.591590480610e+00      -3.873015163846e-03 
       1.937285012498e-04       8.319629376392e+02      -3.122420238729e-05      -1.941210761891e+01      -2.599682981545e+00      -2.116397841568e+00      -5.534757076058e+00       3.591878094357e+00      -5.012102591618e-03 
       2.104940929101e-04       9.009533734076e+02      -3.991926537104e-05      -1.998399867071e+01      -2.599698010940e+00      -2.116317179197e+00      -5.524047785177e+00       3.592158532891e+00      -6.406785407000e-03 
       2.279206591272e-04       9.724031688179e+02      -5.051428567034e-05      -2.053178071410e+01      -2.600415304661e+00      -2.116504205580e+00      -5.511906779313e+00       3.592435787654e+00      -8.106307957722e-03 
       2.460831490878e-04       1.046603986885e+03      -6.337918886340e-05      -2.105951378025e+01      -2.601336352624e+00      -2.116747939803e+00      -5.498161214801e+00       3.592711417048e+00      -1.017005632184e-02 
       2.650634194570e-04       1.123870799129e+03      -7.896172087521e-05      -2.157059022177e+01      -2.601690389321e+00      -2.116735927414e+00      -5.482609263503e+00       3.592987201156e+00      -1.266991035906e-02 
       2.849509945198e-04       1.204544510184e+03      -9.780564639640e-05      -2.206787722491e+01      -2.602946850311e+00      -2.117059939266e+00      -5.465015517740e+00       3.593265290861e+00      -1.569316500530e-02 
       3.058438528725e-04       1.288994525494e+03      -1.205733743382e-04      -2.255382388817e+01      -2.603426876980e+00      -2.117037080741e+00      -5.445103464914e+00       3.593546767653e+00      -1.934616189765e-02 
       3.278492215101e-04       1.377621199853e+03      -1.480740941681e-04      -2.303053462614e+01      -2.604812601657e+00      -2.117343242169e+00      -5.422551041897e+00       3.593833510013e+00      -2.375880505121e-02 
       3.510843484182e-04       1.470857993109e+03      -1.812987357078e-04      -2.349982786703e+01      -2.605578448013e+00      -2.117357422776e+00      -5.396980639747e+00       3.594126426441e+00      -2.909017086839e-02 
       3.756772122615e-04       1.569173208551e+03      -2.214633373904e-04      -2.396327346770e+01      -2.607121643249e+00      -2.117637335391e+00      -5.367951839105e+00       3.594426895600e+00      -3.553546624711e-02 
       4.017671122331e-04       1.673070998976e+03      -2.700626764658e-04      -2.442222232676e+01      -2.608237936265e+00      -2.117690914538e+00      -5.334949533888e+00       3.594735523309e+00      -4.333463128518e-02 
       4.295050626620e-04       1.783091433920e+03      -3.289363130468e-04      -2.487782244878e+01      -2.610030958128e+00      -2.117954273088e+00      -5.297373287550e+00       3.595052953727e+00      -5.278293043168e-02 
       4.590538962468e-04       1.899809128933e+03      -4.003494060449e-04      -2.533102978378e+01      -2.611573680053e+00      -2.118045175337e+00      -5.254523318197e+00       3.595379013949e+00      -6.424390822574e-02 
       4.905879583968e-04       2.023830077009e+03      -4.870908143970e-04      -2.578261008362e+01      -2.613734902989e+00      -2.118301649206e+00      -5.205586861601e+00       3.595713027971e+00      -7.816510954793e-02 
       5.242922560845e-04       2.155786118542e+03      -5.925909068361e-04      -2.623313704882e+01      -2.615813346996e+00      -2.118429274590e+00      -5.149622470994e+00       3.596053108956e+00      -9.509694821815e-02 
       5.603609125290e-04       2.296326553490e+03      -7.210611288314e-04      -2.668298495393e+01      -2.618492856789e+00      -2.118687559417e+00      -5.085544909714e+00       3.596396044724e+00      -1.157150454383e-01 
       5.989947805156e-04       2.446106427227e+03      -8.776565244279e-04      -2.713231962531e+01      -2.621256008112e+00      -2.118851843954e+00      -5.012109862380e+00       3.596736517644e+00      -1.408462200904e-01 
       6.403980903102e-04       2.605771101538e+03      -1.068660922902e-03      -2.758108772452e+01      -2.624644904513e+00      -2.119119796782e+00      -4.927900809787e+00       3.597066541424e+00      -1.714980704579e-01 
       6.847740613436e-04       2.775937103393e+03      -1.301692333223e-03      -2.802900786031e+01      -2.628287814459e+00      -2.119320165917e+00      -4.831318614066e+00       3.597374404159e+00      -2.088917348259e-01 
       7.323194963403e-04       2.957169490494e+03      -1.585923079645e-03      -2.847556491288e+01      -2.632623062038e+00      -2.119603420789e+00      -4.720576192259e+00       3.597643583952e+00      -2.544969307156e-01 
       7.832185028157e-04       3.149956558261e+03      -1.932305644278e-03      -2.892001097087e+01      -2.637390654583e+00      -2.119837483614e+00      -4.593699575915e+00       3.597851250911e+00      -3.100677955563e-01 
       8.376356404431e-04       3.354683422567e+03      -2.353791469381e-03      -2.936137470797e+01      -2.642953437838e+00      -2.120136825257e+00      -4.448537399980e+00       3.597966613215e+00      -3.776774525470e-01 
       8.957089515980e-04       3.571606233311e+03      -2.865526438235e-03      -2.979848154149e+01      -2.649135661036e+00      -2.120397623329e+00      -4.282779722207e+00       3.597948932103e+00      -4.597486577369e-01 
       9.575434622908e-04       3.800829674512e+03      -3.485005022689e-03      -3.022998505403e+01      -2.656240437232e+00      -2.120705288522e+00      -4.093986872203e+00       3.597745389037e+00      -5.590776099694e-01 
       1.023205802052e-03       4.042290138761e+03      -4.232165104372e-03      -3.065440936226e+01      -2.664154946433e+00      -2.120976725601e+00      -3.879627021729e+00       3.597288785046e+00      -6.788480167236e-01 
       1.092720550955e-03       4.295746947476e+03      -5.129408776890e-03      -3.107020003600e+01      -2.673126588731e+00      -2.121271375736e+00      -3.637122908455e+00       3.596495247220e+00      -8.226330521437e-01 
       1.166068767455e-03       4.560782563310e+03      -6.201539551241e-03      -3.147578008514e+01      -2.683089649672e+00      -2.121522299173e+00      -3.363893536556e+00       3.595262022135e+00      -9.943836822259e-01 
       1.243188900541e-03       4.836814899985e+03      -7.475618468201e-03      -3.186960630805e+01      -2.694230508539e+00      -2.121762830063e+00      -3.057442760985e+00       3.593465517123e+00      -1.198403790232e+00 
       1.323979992029e-03       5.123111681914e+03      -8.980734905417e-03      -3.225022132783e+01      -2.706521583711e+00      -2.121940569124e+00      -2.715218210955e+00       3.590959688262e+00      -1.439311477226e+00 
       1.408306794576e-03       5.418801908483e+03      -1.074768613813e-02      -3.261629713557e+01      -2.720076580624e+00      -2.122059918744e+00      -2.335522461087e+00       3.587574873956e+00      -1.721985657727e+00 
       1.496006227924e-03       5.722953573798e+03      -1.280873858428e-02      -3.296666737570e+01      -2.734904370879e+00      -2.122083864600e+00      -1.913781854587e+00       3.583117116852e+00      -2.051525731194e+00 
       1.586894505570e-03       6.034587056806e+03      -1.519726266391e-02      -3.330034718419e+01      -2.751035152520e+00      -2.121984644474e+00      -1.457281382737e+00       3.577367985107e+00      -2.433191054596e+00 
       1.680774289113e-03       6.352682854433e+03      -1.794734597093e-02      -3.361654103006e+01      -2.768511399420e+00      -2.121740144056e+00      -9.354459750298e-01       3.570084862594e+00      -2.872337073183e+00 
       1.777441341906e-03       6.676221878038e+03      -2.109348614659e-02      -3.391464026401e+01      -2.787286411192e+00      -2.121293256303e+00      -4.118350296743e-01       3.561001650585e+00      -3.374364414584e+00 
       1.876690316429e-03       7.004210791590e+03      -2.467030423586e-02      -3.419421267677e+01      -2.807410857007e+00      -2.120626426566e+00      -2.497702139801e-01       3.549829810761e+00      -3.944671503937e+00 
       1.978319480095e-03       7.335698039340e+03      -2.871227897697e-02      -3.445498331294e+01      -2.828808002840e+00      -2.119671432974e+00      -7.975033167808e-01       3.536259622692e+00      -4.588610694683e+00 
       2.082134331790e-03       7.669787696660e+03      -3.325352647664e-02      -3.469681338411e+01      -2.851474974332e+00      -2.118389823304e+00      -1.562676816137e+00       3.519961614192e+00      -5.311451852327e+00 
       2.187950170537e-03       8.005647144560e+03      -3.832762110936e-02      -3.491968304603e+01      -2.875368816768e+00      -2.116726987289e+00      -2.279045356289e+00       3.500588181083e+00      -6.118352966092e+00 
       2.295593745280e-03       8.342511856318e+03      -4.396746370185e-02      -3.512367311027e+01      -2.900407215890e+00      -2.114612266879e+00      -3.075729635423e+00       3.477775262739e+00      -7.014338698363e+00 
       2.404904146342e-03       8.679687573198e+03      -5.020516596478e-02      -3.530893964815e+01      -2.926558870907e+00      -2.111995001565e+00      -3.922617818624e+00       3.451143884160e+00      -8.004281340308e+00 
       2.515733103847e-03       9.016547722302e+03      -5.707193604070e-02      -3.547569310070e+01      -2.953737084245e+00      -2.108801548882e+00      -4.815242525898e+00       3.420301726583e+00      -9.092881808087e+00 
       2.627944846069e-03       9.352531453782e+03      -6.459806475564e-02      -3.562419666287e+01      -2.981850007172e+00      -2.104955424552e+00      -5.761704562549e+00       3.384844851473e+00      -1.028466842110e+01 
       2.741415649268e-03       9.687140402228e+03      -7.281287614923e-02      -3.575474528749e+01      -3.010832233305e+00      -2.100389859603e+00      -6.759556866829e+00       3.344359063158e+00      -1.158398889684e+01 
       2.856033186126e-03       1.001993346927e+04      -8.174463377581e-02      -3.586764691139e+01      -3.040581574932e+00      -2.095022110532e+00      -7.808605758786e+00       3.298421686684e+00      -1.299499424626e+01 
       2.971695756066e-03       1.035052220092e+04      -9.142064566961e-02      -3.596323573459e+01      -3.070987083057e+00      -2.088764893523e+00      -8.909595984356e+00       3.246602400934e+00      -1.452165866262e+01 
       3.088311459584e-03       1.067856637189e+04      -1.018671371887e-01      -3.604184143326e+01      -3.101956815671e+00      -2.081537356772e+00      -1.006242188586e+01       3.188463404964e+00      -1.616775688504e+01 
       3.205797361083e-03       1.100376953888e+04      -1.131093238509e-01      -3.610379983290e+01      -3.133383027631e+00      -2.073251042308e+00      -1.126697410065e+01       3.123565634764e+00      -1.793687797348e+01 
       3.324078670682e-03       1.132587456828e+04      -1.251714437780e-01      -3.614944567192e+01      -3.165140068370e+00      -2.063809048819e+00      -1.252325423000e+01       3.051468380368e+00      -1.983243163153e+01 
       3.443087964650e-03       1.164465800421e+04      -1.380766219173e-01      -3.617910060448e+01      -3.197110763035e+00      -2.053116596326e+00      -1.383118590841e+01       2.971712898243e+00      -2.185762452129e+01 
       3.562764456182e-03       1.195992683154e+04      -1.518471114020e-01      -3.619308888569e+01      -3.229181192258e+00      -2.041079196371e+00      -1.519063487690e+01       2.883836681009e+00      -2.401550425515e+01 
       3.683053322442e-03       1.227151601973e+04      -1.665040194799e-01      -3.619171250903e+01      -3.261222823386e+00      -2.027594918656e+00      -1.660144990108e+01       2.787435678627e+00      -2.630891017652e+01 
       3.803905089824e-03       1.257928526054e+04      -1.820676808024e-01      -3.617527598111e+01      -3.293100333049e+00      -2.012558132852e+00      -1.806346200944e+01       2.682107008993e+00      -2.874054113739e+01 
       3.925275076677e-03       1.288311532167e+04      -1.985572707337e-01      -3.614405997001e+01      -3.324683200753e+00      -1.995863936421e+00      -1.957647538162e+01       2.567247322057e+00      -3.131288673499e+01 
       4.047122891060e-03       1.318290607141e+04      -2.159912314173e-01      -3.609834427760e+01      -3.355842094190e+00      -1.977407095240e+00      -2.114027462994e+01       2.442206618414e+00      -3.402830399769e+01 
       4.169411980036e-03       1.347857415857e+04      -2.343869274353e-01      -3.603838953913e+01      -3.386439517699e+00      -1.957077395286e+00      -2.275462616067e+01       2.306971270063e+00      -3.688895660119e+01 
       4.292109226546e-03       1.377005131194e+04      -2.537609221956e-01      -3.596444770953e+01      -3.416332167005e+00      -1.934761070164e+00      -2.441928165498e+01       2.161931106628e+00      -3.989686429660e+01 
       4.415184589656e-03       1.405728259716e+04      -2.741289403073e-01      -3.587676242648e+01      -3.445377717225e+00      -1.910344799399e+00      -2.613397859270e+01       2.005926068367e+00      -4.305389717470e+01 
       4.538610784047e-03       1.434022475336e+04      -2.955056715958e-01      -3.577555737838e+01      -3.473435784442e+00      -1.883716246692e+00      -2.789843979469e+01       1.835664372498e+00      -4.636174112381e+01 
       4.662362994761e-03       1.461884527558e+04      -3.179053181798e-01      -3.566105930083e+01      -3.500364308164e+00      -1.854760772108e+00      -2.971237876347e+01       1.649773425262e+00      -4.982199516014e+01 
       4.786418623480e-03       1.489312055552e+04      -3.413408554949e-01      -3.553347019299e+01      -3.526015645967e+00      -1.823355067058e+00      -3.157549510965e+01       1.455792768663e+00      -5.343604224627e+01 
       4.910757062891e-03       1.516303554029e+04      -3.658248017870e-01      -3.539299243556e+01      -3.550240256190e+00      -1.789373490858e+00      -3.348748084671e+01       1.263132331201e+00      -5.720518417638e+01 
       5.035359496020e-03       1.542858262233e+04      -3.913688404994e-01      -3.523981779879e+01      -3.572889245089e+00      -1.752701465366e+00      -3.544801828751e+01       1.061480838222e+00      -6.113057672704e+01 
       5.160208717709e-03       1.568976072914e+04      -4.179836815771e-01      -3.507412192972e+01      -3.593814701871e+00      -1.713238099554e+00      -3.745677953994e+01       8.163621224999e-01      -6.521320571541e+01 
       5.285288975701e-03       1.594657491254e+04      -4.456797556586e-01      -3.489608390778e+01      -3.612868146993e+00      -1.670877665106e+00      -3.951343198767e+01       5.018875429981e-01      -6.945400776122e+01 
       5.410585829094e-03       1.619903375193e+04      -4.744663607546e-01      -3.470586623288e+01      -3.629898486132e+00      -1.625458552388e+00      -4.161763318130e+01       1.962115716857e-01      -7.385372552450e+01 
       5.536086022141e-03       1.644714970771e+04      -5.043520962740e-01      -3.450362369619e+01      -3.644752965489e+00      -1.576786338505e+00      -4.376903396416e+01       3.840541629986e-02      -7.841298158830e+01 
       5.661777371651e-03       1.669093989192e+04      -5.353453094327e-01      -3.428951290829e+01      -3.657278680580e+00      -1.524693577061e+00      -4.596728159358e+01       1.457162022644e-01      -8.313235462166e+01 
       5.787648666391e-03       1.693042576096e+04      -5.674532674594e-01      -3.406367449814e+01      -3.667323965976e+00      -1.469211143034e+00      -4.821201438327e+01       4.687710457404e-01      -8.801223989208e+01 
       5.913689577149e-03       1.716563264067e+04      -6.006827222913e-01      -3.382624414611e+01      -3.674737541395e+00      -1.410456329973e+00      -5.050286572115e+01       8.858052424309e-01      -9.305294457144e+01 
       6.039890576199e-03       1.739658830218e+04      -6.350401891124e-01      -3.357735910268e+01      -3.679367824339e+00      -1.348477938337e+00      -5.283946649663e+01       1.283955012682e+00      -9.825473585951e+01 
       6.166242865129e-03       1.762331438043e+04      -6.705307387738e-01      -3.331714359311e+01      -3.681062566608e+00      -1.282679693455e+00      -5.522144011527e+01       1.642952216121e+00      -1.036176462670e+02 
       6.292738310069e-03       1.784583031593e+04      -7.071586287154e-01      -3.304571585407e+01      -3.679669064413e+00      -1.212114606653e+00      -5.764840535212e+01       1.992607036829e+00      -1.091415755329e+02 
       6.419369383492e-03       1.806415827817e+04      -7.449280206482e-01      -3.276319604592e+01      -3.675034449029e+00      -1.135882649074e+00      -6.011997947946e+01       2.362837728237e+00      -1.148264064730e+02 
