# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1.5
# for k=1.04811e-05 to 105.28 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.048106663850e-05       1.235746703937e+01      -2.752832933699e+01      -1.235746703937e+01       0.000000000000e+00      -1.235746703937e+01      -1.235746703937e+01       1.235746703937e+01      -1.235746703937e+01 
       2.345186185086e-05       2.681457415280e+01      -5.973395890576e+01      -2.681457415280e+01       0.000000000000e+00      -2.681457415280e+01      -2.681457415280e+01       2.681457415280e+01      -2.681457415280e+01 
       3.646879554247e-05       4.100173779155e+01      -9.133824413354e+01      -4.100173779155e+01       0.000000000000e+00      -4.100173779155e+01      -4.100173779155e+01       4.100173779155e+01      -4.100173779155e+01 
       4.956738198481e-05       5.507931479512e+01      -1.226984067612e+02      -5.507931479512e+01       0.000000000000e+00      -5.507931479512e+01      -5.507931479512e+01       5.507931479512e+01      -5.507931479512e+01 
       6.278372999796e-05       6.913767640884e+01      -1.540157638869e+02      -6.913767640884e+01       0.000000000000e+00      -6.913767640884e+01      -6.913767640884e+01       6.913767640884e+01      -6.913767640884e+01 
       7.615486941233e-05       8.324406678518e+01      -1.854401131325e+02      -8.324406678518e+01       0.000000000000e+00      -8.324406678518e+01      -8.324406678518e+01       8.324406678518e+01      -8.324406678518e+01 
       8.971908809500e-05       9.745569764776e+01      -2.170989032029e+02      -9.745569764776e+01       0.000000000000e+00      -9.745569764776e+01      -9.745569764776e+01       9.745569764776e+01      -9.745569764776e+01 
       1.035162840816e-04       1.118250965633e+02      -2.491091480582e+02      -1.118250965633e+02       0.000000000000e+00      -1.118250965633e+02      -1.118250965633e+02       1.118250965633e+02      -1.118250965633e+02 
       1.175883373888e-04       1.264028396107e+02      -2.815835143923e+02      -1.264028396107e+02       0.000000000000e+00      -1.264028396107e+02      -1.264028396107e+02       1.264028396107e+02      -1.264028396107e+02 
       1.319795061164e-04       1.412391993932e+02      -3.146339928564e+02      -1.412391993932e+02       0.000000000000e+00      -1.412391993932e+02      -1.412391993932e+02       1.412391993932e+02      -1.412391993932e+02 
       1.467368514517e-04       1.563852851358e+02      -3.483744378164e+02      -1.563852851358e+02       0.000000000000e+00      -1.563852851358e+02      -1.563852851358e+02       1.563852851358e+02      -1.563852851358e+02 
       1.619106961211e-04       1.718939267517e+02      -3.829225367603e+02      -1.718939267517e+02       0.000000000000e+00      -1.718939267517e+02      -1.718939267517e+02       1.718939267517e+02      -1.718939267517e+02 
       1.775551206327e-04       1.878204261887e+02      -4.184014840470e+02      -1.878204261887e+02       0.000000000000e+00      -1.878204261887e+02      -1.878204261887e+02       1.878204261887e+02      -1.878204261887e+02 
       1.937285012498e-04       2.042232421097e+02      -4.549415061478e+02      -2.042232421097e+02       0.000000000000e+00      -2.042232421097e+02      -2.042232421097e+02       2.042232421097e+02      -2.042232421097e+02 
       2.104940929101e-04       2.211646446708e+02      -4.926813202735e+02      -2.211646446708e+02       0.000000000000e+00      -2.211646446708e+02      -2.211646446708e+02       2.211646446708e+02      -2.211646446708e+02 
       2.279206591272e-04       2.387113610802e+02      -5.317695724665e+02      -2.387113610802e+02       0.000000000000e+00      -2.387113610802e+02      -2.387113610802e+02       2.387113610802e+02      -2.387113610802e+02 
       2.460831490878e-04       2.569352221892e+02      -5.723662779888e+02      -2.569352221892e+02       0.000000000000e+00      -2.569352221892e+02      -2.569352221892e+02       2.569352221892e+02      -2.569352221892e+02 
       2.650634194570e-04       2.759138126459e+02      -6.146442696499e+02      -2.759138126459e+02       0.000000000000e+00      -2.759138126459e+02      -2.759138126459e+02       2.759138126459e+02      -2.759138126459e+02 
       2.849509945198e-04       2.957311212199e+02      -6.587906465135e+02      -2.957311212199e+02       0.000000000000e+00      -2.957311212199e+02      -2.957311212199e+02       2.957311212199e+02      -2.957311212199e+02 
       3.058438528725e-04       3.164781762570e+02      -7.050081894787e+02      -3.164781762570e+02       0.000000000000e+00      -3.164781762570e+02      -3.164781762570e+02       3.164781762570e+02      -3.164781762570e+02 
       3.278492215101e-04       3.382536494276e+02      -7.535167062321e+02      -3.382536494276e+02       0.000000000000e+00      -3.382536494276e+02      -3.382536494276e+02       3.382536494276e+02      -3.382536494276e+02 
       3.510843484182e-04       3.611643905754e+02      -8.045542227119e+02      -3.611643905754e+02       0.000000000000e+00      -3.611643905754e+02      -3.611643905754e+02       3.611643905754e+02      -3.611643905754e+02 
       3.756772122615e-04       3.853258541136e+02      -8.583779329775e+02      -3.853258541136e+02       0.000000000000e+00      -3.853258541136e+02      -3.853258541136e+02       3.853258541136e+02      -3.853258541136e+02 
       4.017671122331e-04       4.108623526606e+02      -9.152647642251e+02      -4.108623526606e+02       0.000000000000e+00      -4.108623526606e+02      -4.108623526606e+02       4.108623526606e+02      -4.108623526606e+02 
       4.295050626620e-04       4.379070639345e+02      -9.755113921463e+02      -4.379070639345e+02       0.000000000000e+00      -4.379070639345e+02      -4.379070639345e+02       4.379070639345e+02      -4.379070639345e+02 
       4.590538962468e-04       4.666016917662e+02      -1.039433485779e+03      -4.666016917662e+02       0.000000000000e+00      -4.666016917662e+02      -4.666016917662e+02       4.666016917662e+02      -4.666016917662e+02 
       4.905879583968e-04       4.970956704788e+02      -1.107363935128e+03      -4.970956704788e+02       0.000000000000e+00      -4.970956704788e+02      -4.970956704788e+02       4.970956704788e+02      -4.970956704788e+02 
       5.242922560845e-04       5.295447849923e+02      -1.179649777216e+03      -5.295447849923e+02       0.000000000000e+00      -5.295447849923e+02      -5.295447849923e+02       5.295447849923e+02      -5.295447849923e+02 
