# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435551830583e-10       6.113152027152e-15       4.351050576995e-13       0.000000000000e+00       8.349155021293e-09       4.638332549197e-10      -2.267166452783e-12 
    3       1.354703751583e-10       9.517357270196e-15       5.272600072052e-13       0.000000000000e+00       5.211124598422e-09       3.309306355086e-10      -1.910518839554e-12 
    4       1.275819936289e-10       1.020681410527e-14       5.289390660613e-13       0.000000000000e+00       3.634407506301e-09       2.512821941021e-10      -1.446996385595e-12 
    5       1.214440145922e-10       8.630513929189e-15       4.817304618473e-13       0.000000000000e+00       2.714612932060e-09       1.989089144579e-10      -1.005424865612e-12 
    6       1.170088644916e-10       6.072818438852e-15       4.129504818107e-13       0.000000000000e+00       2.121148373373e-09       1.621358529669e-10      -6.273262302934e-13 
    7       1.139768051875e-10       3.704308457298e-15       3.404939557626e-13       0.000000000000e+00       1.710641115898e-09       1.350591620969e-10      -3.299236090360e-13 
    8       1.119893914321e-10       2.104153624215e-15       2.745909581789e-13       0.000000000000e+00       1.412625335958e-09       1.144110645792e-10      -1.160626200609e-13 
    9       1.108367087758e-10       1.288979113819e-15       2.205476907317e-13       0.000000000000e+00       1.188853538647e-09       9.827748742855e-11       2.054587815776e-14 
   10       1.103369498549e-10       9.811779069373e-16       1.803852412094e-13       0.000000000000e+00       1.016341629826e-09       8.544602653297e-11       9.218117562061e-14 
   11       1.103194977588e-10       8.796437938492e-16       1.540020205177e-13       0.000000000000e+00       8.550339741251e-10       7.525365201515e-11       1.139347474770e-13 
   12       1.106322358599e-10       8.047695015265e-16       1.398717410412e-13       0.000000000000e+00       7.469874743613e-10       6.668884418621e-11       1.032568876588e-13 
   13       1.112854597569e-10       7.097441509610e-16       1.354949620488e-13       0.000000000000e+00       6.583047116507e-10       5.930447735425e-11       7.366584160986e-14 
   14       1.121652224716e-10       6.198243039575e-16       1.379298647897e-13       0.000000000000e+00       5.845287766849e-10       5.325870999318e-11       3.786869063626e-14 
   15       1.132100987492e-10       5.679889254928e-16       1.445327849425e-13       0.000000000000e+00       5.224457364105e-10       4.820458117456e-11       4.351185970307e-15 
   16       1.144427776845e-10       5.633927891678e-16       1.531682159783e-13       0.000000000000e+00       4.696693842431e-10       4.372936622627e-11      -2.188425115313e-14 
   17       1.157880260612e-10       5.933723927240e-16       1.622148749200e-13       0.000000000000e+00       4.243992715110e-10       3.980101025998e-11      -3.839884478253e-14 
   18       1.172284668468e-10       6.391261032845e-16       1.707273964117e-13       0.000000000000e+00       3.851107791540e-10       3.637361978407e-11      -4.535088491478e-14 
   19       1.187865475101e-10       6.951619038768e-16       1.784490421086e-13       0.000000000000e+00       3.511822091499e-10       3.340940784736e-11      -4.434570141955e-14 
   20       1.204309066768e-10       7.609011301844e-16       1.853389794400e-13       0.000000000000e+00       3.213030149851e-10       3.080045581198e-11      -3.819213898955e-14 
   21       1.221534036779e-10       8.440687910172e-16       1.916760085541e-13       0.000000000000e+00       2.950030425841e-10       2.847786630350e-11      -2.931167627624e-14 
   22       1.239233567837e-10       9.548681615746e-16       1.978862841107e-13       0.000000000000e+00       2.716527203752e-10       2.635557737879e-11      -2.030699103349e-14 
   23       1.257470700837e-10       1.095726851287e-15       2.042599556354e-13       0.000000000000e+00       2.509303626111e-10       2.444750995249e-11      -1.267843111587e-14 
   24       1.276211587713e-10       1.265619718775e-15       2.110192873306e-13       0.000000000000e+00       2.323560476960e-10       2.277094939797e-11      -7.519100599939e-15 
   25       1.295451489961e-10       1.462372712765e-15       2.181777280600e-13       0.000000000000e+00       2.157106923084e-10       2.128676673304e-11      -5.040167138408e-15 
   26       1.315050976768e-10       1.683087883189e-15       2.256159129503e-13       0.000000000000e+00       2.006926042172e-10       1.992520391695e-11      -4.984291215287e-15 
   27       1.335021295236e-10       1.927170005266e-15       2.330527217075e-13       0.000000000000e+00       1.871221240870e-10       1.867074373644e-11      -6.668947672646e-15 
   28       1.355325642787e-10       2.194549645998e-15       2.401192459725e-13       0.000000000000e+00       1.747659489967e-10       1.751665041636e-11      -9.180693753342e-15 
   29       1.376038615831e-10       2.485347492509e-15       2.465440492924e-13       0.000000000000e+00       1.635606423756e-10       1.646353681512e-11      -1.192352768746e-14 
   30       1.397147443911e-10       2.799559916376e-15       2.520410295649e-13       0.000000000000e+00       1.533850706419e-10       1.550505494384e-11      -1.428382233842e-14 
   31       1.418535091527e-10       3.137208248144e-15       2.563133272056e-13       0.000000000000e+00       1.440308364197e-10       1.462645359846e-11      -1.564688037406e-14 
   32       1.440236315822e-10       3.499346304658e-15       2.592365649896e-13       0.000000000000e+00       1.354497076363e-10       1.382206957012e-11      -1.595844106875e-14 
   33       1.462251245242e-10       3.887440107532e-15       2.607438528636e-13       0.000000000000e+00       1.275814097223e-10       1.308267721709e-11      -1.537768781424e-14 
   34       1.484515872591e-10       4.303102265343e-15       2.607966184511e-13       0.000000000000e+00       1.203162152480e-10       1.239458981334e-11      -1.413299689359e-14 
   35       1.507077058738e-10       4.748028767024e-15       2.594440258036e-13       0.000000000000e+00       1.136168576129e-10       1.175531783865e-11      -1.250251134300e-14 
   36       1.529962133250e-10       5.224059175148e-15       2.567882251915e-13       0.000000000000e+00       1.074293237620e-10       1.116246988133e-11      -1.083670178935e-14 
