# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854630389228e-10       7.807005734758e-15       5.603733865298e-13       4.801786089680e-15       8.271548891443e-09       4.685317386222e-10      -2.069951237988e-12 
    3       2.442196251721e-10       1.011749271067e-14       4.540260826081e-13       4.836908156037e-15       5.148783777928e-09       3.328197752046e-10      -1.657347107229e-12 
    4       2.251820945452e-10       9.682437754823e-15       3.882083425283e-13       4.207431793937e-15       3.586421641969e-09       2.520674603294e-10      -1.177770079518e-12 
    5       2.145297038429e-10       7.469999730288e-15       3.249305133256e-13       3.296699131392e-15       2.677515259530e-09       1.991585725081e-10      -7.495395397803e-13 
    6       2.075513952246e-10       4.913670432458e-15       2.623739519480e-13       2.393072578021e-15       2.090123086037e-09       1.621014132226e-10      -4.080426496410e-13 
    7       2.029956544768e-10       2.948374576904e-15       2.059099278437e-13       1.655463713241e-15       1.684562377137e-09       1.348671059039e-10      -1.621520266858e-13 
    8       2.000135541155e-10       1.818222064963e-15       1.591330895302e-13       1.137022119990e-15       1.391623249343e-09       1.141730319281e-10      -5.662351357229e-15 
    9       1.981707808723e-10       1.331368467844e-15       1.236881804621e-13       8.259015999169e-16       1.172236430342e-09       9.808902374366e-11       7.613605336819e-14 
   10       1.971437913433e-10       1.186519441431e-15       9.950048381616e-14       6.801886522021e-16       1.002639950115e-09       8.531935118163e-11       1.021382986578e-13 
   11       1.966260682389e-10       1.169758038719e-15       8.526323736605e-14       6.517175411540e-16       8.436453010237e-10       7.518727389456e-11       9.186093888377e-14 
   12       1.965423979625e-10       1.194175090437e-15       7.881129565297e-14       6.984913009898e-16       7.370769744587e-10       6.657346122014e-11       6.311773981467e-14 
   13       1.967529952497e-10       1.250147169458e-15       7.768071519850e-14       7.897782778128e-16       6.496077079944e-10       5.932633966158e-11       2.906966894851e-14 
   14       1.971824348914e-10       1.346999421374e-15       7.958669456797e-14       9.053873163186e-16       5.768337125732e-10       5.324449609116e-11      -9.944626848883e-16 
   15       1.978015160752e-10       1.483669572413e-15       8.265799072184e-14       1.034120445245e-15       5.155874787886e-10       4.810520011429e-11      -2.218886376252e-14 
   16       1.985286562698e-10       1.649591445364e-15       8.572044152220e-14       1.170475058748e-15       4.635206694692e-10       4.367995167078e-11      -3.331494466297e-14 
   17       1.994161596756e-10       1.835847157841e-15       8.812911718440e-14       1.311678023348e-15       4.188586123459e-10       3.973693755754e-11      -3.583387739316e-14 
   18       2.003670186626e-10       2.040119779384e-15       8.961775560756e-14       1.457390287262e-15       3.800954003137e-10       3.630795582041e-11      -3.220471154979e-14 
   19       2.013984042629e-10       2.266329016543e-15       9.034941767993e-14       1.607395660343e-15       3.466180179476e-10       3.334747381679e-11      -2.499242123255e-14 
   20       2.024816032851e-10       2.519753769105e-15       9.065054268447e-14       1.761455443344e-15       3.171348861926e-10       3.068579482965e-11      -1.731613561161e-14 
   21       2.036274986791e-10       2.802137372512e-15       9.076722541737e-14       1.919469115439e-15       2.911825410161e-10       2.831357397841e-11      -1.085840582545e-14 
   22       2.048046666646e-10       3.113357748948e-15       9.089725818395e-14       2.081451753833e-15       2.681398790195e-10       2.623279808235e-11      -6.764937176980e-15 
   23       2.060318440730e-10       3.452205476700e-15       9.102748375744e-14       2.247305116432e-15       2.476895831850e-10       2.440546583076e-11      -5.096831911533e-15 
   24       2.073024470088e-10       3.816877642871e-15       9.102682639922e-14       2.416922147464e-15       2.293582736766e-10       2.275493947747e-11      -5.394044884291e-15 
   25       2.086130561296e-10       4.207409358355e-15       9.069001077410e-14       2.590110478413e-15       2.129302593797e-10       2.124236844051e-11      -7.063130144789e-15 
   26       2.099355234063e-10       4.624280912664e-15       8.974889283468e-14       2.766657515303e-15       1.981083461847e-10       1.983301906734e-11      -9.331941950672e-15 
   27       2.112804410609e-10       5.067864016626e-15       8.795716163588e-14       2.946307321281e-15       1.847150208431e-10       1.854440807204e-11      -1.148186818130e-14 
   28       2.126514317923e-10       5.538512385530e-15       8.507165728641e-14       3.128802164484e-15       1.725196317429e-10       1.739794962756e-11      -1.283769802758e-14 
   29       2.140618795026e-10       6.037062974776e-15       8.097232808850e-14       3.313922361378e-15       1.614596300663e-10       1.638144261037e-11      -1.332180457840e-14 
   30       2.155039040039e-10       6.564525071927e-15       7.557554586986e-14       3.501473638962e-15       1.514157070602e-10       1.545734382068e-11      -1.308504373632e-14 
   31       2.169504283445e-10       7.121955839058e-15       6.882057821089e-14       3.691266815373e-15       1.421824325073e-10       1.458085496517e-11      -1.233471447376e-14 
   32       2.184126863284e-10       7.710474034775e-15       6.074846523112e-14       3.883062934842e-15       1.337122062635e-10       1.375393575603e-11      -1.126081826343e-14 
   33       2.198994441308e-10       8.331256183330e-15       5.145645085557e-14       4.076607947755e-15       1.259454520770e-10       1.299018593257e-11      -1.009074580706e-14 
   34       2.214055993738e-10       8.985420273281e-15       4.104667902784e-14       4.271651943262e-15       1.187737918549e-10       1.229780989186e-11      -9.066203766941e-15 
   35       2.229326752445e-10       9.673624322157e-15       2.950920786729e-14       4.467967283979e-15       1.121604885790e-10       1.167036099462e-11      -8.281189885299e-15 
   36       2.244721585250e-10       1.039631771826e-14       1.679846727932e-14       4.665337195943e-15       1.060523253274e-10       1.109173261776e-11      -7.789075720441e-15 
   37       2.260084245436e-10       1.115389390851e-14       2.866359168687e-15       4.863541059816e-15       1.003696376279e-10       1.054371372485e-11      -7.621433154363e-15 
   38       2.275534988060e-10       1.194688082571e-14      -1.232781034824e-14       5.062319109016e-15       9.509771994337e-11       1.002584339433e-11      -7.706669052440e-15 
   39       2.291216770469e-10       1.277580419520e-14      -2.882472586272e-14       5.261395700144e-15       9.021986440609e-11       9.541531485038e-12      -7.922059922276e-15 
   40       2.307190175361e-10       1.364113173442e-14      -4.666817281145e-14       5.460488099225e-15       8.568956190215e-11       9.092521261188e-12      -8.112798432450e-15 
   41       2.323449256374e-10       1.454330997916e-14      -6.590409746611e-14       5.659313538078e-15       8.144670481097e-11       8.678677956559e-12      -8.132986634902e-15 
   42       2.339997893108e-10       1.548289821189e-14      -8.657657001316e-14       5.857614392117e-15       7.747878813615e-11       8.297689499405e-12      -7.989776255113e-15 
   43       2.356782458306e-10       1.646047180820e-14      -1.087311016656e-13       6.055140326383e-15       7.377525585541e-11       7.944975823572e-12      -7.742572286288e-15 
   44       2.373661178799e-10       1.747658446730e-14      -1.324160837655e-13       6.251641430662e-15       7.030913492484e-11       7.613544912669e-12      -7.464786408903e-15 
   45       2.390475317330e-10       1.853170037839e-14      -1.576714285270e-13       6.446863959673e-15       6.704666673247e-11       7.296055190624e-12      -7.228722212841e-15 
   46       2.407306177737e-10       1.962596887940e-14      -1.844898273803e-13       6.640536031287e-15       6.398271460812e-11       6.992153504511e-12      -7.052861422673e-15 
   47       2.424281881013e-10       2.075938073924e-14      -2.128443537916e-13       6.832377655315e-15       6.111371884581e-11       6.703030940212e-12      -6.940248266660e-15 
   48       2.441502129306e-10       2.193182443118e-14      -2.426986797190e-13       7.022104386176e-15       5.842701814749e-11       6.429328357864e-12      -6.893000487617e-15 
   49       2.459035073633e-10       2.314308128944e-14      -2.740066670692e-13       7.209427079055e-15       5.590017276862e-11       6.171088978286e-12      -6.912231079375e-15 
   50       2.476917641674e-10       2.439287932159e-14      -3.067238503023e-13       7.394064665378e-15       5.350772275160e-11       5.927897923471e-12      -6.996144343240e-15 
