# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116733094644e+01 
       2.321812845909e-05       1.108985569820e+02 
       3.609173376214e-05       1.695113775379e+02 
       4.904439972694e-05       2.276639482177e+02 
       6.211104704304e-05       2.857258702864e+02 
       7.532746857735e-05       3.439712020209e+02 
       8.873064804491e-05       4.026324062111e+02 
       1.023590926816e-04       4.619223184804e+02 
       1.162531841578e-04       5.220453700647e+02 
       1.304555520066e-04       5.832043064179e+02 
       1.450114738457e-04       6.456048101512e+02 
       1.599693066204e-04       7.094590552599e+02 
       1.753809529236e-04       7.749887101494e+02 
       1.913023661048e-04       8.424276527621e+02 
       2.077940972509e-04       9.120245485363e+02 
       2.249218861033e-04       9.840453999084e+02 
       2.427572963948e-04       1.058776065049e+03 
       2.613783937365e-04       1.136524816130e+03 
       2.808704608154e-04       1.217624878449e+03 
       3.013267399410e-04       1.302436936925e+03 
       3.228491865615e-04       1.391351519295e+03 
       3.455492088575e-04       1.484791154649e+03 
       3.695483575494e-04       1.583212134627e+03 
       3.949789163640e-04       1.687105669943e+03 
       4.219843271948e-04       1.796998175376e+03 
       4.507193653101e-04       1.913450291749e+03 
       4.813499602484e-04       2.037054287604e+03 
       5.140525396193e-04       2.168429332171e+03 
       5.490127597170e-04       2.308214161852e+03 
       5.864234841228e-04       2.457056629139e+03 
       6.264818863381e-04       2.615599856526e+03 
       6.693855925968e-04       2.784464730908e+03 
       7.153278528513e-04       2.964228907693e+03 
       7.644918338936e-04       3.155403058464e+03 
       8.170442633386e-04       3.358405357422e+03 
       8.731288006756e-04       3.573536029300e+03 
       9.328596442615e-04       3.800954079297e+03 
       9.963159659542e-04       4.040658679591e+03 
       1.063537764581e-03       4.292477404379e+03 
       1.134523626239e-03       4.556063254811e+03 
       1.209230679194e-03       4.830901066099e+03 
       1.287576767919e-03       5.116323237442e+03 
       1.369444599257e-03       5.411517851165e+03 
       1.454687391959e-03       5.715575966375e+03 
       1.543135431684e-03       6.027554972394e+03 
       1.634602912099e-03       6.346449867901e+03 
       1.728894515478e-03       6.671245537569e+03 
       1.825811320550e-03       7.000941192398e+03 
       1.925155782887e-03       7.334569937065e+03 
       2.026735681319e-03       7.671213589921e+03 
       2.130367042364e-03       8.010012879671e+03 
       2.235876135455e-03       8.350174597473e+03 
       2.343100676636e-03       8.690972815691e+03 
       2.451890394377e-03       9.031749974612e+03 
       2.562107107073e-03       9.371915098271e+03 
       2.673624445823e-03       9.710940078486e+03 
       2.786327334635e-03       1.004835651079e+04 
       2.900111317649e-03       1.038374989976e+04 
       3.014881802039e-03       1.071675612005e+04 
       3.130553267074e-03       1.104705742931e+04 
       3.247048475047e-03       1.137437540309e+04 
       3.364297708069e-03       1.169846920248e+04 
