# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116733094644e+01 
       2.321812845909e-05       1.108985569820e+02 
       3.609173376214e-05       1.695113775379e+02 
       4.904439972694e-05       2.276639482177e+02 
       6.211104704304e-05       2.857258702864e+02 
       7.532746857735e-05       3.439712020209e+02 
       8.873064804491e-05       4.026324062111e+02 
       1.023590926816e-04       4.619223184804e+02 
       1.162531841578e-04       5.220453700647e+02 
       1.304555520066e-04       5.832043064179e+02 
       1.450114738457e-04       6.456048101512e+02 
       1.599693066204e-04       7.093810822973e+02 
       1.753809529236e-04       7.748953522048e+02 
       1.913023661048e-04       8.423169840798e+02 
       2.077940972509e-04       9.118944375991e+02 
       2.249218861033e-04       9.838934758796e+02 
       2.427572963948e-04       1.058599679006e+03 
       2.613783937365e-04       1.136320996158e+03 
       2.808704608154e-04       1.217390277536e+03 
       3.013267399410e-04       1.302167772443e+03 
       3.228491865615e-04       1.391043502710e+03 
       3.455492088575e-04       1.484439409947e+03 
       3.695483575494e-04       1.582811103837e+03 
       3.949789163640e-04       1.686649004032e+03 
       4.219843271948e-04       1.796478608819e+03 
       4.507193653101e-04       1.912859499190e+03 
       4.813499602484e-04       2.036382721328e+03 
       5.140525396193e-04       2.167666039682e+03 
       5.490127597170e-04       2.307346583719e+03 
       5.864234841228e-04       2.456070378578e+03 
       6.264818863381e-04       2.614478483860e+03 
       6.693855925968e-04       2.783189478240e+03 
       7.153278528513e-04       2.962778461568e+03 
       7.644918338936e-04       3.153753310852e+03 
       8.170442633386e-04       3.356529187721e+03 
       8.731288006756e-04       3.571403121670e+03 
       9.328596442615e-04       3.798530790063e+03 
       9.963159659542e-04       4.037907968184e+03 
       1.063537764581e-03       4.289358838295e+03 
       1.134523626239e-03       4.552533094134e+03 
       1.209230679194e-03       4.826912427414e+03 
       1.287576767919e-03       5.111826330583e+03 
       1.369444599257e-03       5.406460291604e+03 
       1.454687391959e-03       5.709903118512e+03 
       1.543135431684e-03       6.021210285199e+03 
       1.634602912099e-03       6.339375278425e+03 
       1.728894515478e-03       6.663381848464e+03 
       1.825811320550e-03       6.992228432643e+03 
       1.925155782887e-03       7.324947697067e+03 
       2.026735681319e-03       7.660621325085e+03 
       2.130367042364e-03       7.998390179592e+03 
       2.235876135455e-03       8.337461418617e+03 
       2.343100676636e-03       8.677109682510e+03 
       2.451890394377e-03       9.016678147782e+03 
       2.562107107073e-03       9.355576714254e+03 
       2.673624445823e-03       9.693278264703e+03 
       2.786327334635e-03       1.002931547717e+04 
       2.900111317649e-03       1.036327501374e+04 
       3.014881802039e-03       1.069479396333e+04 
       3.130553267074e-03       1.102355583934e+04 
       3.247048475047e-03       1.134928350873e+04 
       3.364297708069e-03       1.167173744473e+04 
