# Matter power spectrum P(k) at redshift z=0
# for k=1.04811e-05 to 105.28 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048106663850e-05       5.035042471050e+01 
       2.345186185086e-05       1.092555850095e+02 
       3.646879554247e-05       1.670603075624e+02 
       4.956738198481e-05       2.244176908805e+02 
       6.278372999796e-05       2.816956496885e+02 
       7.615486941233e-05       3.391678494508e+02 
       8.971908809500e-05       3.970670758740e+02 
       1.035162840816e-04       4.556069846912e+02 
       1.175883373888e-04       5.149932538454e+02 
       1.319795061164e-04       5.754302821299e+02 
       1.467368514517e-04       6.371258345441e+02 
       1.619106961211e-04       7.002946227661e+02 
       1.775551206327e-04       7.651613693468e+02 
       1.937285012498e-04       8.319635760450e+02 
       2.104940929101e-04       9.009541876250e+02 
       2.279206591272e-04       9.724042008615e+02 
       2.460831490878e-04       1.046605284549e+03 
       2.650634194570e-04       1.123872417834e+03 
       2.849509945198e-04       1.204546515984e+03 
       3.058438528725e-04       1.288996997985e+03 
       3.278492215101e-04       1.377624235576e+03 
       3.510843484182e-04       1.470861709093e+03 
       3.756772122615e-04       1.569177746841e+03 
       4.017671122331e-04       1.673076531979e+03 
       4.295050626620e-04       1.783098171649e+03 
       4.590538962468e-04       1.899817327424e+03 
       4.905879583968e-04       2.023840049089e+03 
       5.242922560845e-04       2.155798246809e+03 
       5.603609125290e-04       2.296341306187e+03 
       5.989947805156e-04       2.446124377373e+03 
       6.403980903102e-04       2.605792949736e+03 
       6.847740613436e-04       2.775963704705e+03 
       7.323194963403e-04       2.957201885933e+03 
       7.832185028157e-04       3.149996010125e+03 
       8.376356404431e-04       3.354731454870e+03 
       8.957089515980e-04       3.571664676196e+03 
       9.575434622908e-04       3.800900705992e+03 
       1.023205802052e-03       4.042376355329e+03 
       1.092720550955e-03       4.295851317159e+03 
       1.166068767455e-03       4.560908865057e+03 
       1.243188900541e-03       4.836966331866e+03 
       1.323979992029e-03       5.123294866756e+03 
       1.408306794576e-03       5.419019579027e+03 
       1.496006227924e-03       5.723213075794e+03 
       1.586894505570e-03       6.034895004198e+03 
       1.680774289113e-03       6.353045933565e+03 
       1.777441341906e-03       6.676648265444e+03 
       1.876690316429e-03       7.004708946237e+03 
       1.978319480095e-03       7.336277189245e+03 
       2.082134331790e-03       7.670457627326e+03 
       2.187950170537e-03       8.006418495504e+03 
       2.295593745280e-03       8.343395627622e+03 
       2.404904146342e-03       8.680695606981e+03 
       2.515733103847e-03       9.017692099833e+03 
       2.627944846069e-03       9.353825164631e+03 
       2.741415649268e-03       9.688596583088e+03 
       2.856033186126e-03       1.002156630564e+04 
       2.971695756066e-03       1.035234561679e+04 
       3.088311459584e-03       1.068059607807e+04 
