# Matter power spectrum P(k) at redshift z=0
# for k=1.04811e-05 to 105.28 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048106663850e-05       5.035042471050e+01 
       2.345186185086e-05       1.092555850095e+02 
       3.646879554247e-05       1.670603075624e+02 
       4.956738198481e-05       2.244176908805e+02 
       6.278372999796e-05       2.816956496885e+02 
       7.615486941233e-05       3.391678494508e+02 
       8.971908809500e-05       3.970670758740e+02 
       1.035162840816e-04       4.556069846912e+02 
       1.175883373888e-04       5.149932538454e+02 
       1.319795061164e-04       5.754302821299e+02 
       1.467368514517e-04       6.371258345441e+02 
       1.619106961211e-04       7.002164015055e+02 
       1.775551206327e-04       7.650676671822e+02 
       1.937285012498e-04       8.318524384746e+02 
       2.104940929101e-04       9.008234473856e+02 
       2.279206591272e-04       9.722514428656e+02 
       2.460831490878e-04       1.046427805293e+03 
       2.650634194570e-04       1.123667178289e+03 
       2.849509945198e-04       1.204310086823e+03 
       3.058438528725e-04       1.288725495863e+03 
       3.278492215101e-04       1.377313248999e+03 
       3.510843484182e-04       1.470506212272e+03 
       3.756772122615e-04       1.568771999798e+03 
       4.017671122331e-04       1.672613965116e+03 
       4.295050626620e-04       1.782571252988e+03 
       4.590538962468e-04       1.899217410929e+03 
       4.905879583968e-04       2.023157202844e+03 
       5.242922560845e-04       2.155021060508e+03 
       5.603609125290e-04       2.295456678426e+03 
       5.989947805156e-04       2.445117284714e+03 
       6.403980903102e-04       2.604646201470e+03 
       6.847740613436e-04       2.774657689593e+03 
       7.323194963403e-04       2.955714319924e+03 
       7.832185028157e-04       3.148301696699e+03 
       8.376356404431e-04       3.352802071910e+03 
       8.957089515980e-04       3.569468604731e+03 
       9.575434622908e-04       3.798402915924e+03 
       1.023205802052e-03       4.039538361300e+03 
       1.092720550955e-03       4.292631213823e+03 
       1.166068767455e-03       4.557261445304e+03 
       1.243188900541e-03       4.832843285231e+03 
       1.323979992029e-03       5.118645048665e+03 
       1.408306794576e-03       5.413789362970e+03 
       1.496006227924e-03       5.717346687003e+03 
       1.586894505570e-03       6.028334899801e+03 
       1.680774289113e-03       6.345733205165e+03 
       1.777441341906e-03       6.668523018316e+03 
       1.876690316429e-03       6.995710656600e+03 
       1.978319480095e-03       7.326345031822e+03 
       2.082134331790e-03       7.659530768163e+03 
       2.187950170537e-03       7.994436348867e+03 
       2.295593745280e-03       8.330298077985e+03 
       2.404904146342e-03       8.666423194400e+03 
       2.515733103847e-03       9.002186178603e+03 
       2.627944846069e-03       9.337028031129e+03 
       2.741415649268e-03       9.670451580825e+03 
       2.856033186126e-03       1.000201790769e+04 
       2.971695756066e-03       1.033133949446e+04 
       3.088311459584e-03       1.065807914695e+04 
