# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04811e-05 to 105.28 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048106663850e-05       1.235746703937e+01 
       2.345186185086e-05       2.681457415280e+01 
       3.646879554247e-05       4.100173779155e+01 
       4.956738198481e-05       5.507931479512e+01 
       6.278372999796e-05       6.913767640884e+01 
       7.615486941233e-05       8.324406678518e+01 
       8.971908809500e-05       9.745569764776e+01 
       1.035162840816e-04       1.118250965633e+02 
       1.175883373888e-04       1.264028396107e+02 
       1.319795061164e-04       1.412391993932e+02 
       1.467368514517e-04       1.563852851358e+02 
       1.619106961211e-04       1.718891005639e+02 
       1.775551206327e-04       1.878146457757e+02 
       1.937285012498e-04       2.042163871491e+02 
       2.104940929101e-04       2.211565817502e+02 
       2.279206591272e-04       2.387019415405e+02 
       2.460831490878e-04       2.569242796276e+02 
       2.650634194570e-04       2.759011600184e+02 
       2.849509945198e-04       2.957165474738e+02 
       3.058438528725e-04       3.164614424128e+02 
       3.278492215101e-04       3.382344840229e+02 
       3.510843484182e-04       3.611424843713e+02 
       3.756772122615e-04       3.853008539580e+02 
       4.017671122331e-04       4.108338543998e+02 
       4.295050626620e-04       4.378746042645e+02 
       4.590538962468e-04       4.665647389281e+02 
       4.905879583968e-04       4.970536137264e+02 
       5.242922560845e-04       5.294969228018e+02 
       5.603609125290e-04       5.640546022985e+02 
       5.989947805156e-04       6.008879042529e+02 
       6.403980903102e-04       6.401555505054e+02 
       6.847740613436e-04       6.820089614276e+02 
       7.323194963403e-04       7.265866330444e+02 
       7.832185028157e-04       7.740078868635e+02 
       8.376356404431e-04       8.243663645819e+02 
       8.957089515980e-04       8.777237512754e+02 
       9.575434622908e-04       9.341043562394e+02 
       1.023205802052e-03       9.934911627564e+02 
       1.092720550955e-03       1.055823840225e+03 
       1.166068767455e-03       1.120999091750e+03 
       1.243188900541e-03       1.188873319974e+03 
       1.323979992029e-03       1.259267446539e+03 
       1.408306794576e-03       1.331966785655e+03 
       1.496006227924e-03       1.406743832941e+03 
       1.586894505570e-03       1.483357930874e+03 
       1.680774289113e-03       1.561558597763e+03 
       1.777441341906e-03       1.641095578944e+03 
       1.876690316429e-03       1.721724522789e+03 
       1.978319480095e-03       1.803211470498e+03 
       2.082134331790e-03       1.885336156227e+03 
       2.187950170537e-03       1.967894077066e+03 
       2.295593745280e-03       2.050697460776e+03 
       2.404904146342e-03       2.133576004287e+03 
       2.515733103847e-03       2.216375895213e+03 
       2.627944846069e-03       2.298959665782e+03 
       2.741415649268e-03       2.381204936029e+03 
       2.856033186126e-03       2.463003566942e+03 
       2.971695756066e-03       2.544260010279e+03 
       3.088311459584e-03       2.624891065766e+03 
       3.205797361083e-03       2.704823613408e+03 
       3.324078670682e-03       2.783994803484e+03 
       3.443087964650e-03       2.862350066543e+03 
       3.562764456182e-03       2.939841897414e+03 
       3.683053322442e-03       3.016430339159e+03 
       3.803905089824e-03       3.092080818469e+03 
       3.925275076677e-03       3.166763926783e+03 
       4.047122891060e-03       3.240455663883e+03 
       4.169411980036e-03       3.313135035492e+03 
       4.292109226546e-03       3.384786559648e+03 
       4.415184589656e-03       3.455395789510e+03 
       4.538610784047e-03       3.524952298338e+03 
       4.662362994761e-03       3.593449131510e+03 
       4.786418623480e-03       3.660879716493e+03 
       4.910757062891e-03       3.727241016577e+03 
       5.035359496020e-03       3.792530756661e+03 
       5.160208717709e-03       3.856748263930e+03 
       5.285288975701e-03       3.919896106222e+03 
       5.410585829094e-03       3.981974809809e+03 
       5.536086022141e-03       4.042988304550e+03 
       5.661777371651e-03       4.102941679981e+03 
       5.787648666391e-03       4.161836783218e+03 
       5.913689577149e-03       4.219685827625e+03 
       6.039890576199e-03       4.276489900234e+03 
       6.166242865129e-03       4.332256543998e+03 
       6.292738310069e-03       4.386994265349e+03 
       6.419369383492e-03       4.440709512124e+03 
       6.546129111861e-03       4.493410381299e+03 
       6.673011028468e-03       4.545107258335e+03 
       6.800009130902e-03       4.595805200282e+03 
       6.927117842642e-03       4.645521601256e+03 
       7.054331978335e-03       4.694263466401e+03 
       7.181646712361e-03       4.742025333771e+03 
       7.309057550344e-03       4.788824513752e+03 
       7.436560303296e-03       4.834673399114e+03 
       7.564151064136e-03       4.879580708800e+03 
       7.691826186321e-03       4.923557004196e+03 
       7.819582264395e-03       4.966612243707e+03 
       7.947416116255e-03       5.008753426142e+03 
       8.075324766963e-03       5.049993378004e+03 
       8.203305433962e-03       5.090335800221e+03 
       8.331355513545e-03       5.129795576162e+03 
       8.459472568480e-03       5.168383285989e+03 
       8.587654316657e-03       5.206100240531e+03 
       8.715898620680e-03       5.242963017840e+03 
       8.844203478306e-03       5.278983037987e+03 
       8.972567013662e-03       5.314163704599e+03 
       9.100987469159e-03       5.348517400332e+03 
       9.229463198056e-03       5.382050274195e+03 
       9.357992657595e-03       5.414778998304e+03 
       9.486574402687e-03       5.446709508163e+03 
       9.615207080065e-03       5.477845567744e+03 
       9.743889422901e-03       5.508202128623e+03 
       9.872620245817e-03       5.537777169581e+03 
       1.000139844028e-02       5.566597085137e+03 
       1.013022297032e-02       5.594661082000e+03 
       1.025909286861e-02       5.621981628247e+03 
       1.038800723278e-02       5.648557393091e+03 
       1.051696522201e-02       5.674401809015e+03 
       1.064596605392e-02       5.699536243460e+03 
       1.077500900162e-02       5.723945533012e+03 
       1.090409339098e-02       5.747665678030e+03 
       1.103321859814e-02       5.770672252679e+03 
       1.116238404715e-02       5.793010222015e+03 
       1.129158920782e-02       5.814650086789e+03 
       1.142083359363e-02       5.835632371752e+03 
       1.155011675991e-02       5.855940538356e+03 
       1.167943830208e-02       5.875606067728e+03 
       1.180879785399e-02       5.894611502446e+03 
       1.193819508643e-02       5.912977339603e+03 
       1.206762970570e-02       5.930716042549e+03 
       1.219710145236e-02       5.947827302910e+03 
       1.232661009991e-02       5.964321620598e+03 
       1.245615545376e-02       5.980202543027e+03 
       1.258573735013e-02       5.995484722862e+03 
       1.271535565504e-02       6.010177607094e+03 
       1.284501026351e-02       6.024273672543e+03 
       1.297470109859e-02       6.037780529823e+03 
       1.310442811070e-02       6.050726848330e+03 
       1.323419127683e-02       6.063105988379e+03 
       1.336399059991e-02       6.074923093952e+03 
       1.349382610820e-02       6.086184466157e+03 
       1.362369785472e-02       6.096891165726e+03 
       1.375360591673e-02       6.107072136990e+03 
       1.388355039526e-02       6.116709412324e+03 
       1.401353141467e-02       6.125837224338e+03 
       1.414354912228e-02       6.134436435921e+03 
       1.427360368799e-02       6.142515146330e+03 
       1.440369530394e-02       6.150098578500e+03 
       1.453382418429e-02       6.157177101825e+03 
       1.466399056488e-02       6.163760358188e+03 
       1.479419470307e-02       6.169851884552e+03 
       1.492443687751e-02       6.175478917515e+03 
       1.505471738799e-02       6.180615580421e+03 
       1.518503655527e-02       6.185292798970e+03 
       1.531539472100e-02       6.189503599126e+03 
       1.544579224760e-02       6.193257347427e+03 
       1.557622951820e-02       6.196570375729e+03 
       1.570670693660e-02       6.199430630818e+03 
       1.583722492726e-02       6.201846417535e+03 
       1.596778393526e-02       6.203836194005e+03 
       1.609838442636e-02       6.205408174240e+03 
       1.622902688701e-02       6.206544602093e+03 
       1.635971182444e-02       6.207272184812e+03 
       1.649043976671e-02       6.207591683372e+03 
       1.662121126282e-02       6.207507346577e+03 
       1.675202688284e-02       6.207021447374e+03 
       1.688288721802e-02       6.206140953649e+03 
       1.701379288096e-02       6.204881776107e+03 
       1.714474450576e-02       6.203231579885e+03 
       1.727574274824e-02       6.201214552286e+03 
       1.740678828611e-02       6.198828227578e+03 
       1.753788181923e-02       6.196064072790e+03 
       1.766902406980e-02       6.192951541706e+03 
       1.780021578265e-02       6.189473148871e+03 
       1.793145772552e-02       6.185645670046e+03 
       1.806275068929e-02       6.181491693469e+03 
       1.819409548838e-02       6.176987153537e+03 
       1.832549296097e-02       6.172141652491e+03 
       1.845694396941e-02       6.166967309609e+03 
       1.858844940055e-02       6.161483306605e+03 
       1.872001016611e-02       6.155672639494e+03 
       1.885162720308e-02       6.149543459624e+03 
       1.898330147411e-02       6.143116094825e+03 
       1.911503396794e-02       6.136366458621e+03 
       1.924682569987e-02       6.129337076320e+03 
       1.937867771215e-02       6.121995454417e+03 
       1.951059107453e-02       6.114380199970e+03 
       1.964256688472e-02       6.106473097757e+03 
       1.977460626889e-02       6.098287888817e+03 
       1.990671038224e-02       6.089816095339e+03 
       2.003888040952e-02       6.081090610165e+03 
       2.017111756559e-02       6.072090691911e+03 
       2.030342309607e-02       6.062817804005e+03 
       2.043579827788e-02       6.053298630112e+03 
       2.056824441992e-02       6.043534183521e+03 
       2.070076286368e-02       6.033503978281e+03 
       2.083335498398e-02       6.023223091656e+03 
       2.096602218958e-02       6.012735539094e+03 
