# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04811e-05 to 105.28 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048106663850e-05       1.235746703937e+01 
       2.345186185086e-05       2.681457415280e+01 
       3.646879554247e-05       4.100173779155e+01 
       4.956738198481e-05       5.507931479512e+01 
       6.278372999796e-05       6.913767640884e+01 
       7.615486941233e-05       8.324406678518e+01 
       8.971908809500e-05       9.745569764776e+01 
       1.035162840816e-04       1.118250965633e+02 
       1.175883373888e-04       1.264028396107e+02 
       1.319795061164e-04       1.412391993932e+02 
       1.467368514517e-04       1.563852851358e+02 
       1.619106961211e-04       1.718939267517e+02 
       1.775551206327e-04       1.878204261887e+02 
       1.937285012498e-04       2.042232421097e+02 
       2.104940929101e-04       2.211646446708e+02 
       2.279206591272e-04       2.387113610802e+02 
       2.460831490878e-04       2.569352221892e+02 
       2.650634194570e-04       2.759138126459e+02 
       2.849509945198e-04       2.957311212199e+02 
       3.058438528725e-04       3.164781762570e+02 
       3.278492215101e-04       3.382536494276e+02 
       3.510843484182e-04       3.611643905754e+02 
       3.756772122615e-04       3.853258541136e+02 
       4.017671122331e-04       4.108623526606e+02 
       4.295050626620e-04       4.379070639345e+02 
       4.590538962468e-04       4.666016917662e+02 
       4.905879583968e-04       4.970956704788e+02 
       5.242922560845e-04       5.295447849923e+02 
       5.603609125290e-04       5.641090752394e+02 
       5.989947805156e-04       6.009499111504e+02 
       6.403980903102e-04       6.402261474076e+02 
       6.847740613436e-04       6.820893526209e+02 
       7.323194963403e-04       7.266781863351e+02 
       7.832185028157e-04       7.741121480224e+02 
       8.376356404431e-04       8.244850700931e+02 
       8.957089515980e-04       8.778588384517e+02 
       9.575434622908e-04       9.342579697886e+02 
       1.023205802052e-03       9.936656570113e+02 
       1.092720550955e-03       1.056021776495e+03 
       1.166068767455e-03       1.121223230600e+03 
       1.243188900541e-03       1.189126608616e+03 
       1.323979992029e-03       1.259553001905e+03 
       1.408306794576e-03       1.332287872279e+03 
       1.496006227924e-03       1.407103842262e+03 
       1.586894505570e-03       1.483760357564e+03 
       1.680774289113e-03       1.562007014621e+03 
       1.777441341906e-03       1.641593613339e+03 
       1.876690316429e-03       1.722275834524e+03 
       1.978319480095e-03       1.803819731609e+03 
       2.082134331790e-03       1.886005033000e+03 
       2.187950170537e-03       1.968627214355e+03 
       2.295593745280e-03       2.051498468512e+03 
       2.404904146342e-03       2.134448446297e+03 
       2.515733103847e-03       2.217323279663e+03 
       2.627944846069e-03       2.299985437577e+03 
       2.741415649268e-03       2.382312470575e+03 
       2.856033186126e-03       2.464196165333e+03 
       2.971695756066e-03       2.545540895340e+03 
       3.088311459584e-03       2.626263379533e+03 
       3.205797361083e-03       2.706290414780e+03 
       3.324078670682e-03       2.785559067278e+03 
       3.443087964650e-03       2.864014682526e+03 
       3.562764456182e-03       2.941609669566e+03 
       3.683053322442e-03       3.018303986174e+03 
       3.803905089824e-03       3.094062973629e+03 
       3.925275076677e-03       3.168857138357e+03 
       4.047122891060e-03       3.242662396361e+03 
       4.169411980036e-03       3.315457669592e+03 
       4.292109226546e-03       3.387227394749e+03 
       4.415184589656e-03       3.457957043008e+03 
       4.538610784047e-03       3.527636107717e+03 
       4.662362994761e-03       3.596257556421e+03 
       4.786418623480e-03       3.663814738449e+03 
       4.910757062891e-03       3.730304541647e+03 
       5.035359496020e-03       3.795724615935e+03 
       5.160208717709e-03       3.860074214909e+03 
       5.285288975701e-03       3.923355836054e+03 
       5.410585829094e-03       3.985569933461e+03 
       5.536086022141e-03       4.046720368499e+03 
       5.661777371651e-03       4.106812163876e+03 
       5.787648666391e-03       4.165847096822e+03 
       5.913689577149e-03       4.223837322749e+03 
       6.039890576199e-03       4.280783859089e+03 
       6.166242865129e-03       4.336694186947e+03 
       6.292738310069e-03       4.391576752817e+03 
       6.419369383492e-03       4.445437942907e+03 
       6.546129111861e-03       4.498285795282e+03 
       6.673011028468e-03       4.550130640215e+03 
       6.800009130902e-03       4.600977473541e+03 
       6.927117842642e-03       4.650843645295e+03 
       7.054331978335e-03       4.699736103848e+03 
       7.181646712361e-03       4.747649314166e+03 
       7.309057550344e-03       4.794600544873e+03 
       7.436560303296e-03       4.840602141649e+03 
       7.564151064136e-03       4.885662772173e+03 
       7.691826186321e-03       4.929792950138e+03 
       7.819582264395e-03       4.973002586321e+03 
       7.947416116255e-03       5.015298628293e+03 
       8.075324766963e-03       5.056693861047e+03 
       8.203305433962e-03       5.097191930720e+03 
       8.331355513545e-03       5.136807684217e+03 
       8.459472568480e-03       5.175551659599e+03 
       8.587654316657e-03       5.213425111107e+03 
       8.715898620680e-03       5.250444586079e+03 
       8.844203478306e-03       5.286621466576e+03 
       8.972567013662e-03       5.321959105279e+03 
       9.100987469159e-03       5.356469850018e+03 
       9.229463198056e-03       5.390159804904e+03 
       9.357992657595e-03       5.423045616867e+03 
       9.486574402687e-03       5.455133177924e+03 
       9.615207080065e-03       5.486426204927e+03 
       9.743889422901e-03       5.516939623896e+03 
       9.872620245817e-03       5.546671356622e+03 
       1.000139844028e-02       5.575647796000e+03 
       1.013022297032e-02       5.603868095654e+03 
       1.025909286861e-02       5.631344697050e+03 
       1.038800723278e-02       5.658076215712e+03 
       1.051696522201e-02       5.684076060676e+03 
       1.064596605392e-02       5.709365593839e+03 
       1.077500900162e-02       5.733929570658e+03 
       1.090409339098e-02       5.757804018745e+03 
       1.103321859814e-02       5.780964411319e+03 
       1.116238404715e-02       5.803455763031e+03 
       1.129158920782e-02       5.825248462188e+03 
       1.142083359363e-02       5.846383076396e+03 
       1.155011675991e-02       5.866842983212e+03 
       1.167943830208e-02       5.886659689411e+03 
       1.180879785399e-02       5.905815651332e+03 
       1.193819508643e-02       5.924331368026e+03 
       1.206762970570e-02       5.942219287500e+03 
       1.219710145236e-02       5.959479056050e+03 
       1.232661009991e-02       5.976121154637e+03 
       1.245615545376e-02       5.992149095310e+03 
       1.258573735013e-02       6.007577523567e+03 
       1.271535565504e-02       6.022415867385e+03 
       1.284501026351e-02       6.036656541488e+03 
       1.297470109859e-02       6.050307132825e+03 
       1.310442811070e-02       6.063396343485e+03 
       1.323419127683e-02       6.075917475096e+03 
       1.336399059991e-02       6.087875643784e+03 
       1.349382610820e-02       6.099277126304e+03 
       1.362369785472e-02       6.110122945010e+03 
       1.375360591673e-02       6.120442083638e+03 
       1.388355039526e-02       6.130216484628e+03 
       1.401353141467e-02       6.139480437303e+03 
       1.414354912228e-02       6.148214711065e+03 
       1.427360368799e-02       6.156427388540e+03 
       1.440369530394e-02       6.164143727202e+03 
       1.453382418429e-02       6.171354029997e+03 
       1.466399056488e-02       6.178067928892e+03 
       1.479419470307e-02       6.184288933285e+03 
       1.492443687751e-02       6.190044325160e+03 
       1.505471738799e-02       6.195308111564e+03 
       1.518503655527e-02       6.200111276419e+03 
       1.531539472100e-02       6.204446787529e+03 
       1.544579224760e-02       6.208324004382e+03 
       1.557622951820e-02       6.211759275150e+03 
       1.570670693660e-02       6.214740472217e+03 
       1.583722492726e-02       6.217275891242e+03 
       1.596778393526e-02       6.219384015674e+03 
       1.609838442636e-02       6.221073052587e+03 
       1.622902688701e-02       6.222325151702e+03 
       1.635971182444e-02       6.223167075651e+03 
       1.649043976671e-02       6.223599554395e+03 
       1.662121126282e-02       6.223626817741e+03 
       1.675202688284e-02       6.223251112961e+03 
       1.688288721802e-02       6.222479398984e+03 
       1.701379288096e-02       6.221327610258e+03 
       1.714474450576e-02       6.219783335351e+03 
       1.727574274824e-02       6.217870816469e+03 
       1.740678828611e-02       6.215587547475e+03 
       1.753788181923e-02       6.212924931960e+03 
       1.766902406980e-02       6.209912501284e+03 
       1.780021578265e-02       6.206532673711e+03 
       1.793145772552e-02       6.202802256887e+03 
       1.806275068929e-02       6.198743895344e+03 
       1.819409548838e-02       6.194333401384e+03 
       1.832549296097e-02       6.189580383582e+03 
       1.845694396941e-02       6.184496978566e+03 
       1.858844940055e-02       6.179102414962e+03 
       1.872001016611e-02       6.173379592671e+03 
       1.885162720308e-02       6.167336666325e+03 
       1.898330147411e-02       6.160994017775e+03 
       1.911503396794e-02       6.154327433976e+03 
       1.924682569987e-02       6.147379587121e+03 
       1.937867771215e-02       6.140117821762e+03 
       1.951059107453e-02       6.132580878854e+03 
       1.964256688472e-02       6.124750440068e+03 
       1.977460626889e-02       6.116640277919e+03 
       1.990671038224e-02       6.108241851541e+03 
       2.003888040952e-02       6.099588170049e+03 
       2.017111756559e-02       6.090658376603e+03 
       2.030342309607e-02       6.081453914649e+03 
       2.043579827788e-02       6.072001560707e+03 
       2.056824441992e-02       6.062302308805e+03 
       2.070076286368e-02       6.052335555926e+03 
       2.083335498398e-02       6.042116422140e+03 
       2.096602218958e-02       6.031689101320e+03 
