# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.518344302831e-10       3.626708443427e-15       4.133518234904e-13       2.130267226067e-15       1.084280239809e-08       1.426912634584e-10      -1.468503381893e-12 
    3       2.147115586752e-10       5.094248206181e-15       3.330527537255e-13       2.277284513963e-15       6.931894154752e-09       1.166728751778e-10      -1.210623790436e-12 
    4       2.014885374018e-10       5.357442706301e-15       2.845153049290e-13       2.118376820266e-15       4.917692848327e-09       9.529655008019e-11      -9.111248078834e-13 
    5       1.955087204211e-10       4.606474888750e-15       2.409221611947e-13       1.792002390517e-15       3.724650021342e-09       7.908974155198e-11      -6.337567499132e-13 
    6       1.919648040120e-10       3.419319752448e-15       1.995935755112e-13       1.424441975115e-15       2.943946572251e-09       6.682380662339e-11      -3.996826700063e-13 
    7       1.899132375544e-10       2.315469985904e-15       1.630220677459e-13       1.100115308099e-15       2.399496501372e-09       5.729305285108e-11      -2.174274659070e-13 
    8       1.887412571956e-10       1.556743980176e-15       1.327701295366e-13       8.606728876514e-16       2.002852274327e-09       4.966565065920e-11      -8.713541749406e-14 
    9       1.882027586445e-10       1.165669662163e-15       1.095616547308e-13       7.158548492725e-16       1.703428537271e-09       4.347110328208e-11      -3.897353703333e-15 
   10       1.880932937637e-10       1.037309585656e-15       9.337679978856e-14       6.567510722645e-16       1.470153811295e-09       3.846798935802e-11       4.027057523869e-14 
   11       1.882852326079e-10       1.049055229035e-15       8.360313527265e-14       6.659254343052e-16       1.185753230567e-09       3.453759410529e-11       5.507697790154e-14 
   12       1.886666421213e-10       1.119161557973e-15       7.922739373888e-14       7.251666364066e-16       1.040992748476e-09       3.079320957736e-11       4.974457049393e-14 
   13       1.891964536591e-10       1.215828490018e-15       7.902295236292e-14       8.183789066683e-16       9.218342689956e-10       2.766466826495e-11       3.371485871039e-14 
   14       1.898108272884e-10       1.337023014094e-15       8.172742177867e-14       9.336975214934e-16       8.224304490889e-10       2.502666747651e-11       1.397296507909e-14 
   15       1.905416252818e-10       1.488208294739e-15       8.616459833213e-14       1.063296855516e-15       7.385399254643e-10       2.282263301817e-11      -4.448760343719e-15 
   16       1.913132032485e-10       1.671199755349e-15       9.131851102249e-14       1.201858000452e-15       6.670206868806e-10       2.094607313004e-11      -1.855134149393e-14 
   17       1.920750548746e-10       1.881729716709e-15       9.654446156857e-14       1.347208553515e-15       6.055017016751e-10       1.928187068454e-11      -2.712963601136e-14 
   18       1.928729805287e-10       2.115258754618e-15       1.013829482689e-13       1.497587271094e-15       5.519406646541e-10       1.777918301154e-11      -3.039947291594e-14 
   19       1.937365538010e-10       2.371047216261e-15       1.056588220103e-13       1.652328874905e-15       5.055885964414e-10       1.646694133243e-11      -2.927311947801e-14 
   20       1.945876068086e-10       2.649436815137e-15       1.092943880183e-13       1.811249730204e-15       4.646408987621e-10       1.535201675011e-11      -2.532861237840e-14 
   21       1.954452618382e-10       2.953020617806e-15       1.123583923429e-13       1.974139724938e-15       4.284823141415e-10       1.435932182065e-11      -2.008877945747e-14 
   22       1.963049433730e-10       3.284940280987e-15       1.149814818231e-13       2.140840577674e-15       3.962907829600e-10       1.338188428578e-11      -1.518308191190e-14 
   23       1.971697319748e-10       3.646158295498e-15       1.172270478442e-13       2.311134366985e-15       3.676439247474e-10       1.246533490579e-11      -1.126233389697e-14 
   24       1.980089432851e-10       4.036652872695e-15       1.191261289473e-13       2.484818375366e-15       3.418933154284e-10       1.168617836046e-11      -8.641200394035e-15 
   25       1.988312723274e-10       4.456433238674e-15       1.206354099991e-13       2.661653491858e-15       3.187497828778e-10       1.101049761680e-11      -7.456461242382e-15 
   26       1.996333313060e-10       4.905442107508e-15       1.216684191539e-13       2.841411842754e-15       2.978090061225e-10       1.036866345101e-11      -7.662380689259e-15 
   27       2.004313801124e-10       5.384371194758e-15       1.221086519595e-13       3.023856505356e-15       2.788322111376e-10       9.770230156506e-12      -8.802253429393e-15 
   28       2.012294698395e-10       5.894094241983e-15       1.218170855171e-13       3.208761224944e-15       2.615045826552e-10       9.242030804926e-12      -1.025009731595e-14 
   29       2.020407501447e-10       6.435441174259e-15       1.206727370656e-13       3.395881942722e-15       2.457454671877e-10       8.777452524643e-12      -1.169652351127e-14 
   30       2.028574646465e-10       7.009177160737e-15       1.185444249435e-13       3.584984703476e-15       2.313927997242e-10       8.351262817431e-12      -1.288102543442e-14 
   31       2.036527661112e-10       7.616043739940e-15       1.153017816295e-13       3.775846568740e-15       2.181622694679e-10       7.935237222261e-12      -1.354807069343e-14 
   32       2.044357391745e-10       8.256942463977e-15       1.108973752381e-13       3.968215882265e-15       2.059913450491e-10       7.532833878418e-12      -1.368911611914e-14 
   33       2.052122262173e-10       8.932815560316e-15       1.053157838013e-13       4.161838621882e-15       1.947994701625e-10       7.156985860964e-12      -1.339395080548e-14 
   34       2.059757978588e-10       9.644600946312e-15       9.855273272117e-14       4.356462842384e-15       1.844363081515e-10       6.817976662400e-12      -1.278524153309e-14 
   35       2.067342064495e-10       1.039324552190e-14       9.061343224360e-14       4.551816346260e-15       1.748529071174e-10       6.512681091420e-12      -1.199692187227e-14 
   36       2.074890855014e-10       1.117969471513e-14       8.151497845805e-14       4.747621414300e-15       1.659762874770e-10       6.231059484561e-12      -1.119293240734e-14 
   37       2.082338997154e-10       1.200483794139e-14       7.127730182419e-14       4.943603936541e-15       1.576953712942e-10       5.961981530419e-12      -1.053778844882e-14 
   38       2.089763979431e-10       1.286933672292e-14       5.988798706203e-14       5.139504688654e-15       1.499915710564e-10       5.704759435210e-12      -1.006713779384e-14 
   39       2.097214446065e-10       1.377373346664e-14       4.732615543755e-14       5.335072030165e-15       1.428430080388e-10       5.461115132892e-12      -9.775281600487e-15 
   40       2.104636490265e-10       1.471849083868e-14       3.357174166158e-14       5.530059196831e-15       1.361847092213e-10       5.231985909709e-12      -9.649043015965e-15 
   41       2.111928078182e-10       1.570401958256e-14       1.859996791802e-14       5.724221789815e-15       1.299319165124e-10       5.017594221724e-12      -9.664885685406e-15 
