# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.083975139640e-10       2.378778476628e-15       3.247303792689e-13       0.000000000000e+00       1.084280239809e-08       1.426912634584e-10      -1.468503381893e-12 
    3       1.074234749943e-10       3.634184206469e-15       3.659159396445e-13       0.000000000000e+00       6.931894154752e-09       1.166728751778e-10      -1.210623790436e-12 
    4       1.055662106490e-10       3.885406634292e-15       3.546700745638e-13       0.000000000000e+00       4.917692848327e-09       9.529655008019e-11      -9.111248078834e-13 
    5       1.040488043906e-10       3.300212302428e-15       3.184726398796e-13       0.000000000000e+00       3.724650021342e-09       7.908974155198e-11      -6.337567499132e-13 
    6       1.030884227146e-10       2.355260250026e-15       2.732830487391e-13       0.000000000000e+00       2.943946572251e-09       6.682380662339e-11      -3.996826700063e-13 
    7       1.026736639882e-10       1.481556445186e-15       2.291555309300e-13       0.000000000000e+00       2.399496501372e-09       5.729305285108e-11      -2.174274659070e-13 
    8       1.026295836083e-10       8.884771329779e-16       1.913966183825e-13       0.000000000000e+00       2.002852274327e-09       4.966565065920e-11      -8.713541749406e-14 
    9       1.029367264739e-10       5.809385534200e-16       1.623897380706e-13       0.000000000000e+00       1.703428537271e-09       4.347110328208e-11      -3.897353703333e-15 
   10       1.035157116364e-10       4.603320416522e-16       1.426406131229e-13       0.000000000000e+00       1.470153811295e-09       3.846798935802e-11       4.027057523869e-14 
   11       1.043094592600e-10       4.212205551656e-16       1.314895803633e-13       0.000000000000e+00       1.185753230567e-09       3.453759410529e-11       5.507697790154e-14 
   12       1.052462131780e-10       4.010229653241e-16       1.276548577482e-13       0.000000000000e+00       1.040992748476e-09       3.079320957736e-11       4.974457049393e-14 
   13       1.063090863062e-10       3.829816803597e-16       1.295853827840e-13       0.000000000000e+00       9.218342689956e-10       2.766466826495e-11       3.371485871039e-14 
   14       1.074497922826e-10       3.751430895346e-16       1.357137060903e-13       0.000000000000e+00       8.224304490889e-10       2.502666747651e-11       1.397296507909e-14 
   15       1.087104494793e-10       3.886425971207e-16       1.446236385906e-13       0.000000000000e+00       7.385399254643e-10       2.282263301817e-11      -4.448760343719e-15 
   16       1.100220802176e-10       4.272252709068e-16       1.551123624598e-13       0.000000000000e+00       6.670206868806e-10       2.094607313004e-11      -1.855134149393e-14 
   17       1.113382309478e-10       4.878601869614e-16       1.663878580426e-13       0.000000000000e+00       6.055017016751e-10       1.928187068454e-11      -2.712963601136e-14 
   18       1.127128245752e-10       5.656960179247e-16       1.778798868103e-13       0.000000000000e+00       5.519406646541e-10       1.777918301154e-11      -3.039947291594e-14 
   19       1.141587445372e-10       6.599957097281e-16       1.893506357132e-13       0.000000000000e+00       5.055885964414e-10       1.646694133243e-11      -2.927311947801e-14 
   20       1.156173487109e-10       7.712871394211e-16       2.006453245974e-13       0.000000000000e+00       4.646408987621e-10       1.535201675011e-11      -2.532861237840e-14 
