# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434362072839e-10       1.247386157726e-15       8.862145085900e-14       2.129723417004e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.072866716640e-10       1.458976274354e-15      -3.286315636841e-14       2.276196788699e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.591998664587e-11       1.470222964774e-15      -7.015468483878e-14       2.116563713457e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.145643025512e-11       1.303542506894e-15      -7.755028583652e-14       1.789282312379e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       8.887154123771e-11       1.060250719854e-15      -7.368909479271e-14       1.420633195503e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.723318072755e-11       8.288341770672e-16      -6.613279317473e-14       1.095035949731e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.610354044864e-11       6.617348819863e-16      -5.862538969324e-14       8.541409294227e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.525598271154e-11       5.765643952402e-16      -5.282638340949e-14       7.076881401361e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.456545202008e-11       5.669938379818e-16      -4.926130511550e-14       6.467673557197e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.396140982044e-11       6.158516751430e-16      -4.788288406640e-14       6.539423830795e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.340369032816e-11       7.039739993730e-16      -4.842256819624e-14       7.110018964769e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.286812234959e-11       8.163183849993e-16      -5.055588054925e-14       8.018501493658e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.233916169421e-11       9.428055750517e-16      -5.397772460016e-14       9.146225020897e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.180656045239e-11       1.077763562216e-15      -5.844807972927e-14       1.041493476405e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
