# Matter power spectrum P(k) at redshift z=0
# for k=1.34903e-05 to 122.493 h/Mpc,
# number of wavenumbers equal to 633
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349032107464e-05       2.404441287656e+01 
       2.893858304596e-05       5.009813781926e+01 
       4.446858773101e-05       7.572793342390e+01 
       6.014051242664e-05       1.012342246636e+02 
       7.601600693514e-05       1.268025114088e+02 
       9.215898284574e-05       1.525803312294e+02 
       1.086364392710e-04       1.787000255057e+02 
       1.255193402231e-04       2.052885812852e+02 
       1.428835588494e-04       2.324731286045e+02 
       1.608109036338e-04       2.603846268161e+02 
       1.793902411794e-04       2.891607734108e+02 
       1.987187289549e-04       3.189485614720e+02 
       2.189031689336e-04       3.499067599292e+02 
       2.400614886635e-04       3.822083588316e+02 
       2.623243490264e-04       4.160431397968e+02 
       2.858368664848e-04       4.516203068989e+02 
       3.107604203231e-04       4.891712206790e+02 
       3.372744902609e-04       5.289521363782e+02 
       3.655784346225e-04       5.712468392366e+02 
       3.958930719081e-04       6.163689335808e+02 
       4.284618679319e-04       6.646635673906e+02 
       4.635514576644e-04       7.165080035989e+02 
       5.014511507682e-04       7.723106236291e+02 
       5.424709946701e-04       8.325075154765e+02 
       5.869379207658e-04       8.975559883699e+02 
       6.351895111829e-04       9.679241276828e+02 
       6.875650375373e-04       1.044075911107e+03 
       7.443936805322e-04       1.126451862258e+03 
       8.059802606600e-04       1.215445847051e+03 
       8.725893680340e-04       1.311379676733e+03 
       9.444293734650e-04       1.414478368959e+03 
       1.021638260686e-03       1.524849148042e+03 
       1.104273339977e-03       1.642467721635e+03 
       1.192306544219e-03       1.767174295523e+03 
       1.285626179920e-03       1.898680302767e+03 
       1.384044906191e-03       2.036584943266e+03 
       1.487312666281e-03       2.180398854911e+03 
       1.595132604100e-03       2.329571700512e+03 
       1.707177817289e-03       2.483519760212e+03 
       1.823107087477e-03       2.641613361076e+03 
       1.942578305237e-03       2.803294744625e+03 
       2.065258954248e-03       2.968020717479e+03 
       2.190833569981e-03       3.135274195741e+03 
       2.319008463492e-03       3.304580598096e+03 
       2.449514195895e-03       3.475509987202e+03 
       2.582106342743e-03       3.647676792517e+03 
       2.716565050961e-03       3.820738060370e+03 
       2.852693809686e-03       3.994390351192e+03 
