# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730617822e+01      -5.522795691771e-09      -3.108391580541e-07      -3.956056570822e+00      -3.214441810224e+00      -8.529435434034e+00       5.457242331660e+00      -9.133720043322e-07 
       2.321812845909e-05       1.108985024619e+02      -5.978333050161e-08      -8.614317187548e+00      -3.961308945071e+00      -3.218246622881e+00      -8.537678484120e+00       5.462955973925e+00      -9.343022333503e-06 
       3.609173376214e-05       1.695112865511e+02      -2.208076545877e-07      -1.334346074576e+01      -3.963860682293e+00      -3.220189050439e+00      -8.541365806508e+00       5.466099860456e+00      -3.425793143438e-05 
       4.904439972694e-05       2.276638060394e+02      -5.476118785206e-07      -1.663247830331e+01      -3.965605301017e+00      -3.221516156960e+00      -8.543015330972e+00       5.468294382487e+00      -8.481476898930e-05 
       6.211104704304e-05       2.857256629209e+02      -1.102267459493e-06      -1.916649238871e+01      -3.966848287089e+00      -3.222485845191e+00      -8.543317281747e+00       5.469993628893e+00      -1.706556610044e-04 
       7.532746857735e-05       3.439709046701e+02      -1.951769411628e-06      -2.123662561770e+01      -3.967971916140e+00      -3.223308317694e+00      -8.542548116403e+00       5.471390675591e+00      -3.021954752273e-04 
       8.873064804492e-05       4.026319893173e+02      -3.169973652688e-06      -2.299408413280e+01      -3.968930556567e+00      -3.223994931506e+00      -8.540832976814e+00       5.472585945114e+00      -4.909215847101e-04 
       1.023590926816e-04       4.619217491468e+02      -4.839732491889e-06      -2.452760036597e+01      -3.969833660809e+00      -3.224606519927e+00      -8.538225190182e+00       5.473638518436e+00      -7.497253448731e-04 
       1.162531841578e-04       5.220446076647e+02      -7.055331854597e-06      -2.589375216366e+01      -3.970687650286e+00      -3.225156280346e+00      -8.534736855972e+00       5.474586230779e+00      -1.093281075419e-03 
       1.304555520066e-04       5.832033044900e+02      -9.925336994942e-06      -2.713087583058e+01      -3.971512372432e+00      -3.225659039650e+00      -8.530352291383e+00       5.475454893429e+00      -1.538489011792e-03 
       1.450114738458e-04       6.456035035420e+02      -1.357596770836e-05      -2.826617677310e+01      -3.972318556817e+00      -3.226123646523e+00      -8.525034244467e+00       5.476263011467e+00      -2.105001008484e-03 
       1.599693066204e-04       7.094573793364e+02      -1.815515083057e-05      -2.931970868248e+01      -3.973110738043e+00      -3.226554910699e+00      -8.518726638269e+00       5.477024427129e+00      -2.815851967823e-03 
       1.753809529236e-04       7.749865761219e+02      -2.383742272602e-05      -3.030668285242e+01      -3.973911420428e+00      -3.226963688943e+00      -8.511355319323e+00       5.477749857030e+00      -3.698223929667e-03 
       1.913023661048e-04       8.424249685740e+02      -3.082990849008e-05      -3.123896377685e+01      -3.974737985883e+00      -3.227357935663e+00      -8.502827648598e+00       5.478447892287e+00      -4.784378106458e-03 
       2.077940972509e-04       9.120211996218e+02      -3.937963870606e-05      -3.212598038932e+01      -3.975582492972e+00      -3.227734787981e+00      -8.493031118687e+00       5.479125612048e+00      -6.112795600084e-03 
       2.249218861034e-04       9.840412436214e+02      -4.978255450567e-05      -3.297538421718e+01      -3.976465426286e+00      -3.228102122611e+00      -8.481831271825e+00       5.479789028129e+00      -7.729581421325e-03 
       2.427572963948e-04       1.058770938281e+03      -6.239461504660e-05      -3.379348567646e+01      -3.977394316224e+00      -3.228462077093e+00      -8.469068880035e+00       5.480443385087e+00      -9.690196435133e-03 
       2.613783937365e-04       1.136518525951e+03      -7.764553421537e-05      -3.458556140338e+01      -3.978375243047e+00      -3.228815654167e+00      -8.454556395003e+00       5.481093373086e+00      -1.206159936333e-02 
       2.808704608154e-04       1.217617195775e+03      -9.605579954005e-05      -3.535607766844e+01      -3.979425377379e+00      -3.229167714379e+00      -8.438073617668e+00       5.481743283743e+00      -1.492490065124e-02 
       3.013267399410e-04       1.302427586222e+03      -1.182577797065e-04      -3.610885388451e+01      -3.980550350825e+00      -3.229517902667e+00      -8.419362505506e+00       5.482397124312e+00      -1.837865390872e-02 
