# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854580574728e-10       7.806639904165e-15       5.603665712443e-13       4.801532469386e-15       8.275085057302e-09       4.685586519573e-10      -2.070113717625e-12 
    3       2.442143283592e-10       1.011670793023e-14       4.540119330482e-13       4.836400782299e-15       5.152664309086e-09       3.328630891734e-10      -1.657526673195e-12 
    4       2.251760990436e-10       9.681164646133e-15       3.881849326118e-13       4.206585881554e-15       3.590358338366e-09       2.521205916170e-10      -1.177904284218e-12 
    5       2.145226430331e-10       7.468221505136e-15       3.248965586993e-13       3.295429736118e-15       2.681326594834e-09       1.992168373794e-10      -7.496081367599e-13 
    6       2.075429920358e-10       4.911370147570e-15       2.623287584675e-13       2.391294571565e-15       2.093662358685e-09       1.621616482197e-10      -4.080532989436e-13 
    7       2.029857216742e-10       2.945504742153e-15       2.058540265036e-13       1.653091767417e-15       1.687803593150e-09       1.349278799491e-10      -1.621220129995e-13 
    8       2.000019916521e-10       1.814715028551e-15       1.590675220160e-13       1.133970702114e-15       1.394634650325e-09       1.142341380610e-10      -5.609805239042e-15 
    9       1.981575100849e-10       1.327153360743e-15       1.236136044947e-13       8.220849764821e-16       1.175085178524e-09       9.815033481847e-11       7.619501636366e-14 
   10       1.971287891178e-10       1.181520950275e-15       9.942007504191e-14       6.755209050740e-16       1.005346540556e-09       8.538042373953e-11       1.021919270801e-13 
   11       1.966095488853e-10       1.163891460571e-15       8.518470719471e-14       6.461125929804e-16       8.453348748613e-10       7.525009394333e-11       9.197230311714e-14 
   12       1.965246639068e-10       1.187347702589e-15       7.874330227338e-14       6.918629486124e-16       7.386750734971e-10       6.659268231408e-11       6.321851976615e-14 
   13       1.967342602342e-10       1.242262045257e-15       7.762828595005e-14       7.820402370177e-16       6.511704337789e-10       5.932390853494e-11       2.909926959738e-14 
   14       1.971627426025e-10       1.337959324316e-15       7.955042426817e-14       8.964532684281e-16       5.783451814863e-10       5.327263178067e-11      -1.084840560811e-15 
   15       1.977808422392e-10       1.473380046613e-15       8.263603120363e-14       1.023904090121e-15       5.169763094839e-10       4.820133608784e-11      -2.221437621791e-14 
   16       1.985068471017e-10       1.637961629651e-15       8.571043768232e-14       1.158890172830e-15       4.648656207165e-10       4.379140383620e-11      -3.324273475956e-14 
   17       1.993930395212e-10       1.822788810289e-15       8.812898165020e-14       1.298638511958e-15       4.201731336371e-10       3.982381853420e-11      -3.560723708221e-14 
   18       2.003424337973e-10       2.025546151747e-15       8.962584546740e-14       1.442810239292e-15       3.813661186678e-10       3.632065479050e-11      -3.199820770911e-14 
   19       2.013722342327e-10       2.250153857752e-15       9.036446008463e-14       1.591189394009e-15       3.478409295450e-10       3.329392059045e-11      -2.494888929864e-14 
   20       2.024537729851e-10       2.501891332367e-15       9.067178593603e-14       1.743537556648e-15       3.183127302009e-10       3.065452311421e-11      -1.740662171972e-14 
   21       2.035979282461e-10       2.782502014755e-15       9.079412664297e-14       1.899754511117e-15       2.923174425219e-10       2.835742032814e-11      -1.097326195247e-14 
   22       2.047732597029e-10       3.091863965046e-15       9.092944272184e-14       2.059855672408e-15       2.692311052137e-10       2.632642271811e-11      -6.765116266554e-15 
