# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585590359e-10       7.806921507918e-15       5.603665671034e-13       4.801814073106e-15       8.275085057302e-09       4.685586519573e-10      -2.070113717625e-12 
    3       2.442153279666e-10       1.011727127379e-14       4.540119146149e-13       4.836964125521e-15       5.152664309086e-09       3.328630891734e-10      -1.657526673195e-12 
    4       2.251777573434e-10       9.682103848031e-15       3.881848797258e-13       4.207525081820e-15       3.590358338366e-09       2.521205916170e-10      -1.177904284218e-12 
    5       2.145251162776e-10       7.469630847832e-15       3.248964384466e-13       3.296839073249e-15       2.681326594834e-09       1.992168373794e-10      -7.496081367599e-13 
    6       2.075464312277e-10       4.913344103882e-15       2.623285225460e-13       2.393268512776e-15       2.093662358685e-09       1.621616482197e-10      -4.080532989436e-13 
    7       2.029902718639e-10       2.948137992777e-15       2.058536089243e-13       1.655724983121e-15       1.687803593150e-09       1.349278799491e-10      -1.621220129995e-13 
    8       2.000077914030e-10       1.818102469583e-15       1.590668371846e-13       1.137358071496e-15       1.394634650325e-09       1.142341380610e-10      -5.609805239042e-15 
    9       1.981646911178e-10       1.331390100517e-15       1.236125457017e-13       8.263215823640e-16       1.175085178524e-09       9.815033481847e-11       7.619501636366e-14 
   10       1.971374761402e-10       1.186702295155e-15       9.941851337841e-14       6.807020180690e-16       1.005346540556e-09       8.538042373953e-11       1.021919270801e-13 
   11       1.966198596036e-10       1.170112889774e-15       8.518249089611e-14       6.523336453833e-16       8.453348748613e-10       7.525009394333e-11       9.197230311714e-14 
   12       1.965367092128e-10       1.194704832446e-15       7.874025648166e-14       6.992194989382e-16       7.386750734971e-10       6.659268231408e-11       6.321851976615e-14 
   13       1.967481445533e-10       1.250850583727e-15       7.762421287299e-14       7.906279265023e-16       6.511704337789e-10       5.932390853494e-11       2.909926959738e-14 
   14       1.971785643830e-10       1.347875016847e-15       7.954510370399e-14       9.063677711625e-16       5.783451814863e-10       5.327263178067e-11      -1.084840560811e-15 
   15       1.977986945591e-10       1.484718614775e-15       8.262922139113e-14       1.035241058772e-15       5.169763094839e-10       4.820133608784e-11      -2.221437621791e-14 
   16       1.985268183653e-10       1.650818704164e-15       8.570187643039e-14       1.171745182102e-15       4.648656207165e-10       4.379140383620e-11      -3.324273475956e-14 
   17       1.994152142147e-10       1.837259860247e-15       8.811838769704e-14       1.313107002050e-15       4.201731336371e-10       3.982381853420e-11      -3.560723708221e-14 
   18       2.003668932866e-10       2.041726411070e-15       8.961292004122e-14       1.458987460494e-15       3.813661186678e-10       3.632065479050e-11      -3.199820770911e-14 
   19       2.013990574855e-10       2.268138255857e-15       9.034888848026e-14       1.609170361430e-15       3.478409295450e-10       3.329392059045e-11      -2.494888929864e-14 
   20       2.024830374161e-10       2.521774417381e-15       9.065323942360e-14       1.763416999008e-15       3.183127302009e-10       3.065452311421e-11      -1.740662171972e-14 
   21       2.036297102848e-10       2.804377892910e-15       9.077226408594e-14       1.921626844125e-15       2.923174425219e-10       2.835742032814e-11      -1.097326195247e-14 
   22       2.048076355039e-10       3.115826231471e-15       9.090391256270e-14       2.083814964734e-15       2.692311052137e-10       2.632642271811e-11      -6.765116266554e-15 
   23       2.060355554608e-10       3.454909862970e-15       9.103510805216e-14       2.249883110323e-15       2.487405412323e-10       2.449892176635e-11      -4.944506625987e-15 
   24       2.073069010563e-10       3.819825995861e-15       9.103488764713e-14       2.419724216919e-15       2.303781091080e-10       2.279934955862e-11      -5.195208572242e-15 
   25       2.086182528938e-10       4.210610284891e-15       9.069816887073e-14       2.593145908424e-15       2.139284963927e-10       2.123035225874e-11      -6.950822373149e-15 
   26       2.099414623679e-10       4.627743630760e-15       8.975701898588e-14       2.769935583803e-15       1.990915275337e-10       1.980824314105e-11      -9.403567785857e-15 
   27       2.112871348054e-10       5.071597244787e-15       8.796509225395e-14       2.949837300342e-15       1.856823294528e-10       1.854645490711e-11      -1.169863216550e-14 
   28       2.126589082042e-10       5.542524093494e-15       8.507913384019e-14       3.132593321342e-15       1.734622859355e-10       1.744250368162e-11      -1.301413746658e-14 
   29       2.140701564509e-10       6.041361155015e-15       8.097912115608e-14       3.317983959863e-15       1.623710240084e-10       1.646436749668e-11      -1.332825261483e-14 
   30       2.155129789955e-10       6.569118089624e-15       7.558151095751e-14       3.505814940805e-15       1.522955163310e-10       1.555207569882e-11      -1.293642837323e-14 
   31       2.169602822164e-10       7.126852558742e-15       6.882565869448e-14       3.695897081577e-15       1.430366069082e-10       1.464307435964e-11      -1.218474928967e-14 
   32       2.184233147634e-10       7.715683759085e-15       6.075260645211e-14       3.887991427311e-15       1.345471786812e-10       1.376206163435e-11      -1.122568393612e-14 
   33       2.199108725348e-10       8.336788728287e-15       5.145956968641e-14       4.081843930995e-15       1.267659123761e-10       1.296436106565e-11      -1.017760101643e-14 
   34       2.214178807165e-10       8.991285925588e-15       4.104866563069e-14       4.277204685924e-15       1.195821555771e-10       1.229527430647e-11      -9.177768441787e-15 
   35       2.229458514730e-10       9.679833184030e-15       2.950996187838e-14       4.473846059550e-15       1.129573098241e-10       1.172828576033e-11      -8.339327920379e-15 
   36       2.244862454199e-10       1.040287944491e-14       1.679791173003e-14       4.671551284195e-15       1.068360112180e-10       1.120361295520e-11      -7.781546182293e-15 
   37       2.260234127770e-10       1.116081778322e-14       2.864440303827e-15       4.870099747948e-15       1.011366354937e-10       1.066176907026e-11      -7.599168979651e-15 
   38       2.275693790628e-10       1.195417646620e-14      -1.233114162194e-14       5.069231690589e-15       9.584532712524e-11       1.010768257820e-11      -7.714820511941e-15 
   39       2.291384490120e-10       1.278348184164e-14      -2.882952019638e-14       5.268671475626e-15       9.094728124555e-11       9.567158934691e-12      -7.975547742144e-15 
   40       2.307366926887e-10       1.364920237862e-14      -4.667448389407e-14       5.468136377205e-15       8.639827089586e-11       9.069964724067e-12      -8.188990755495e-15 
   41       2.323635271612e-10       1.455178528568e-14      -6.591198393010e-14       5.667343635601e-15       8.214023707709e-11       8.641984557664e-12      -8.176360992378e-15 
   42       2.340193417557e-10       1.549178971448e-14      -8.658609844556e-14       5.866035631873e-15       7.816035925967e-11       8.278156387432e-12      -7.958364139169e-15 
   43       2.356987720132e-10       1.646979060832e-14      -1.087423491099e-13       6.063962036116e-15       7.444687564983e-11       7.961051078342e-12      -7.625427905650e-15 
   44       2.373876385566e-10       1.748634112139e-14      -1.324291401262e-13       6.260872943434e-15       7.097127061442e-11       7.667795742824e-12      -7.288549303462e-15 
   45       2.390700654271e-10       1.854190496497e-14      -1.576863960009e-13       6.456514613433e-15       6.769830054884e-11       7.375840451815e-12      -7.053805185749e-15 
   46       2.407541811612e-10       1.963663168547e-14      -1.845068095289e-13       6.650615166158e-15       6.462277642705e-11       7.083161027725e-12      -6.933913092207e-15 
   47       2.424527959750e-10       2.077051250078e-14      -2.128634521468e-13       6.842894612471e-15       6.174151791777e-11       6.793484833344e-12      -6.912312129399e-15 
   48       2.441758779974e-10       2.194343640670e-14      -2.427199932329e-13       7.033068507299e-15       5.904229656705e-11       6.510682702986e-12      -6.967274151639e-15 
   49       2.459302400349e-10       2.315518533746e-14      -2.740302915430e-13       7.220847705748e-15       5.650316118825e-11       6.238762405035e-12      -7.071589014433e-15 
   50       2.477195728580e-10       2.440548789575e-14      -3.067498796119e-13       7.405951138684e-15       5.409909335032e-11       5.981221357715e-12      -7.197816453104e-15 
   51       2.495452824223e-10       2.569420896420e-14      -3.408750398350e-13       7.588148793522e-15       5.182566869445e-11       5.738912812414e-12      -7.336452531854e-15 
   52       2.514053384543e-10       2.702120319639e-14      -3.764136289187e-13       7.767229978510e-15       4.968065210950e-11       5.511589169536e-12      -7.482150213225e-15 
   53       2.532936579062e-10       2.838625891167e-14      -4.133742594724e-13       7.942991682964e-15       4.765690712992e-11       5.298456282893e-12      -7.628532177263e-15 
   54       2.551998080264e-10       2.978909601189e-14      -4.517664511141e-13       8.115238946060e-15       4.574206627146e-11       5.098136769455e-12      -7.768138033785e-15 
   55       2.571132420376e-10       3.122939055859e-14      -4.915997709962e-13       8.283787175907e-15       4.392229542740e-11       4.909059871187e-12      -7.894651074188e-15 
   56       2.590379186029e-10       3.270686042716e-14      -5.328806591914e-13       8.448468936539e-15       4.219543738511e-11       4.730828508973e-12      -8.010347241078e-15 
   57       2.609807940544e-10       3.422119728191e-14      -5.756150793367e-13       8.609129492926e-15       4.056055600831e-11       4.563127568373e-12      -8.120404180763e-15 
   58       2.629474902673e-10       3.577204075799e-14      -6.198095694136e-13       8.765625443503e-15       3.901396179559e-11       4.405307467207e-12      -8.230819073255e-15 
   59       2.649421743260e-10       3.735897741676e-14      -6.654713534805e-13       8.917825164952e-15       3.754904172500e-11       4.256364084215e-12      -8.348444657776e-15 
   60       2.669674381904e-10       3.898153970122e-14      -7.126084534032e-13       9.065609256972e-15       3.615608909860e-11       4.114918687713e-12      -8.481025258259e-15 
   61       2.690249385171e-10       4.063919492921e-14      -7.612252297293e-13       9.208868518028e-15       3.482500480650e-11       3.979581265022e-12      -8.634688257819e-15 
   62       2.711177561767e-10       4.233131174905e-14      -8.113075819339e-13       9.347496335414e-15       3.355449458884e-11       3.850181217585e-12      -8.805679047947e-15 
   63       2.732483552316e-10       4.405718426661e-14      -8.628346093610e-13       9.481395368546e-15       3.234464364930e-11       3.726778548799e-12      -8.986826384957e-15 
   64       2.754177752057e-10       4.581604000937e-14      -9.157828563061e-13       9.610480226440e-15       3.119414992267e-11       3.609297089704e-12      -9.169879410867e-15 
   65       2.776255348698e-10       4.760703856571e-14      -9.701262787171e-13       9.734677834155e-15       3.010024502735e-11       3.497516592655e-12      -9.345462942225e-15 
