# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116729914813e+01 
       2.321812845909e-05       1.108985036823e+02 
       3.609173376214e-05       1.695112884483e+02 
       4.904439972694e-05       2.276638178209e+02 
       6.211104704304e-05       2.857256841932e+02 
       7.532746857735e-05       3.439709417617e+02 
       8.873064804492e-05       4.026320525172e+02 
       1.023590926816e-04       4.619218460506e+02 
       1.162531841578e-04       5.220447480764e+02 
       1.304555520066e-04       5.832034997240e+02 
       1.450114738458e-04       6.456037739162e+02 
       1.599693066204e-04       7.093811062144e+02 
       1.753809529236e-04       7.748953059361e+02 
       1.913023661048e-04       8.423168291213e+02 
       2.077940972509e-04       9.118941299658e+02 
       2.249218861034e-04       9.838929575951e+02 
       2.427572963948e-04       1.058598879933e+03 
       2.613783937365e-04       1.136319829529e+03 
       2.808704608154e-04       1.217388638480e+03 
       3.013267399410e-04       1.302165531196e+03 
       3.228491865615e-04       1.391040500705e+03 
       3.455492088576e-04       1.484435453937e+03 
       3.695483575494e-04       1.582805955060e+03 
       3.949789163640e-04       1.686642378087e+03 
       4.219843271948e-04       1.796470148403e+03 
       4.507193653102e-04       1.912848770192e+03 
       4.813499602484e-04       2.036369193667e+03 
       5.140525396193e-04       2.167649062320e+03 
       5.490127597171e-04       2.307325355617e+03 
       5.864234841229e-04       2.456043926519e+03 
       6.264818863382e-04       2.614445609938e+03 
       6.693855925968e-04       2.783148704181e+03 
       7.153278528514e-04       2.962727984713e+03 
       7.644918338936e-04       3.153690914045e+03 
       8.170442633386e-04       3.356452147767e+03 
       8.731288006756e-04       3.571308101127e+03 
       9.328596442615e-04       3.798413696391e+03 
       9.963159659543e-04       4.037763791015e+03 
       1.063537764581e-03       4.289181476205e+03 
       1.134523626239e-03       4.552315124096e+03 
       1.209230679194e-03       4.826644895589e+03 
       1.287576767919e-03       5.111498589892e+03 
       1.369444599257e-03       5.406096967426e+03 
       1.454687391959e-03       5.709562839776e+03 
       1.543135431684e-03       6.020895569031e+03 
       1.634602912099e-03       6.339088150775e+03 
       1.728894515478e-03       6.663123967940e+03 
       1.825811320550e-03       6.992001110908e+03 
       1.925155782887e-03       7.324751880156e+03 
       2.026735681319e-03       7.660458047595e+03 
       2.130367042364e-03       7.998260568917e+03 
       2.235876135455e-03       8.337366267660e+03 
       2.343100676636e-03       8.677050570719e+03 
       2.451890394377e-03       9.016657081211e+03 
       2.562107107073e-03       9.355595760229e+03 
       2.673624445823e-03       9.693340286344e+03 
       2.786327334635e-03       1.002942275090e+04 
       2.900111317649e-03       1.036343115461e+04 
       3.014881802039e-03       1.069500231938e+04 
       3.130553267074e-03       1.102382122286e+04 
       3.247048475047e-03       1.134960381892e+04 
       3.364297708069e-03       1.167211746711e+04 
       3.482238045924e-03       1.199115250310e+04 
       3.600812693636e-03       1.230653018066e+04 
       3.719970362791e-03       1.261809794757e+04 
       3.839664707406e-03       1.292572518800e+04 
       3.959853813072e-03       1.322930467751e+04 
       4.080499736700e-03       1.352874441125e+04 
       4.201568093487e-03       1.382396800786e+04 
       4.323027687306e-03       1.411491593190e+04 
       4.444850180647e-03       1.440154013986e+04 
       4.567009800288e-03       1.468380342521e+04 
       4.689483075068e-03       1.496167749929e+04 
       4.812248602367e-03       1.523514714237e+04 
       4.935286840186e-03       1.550420127540e+04 
       5.058579921982e-03       1.576883525231e+04 
       5.182111491712e-03       1.602904999539e+04 
       5.305866556801e-03       1.628485606483e+04 
       5.429831356981e-03       1.653626580338e+04 
       5.553993247203e-03       1.678329163236e+04 
       5.678340593007e-03       1.702595478716e+04 
       5.802862676925e-03       1.726427940005e+04 
       5.927549614682e-03       1.749829578301e+04 
       6.052392280055e-03       1.772801433747e+04 
       6.177382237451e-03       1.795346018594e+04 
       6.302511681309e-03       1.817468179319e+04 
       6.427773381594e-03       1.839169706853e+04 
       6.553160634691e-03       1.860455583547e+04 
       6.678667219123e-03       1.881329469352e+04 
       6.804287355565e-03       1.901794612520e+04 
       6.930015670697e-03       1.921854687175e+04 
       7.055847164480e-03       1.941513585205e+04 
       7.181777180500e-03       1.960775279091e+04 
       7.307801379070e-03       1.979643204375e+04 
       7.433915712780e-03       1.998121845411e+04 
       7.560116404275e-03       2.016214655375e+04 
       7.686399926014e-03       2.033926235905e+04 
       7.812762981825e-03       2.051260047631e+04 
       7.939202490069e-03       2.068220256557e+04 
       8.065715568266e-03       2.084811344656e+04 
       8.192299519033e-03       2.101036085202e+04 
       8.318951817208e-03       2.116899132519e+04 
       8.445670098062e-03       2.132404243419e+04 
       8.572452146474e-03       2.147555702700e+04 
       8.699295887004e-03       2.162357785075e+04 
       8.826199374763e-03       2.176813502649e+04 
       8.953160787016e-03       2.190927313254e+04 
       9.080178415459e-03       2.204703308019e+04 
       9.207250659091e-03       2.218145278344e+04 
       9.334376017655e-03       2.231256725377e+04 
       9.461553085572e-03       2.244041498748e+04 
       9.588780546346e-03       2.256503821701e+04 
       9.716057167395e-03       2.268646243922e+04 
       9.843381795262e-03       2.280474421475e+04 
       9.970753351189e-03       2.291990186923e+04 
       1.009817082702e-02       2.303198322345e+04 
       1.022563328138e-02       2.314101887406e+04 
       1.035313983621e-02       2.324704531990e+04 
       1.048068967341e-02       2.335008384720e+04 
       1.060828203188e-02       2.345020556650e+04 
       1.073591620467e-02       2.354743165288e+04 
       1.086359153639e-02       2.364177046422e+04 
       1.099130742072e-02       2.373328230378e+04 
       1.111906329821e-02       2.382199912002e+04 
       1.124685865418e-02       2.390792595153e+04 
       1.137469301670e-02       2.399114126391e+04 
       1.150256595483e-02       2.407164419351e+04 
       1.163047707693e-02       2.414948369908e+04 
       1.175842602905e-02       2.422468747137e+04 
       1.188641249350e-02       2.429728257096e+04 
       1.201443618746e-02       2.436730346594e+04 
       1.214249686173e-02       2.443478414534e+04 
       1.227059429957e-02       2.449975494624e+04 
       1.239872831558e-02       2.456226642119e+04 
       1.252689875467e-02       2.462229268354e+04 
       1.265510549116e-02       2.467992441645e+04 
       1.278334842789e-02       2.473516005162e+04 
       1.291162749538e-02       2.478804285294e+04 
       1.303994265110e-02       2.483859318333e+04 
       1.316829387881e-02       2.488683468816e+04 
       1.329668118784e-02       2.493281576943e+04 
       1.342510461258e-02       2.497654110622e+04 
       1.355356421189e-02       2.501806515299e+04 
       1.368206006859e-02       2.505738096752e+04 
       1.381059228906e-02       2.509455928547e+04 
       1.393916100277e-02       2.512959154704e+04 
       1.406776636193e-02       2.516252266752e+04 
       1.419640854111e-02       2.519338248289e+04 
       1.432508773700e-02       2.522219618069e+04 
       1.445380416806e-02       2.524897718572e+04 
       1.458255807434e-02       2.527375081616e+04 
       1.471134971720e-02       2.529655962744e+04 
       1.484017937920e-02       2.531742298065e+04 
       1.496904736387e-02       2.533636517404e+04 
       1.509795399561e-02       2.535342134652e+04 
       1.522689961960e-02       2.536859680646e+04 
       1.535588460169e-02       2.538193050837e+04 
       1.548490932832e-02       2.539344317537e+04 
       1.561397420656e-02       2.540316226757e+04 
       1.574307966400e-02       2.541111740831e+04 
       1.587222614882e-02       2.541731349287e+04 
       1.600141412980e-02       2.542179783456e+04 
       1.613064409636e-02       2.542457026282e+04 
       1.625991655862e-02       2.542567093406e+04 
       1.638923204749e-02       2.542511893770e+04 
       1.651859111480e-02       2.542293650380e+04 
       1.664799433338e-02       2.541916684805e+04 
       1.677744229721e-02       2.541379827148e+04 
       1.690693562161e-02       2.540690016619e+04 
       1.703647494338e-02       2.539841585997e+04 
       1.716606092099e-02       2.538842641566e+04 
       1.729569423481e-02       2.537695851263e+04 
       1.742537558732e-02       2.536400149463e+04 
       1.755510570338e-02       2.534961534629e+04 
       1.768488533045e-02       2.533379449205e+04 
       1.781471523888e-02       2.531656188253e+04 
       1.794459622222e-02       2.529794591168e+04 
       1.807452909752e-02       2.527797107229e+04 
       1.820451470563e-02       2.525664405007e+04 
       1.833455391158e-02       2.523398379055e+04 
       1.846464760492e-02       2.521005626221e+04 
       1.859479670009e-02       2.518483052724e+04 
       1.872500213684e-02       2.515835844924e+04 
       1.885526488061e-02       2.513062462147e+04 
       1.898558592297e-02       2.510163655528e+04 
       1.911596628205e-02       2.507150585954e+04 
       1.924640700304e-02       2.504015031393e+04 
       1.937690915863e-02       2.500765895536e+04 
       1.950747384953e-02       2.497404604832e+04 
       1.963810220498e-02       2.493927178312e+04 
       1.976879538329e-02       2.490340732508e+04 
       1.989955457238e-02       2.486644763669e+04 
       2.003038099040e-02       2.482840352068e+04 
       2.016127588626e-02       2.478934059402e+04 
       2.029224054028e-02       2.474926459436e+04 
       2.042327626483e-02       2.470810407066e+04 
       2.055438440499e-02       2.466602239152e+04 
       2.068556633919e-02       2.462288969006e+04 
       2.081682347996e-02       2.457888659198e+04 
       2.094815727463e-02       2.453387524737e+04 
       2.107956920606e-02       2.448796793865e+04 
       2.121106079346e-02       2.444113582000e+04 
       2.134263359313e-02       2.439343827255e+04 
       2.147428919931e-02       2.434484069125e+04 
       2.160602924503e-02       2.429541064247e+04 
       2.173785540298e-02       2.424513474197e+04 
       2.186976938640e-02       2.419406168079e+04 
       2.200177295002e-02       2.414208440837e+04 
       2.213386789100e-02       2.408939410378e+04 
       2.226605604995e-02       2.403596120217e+04 
       2.239833931193e-02       2.398169653745e+04 
       2.253071960749e-02       2.392674753954e+04 
       2.266319891380e-02       2.387104688566e+04 
       2.279577925570e-02       2.381464648461e+04 
       2.292846270690e-02       2.375752521055e+04 
       2.306125139117e-02       2.369975964328e+04 
       2.319414748354e-02       2.364126388581e+04 
       2.332715321158e-02       2.358213724506e+04 
       2.346027085672e-02       2.352240310726e+04 
       2.359350275556e-02       2.346201587277e+04 
       2.372685130130e-02       2.340105743996e+04 
       2.386031894514e-02       2.333948986093e+04 
       2.399390819777e-02       2.327733846077e+04 
       2.412762163093e-02       2.321465712716e+04 
       2.426146187892e-02       2.315139710793e+04 
       2.439543164029e-02       2.308759154031e+04 
       2.452953367946e-02       2.302322120430e+04 
       2.466377082853e-02       2.295838488253e+04 
       2.479814598899e-02       2.289304830053e+04 
       2.493266213362e-02       2.282725582392e+04 
       2.506732230841e-02       2.276097350279e+04 
       2.520212963448e-02       2.269420415685e+04 
       2.533708731018e-02       2.262696408538e+04 
       2.547219861317e-02       2.255932966375e+04 
       2.560746690259e-02       2.249126921881e+04 
       2.574289562134e-02       2.242283445719e+04 
       2.587848829840e-02       2.235396286687e+04 
       2.601424855124e-02       2.228468774701e+04 
       2.615018008833e-02       2.221505479492e+04 
       2.628628671169e-02       2.214506833850e+04 
       2.642257231958e-02       2.207473124106e+04 
       2.655904090928e-02       2.200407597727e+04 
       2.669569657994e-02       2.193301215002e+04 
       2.683254353554e-02       2.186166894391e+04 
       2.696958608796e-02       2.179005710192e+04 
       2.710682866020e-02       2.171814846602e+04 
       2.724427578962e-02       2.164592798502e+04 
       2.738193213142e-02       2.157340578519e+04 
