# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434898137218e-10       5.120179835777e-15       3.941692950487e-13       0.000000000000e+00       8.295053414820e-09       4.689812378589e-10      -2.069961097019e-12 
    3       1.352895272253e-10       7.272963097043e-15       4.620911949222e-13       0.000000000000e+00       5.165977254555e-09       3.331955269424e-10      -1.657325600202e-12 
    4       1.274901331094e-10       7.071366782905e-15       4.487733440790e-13       0.000000000000e+00       3.599238107182e-09       2.523853452545e-10      -1.177728925215e-12 
    5       1.215459390864e-10       5.382209735207e-15       3.963857925115e-13       0.000000000000e+00       2.687276827615e-09       1.994313863042e-10      -7.494946879077e-13 
    6       1.173473736179e-10       3.407934671819e-15       3.302963558422e-13       0.000000000000e+00       2.097620776979e-09       1.623378032938e-10      -4.080037439761e-13 
    7       1.145497912599e-10       1.921982459098e-15       2.661616292882e-13       0.000000000000e+00       1.690361952909e-09       1.350738640313e-10      -1.621209376259e-13 
    8       1.127557374598e-10       1.102595247996e-15       2.121133912188e-13       0.000000000000e+00       1.396166795407e-09       1.143556880234e-10      -5.637307192554e-15 
    9       1.117762056483e-10       7.630672238864e-16       1.714817636184e-13       0.000000000000e+00       1.175840894101e-09       9.825190823289e-11       7.615637329469e-14 
   10       1.114292873692e-10       6.416359612491e-16       1.445257599758e-13       0.000000000000e+00       1.005509603981e-09       8.546536137920e-11       1.021541545070e-13 
   11       1.114915802880e-10       5.698205227829e-16       1.297185334392e-13       0.000000000000e+00       8.467489796280e-10       7.532344634871e-11       9.186993805284e-14 
   12       1.119360554964e-10       4.964600489466e-16       1.245069258781e-13       0.000000000000e+00       7.398086058631e-10       6.669706198529e-11       6.312343786478e-14 
   13       1.126514075188e-10       4.342791338059e-16       1.260356631563e-13       0.000000000000e+00       6.520285003737e-10       5.943904048307e-11       2.907423270433e-14 
   14       1.135798034043e-10       4.032063050675e-16       1.317084440829e-13       0.000000000000e+00       5.789916741211e-10       5.334757454168e-11      -9.902124448659e-16 
   15       1.147030868452e-10       4.061972788899e-16       1.394328194738e-13       0.000000000000e+00       5.175210996566e-10       4.819984226184e-11      -2.218472078029e-14 
   16       1.159461572759e-10       4.334446236046e-16       1.478766809049e-13       0.000000000000e+00       4.652609902267e-10       4.376736724376e-11      -3.331095151028e-14 
   17       1.173649002343e-10       4.752859597458e-16       1.562822170425e-13       0.000000000000e+00       4.204312555169e-10       3.981807929024e-11      -3.583015832553e-14 
   18       1.188700430709e-10       5.295618638487e-16       1.643078279720e-13       0.000000000000e+00       3.815212107030e-10       3.638341841135e-11      -3.220141170786e-14 
   19       1.204614969915e-10       6.003183982625e-16       1.720696273024e-13       0.000000000000e+00       3.479152184139e-10       3.341775469514e-11      -2.498964238833e-14 
   20       1.221298621617e-10       6.927791191055e-16       1.798319921575e-13       0.000000000000e+00       3.183180138448e-10       3.075127248827e-11      -1.731390751591e-14 
   21       1.238754680008e-10       8.088902859955e-16       1.878080337877e-13       0.000000000000e+00       2.922646299627e-10       2.837462780472e-11      -1.085669394669e-14 
   22       1.256723167060e-10       9.487827216402e-16       1.961618850526e-13       0.000000000000e+00       2.691315905461e-10       2.628978594230e-11      -6.763651076003e-15 
