# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435022958355e-10       5.120193372318e-15       3.941685823356e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    3       1.353215777234e-10       7.272982346819e-15       4.620894507496e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    4       1.275518137002e-10       7.071363665850e-15       4.487699781977e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    5       1.216469113541e-10       5.382171465780e-15       3.963802438072e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    6       1.174970568494e-10       3.407888996158e-15       3.302880709541e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    7       1.147568097801e-10       1.921982383140e-15       2.661500032316e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    8       1.130290482731e-10       1.102680592691e-15       2.120982367223e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
    9       1.121242806070e-10       7.632407666306e-16       1.714630395966e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   10       1.118611844144e-10       6.418734508610e-16       1.445036370783e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   11       1.120154047685e-10       5.701010583017e-16       1.296932791733e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   12       1.125606775334e-10       4.967899800530e-16       1.244780397391e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   13       1.133852259850e-10       4.346923003125e-16       1.260020808625e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   14       1.144309981982e-10       4.037461154767e-16       1.316688278865e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   15       1.156800868541e-10       4.069024089832e-16       1.393842612416e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   16       1.170562519324e-10       4.343492812096e-16       1.478163095936e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   17       1.186172837494e-10       4.764319800989e-16       1.562061996185e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   18       1.202723698939e-10       5.310146489155e-16       1.642116145347e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   19       1.220209776354e-10       6.021678948052e-16       1.719481121019e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   20       1.238541013970e-10       6.951399115167e-16       1.796795499983e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   21       1.257721273390e-10       8.118922252163e-16       1.876186584647e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   22       1.277490087500e-10       9.525684601990e-16       1.959290288367e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   23       1.297959202540e-10       1.116121179519e-15       2.045621781684e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   24       1.319122403046e-10       1.300844024657e-15       2.133457627333e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   25       1.340886070619e-10       1.506864027138e-15       2.220429020426e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   26       1.363001609167e-10       1.734702201808e-15       2.303539707388e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
   27       1.385548943572e-10       1.984658224612e-15       2.380050841855e-13       0.000000000000e+00                     -nan                     -nan                     -nan 
