# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730557753e+01      -5.522795620988e-09      -5.116730563309e+01       0.000000000000e+00      -5.116730563309e+01      -5.116730563309e+01       5.116730563309e+01      -5.116730563309e+01 
       2.321812845909e-05       1.108985108082e+02      -5.978333465006e-08      -1.108985112683e+02       0.000000000000e+00      -1.108985112683e+02      -1.108985112683e+02       1.108985112683e+02      -1.108985112683e+02 
       3.609173376214e-05       1.695112906371e+02      -2.208076561705e-07      -1.695112913676e+02       0.000000000000e+00      -1.695112913676e+02      -1.695112913676e+02       1.695112913676e+02      -1.695112913676e+02 
       4.904439972694e-05       2.276638132642e+02      -5.476118761450e-07      -2.276638161769e+02       0.000000000000e+00      -2.276638161769e+02      -2.276638161769e+02       2.276638161769e+02      -2.276638161769e+02 
       6.211104704304e-05       2.857256802139e+02      -1.102267457350e-06      -2.857256827963e+02       0.000000000000e+00      -2.857256827963e+02      -2.857256827963e+02       2.857256827963e+02      -2.857256827963e+02 
       7.532746857735e-05       3.439709395657e+02      -1.951769410920e-06      -3.439709418631e+02       0.000000000000e+00      -3.439709418631e+02      -3.439709418631e+02       3.439709418631e+02      -3.439709418631e+02 
       8.873064804492e-05       4.026320534899e+02      -3.169973724867e-06      -4.026320532278e+02       0.000000000000e+00      -4.026320532278e+02      -4.026320532278e+02       4.026320532278e+02      -4.026320532278e+02 
       1.023590926816e-04       4.619218538528e+02      -4.839735222177e-06      -4.619218461489e+02       0.000000000000e+00      -4.619218461489e+02      -4.619218461489e+02       4.619218461489e+02      -4.619218461489e+02 
       1.162531841578e-04       5.220447740589e+02      -7.055338667491e-06      -5.220447490830e+02       0.000000000000e+00      -5.220447490830e+02      -5.220447490830e+02       5.220447490830e+02      -5.220447490830e+02 
       1.304555520066e-04       5.832035550939e+02      -9.925351197729e-06      -5.832034998759e+02       0.000000000000e+00      -5.832034998759e+02      -5.832034998759e+02       5.832034998759e+02      -5.832034998759e+02 
       1.450114738458e-04       6.456038711659e+02      -1.357599490527e-05      -6.456037745598e+02       0.000000000000e+00      -6.456037745598e+02      -6.456037745598e+02       6.456037745598e+02      -6.456037745598e+02 
       1.599693066204e-04       7.094579073667e+02      -1.815520024950e-05      -7.094577380353e+02       0.000000000000e+00      -7.094577380353e+02      -7.094577380353e+02       7.094577380353e+02      -7.094577380353e+02 
       1.753809529236e-04       7.749873182635e+02      -2.383750846897e-05      -7.749870521003e+02       0.000000000000e+00      -7.749870521003e+02      -7.749870521003e+02       7.749870521003e+02      -7.749870521003e+02 
       1.913023661048e-04       8.424259906035e+02      -3.083005218841e-05      -8.424255803481e+02       0.000000000000e+00      -8.424255803481e+02      -8.424255803481e+02       8.424255803481e+02      -8.424255803481e+02 
       2.077940972509e-04       9.120225956301e+02      -3.937987449624e-05      -9.120219819004e+02       0.000000000000e+00      -9.120219819004e+02      -9.120219819004e+02       9.120219819004e+02      -9.120219819004e+02 
       2.249218861034e-04       9.840431237686e+02      -4.978293366189e-05      -9.840422334871e+02       0.000000000000e+00      -9.840422334871e+02      -9.840422334871e+02       9.840422334871e+02      -9.840422334871e+02 
       2.427572963948e-04       1.058773444530e+03      -6.239521536373e-05      -1.058772180947e+03       0.000000000000e+00      -1.058772180947e+03      -1.058772180947e+03       1.058772180947e+03      -1.058772180947e+03 
       2.613783937365e-04       1.136521839678e+03      -7.764647385135e-05      -1.136520073724e+03       0.000000000000e+00      -1.136520073724e+03      -1.136520073724e+03       1.136520073724e+03      -1.136520073724e+03 
       2.808704608154e-04       1.217621547180e+03      -9.605725689795e-05      -1.217619109380e+03       0.000000000000e+00      -1.217619109380e+03      -1.217619109380e+03       1.217619109380e+03      -1.217619109380e+03 
       3.013267399410e-04       1.302433272038e+03      -1.182600227042e-04      -1.302429941341e+03       0.000000000000e+00      -1.302429941341e+03      -1.302429941341e+03       1.302429941341e+03      -1.302429941341e+03 
       3.228491865615e-04       1.391347571273e+03      -1.450253401807e-04      -1.391343059221e+03       0.000000000000e+00      -1.391343059221e+03      -1.391343059221e+03       1.391343059221e+03      -1.391343059221e+03 
       3.455492088576e-04       1.484787014297e+03      -1.772943794823e-04      -1.484780944636e+03       0.000000000000e+00      -1.484780944636e+03      -1.484780944636e+03       1.484780944636e+03      -1.484780944636e+03 
       3.695483575494e-04       1.583207948671e+03      -2.162191426282e-04      -1.583199829488e+03       0.000000000000e+00      -1.583199829488e+03      -1.583199829488e+03       1.583199829488e+03      -1.583199829488e+03 
       3.949789163640e-04       1.687101678616e+03      -2.632121521626e-04      -1.687090866562e+03       0.000000000000e+00      -1.687090866562e+03      -1.687090866562e+03       1.687090866562e+03      -1.687090866562e+03 
       4.219843271948e-04       1.796994721985e+03      -3.200075713736e-04      -1.796980373594e+03       0.000000000000e+00      -1.796980373594e+03      -1.796980373594e+03       1.796980373594e+03      -1.796980373594e+03 
