# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854705395865e-10       7.806653440706e-15       5.603658585313e-13       4.801532469386e-15       8.254137270216e-09       4.683066727963e-10      -2.069961535609e-12 
    3       2.442463788573e-10       1.011672718001e-14       4.540101888756e-13       4.836400782299e-15       5.114284814135e-09       3.322970513670e-10      -1.657322634115e-12 
    4       2.252377796344e-10       9.681161529078e-15       3.881815667305e-13       4.206585881554e-15       3.544693628664e-09       2.513738519996e-10      -1.177719086785e-12 
    5       2.146236153009e-10       7.468183235709e-15       3.248910099951e-13       3.295429736118e-15       2.634929423350e-09       1.983823782458e-10      -7.494756157579e-13 
    6       2.076926752673e-10       4.911324471908e-15       2.623204735795e-13       2.391294571565e-15       2.049654399298e-09       1.612889295198e-10      -4.079751928732e-13 
    7       2.031927401944e-10       2.945504666194e-15       2.058424004471e-13       1.653091767417e-15       1.646763783365e-09       1.340332313936e-10      -1.620854498633e-13 
    8       2.002753024654e-10       1.814800373245e-15       1.590523675196e-13       1.133970702114e-15       1.356019983371e-09       1.133187451399e-10      -5.599938693825e-15 
    9       1.985055850437e-10       1.327326903488e-15       1.235948804729e-13       8.220849764821e-16       1.138430128941e-09       9.721809436285e-11       7.618935217910e-14 
   10       1.975606861630e-10       1.181758439887e-15       9.939795214438e-14       6.755209050740e-16       9.706203981623e-10       8.443904473671e-11       1.021770214219e-13 
   11       1.971333733657e-10       1.164171996090e-15       8.515945292875e-14       6.461125929804e-16       8.283265609023e-10       7.463120025716e-11       9.187875670812e-14 
   12       1.971492859438e-10       1.187677633695e-15       7.871441613436e-14       6.918629486124e-16       7.228457001346e-10       6.601631639095e-11       6.311789499702e-14 
   13       1.974680787004e-10       1.242675211764e-15       7.759470365623e-14       7.820402370177e-16       6.363126587910e-10       5.877057272864e-11       2.905677701846e-14 
   14       1.980139373964e-10       1.338499134725e-15       7.951080807169e-14       8.964532684281e-16       5.643539843059e-10       5.269234747834e-11      -1.014597847578e-15 
   15       1.987578422481e-10       1.474085176706e-15       8.258747297143e-14       1.023904090121e-15       5.038250445406e-10       4.755811027944e-11      -2.220980729107e-14 
   16       1.996169417582e-10       1.638866287256e-15       8.565006637098e-14       1.158890172830e-15       4.523946537739e-10       4.313947234869e-11      -3.333079231316e-14 
   17       2.006454230363e-10       1.823934830643e-15       8.805296422618e-14       1.298638511958e-15       4.083017392993e-10       3.920398883428e-11      -3.584044742951e-14 
   18       2.017447606204e-10       2.026998936814e-15       8.952963203016e-14       1.442810239292e-15       3.700571869511e-10       3.578237894652e-11      -3.220006037866e-14 
   19       2.029317148766e-10       2.252003354295e-15       9.024294488418e-14       1.591189394009e-15       3.370373368220e-10       3.282798205534e-11      -2.497695102722e-14 
