# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854709517800e-10       7.806740630156e-15       5.603658548120e-13       4.801619658808e-15       8.254137270216e-09       4.683066727963e-10      -2.069961535609e-12 
    3       2.442471998188e-10       1.011690169186e-14       4.540101723105e-13       4.836575293862e-15       5.114284814135e-09       3.322970513670e-10      -1.657322634115e-12 
    4       2.252391404003e-10       9.681452671380e-15       3.881815191713e-13       4.206877022454e-15       3.544693628664e-09       2.513738519996e-10      -1.177719086785e-12 
    5       2.146256426394e-10       7.468620476735e-15       3.248909017603e-13       3.295866972306e-15       2.634929423350e-09       1.983823782458e-10      -7.494756157579e-13 
    6       2.076954908599e-10       4.911937466101e-15       2.623202610132e-13       2.391907552456e-15       2.049654399298e-09       1.612889295198e-10      -4.079751928732e-13 
    7       2.031964599686e-10       2.946323271604e-15       2.058420237452e-13       1.653910341575e-15       1.646763783365e-09       1.340332313936e-10      -1.620854498633e-13 
    8       2.002800360974e-10       1.815854659521e-15       1.590517488596e-13       1.135024923042e-15       1.356019983371e-09       1.133187451399e-10      -5.599938693825e-15 
    9       1.985114356419e-10       1.328647149919e-15       1.235939224695e-13       8.234050980726e-16       1.138430128941e-09       9.721809436285e-11       7.618935217910e-14 
   10       1.975677501361e-10       1.183375123381e-15       9.939653664470e-14       6.771373667233e-16       9.706203981623e-10       8.443904473671e-11       1.021770214219e-13 
   11       1.971417404750e-10       1.166115769361e-15       8.515744014998e-14       6.480559948346e-16       8.283265609023e-10       7.463120025716e-11       9.187875670812e-14 
   12       1.971590395300e-10       1.189979294346e-15       7.871164413581e-14       6.941640178462e-16       7.228457001346e-10       6.601631639095e-11       6.311789499702e-14 
   13       1.974792960711e-10       1.245365663280e-15       7.759098812963e-14       7.847297864442e-16       6.363126587910e-10       5.877057272864e-11       2.905677701846e-14 
   14       1.980266903533e-10       1.341609340708e-15       7.950594242503e-14       8.995621490824e-16       5.643539843059e-10       5.269234747834e-11      -1.014597847578e-15 
   15       1.987721977297e-10       1.477646109923e-15       8.258122867553e-14       1.027463139729e-15       5.038250445406e-10       4.755811027944e-11      -2.220980729107e-14 
