# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730563309e+01 
       2.321812845909e-05       1.108985112683e+02 
       3.609173376214e-05       1.695112913676e+02 
       4.904439972694e-05       2.276638161769e+02 
       6.211104704304e-05       2.857256827963e+02 
       7.532746857735e-05       3.439709418631e+02 
       8.873064804492e-05       4.026320532278e+02 
       1.023590926816e-04       4.619218461489e+02 
       1.162531841578e-04       5.220447490830e+02 
       1.304555520066e-04       5.832034998759e+02 
       1.450114738458e-04       6.456037745598e+02 
       1.599693066204e-04       7.094577380353e+02 
       1.753809529236e-04       7.749870521003e+02 
       1.913023661048e-04       8.424255803481e+02 
       2.077940972509e-04       9.120219819004e+02 
       2.249218861034e-04       9.840422334871e+02 
       2.427572963948e-04       1.058772180947e+03 
       2.613783937365e-04       1.136520073724e+03 
       2.808704608154e-04       1.217619109380e+03 
       3.013267399410e-04       1.302429941341e+03 
       3.228491865615e-04       1.391343059221e+03 
       3.455492088576e-04       1.484780944636e+03 
       3.695483575494e-04       1.583199829488e+03 
       3.949789163640e-04       1.687090866562e+03 
       4.219843271948e-04       1.796980373594e+03 
       4.507193653102e-04       1.913428896756e+03 
       4.813499602484e-04       2.037028586568e+03 
       5.140525396193e-04       2.168398455053e+03 
       5.490127597171e-04       2.308177058007e+03 
       5.864234841229e-04       2.457012033924e+03 
       6.264818863382e-04       2.615546232964e+03 
       6.693855925968e-04       2.784400206614e+03 
       7.153278528514e-04       2.964151225838e+03 
       7.644918338936e-04       3.155309471842e+03 
       8.170442633386e-04       3.358292540313e+03 
       8.731288006756e-04       3.573399933942e+03 
       9.328596442615e-04       3.800789800243e+03 
       9.963159659543e-04       4.040460271655e+03 
       1.063537764581e-03       4.292237691643e+03 
       1.134523626239e-03       4.555773607807e+03 
       1.209230679194e-03       4.830551130633e+03 
       1.287576767919e-03       5.115900780856e+03 
       1.369444599257e-03       5.411045630519e+03 
       1.454687391959e-03       5.715110407371e+03 
       1.543135431684e-03       6.027096134616e+03 
       1.634602912099e-03       6.345997068795e+03 
       1.728894515478e-03       6.670797331080e+03 
       1.825811320550e-03       7.000495340014e+03 
       1.925155782887e-03       7.334123529134e+03 
       2.026735681319e-03       7.670763081797e+03 
       2.130367042364e-03       8.009554530356e+03 
       2.235876135455e-03       8.349703801945e+03 
       2.343100676636e-03       8.690484874750e+03 
       2.451890394377e-03       9.031240156925e+03 
       2.562107107073e-03       9.371378170096e+03 
       2.673624445823e-03       9.710370372341e+03 
       2.786327334635e-03       1.004774759739e+04 
       2.900111317649e-03       1.038309542894e+04 
       3.014881802039e-03       1.071604833278e+04 
       3.130553267074e-03       1.104628755635e+04 
       3.247048475047e-03       1.137353370964e+04 
       3.364297708069e-03       1.169754481963e+04 
       3.482238045924e-03       1.201811073873e+04 
       3.600812693636e-03       1.233505027409e+04 
       3.719970362791e-03       1.264820919556e+04 
       3.839664707406e-03       1.295745493672e+04 
       3.959853813072e-03       1.326267558876e+04 
       4.080499736700e-03       1.356377773643e+04 
       4.201568093487e-03       1.386068353481e+04 
       4.323027687306e-03       1.415333083026e+04 
       4.444850180647e-03       1.444166704357e+04 
       4.567009800288e-03       1.472565406837e+04 
       4.689483075068e-03       1.500526179899e+04 
       4.812248602367e-03       1.528047024776e+04 
       4.935286840186e-03       1.555126907665e+04 
       5.058579921982e-03       1.581764666014e+04 
       5.182111491712e-03       1.607960553418e+04 
       5.305866556801e-03       1.633715203638e+04 
       5.429831356981e-03       1.659029512408e+04 
       5.553993247203e-03       1.683904776138e+04 
       5.678340593007e-03       1.708342313878e+04 
       5.802862676925e-03       1.732344993925e+04 
       5.927549614682e-03       1.755915181173e+04 
       6.052392280055e-03       1.779053576028e+04 
       6.177382237451e-03       1.801762700993e+04 
       6.302511681309e-03       1.824047138783e+04 
       6.427773381594e-03       1.845908319353e+04 
       6.553160634691e-03       1.867351089572e+04 
       6.678667219123e-03       1.888378901640e+04 
       6.804287355565e-03       1.908994607018e+04 
       6.930015670697e-03       1.929201722460e+04 
       7.055847164480e-03       1.949003859058e+04 
       7.181777180500e-03       1.968405121461e+04 
       7.307801379070e-03       1.987408289187e+04 
       7.433915712780e-03       2.006017693561e+04 
       7.560116404275e-03       2.024236723910e+04 
       7.686399926014e-03       2.042069485391e+04 
       7.812762981825e-03       2.059519775298e+04 
       7.939202490069e-03       2.076590948575e+04 
       8.065715568266e-03       2.093287402657e+04 
       8.192299519033e-03       2.109612131696e+04 
       8.318951817208e-03       2.125569070036e+04 
       8.445670098062e-03       2.141161811002e+04 
       8.572452146474e-03       2.156394881151e+04 
       8.699295887004e-03       2.171272057005e+04 
       8.826199374763e-03       2.185796064348e+04 
       8.953160787016e-03       2.199971159936e+04 
       9.080178415459e-03       2.213801653152e+04 
       9.207250659091e-03       2.227290779316e+04 
       9.334376017655e-03       2.240441309358e+04 
       9.461553085572e-03       2.253258146501e+04 
       9.588780546346e-03       2.265744640391e+04 
       9.716057167395e-03       2.277903103970e+04 
       9.843381795262e-03       2.289738896440e+04 
       9.970753351189e-03       2.301254222284e+04 
       1.009817082702e-02       2.312453382772e+04 
       1.022563328138e-02       2.323339264281e+04 
       1.035313983621e-02       2.333915344235e+04 
       1.048068967341e-02       2.344184986334e+04 
       1.060828203188e-02       2.354150683490e+04 
       1.073591620467e-02       2.363819719144e+04 
       1.086359153639e-02       2.373189643700e+04 
       1.099130742072e-02       2.382267969838e+04 
       1.111906329821e-02       2.391055785805e+04 
       1.124685865418e-02       2.399556153563e+04 
       1.137469301670e-02       2.407773700194e+04 
       1.150256595483e-02       2.415711871399e+04 
       1.163047707693e-02       2.423371062969e+04 
       1.175842602905e-02       2.430757305302e+04 
       1.188641249350e-02       2.437872546232e+04 
       1.201443618746e-02       2.444719846841e+04 
       1.214249686173e-02       2.451301477041e+04 
       1.227059429957e-02       2.457620704029e+04 
       1.239872831558e-02       2.463682382049e+04 
       1.252689875467e-02       2.469486664400e+04 
       1.265510549116e-02       2.475038167701e+04 
       1.278334842789e-02       2.480340524603e+04 
       1.291162749538e-02       2.485393655947e+04 
       1.303994265110e-02       2.490202924376e+04 
       1.316829387881e-02       2.494769612809e+04 
       1.329668118784e-02       2.499097712637e+04 
       1.342510461258e-02       2.503189915802e+04 
       1.355356421189e-02       2.507048900368e+04 
       1.368206006859e-02       2.510675876789e+04 
       1.381059228906e-02       2.514074307266e+04 
       1.393916100277e-02       2.517248789055e+04 
       1.406776636193e-02       2.520199286835e+04 
       1.419640854111e-02       2.522930575802e+04 
       1.432508773700e-02       2.525444479397e+04 
       1.445380416806e-02       2.527741651113e+04 
       1.458255807434e-02       2.529827369692e+04 
       1.471134971720e-02       2.531703921757e+04 
       1.484017937920e-02       2.533371282906e+04 
       1.496904736387e-02       2.534835859490e+04 
       1.509795399561e-02       2.536096544762e+04 
