# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585125483e-10       7.806895724579e-15       5.603665501850e-13       4.801788311306e-15       8.287618704626e-09       4.688832980132e-10      -2.069962623733e-12 
    3       2.442152421299e-10       1.011721962040e-14       4.540119596522e-13       4.836912599818e-15       5.159905292203e-09       3.331023870641e-10      -1.657326636187e-12 
    4       2.251775917006e-10       9.682017825319e-15       3.881849557223e-13       4.207439201098e-15       3.594449872414e-09       2.522998551989e-10      -1.177729768808e-12 
    5       2.145248307963e-10       7.469502001198e-15       3.248965122479e-13       3.296710243932e-15       2.683674281468e-09       1.993546395975e-10      -7.494955232118e-13 
    6       2.075460087848e-10       4.913163757304e-15       2.623286048586e-13       2.393088138493e-15       2.095246070474e-09       1.622710335734e-10      -4.080047088869e-13 
    7       2.029896790116e-10       2.947897411843e-15       2.058536451640e-13       1.655484464537e-15       1.689054585435e-09       1.350163386431e-10      -1.621220415147e-13 
    8       2.000070034984e-10       1.817793026897e-15       1.590668426105e-13       1.137048806336e-15       1.395556196723e-09       1.143050526248e-10      -5.638409211427e-15 
    9       1.981636663047e-10       1.331003212205e-15       1.236125735077e-13       8.259349656202e-16       1.175623398134e-09       9.820590056530e-11       7.615543569967e-14 
   10       1.971362005749e-10       1.186229399251e-15       9.941858687298e-14       6.802294423994e-16       1.005601730646e-09       8.542337205422e-11       1.021534255299e-13 
   11       1.966183288858e-10       1.169545211289e-15       8.518268200912e-14       6.517665016888e-16       8.459513702166e-10       7.527725257562e-11       9.186938332298e-14 
   12       1.965349140111e-10       1.194033488092e-15       7.874043297841e-14       6.985491770985e-16       7.391090716271e-10       6.665423562725e-11       6.312291910133e-14 
   13       1.967460178837e-10       1.250067094701e-15       7.762428445688e-14       7.898458162424e-16       6.514118122843e-10       5.939951180781e-11       2.907373984833e-14 
   14       1.971761140307e-10       1.346971002899e-15       7.954518407504e-14       9.054652630170e-16       5.784456252123e-10       5.331112973887e-11      -9.906296574729e-16 
   15       1.977958933825e-10       1.483685508967e-15       8.262936781084e-14       1.034209545108e-15       5.170358132762e-10       4.816608706634e-11      -2.218503877952e-14 
   16       1.985236410380e-10       1.649647872790e-15       8.570212563621e-14       1.170576058156e-15       4.648283684580e-10       4.373569441111e-11      -3.331119285942e-14 
   17       1.994115980563e-10       1.835942534579e-15       8.811874688162e-14       1.311791666938e-15       4.200447606087e-10       3.978798728884e-11      -3.583037227788e-14 
   18       2.003628394340e-10       2.040253558491e-15       8.961338189634e-14       1.457517318170e-15       3.811751069028e-10       3.635474945049e-11      -3.220164936950e-14 
   19       2.013945622345e-10       2.266500965219e-15       9.034942716116e-14       1.607536821414e-15       3.476051491154e-10       3.339043625633e-11      -2.498993033477e-14 
   20       2.024780587897e-10       2.519964040370e-15       9.065381384762e-14       1.761611477208e-15       3.180399316860e-10       3.072524426206e-11      -1.731423678176e-14 
   21       2.036242144877e-10       2.802385737407e-15       9.077287091657e-14       1.919640763149e-15       2.920148826933e-10       2.834985053317e-11      -1.085704511984e-14 
   22       2.048016118601e-10       3.113643476806e-15       9.090460818119e-14       2.081639754318e-15       2.689073616522e-10       2.626625958066e-11      -6.764002474674e-15 
   23       2.060289935178e-10       3.452527759435e-15       9.103597956618e-14       2.247510207198e-15       2.483992436263e-10       2.443645035561e-11      -5.096213475506e-15 
   24       2.072997826169e-10       3.817235867117e-15       9.103602731554e-14       2.417145064798e-15       2.300158771659e-10       2.278372524937e-11      -5.393656000661e-15 
   25       2.086105561017e-10       4.207803132455e-15       9.069959095605e-14       2.590351957373e-15       2.135410236912e-10       2.126922231149e-11      -7.062869498932e-15 
   26       2.099331627892e-10       4.624710037604e-15       8.975864736734e-14       2.766918289759e-15       1.986767153101e-10       1.985818094553e-11      -9.331694241845e-15 
   27       2.112782066833e-10       5.068327795090e-15       8.796689968150e-14       2.946588124118e-15       1.852449686937e-10       1.856804465316e-11      -1.148156201379e-14 
   28       2.126493263072e-10       5.539009541137e-15       8.508118399371e-14       3.129103727724e-15       1.730145031827e-10       1.742013349617e-11      -1.283732754948e-14 
   29       2.140599030986e-10       6.037592462011e-15       8.098150121744e-14       3.314245416223e-15       1.619226112425e-10       1.640223835825e-11      -1.332139664610e-14 
   30       2.155020480494e-10       6.565086489170e-15       7.558431022623e-14       3.501818915894e-15       1.518496649213e-10       1.547682693044e-11      -1.308465227111e-14 
   31       2.169486766283e-10       7.122549461924e-15       6.882896403760e-14       3.691635044326e-15       1.425896705544e-10       1.459910541795e-11      -1.233441372637e-14 
   32       2.184110256627e-10       7.711100069378e-15       6.075648998133e-14       3.883454845532e-15       1.340949001221e-10       1.377104233984e-11      -1.126065206038e-14 
   33       2.198978693957e-10       8.331914509788e-15       5.146408052438e-14       4.077024269945e-15       1.263056107766e-10       1.300624227661e-11      -1.009070305909e-14 
   34       2.214041136863e-10       8.986110474095e-15       4.105383257437e-14       4.272093406957e-15       1.191131184626e-10       1.231290737138e-11      -9.066220872711e-15 
   35       2.229312807665e-10       9.674346013859e-15       2.951582868827e-14       4.468434619460e-15       1.124805855828e-10       1.168458336158e-11      -8.281210686799e-15 
   36       2.244708534202e-10       1.039707069014e-14       1.680455153456e-14       4.665831133929e-15       1.063546477798e-10       1.110514813653e-11      -7.789074359198e-15 
   37       2.260072033088e-10       1.115467815652e-14       2.871953872063e-15       4.864062331599e-15       1.006554171377e-10       1.055637180776e-11      -7.621414548438e-15 
   38       2.275523558277e-10       1.194769648476e-14      -1.232265494204e-14       5.062868446246e-15       9.536814817891e-11       1.003779095585e-11      -7.706642532584e-15 
   39       2.291206080349e-10       1.277665154460e-14      -2.881997326529e-14       5.261973834867e-15       9.047608629088e-11       9.552815293999e-12      -7.922031116960e-15 
   40       2.307180201575e-10       1.364201123319e-14      -4.666380557222e-14       5.461095764014e-15       8.593258973871e-11       9.103184629707e-12      -8.112768251661e-15 
   41       2.323439995244e-10       1.454422219924e-14      -6.590011720476e-14       5.659951466038e-15       8.167737887751e-11       8.688759099552e-12      -8.132951731103e-15 
   42       2.339989338236e-10       1.548384342017e-14      -8.657297874459e-14       5.858283316396e-15       7.769791291999e-11       8.307226281482e-12      -7.989734657528e-15 
   43       2.356774594174e-10       1.646144978893e-14      -1.087278963998e-13       6.055840980031e-15       7.398360520687e-11       7.954005692755e-12      -7.742525431496e-15 
   44       2.373653980532e-10       1.747759443367e-14      -1.324132562149e-13       6.252374546612e-15       7.050740445812e-11       7.622102881228e-12      -7.464739809153e-15 
   45       2.390468753289e-10       1.853274105407e-14      -1.576689652667e-13       6.447630270627e-15       6.723545416129e-11       7.304172558119e-12      -7.228684997546e-15 
   46       2.407300221568e-10       1.962703916160e-14      -1.844877115224e-13       6.641336269284e-15       6.416260276643e-11       6.999859460447e-12      -7.052842007944e-15 
