# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434897817790e-10       5.120179814235e-15       3.941692780660e-13       0.000000000000e+00       8.287618704626e-09       4.688832980132e-10      -2.069962623733e-12 
    3       1.352894704755e-10       7.272962969333e-15       4.620912396745e-13       0.000000000000e+00       5.159905292203e-09       3.331023870641e-10      -1.657326636187e-12 
    4       1.274900159378e-10       7.071366640795e-15       4.487734192610e-13       0.000000000000e+00       3.594449872414e-09       2.522998551989e-10      -1.177729768808e-12 
    5       1.215457262979e-10       5.382209717470e-15       3.963858644698e-13       0.000000000000e+00       2.683674281468e-09       1.993546395975e-10      -7.494955232118e-13 
    6       1.173470529185e-10       3.407934698356e-15       3.302964345609e-13       0.000000000000e+00       2.095246070474e-09       1.622710335734e-10      -4.080047088869e-13 
    7       1.145493340198e-10       1.921982393959e-15       2.661616592117e-13       0.000000000000e+00       1.689054585435e-09       1.350163386431e-10      -1.621220415147e-13 
    8       1.127551238391e-10       1.102595064532e-15       2.121133863704e-13       0.000000000000e+00       1.395556196723e-09       1.143050526248e-10      -5.638409211427e-15 
    9       1.117753985731e-10       7.630669407400e-16       1.714817756865e-13       0.000000000000e+00       1.175623398134e-09       9.820590056530e-11       7.615543569967e-14 
   10       1.114282777522e-10       6.416356199591e-16       1.445258104991e-13       0.000000000000e+00       1.005601730646e-09       8.542337205422e-11       1.021534255299e-13 
   11       1.114903684532e-10       5.698199518170e-16       1.297186923288e-13       0.000000000000e+00       8.459513702166e-10       7.527725257562e-11       9.186938332298e-14 
