# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730337897e+01 
       2.321812845909e-05       1.108985065667e+02 
       3.609173376214e-05       1.695112885803e+02 
       4.904439972694e-05       2.276638164934e+02 
       6.211104704304e-05       2.857256842198e+02 
       7.532746857735e-05       3.439709420833e+02 
       8.873064804492e-05       4.026320523717e+02 
       1.023590926816e-04       4.619218460463e+02 
       1.162531841578e-04       5.220447483079e+02 
       1.304555520066e-04       5.832034996796e+02 
       1.450114738458e-04       6.456037739214e+02 
       1.599693066204e-04       7.094577389394e+02 
       1.753809529236e-04       7.749870533917e+02 
       1.913023661048e-04       8.424255828777e+02 
       2.077940972509e-04       9.120219809324e+02 
       2.249218861034e-04       9.840422353417e+02 
       2.427572963948e-04       1.058772184050e+03 
       2.613783937365e-04       1.136520077708e+03 
       2.808704608154e-04       1.217619115684e+03 
       3.013267399410e-04       1.302429950380e+03 
       3.228491865615e-04       1.391343071994e+03 
       3.455492088576e-04       1.484780959589e+03 
       3.695483575494e-04       1.583199852440e+03 
       3.949789163640e-04       1.687090898191e+03 
       4.219843271948e-04       1.796980419318e+03 
       4.507193653102e-04       1.913428960992e+03 
       4.813499602484e-04       2.037028671211e+03 
       5.140525396193e-04       2.168398571527e+03 
       5.490127597171e-04       2.308177218928e+03 
       5.864234841229e-04       2.457012249558e+03 
       6.264818863382e-04       2.615546529949e+03 
       6.693855925968e-04       2.784400612805e+03 
       7.153278528514e-04       2.964151782860e+03 
       7.644918338936e-04       3.155310237300e+03 
       8.170442633386e-04       3.358293582307e+03 
       8.731288006756e-04       3.573401359085e+03 
       9.328596442615e-04       3.800791741954e+03 
       9.963159659543e-04       4.040462914458e+03 
       1.063537764581e-03       4.292241289157e+03 
       1.134523626239e-03       4.555778445287e+03 
       1.209230679194e-03       4.830557617651e+03 
       1.287576767919e-03       5.115909453633e+03 
       1.369444599257e-03       5.411057266788e+03 
       1.454687391959e-03       5.715126031920e+03 
       1.543135431684e-03       6.027117001075e+03 
       1.634602912099e-03       6.346024581005e+03 
       1.728894515478e-03       6.670833190162e+03 
       1.825811320550e-03       7.000541699740e+03 
       1.925155782887e-03       7.334182818950e+03 
       2.026735681319e-03       7.670838322871e+03 
       2.130367042364e-03       8.009649022380e+03 
       2.235876135455e-03       8.349821425948e+03 
       2.343100676636e-03       8.690630192684e+03 
       2.451890394377e-03       9.031418274070e+03 
       2.562107107073e-03       9.371594498330e+03 
       2.673624445823e-03       9.710631772900e+03 
       2.786327334635e-03       1.004806109918e+04 
       2.900111317649e-03       1.038346850986e+04 
       3.014881802039e-03       1.071649042359e+04 
       3.130553267074e-03       1.104681078233e+04 
       3.247048475047e-03       1.137414351453e+04 
       3.364297708069e-03       1.169825448538e+04 
       3.482238045924e-03       1.201893305829e+04 
       3.600812693636e-03       1.233599808979e+04 
       3.719970362791e-03       1.264929793266e+04 
       3.839664707406e-03       1.295869896448e+04 
       3.959853813072e-03       1.326409129746e+04 
       4.080499736700e-03       1.356538363234e+04 
       4.201568093487e-03       1.386249667692e+04 
       4.323027687306e-03       1.415537247258e+04 
       4.444850180647e-03       1.444395592534e+04 
       4.567009800288e-03       1.472821478392e+04 
       4.689483075068e-03       1.500811595265e+04 
       4.812248602367e-03       1.528364352685e+04 
       4.935286840186e-03       1.555478384083e+04 
       5.058579921982e-03       1.582153254129e+04 
       5.182111491712e-03       1.608388913520e+04 
       5.305866556801e-03       1.634186423121e+04 
       5.429831356981e-03       1.659546420002e+04 
       5.553993247203e-03       1.684470568254e+04 
       5.678340593007e-03       1.708960512767e+04 
       5.802862676925e-03       1.733018475979e+04 
       5.927549614682e-03       1.756648016237e+04 
       6.052392280055e-03       1.779849454526e+04 
       6.177382237451e-03       1.802624931883e+04 
       6.302511681309e-03       1.824979948439e+04 
       6.427773381594e-03       1.846915952424e+04 
       6.553160634691e-03       1.868437117750e+04 
       6.678667219123e-03       1.889548225982e+04 
       6.804287355565e-03       1.910251559680e+04 
       6.930015670697e-03       1.930550840954e+04 
       7.055847164480e-03       1.950449842556e+04 
       7.181777180500e-03       1.969952426347e+04 
