# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730326521e+01      -5.522795377687e-09      -5.116730337897e+01       0.000000000000e+00      -5.116730337897e+01      -5.116730337897e+01       5.116730337897e+01      -5.116730337897e+01 
       2.321812845909e-05       1.108985053849e+02      -5.978333211550e-08      -1.108985065667e+02       0.000000000000e+00      -1.108985065667e+02      -1.108985065667e+02       1.108985065667e+02      -1.108985065667e+02 
       3.609173376214e-05       1.695112848350e+02      -2.208076525399e-07      -1.695112885803e+02       0.000000000000e+00      -1.695112885803e+02      -1.695112885803e+02       1.695112885803e+02      -1.695112885803e+02 
       4.904439972694e-05       2.276638052180e+02      -5.476118769063e-07      -2.276638164934e+02       0.000000000000e+00      -2.276638164934e+02      -2.276638164934e+02       2.276638164934e+02      -2.276638164934e+02 
       6.211104704304e-05       2.857256629839e+02      -1.102267462885e-06      -2.857256842198e+02       0.000000000000e+00      -2.857256842198e+02      -2.857256842198e+02       2.857256842198e+02      -2.857256842198e+02 
       7.532746857735e-05       3.439709034682e+02      -1.951769409610e-06      -3.439709420833e+02       0.000000000000e+00      -3.439709420833e+02      -3.439709420833e+02       3.439709420833e+02      -3.439709420833e+02 
       8.873064804492e-05       4.026319881938e+02      -3.169973664809e-06      -4.026320523717e+02       0.000000000000e+00      -4.026320523717e+02      -4.026320523717e+02       4.026320523717e+02      -4.026320523717e+02 
       1.023590926816e-04       4.619217468207e+02      -4.839732497759e-06      -4.619218460463e+02       0.000000000000e+00      -4.619218460463e+02      -4.619218460463e+02       4.619218460463e+02      -4.619218460463e+02 
       1.162531841578e-04       5.220446046520e+02      -7.055331878385e-06      -5.220447483079e+02       0.000000000000e+00      -5.220447483079e+02      -5.220447483079e+02       5.220447483079e+02      -5.220447483079e+02 
       1.304555520066e-04       5.832032991653e+02      -9.925336995527e-06      -5.832034996796e+02       0.000000000000e+00      -5.832034996796e+02      -5.832034996796e+02       5.832034996796e+02      -5.832034996796e+02 
       1.450114738458e-04       6.456034947836e+02      -1.357596760740e-05      -6.456037739214e+02       0.000000000000e+00      -6.456037739214e+02      -6.456037739214e+02       6.456037739214e+02      -6.456037739214e+02 
       1.599693066204e-04       7.094573698041e+02      -1.815515083459e-05      -7.094577389394e+02       0.000000000000e+00      -7.094577389394e+02      -7.094577389394e+02       7.094577389394e+02      -7.094577389394e+02 
       1.753809529236e-04       7.749865638940e+02      -2.383742272035e-05      -7.749870533917e+02       0.000000000000e+00      -7.749870533917e+02      -7.749870533917e+02       7.749870533917e+02      -7.749870533917e+02 
       1.913023661048e-04       8.424249502394e+02      -3.082990819705e-05      -8.424255828777e+02       0.000000000000e+00      -8.424255828777e+02      -8.424255828777e+02       8.424255828777e+02      -8.424255828777e+02 
       2.077940972509e-04       9.120211760469e+02      -3.937963848457e-05      -9.120219809324e+02       0.000000000000e+00      -9.120219809324e+02      -9.120219809324e+02       9.120219809324e+02      -9.120219809324e+02 
       2.249218861034e-04       9.840412169377e+02      -4.978255460072e-05      -9.840422353417e+02       0.000000000000e+00      -9.840422353417e+02      -9.840422353417e+02       9.840422353417e+02      -9.840422353417e+02 
       2.427572963948e-04       1.058770905685e+03      -6.239461533479e-05      -1.058772184050e+03       0.000000000000e+00      -1.058772184050e+03      -1.058772184050e+03       1.058772184050e+03      -1.058772184050e+03 
       2.613783937365e-04       1.136518484457e+03      -7.764553444577e-05      -1.136520077708e+03       0.000000000000e+00      -1.136520077708e+03      -1.136520077708e+03       1.136520077708e+03      -1.136520077708e+03 
       2.808704608154e-04       1.217617143228e+03      -9.605579945150e-05      -1.217619115684e+03       0.000000000000e+00      -1.217619115684e+03      -1.217619115684e+03       1.217619115684e+03      -1.217619115684e+03 
       3.013267399410e-04       1.302427521421e+03      -1.182577791555e-04      -1.302429950380e+03       0.000000000000e+00      -1.302429950380e+03      -1.302429950380e+03       1.302429950380e+03      -1.302429950380e+03 
       3.228491865615e-04       1.391340093328e+03      -1.450219097805e-04      -1.391343071994e+03       0.000000000000e+00      -1.391343071994e+03      -1.391343071994e+03       1.391343071994e+03      -1.391343071994e+03 
       3.455492088576e-04       1.484777318708e+03      -1.772891638178e-04      -1.484780959589e+03       0.000000000000e+00      -1.484780959589e+03      -1.484780959589e+03       1.484780959589e+03      -1.484780959589e+03 
       3.695483575494e-04       1.583195413172e+03      -2.162112504412e-04      -1.583199852440e+03       0.000000000000e+00      -1.583199852440e+03      -1.583199852440e+03       1.583199852440e+03      -1.583199852440e+03 
       3.949789163640e-04       1.687085495467e+03      -2.632002540750e-04      -1.687090898191e+03       0.000000000000e+00      -1.687090898191e+03      -1.687090898191e+03       1.687090898191e+03      -1.687090898191e+03 
       4.219843271948e-04       1.796973852753e+03      -3.199896858441e-04      -1.796980419318e+03       0.000000000000e+00      -1.796980419318e+03      -1.796980419318e+03       1.796980419318e+03      -1.796980419318e+03 
       4.507193653102e-04       1.913420986647e+03      -3.887091561863e-04      -1.913428960992e+03       0.000000000000e+00      -1.913428960992e+03      -1.913428960992e+03       1.913428960992e+03      -1.913428960992e+03 
       4.813499602484e-04       2.037018991538e+03      -4.719750190279e-04      -2.037028671211e+03       0.000000000000e+00      -2.037028671211e+03      -2.037028671211e+03       2.037028671211e+03      -2.037028671211e+03 
       5.140525396193e-04       2.168386824196e+03      -5.729993372550e-04      -2.168398571527e+03       0.000000000000e+00      -2.168398571527e+03      -2.168398571527e+03       2.168398571527e+03      -2.168398571527e+03 
       5.490127597171e-04       2.308162959599e+03      -6.957192394998e-04      -2.308177218928e+03       0.000000000000e+00      -2.308177218928e+03      -2.308177218928e+03       2.308177218928e+03      -2.308177218928e+03 
       5.864234841229e-04       2.456994938529e+03      -8.449480616814e-04      -2.457012249558e+03       0.000000000000e+00      -2.457012249558e+03      -2.457012249558e+03       2.457012249558e+03      -2.457012249558e+03 
       6.264818863382e-04       2.615525505300e+03      -1.026548490146e-03      -2.615546529949e+03       0.000000000000e+00      -2.615546529949e+03      -2.615546529949e+03       2.615546529949e+03      -2.615546529949e+03 
       6.693855925968e-04       2.784375070740e+03      -1.247626004148e-03      -2.784400612805e+03       0.000000000000e+00      -2.784400612805e+03      -2.784400612805e+03       2.784400612805e+03      -2.784400612805e+03 
       7.153278528514e-04       2.964120744506e+03      -1.516738390691e-03      -2.964151782860e+03       0.000000000000e+00      -2.964151782860e+03      -2.964151782860e+03       2.964151782860e+03      -2.964151782860e+03 
       7.644918338936e-04       3.155272516951e+03      -1.844113851704e-03      -3.155310237300e+03       0.000000000000e+00      -3.155310237300e+03      -3.155310237300e+03       3.155310237300e+03      -3.155310237300e+03 
       8.170442633386e-04       3.358247749474e+03      -2.241866676947e-03      -3.358293582307e+03       0.000000000000e+00      -3.358293582307e+03      -3.358293582307e+03       3.358293582307e+03      -3.358293582307e+03 
