# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854580255300e-10       7.806639882623e-15       5.603665542617e-13       4.801532469386e-15       8.271358720825e-09       4.685038887288e-10      -2.069921009977e-12 
    3       2.442142716095e-10       1.011670780252e-14       4.540119778005e-13       4.836400782299e-15       5.148726335959e-09       3.328019762627e-10      -1.657301403445e-12 
    4       2.251759818720e-10       9.681164504023e-15       3.881850077938e-13       4.206585881554e-15       3.586429359992e-09       2.520560123864e-10      -1.177720139427e-12 
    5       2.145224302446e-10       7.468221487399e-15       3.248966306577e-13       3.295429736118e-15       2.677555805025e-09       1.991510657348e-10      -7.494959608800e-13 
    6       2.075426713364e-10       4.911370174106e-15       2.623288371863e-13       2.391294571565e-15       2.090177623021e-09       1.620964284281e-10      -4.080107933933e-13 
    7       2.029852644342e-10       2.945504677014e-15       2.058540564271e-13       1.653091767417e-15       1.684622128169e-09       1.348639241416e-10      -1.621306517028e-13 
    8       2.000013780314e-10       1.814714845086e-15       1.590675171676e-13       1.133970702114e-15       1.391685830117e-09       1.141712231277e-10      -5.647479954703e-15 
    9       1.981567030097e-10       1.327153077597e-15       1.236136165628e-13       8.220849764821e-16       1.172301059130e-09       9.808817995705e-11       7.614713873592e-14 
   10       1.971277795008e-10       1.181520608985e-15       9.942012556515e-14       6.755209050740e-16       1.002705168924e-09       8.531909540113e-11       1.021464897228e-13 
   11       1.966083370505e-10       1.163890889606e-15       8.518486608427e-14       6.461125929804e-16       8.436783950638e-10       7.518697992074e-11       9.186508560670e-14 
   12       1.965232452071e-10       1.187346620788e-15       7.874343505315e-14       6.918629486124e-16       7.371096912681e-10       6.657322393836e-11       6.311946923823e-14 
   13       1.967325723230e-10       1.242260573127e-15       7.762829989466e-14       7.820402370177e-16       6.496398770163e-10       5.932628058264e-11       2.907092263035e-14 
   14       1.971607978472e-10       1.337957676423e-15       7.955043050548e-14       8.964532684281e-16       5.768651584177e-10       5.324454670616e-11      -9.930570074231e-16 
   15       1.977786180176e-10       1.473378244526e-15       8.263608433105e-14       1.023904090121e-15       5.156181570236e-10       4.810540162009e-11      -2.218715477009e-14 
   16       1.985043225357e-10       1.637959619951e-15       8.571057173869e-14       1.158890172830e-15       4.635505037554e-10       4.368030270381e-11      -3.331314481106e-14 
   17       1.993901563005e-10       1.822786394358e-15       8.812920115719e-14       1.298638511958e-15       4.188876604181e-10       3.973739105448e-11      -3.583213646839e-14 
   18       2.003391973432e-10       2.025542854908e-15       8.962614053936e-14       1.442810239292e-15       3.801236312964e-10       3.630850424297e-11      -3.220324980649e-14 
   19       2.013686450342e-10       2.250149312805e-15       9.036480245738e-14       1.591189394009e-15       3.466454273851e-10       3.334810774713e-11      -2.499139880377e-14 
   20       2.024497931610e-10       2.501885418951e-15       9.067213233756e-14       1.743537556648e-15       3.171614781057e-10       3.068648540851e-11      -1.731556188292e-14 
   21       2.035935279964e-10       2.782494551166e-15       9.079447183919e-14       1.899754511117e-15       2.912083428237e-10       2.831429760537e-11      -1.085821029422e-14 
   22       2.047684322424e-10       3.091854621751e-15       9.092984155855e-14       2.059855672408e-15       2.681649335736e-10       2.623354523476e-11      -6.765000430206e-15 
   23       2.059932483202e-10       3.428756670648e-15       9.106520465382e-14       2.223743143304e-15       2.477139361158e-10       2.440622792960e-11      -5.097053785234e-15 
   24       2.072613986926e-10       3.791398574573e-15       9.106961068644e-14       2.391310226762e-15       2.293819586293e-10       2.275570471229e-11      -5.394368278696e-15 
   25       2.085694595451e-10       4.179816291766e-15       9.073790501747e-14       2.562364896479e-15       2.129533009697e-10       2.124312288546e-11      -7.063496788200e-15 
   26       2.098892786923e-10       4.594490971355e-15       8.980206847574e-14       2.736694892984e-15       1.981307568337e-10       1.983374911893e-11      -9.332285101220e-15 
   27       2.112314592919e-10       5.035794511473e-15       8.801580659349e-14       2.914044580830e-15       1.847368220648e-10       1.854511019323e-11      -1.148214280157e-14 
   28       2.125996390655e-10       5.504080759616e-15       8.513595598014e-14       3.094156501976e-15       1.725408561268e-10       1.739863309300e-11      -1.283789351530e-14 
   29       2.140071992260e-10       6.000187609955e-15       8.104251651083e-14       3.276811193468e-15       1.614803139096e-10       1.638211972915e-11      -1.332193488021e-14 
   30       2.154462507809e-10       6.525125717407e-15       7.565194399987e-14       3.461814561471e-15       1.514358823454e-10       1.545802653119e-11      -1.308514842785e-14 
   31       2.168897094733e-10       7.079953660908e-15       6.890358616484e-14       3.648977562527e-15       1.422021220694e-10       1.458155339795e-11      -1.233485354275e-14 
   32       2.183488131769e-10       7.665790862015e-15       6.083846281555e-14       3.838061328949e-15       1.337314322269e-10       1.375465450264e-11      -1.126102826618e-14 
   33       2.198323377197e-10       8.283814254604e-15       5.155375650251e-14       4.028811846267e-15       1.259642349366e-10       1.299092150753e-11      -1.009101916448e-14 
   34       2.213351910206e-10       8.935142274412e-15       4.115155150976e-14       4.220979191023e-15       1.187921480652e-10       1.229855112930e-11      -9.066488057165e-15 
   35       2.228588978924e-10       9.620433736243e-15       2.962191434038e-14       4.414335692816e-15       1.121784367170e-10       1.167109812582e-11      -8.281424935301e-15 
   36       2.243949442850e-10       1.034013897269e-14       1.691930846165e-14       4.608664498883e-15       1.060698861026e-10       1.109246075342e-11      -7.789206035915e-15 
   37       2.259277054656e-10       1.109465243113e-14       2.995663908343e-15       4.803744877985e-15       1.003868317089e-10       1.054443280692e-11      -7.621413970869e-15 
   38       2.274692102293e-10       1.188450306378e-14      -1.218973775912e-14       4.999317001379e-15       9.511456698992e-11       1.002655356621e-11      -7.706483907462e-15 
   39       2.290337593367e-10       1.271021766222e-14      -2.867762696584e-14       5.195105152856e-15       9.023638085812e-11       9.542231557399e-12      -7.921731196482e-15 
   40       2.306274172426e-10       1.357226506850e-14      -4.651184430425e-14       5.390826490009e-15       8.570575813244e-11       9.093208375016e-12      -8.112395447775e-15 
   41       2.322495956782e-10       1.447109293306e-14      -6.573839589521e-14       5.586198134371e-15       8.146258469976e-11       8.679348229668e-12      -8.132619178526e-15 
   42       2.339006856253e-10       1.540726140778e-14      -8.640139946362e-14       5.780962468917e-15       7.749435745024e-11       8.298342062883e-12      -7.989537484274e-15 
   43       2.355753265629e-10       1.638134665333e-14      -1.085464138337e-13       5.974869199708e-15       7.379052427602e-11       7.945614533735e-12      -7.742516607835e-15 
   44       2.372593435428e-10       1.739390312937e-14      -1.322218829101e-13       6.167668458735e-15       7.032411559461e-11       7.614179197823e-12      -7.464920475357e-15 
   45       2.389368652590e-10       1.844539596655e-14      -1.574677768690e-13       6.359106570093e-15       6.706137523616e-11       7.296699010130e-12      -7.229005615641e-15 
   46       2.406160241496e-10       1.953597632292e-14      -1.842768515621e-13       6.548911834688e-15       6.399716619903e-11       6.992817863193e-12      -7.053241208398e-15 
   47       2.423096343206e-10       2.066563717128e-14      -2.126222509136e-13       6.736804498927e-15       6.112792679631e-11       6.703720999122e-12      -6.940668822148e-15 
   48       2.440276680706e-10       2.183426939015e-14      -2.424677233422e-13       6.922500385709e-15       5.844099246936e-11       6.430042247985e-12      -6.893404112588e-15 
   49       2.457769426699e-10       2.304165692897e-14      -2.737672134211e-13       7.105710652375e-15       5.591391884220e-11       6.171816548949e-12      -6.912558607897e-15 
   50       2.475611524836e-10       2.428753047941e-14      -3.064763436227e-13       7.286154559728e-15       5.352124145480e-11       5.928621822145e-12      -6.996340055924e-15 
   51       2.493817022879e-10       2.557175688043e-14      -3.405914810610e-13       7.463602426746e-15       5.125848859117e-11       5.700160134162e-12      -7.133927034935e-15 
   52       2.512365587278e-10       2.689419276795e-14      -3.761205691336e-13       7.637843917035e-15       4.912351632008e-11       5.485752213253e-12      -7.309796476307e-15 
   53       2.531196348208e-10       2.825462853020e-14      -4.130723118604e-13       7.808676408269e-15       4.710932226827e-11       5.284124232917e-12      -7.505239743909e-15 
   54       2.550204929884e-10       2.965278622621e-14      -4.514563250761e-13       7.975905362418e-15       4.520371863618e-11       5.093369243671e-12      -7.698198704674e-15 
   55       2.569285818821e-10       3.108834416704e-14      -4.912822751713e-13       8.139346590068e-15       4.339304945349e-11       4.911471806459e-12      -7.868672444945e-15 
