# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585114417e-10       7.806895511801e-15       5.603665501946e-13       4.801788098528e-15       8.271358720825e-09       4.685038887288e-10      -2.069921009977e-12 
    3       2.442152399262e-10       1.011721919445e-14       4.540119596951e-13       4.836912173871e-15       5.148726335959e-09       3.328019762627e-10      -1.657301403445e-12 
    4       2.251775880487e-10       9.682017114553e-15       3.881849558454e-13       4.207438490335e-15       3.586429359992e-09       2.520560123864e-10      -1.177720139427e-12 
    5       2.145248253569e-10       7.469500933489e-15       3.248965125278e-13       3.296709176235e-15       2.677555805025e-09       1.991510657348e-10      -7.494959608800e-13 
    6       2.075460012329e-10       4.913162259972e-15       2.623286054082e-13       2.393086641195e-15       2.090177623021e-09       1.620964284281e-10      -4.080107933933e-13 
    7       2.029896690380e-10       2.947895411600e-15       2.058536461376e-13       1.655482464375e-15       1.684622128169e-09       1.348639241416e-10      -1.621306517028e-13 
    8       2.000069908115e-10       1.817790449812e-15       1.590668442087e-13       1.137046229420e-15       1.391685830117e-09       1.141712231277e-10      -5.647479954703e-15 
    9       1.981636506311e-10       1.330999983706e-15       1.236125759812e-13       8.259317374441e-16       1.172301059130e-09       9.808817995705e-11       7.614713873592e-14 
   10       1.971361816597e-10       1.186225444147e-15       9.941859052555e-14       6.802254878712e-16       1.002705168924e-09       8.531909540113e-11       1.021464897228e-13 
   11       1.966183064928e-10       1.169540453825e-15       8.518268719947e-14       6.517617451922e-16       8.436783950638e-10       7.518697992074e-11       9.186508560670e-14 
   12       1.965348879215e-10       1.194027852027e-15       7.874044012140e-14       6.985435425778e-16       7.371096912681e-10       6.657322393836e-11       6.311946923823e-14 
   13       1.967459878958e-10       1.250060503406e-15       7.762429402377e-14       7.898392273095e-16       6.496398770163e-10       5.932628058264e-11       2.907092263035e-14 
   14       1.971760799578e-10       1.346963379475e-15       7.954519659291e-14       9.054576430747e-16       5.768651584177e-10       5.324454670616e-11      -9.930570074231e-16 
   15       1.977958550512e-10       1.483676776378e-15       8.262938386140e-14       1.034200817484e-15       5.156181570236e-10       4.810540162009e-11      -2.218715477009e-14 
