# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730337897e+01 
       2.321812845909e-05       1.108985065667e+02 
       3.609173376214e-05       1.695112885803e+02 
       4.904439972694e-05       2.276638164934e+02 
       6.211104704304e-05       2.857256842198e+02 
       7.532746857735e-05       3.439709420833e+02 
       8.873064804492e-05       4.026320523717e+02 
       1.023590926816e-04       4.619218460463e+02 
       1.162531841578e-04       5.220447483079e+02 
       1.304555520066e-04       5.832034996796e+02 
       1.450114738458e-04       6.456037739214e+02 
       1.599693066204e-04       7.093798176474e+02 
       1.753809529236e-04       7.748937575423e+02 
       1.913023661048e-04       8.423149880713e+02 
       2.077940972509e-04       9.118919571594e+02 
       2.249218861034e-04       9.838904134501e+02 
       2.427572963948e-04       1.058595917009e+03 
       2.613783937365e-04       1.136316395736e+03 
       2.808704608154e-04       1.217384674184e+03 
       3.013267399410e-04       1.302160969470e+03 
       3.228491865615e-04       1.391035266269e+03 
       3.455492088576e-04       1.484429456621e+03 
       3.695483575494e-04       1.582799098366e+03 
       3.949789163640e-04       1.686634548708e+03 
       4.219843271948e-04       1.796461214360e+03 
       4.507193653102e-04       1.912838581509e+03 
       4.813499602484e-04       2.036357576792e+03 
       5.140525396193e-04       2.167635818140e+03 
       5.490127597171e-04       2.307310256962e+03 
       5.864234841229e-04       2.456026703620e+03 
       6.264818863382e-04       2.614425963572e+03 
       6.693855925968e-04       2.783126283405e+03 
       7.153278528514e-04       2.962702394688e+03 
       7.644918338936e-04       3.153661702769e+03 
       8.170442633386e-04       3.356418804358e+03 
       8.731288006756e-04       3.571270048901e+03 
       9.328596442615e-04       3.798370286785e+03 
       9.963159659543e-04       4.037714309002e+03 
       1.063537764581e-03       4.289125140981e+03 
       1.134523626239e-03       4.552251059898e+03 
       1.209230679194e-03       4.826572162937e+03 
       1.287576767919e-03       5.111416197140e+03 
       1.369444599257e-03       5.406003853046e+03 
       1.454687391959e-03       5.709457818647e+03 
       1.543135431684e-03       6.020777483277e+03 
       1.634602912099e-03       6.338955744352e+03 
       1.728894515478e-03       6.662975888356e+03 
       1.825811320550e-03       6.991836015081e+03 
       1.925155782887e-03       7.324568397501e+03 
       2.026735681319e-03       7.660254677575e+03 
       2.130367042364e-03       7.998035802040e+03 
       2.235876135455e-03       8.337118648446e+03 
       2.343100676636e-03       8.676778444769e+03 
       2.451890394377e-03       9.016358879593e+03 
       2.562107107073e-03       9.355269658975e+03 
       2.673624445823e-03       9.692984681224e+03 
       2.786327334635e-03       1.002903603308e+04 
       2.900111317649e-03       1.036301090558e+04 
       3.014881802039e-03       1.069454693236e+04 
       3.130553267074e-03       1.102332930937e+04 
       3.247048475047e-03       1.134907327542e+04 
       3.364297708069e-03       1.167154599571e+04 
       3.482238045924e-03       1.199053816894e+04 
       3.600812693636e-03       1.230586999541e+04 
       3.719970362791e-03       1.261739116611e+04 
       3.839664707406e-03       1.292496940839e+04 
       3.959853813072e-03       1.322849617107e+04 
       4.080499736700e-03       1.352788148208e+04 
       4.201568093487e-03       1.382304737758e+04 
       4.323027687306e-03       1.411393719432e+04 
       4.444850180647e-03       1.440049714860e+04 
       4.567009800288e-03       1.468269624848e+04 
       4.689483075068e-03       1.496050267437e+04 
       4.812248602367e-03       1.523390175352e+04 
       4.935286840186e-03       1.550288105195e+04 
       5.058579921982e-03       1.576743742155e+04 
       5.182111491712e-03       1.602757156347e+04 
       5.305866556801e-03       1.628329524063e+04 
       5.429831356981e-03       1.653461599157e+04 
       5.553993247203e-03       1.678155158371e+04 
       5.678340593007e-03       1.702411958822e+04 
       5.802862676925e-03       1.726234332309e+04 
       5.927549614682e-03       1.749625940258e+04 
       6.052392280055e-03       1.772587219296e+04 
       6.177382237451e-03       1.795120418130e+04 
       6.302511681309e-03       1.817231128968e+04 
       6.427773381594e-03       1.838920908502e+04 
       6.553160634691e-03       1.860194026070e+04 
       6.678667219123e-03       1.881055354352e+04 
       6.804287355565e-03       1.901507277292e+04 
       6.930015670697e-03       1.921553610578e+04 
       7.055847164480e-03       1.941198218971e+04 
       7.181777180500e-03       1.960445054559e+04 
