# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585075623e-10       7.806879762086e-15       5.603665502035e-13       4.801772348811e-15       8.295169575053e-09       4.689831305476e-10      -2.069961132771e-12 
    3       2.442152321544e-10       1.011718769492e-14       4.540119597341e-13       4.836880674330e-15       5.166131575285e-09       3.331981595888e-10      -1.657325627571e-12 
    4       2.251775750672e-10       9.681964615159e-15       3.881849559557e-13       4.207385990886e-15       3.599410176111e-09       2.523883983917e-10      -1.177728887856e-12 
    5       2.145248058333e-10       7.469422184164e-15       3.248965127740e-13       3.296630426716e-15       2.687451817383e-09       1.994346330038e-10      -7.494946281771e-13 
    6       2.075459738163e-10       4.913052010721e-15       2.623286058802e-13       2.392976391404e-15       2.097791071917e-09       1.623411795106e-10      -4.080037586702e-13 
    7       2.029896323581e-10       2.947748412643e-15       2.058536469501e-13       1.655335464130e-15       1.690526316054e-09       1.350773603444e-10      -1.621210460477e-13 
    8       2.000069434777e-10       1.817601451798e-15       1.590668454982e-13       1.136857228666e-15       1.396326781897e-09       1.143592537540e-10      -5.637409290260e-15 
    9       1.981635912330e-10       1.330763737989e-15       1.236125778998e-13       8.256954863860e-16       1.175997331386e-09       9.825548713845e-11       7.615638861965e-14 
   10       1.971361087685e-10       1.185936703132e-15       9.941859323234e-14       6.799367371466e-16       1.005661666474e-09       8.546897424169e-11       1.021542845937e-13 
   11       1.966182186637e-10       1.169193971381e-15       8.518269084837e-14       6.514152460737e-16       8.468185520505e-10       7.532557585455e-11       9.187007258001e-14 
   12       1.965347836975e-10       1.193618383964e-15       7.874044484668e-14       6.981340472031e-16       7.398726684211e-10       6.669916800303e-11       6.312347868490e-14 
   13       1.967458658113e-10       1.249582808012e-15       7.762429992280e-14       7.893614889335e-16       6.520878579272e-10       5.944108012604e-11       2.907417701206e-14 
   14       1.971759385439e-10       1.346412218101e-15       7.954520370676e-14       9.049064163348e-16       5.790469664746e-10       5.334959124085e-11      -9.902974540023e-16 
   15       1.977956928412e-10       1.483046914068e-15       8.262939215342e-14       1.033570858672e-15       5.175728438513e-10       4.820187022521e-11      -2.218477643884e-14 
   16       1.985234138211e-10       1.648924160146e-15       8.570215518690e-14       1.169852213573e-15       4.653096099896e-10       4.376933833973e-11      -3.331097047209e-14 
   17       1.994113425655e-10       1.835128401717e-15       8.811878206369e-14       1.310977348198e-15       4.204771024148e-10       3.981993422907e-11      -3.583016836958e-14 
   18       2.003625540973e-10       2.039343708942e-15       8.961342303152e-14       1.456607212017e-15       3.815645482701e-10       3.638523257049e-11      -3.220143898176e-14 
   19       2.013942455094e-10       2.265490109302e-15       9.034947444303e-14       1.606525617636e-15       3.479563593127e-10       3.341957200830e-11      -2.498969674158e-14 
   20       2.024777091661e-10       2.518846896039e-15       9.065386731221e-14       1.760493868960e-15       3.183571460999e-10       3.075304177503e-11      -1.731397988310e-14 
   21       2.036238304904e-10       2.801157030937e-15       9.077293041725e-14       1.918411447086e-15       2.923019257573e-10       2.837633105926e-11      -1.085677766537e-14 
   22       2.048011920508e-10       3.112297943560e-15       9.090467336044e-14       2.080293430775e-15       2.691672106785e-10       2.629147326370e-11      -6.763747210942e-15 
   23       2.060285364961e-10       3.451060144441e-15       9.103604983267e-14       2.246041580165e-15       2.486346043580e-10       2.446041842451e-11      -5.095986803615e-15 
   24       2.072992870215e-10       3.815640925726e-15       9.103610181797e-14       2.415548841935e-15       2.302290924272e-10       2.280640969735e-11      -5.393461577739e-15 
   25       2.086100206101e-10       4.206075630789e-15       9.069966856322e-14       2.588622849810e-15       2.137342246754e-10       2.129056818520e-11      -7.062704034561e-15 
   26       2.099325861177e-10       4.622844753091e-15       8.975872664461e-14       2.765051011943e-15       1.988516955529e-10       1.987814257459e-11      -9.331549869174e-15 
   27       2.112775875858e-10       5.066319516820e-15       8.796697887242e-14       2.944577393477e-15       1.854033487610e-10       1.858668251602e-11      -1.148143211460e-14 
