# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434897817790e-10       5.120179814235e-15       3.941692780660e-13       0.000000000000e+00       8.295169575053e-09       4.689831305476e-10      -2.069961132771e-12 
    3       1.352894704755e-10       7.272962969333e-15       4.620912396745e-13       0.000000000000e+00       5.166131575285e-09       3.331981595888e-10      -1.657325627571e-12 
    4       1.274900159378e-10       7.071366640795e-15       4.487734192610e-13       0.000000000000e+00       3.599410176111e-09       2.523883983917e-10      -1.177728887856e-12 
    5       1.215457262979e-10       5.382209717470e-15       3.963858644698e-13       0.000000000000e+00       2.687451817383e-09       1.994346330038e-10      -7.494946281771e-13 
    6       1.173470529185e-10       3.407934698356e-15       3.302964345609e-13       0.000000000000e+00       2.097791071917e-09       1.623411795106e-10      -4.080037586702e-13 
    7       1.145493340198e-10       1.921982393959e-15       2.661616592117e-13       0.000000000000e+00       1.690526316054e-09       1.350773603444e-10      -1.621210460477e-13 
    8       1.127551238391e-10       1.102595064532e-15       2.121133863704e-13       0.000000000000e+00       1.396326781897e-09       1.143592537540e-10      -5.637409290260e-15 
    9       1.117753985731e-10       7.630669407400e-16       1.714817756865e-13       0.000000000000e+00       1.175997331386e-09       9.825548713845e-11       7.615638861965e-14 
   10       1.114282777522e-10       6.416356199591e-16       1.445258104991e-13       0.000000000000e+00       1.005661666474e-09       8.546897424169e-11       1.021542845937e-13 
   11       1.114903684532e-10       5.698199518170e-16       1.297186923288e-13       0.000000000000e+00       8.468185520505e-10       7.532557585455e-11       9.187007258001e-14 
   12       1.119346367967e-10       4.964589671454e-16       1.245070586579e-13       0.000000000000e+00       7.398726684211e-10       6.669916800303e-11       6.312347868490e-14 
   13       1.126497196076e-10       4.342776616761e-16       1.260356771009e-13       0.000000000000e+00       6.520878579272e-10       5.944108012604e-11       2.907417701206e-14 
   14       1.135778586490e-10       4.032046571739e-16       1.317084503203e-13       0.000000000000e+00       5.790469664746e-10       5.334959124085e-11      -9.902974540023e-16 
   15       1.147008626236e-10       4.061954768034e-16       1.394328726013e-13       0.000000000000e+00       5.175728438513e-10       4.820187022521e-11      -2.218477643884e-14 
   16       1.159436327099e-10       4.334426139047e-16       1.478768149613e-13       0.000000000000e+00       4.653096099896e-10       4.376933833973e-11      -3.331097047209e-14 
   17       1.173620170137e-10       4.752835438147e-16       1.562824365495e-13       0.000000000000e+00       4.204771024148e-10       3.981993422907e-11      -3.583016836958e-14 
   18       1.188668066168e-10       5.295585670099e-16       1.643081230440e-13       0.000000000000e+00       3.815645482701e-10       3.638523257049e-11      -3.220143898176e-14 
   19       1.204579077930e-10       6.003138533150e-16       1.720699696751e-13       0.000000000000e+00       3.479563593127e-10       3.341957200830e-11      -2.498969674158e-14 
   20       1.221258823376e-10       6.927732056886e-16       1.798323385591e-13       0.000000000000e+00       3.183571460999e-10       3.075304177503e-11      -1.731397988310e-14 
   21       1.238710677511e-10       8.088828224069e-16       1.878083789839e-13       0.000000000000e+00       2.923019257573e-10       2.837633105926e-11      -1.085677766537e-14 
   22       1.256674892455e-10       9.487733783447e-16       1.961622838893e-13       0.000000000000e+00       2.691672106785e-10       2.629147326370e-11      -6.763747210942e-15 
   23       1.275264422801e-10       1.111378385260e-15       2.048473843917e-13       0.000000000000e+00       2.486346043580e-10       2.446041842451e-11      -5.095986803615e-15 
   24       1.294474220579e-10       1.294967825111e-15       2.136936131315e-13       0.000000000000e+00       2.302290924272e-10       2.280640969735e-11      -5.393461577739e-15 
   25       1.314210849870e-10       1.499635782570e-15       2.224656229808e-13       0.000000000000e+00       2.137342246754e-10       2.129056818520e-11      -7.062704034561e-15 
   26       1.334225736774e-10       1.725866509295e-15       2.308652009457e-13       0.000000000000e+00       1.988516955529e-10       1.987814257459e-11      -9.331549869174e-15 
   27       1.354600443679e-10       1.973929590059e-15       2.386202961884e-13       0.000000000000e+00       1.854033487610e-10       1.858668251602e-11      -1.148143211460e-14 
   28       1.375411437923e-10       2.244066495617e-15       2.454620205870e-13       0.000000000000e+00       1.731576812285e-10       1.743763034555e-11      -1.283720856183e-14 
   29       1.396714035894e-10       2.537293522226e-15       2.512473209104e-13       0.000000000000e+00       1.620519252540e-10       1.641877966290e-11      -1.332128511391e-14 
   30       1.418420539376e-10       2.854920616066e-15       2.558690444220e-13       0.000000000000e+00       1.519663219646e-10       1.549254620560e-11      -1.308454398061e-14 
