# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854630406881e-10       7.807008000569e-15       5.603733865168e-13       4.801788355491e-15       8.287935995112e-09       4.689126794739e-10      -2.069993881104e-12 
    3       2.442196286930e-10       1.011749724276e-14       4.540260825505e-13       4.836912688126e-15       5.160099350701e-09       3.331218894292e-10      -1.657373589083e-12 
    4       2.251821003918e-10       9.682445309314e-15       3.882083423632e-13       4.207439348431e-15       3.594578853564e-09       2.523130878857e-10      -1.177780830116e-12 
    5       2.145297125731e-10       7.470011063859e-15       3.249305129506e-13       3.296710464974e-15       2.683764150327e-09       1.993639467810e-10      -7.495398919903e-13 
    6       2.075514073816e-10       4.913686302413e-15       2.623739512133e-13       2.393088448006e-15       2.095310599969e-09       1.622777874053e-10      -4.080369587337e-13 
    7       2.029956705870e-10       2.948395741220e-15       2.059099265450e-13       1.655484877626e-15       1.689101987830e-09       1.350212439754e-10      -1.621434562325e-13 
    8       2.000135746870e-10       1.818249282289e-15       1.591330874039e-13       1.137049337466e-15       1.395591660539e-09       1.143085509852e-10      -5.653073779899e-15 
    9       1.981708063936e-10       1.331402497462e-15       1.236881771810e-13       8.259356298350e-16       1.175650351431e-09       9.820841144149e-11       7.614467411369e-14 
   10       1.971438222831e-10       1.186561043176e-15       9.950047898677e-14       6.802302545067e-16       1.005622513605e-09       8.542527578609e-11       1.021455574082e-13 
   11       1.966261050455e-10       1.169807972853e-15       8.526323052800e-14       6.517674762765e-16       8.459688756098e-10       7.527881727046e-11       9.186575555726e-14 
   12       1.965424410644e-10       1.194234117490e-15       7.881128627928e-14       6.985503297093e-16       7.391232477656e-10       6.665567671695e-11       6.312137421019e-14 
   13       1.967530450564e-10       1.250216050029e-15       7.768070269743e-14       7.898471610884e-16       6.514234642439e-10       5.940072358759e-11       2.907245202410e-14 
   14       1.971824917945e-10       1.347078915908e-15       7.958667828608e-14       9.054668150992e-16       5.784553205490e-10       5.331216956231e-11      -9.923369771465e-16 
   15       1.978015804497e-10       1.483760440955e-15       8.265796994819e-14       1.034211320266e-15       5.170438152781e-10       4.816696929081e-11      -2.218712704493e-14 
   16       1.985287284764e-10       1.649694447297e-15       8.572041549341e-14       1.170578070318e-15       4.648350294757e-10       4.373642301658e-11      -3.331342515122e-14 
   17       1.994162400619e-10       1.835963051615e-15       8.812908509045e-14       1.311793931145e-15       4.200504306964e-10       3.978860947294e-11      -3.583246304815e-14 
   18       2.003671075658e-10       2.040249322248e-15       8.961771659825e-14       1.457519850127e-15       3.811799825037e-10       3.635528078125e-11      -3.220332027678e-14 
   19       2.013985020112e-10       2.266472964300e-15       9.034937087129e-14       1.607539636124e-15       3.476093687877e-10       3.339088959276e-11      -2.499102251536e-14 
   20       2.024817102000e-10       2.519912875836e-15       9.065048716619e-14       1.761614588709e-15       3.180435958425e-10       3.072564332198e-11      -1.731476711439e-14 
   21       2.036276150773e-10       2.802312390386e-15       9.076716025918e-14       1.919644185794e-15       2.920180791682e-10       2.835021210300e-11      -1.085712243296e-14 
   22       2.048047928593e-10       3.113549427989e-15       9.089718244314e-14       2.081643503207e-15       2.689101648947e-10       2.626658672375e-11      -6.763788739796e-15 
