# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730354058e+01      -5.522795407421e-09      -3.108391580541e-07      -1.906402415810e+00      -2.339596281801e+00      -8.837596516315e+00       5.582752715370e+00      -1.518266133340e-06 
       2.321812845909e-05       1.108985104878e+02      -5.978333484699e-08      -8.527755186739e+00      -4.327893398580e+00      -3.534555132266e+00      -9.373362750181e+00       6.015920914030e+00      -1.093194962469e-05 
       3.609173376214e-05       1.695113005625e+02      -2.208076730060e-07      -1.363724694536e+01      -4.349368118506e+00      -3.545073654250e+00      -9.377563574555e+00       6.019431542048e+00      -3.726917372962e-05 
       4.904439972694e-05       2.276638372213e+02      -5.476119542885e-07      -1.719079938447e+01      -4.359179392402e+00      -3.550036114125e+00      -9.379549620220e+00       6.021862122967e+00      -8.997188029152e-05 
       6.211104704304e-05       2.857257227035e+02      -1.102267692588e-06      -1.992865771632e+01      -4.354953355450e+00      -3.548637723080e+00      -9.380088885338e+00       6.023719962528e+00      -1.789661814209e-04 
       7.532746857735e-05       3.439710113126e+02      -1.951770023169e-06      -2.216532292394e+01      -4.357397584767e+00      -3.550084100690e+00      -9.379516999049e+00       6.025257339218e+00      -3.149699998644e-04 
       8.873064804491e-05       4.026321624211e+02      -3.169975030045e-06      -2.406417629277e+01      -4.355794450626e+00      -3.549682543802e+00      -9.377959901251e+00       6.026564846460e+00      -5.098034609559e-04 
       1.023590926816e-04       4.619220134039e+02      -4.839735290054e-06      -2.572108568126e+01      -4.356820854889e+00      -3.550382370365e+00      -9.375488114224e+00       6.027719865844e+00      -7.767305018955e-04 
       1.162531841578e-04       5.220449925790e+02      -7.055337112000e-06      -2.719717915773e+01      -4.358223845066e+00      -3.551200108155e+00      -9.372116433749e+00       6.028759560708e+00      -1.130848986142e-03 
       1.304555520066e-04       5.832038460125e+02      -9.925346308950e-06      -2.853387649104e+01      -4.360082249946e+00      -3.552166912450e+00      -9.367832670463e+00       6.029711954166e+00      -1.589546508197e-03 
