# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854630389239e-10       7.807005740837e-15       5.603733865298e-13       4.801786095759e-15       8.271548799504e-09       4.685317376365e-10      -2.069951238151e-12 
    3       2.442196251745e-10       1.011749272283e-14       4.540260826081e-13       4.836908168196e-15       5.148783679851e-09       3.328197740810e-10      -1.657347107405e-12 
    4       2.251820945492e-10       9.682437775088e-15       3.882083425282e-13       4.207431814202e-15       3.586421543644e-09       2.520674591259e-10      -1.177770079661e-12 
    5       2.145297038488e-10       7.469999760686e-15       3.249305133254e-13       3.296699161790e-15       2.677515165586e-09       1.991585712814e-10      -7.495395398760e-13 
    6       2.075513952329e-10       4.913670475016e-15       2.623739519477e-13       2.393072620580e-15       2.090123000437e-09       1.621014120226e-10      -4.080426496860e-13 
    7       2.029956544879e-10       2.948374633649e-15       2.059099278431e-13       1.655463769987e-15       1.684562300408e-09       1.348671047509e-10      -1.621520266825e-13 
    8       2.000135541298e-10       1.818222137923e-15       1.591330895292e-13       1.137022192950e-15       1.391623179383e-09       1.141730308197e-10      -5.662351314611e-15 
    9       1.981707808901e-10       1.331368559044e-15       1.236881804606e-13       8.259016911193e-16       1.172236365187e-09       9.808902267593e-11       7.613605343420e-14 
   10       1.971437913651e-10       1.186519552900e-15       9.950048381387e-14       6.801887636740e-16       1.002639889222e-09       8.531935015954e-11       1.021382987270e-13 
   11       1.966260682650e-10       1.169758172483e-15       8.526323736286e-14       6.517176749225e-16       8.436452661899e-10       7.518727320436e-11       9.186093905702e-14 
