# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434943099161e-10       5.120292046087e-15       3.941761145555e-13       0.000000000000e+00       8.271548891443e-09       4.685317386222e-10      -2.069951237988e-12 
    3       1.352938570264e-10       7.273240503281e-15       4.621053625816e-13       0.000000000000e+00       5.148783777928e-09       3.328197752046e-10      -1.657347107229e-12 
    4       1.274945246214e-10       7.071793977528e-15       4.487968061276e-13       0.000000000000e+00       3.586421641969e-09       2.520674603294e-10      -1.177770079518e-12 
    5       1.215506080725e-10       5.382718559106e-15       3.964198653169e-13       0.000000000000e+00       2.677515259530e-09       1.991585725081e-10      -7.495395397803e-13 
    6       1.173524514802e-10       3.408456933758e-15       3.303417809241e-13       0.000000000000e+00       2.090123086037e-09       1.621014132226e-10      -4.080426496410e-13 
    7       1.145553255491e-10       1.922480310417e-15       2.662179406646e-13       0.000000000000e+00       1.684562377137e-09       1.348671059039e-10      -1.621520266858e-13 
    8       1.127616949820e-10       1.103050788665e-15       2.121796313140e-13       0.000000000000e+00       1.391623249343e-09       1.141730319281e-10      -5.662351357229e-15 
    9       1.117825385971e-10       7.634655617780e-16       1.715573794929e-13       0.000000000000e+00       1.172236430342e-09       9.808902374366e-11       7.613605336819e-14 
   10       1.114358993736e-10       6.419664517685e-16       1.446077027748e-13       0.000000000000e+00       1.002639950115e-09       8.531935118163e-11       1.021382986578e-13 
   11       1.114981445132e-10       5.700817381853e-16       1.297992411099e-13       0.000000000000e+00       8.436453010237e-10       7.518727389456e-11       9.186093888377e-14 
   12       1.119421637368e-10       4.966584440274e-16       1.245779122077e-13       0.000000000000e+00       7.370769744587e-10       6.657346122014e-11       6.311773981467e-14 
   13       1.126567466452e-10       4.344252715015e-16       1.260920957165e-13       0.000000000000e+00       6.496077079944e-10       5.932633966158e-11       2.906966894851e-14 
   14       1.135842362541e-10       4.033110167657e-16       1.317499450432e-13       0.000000000000e+00       5.768337125732e-10       5.324449609116e-11      -9.944626848883e-16 
   15       1.147065495092e-10       4.062686332889e-16       1.394614753144e-13       0.000000000000e+00       5.155874787886e-10       4.810520011429e-11      -2.218886376252e-14 
   16       1.159487199396e-10       4.334871744871e-16       1.478951055257e-13       0.000000000000e+00       4.635206694692e-10       4.367995167078e-11      -3.331494466297e-14 
   17       1.173666587828e-10       4.753017933809e-16       1.562927757307e-13       0.000000000000e+00       4.188586123459e-10       3.973693755754e-11      -3.583387739316e-14 
   18       1.188710744940e-10       5.295517954624e-16       1.643124586121e-13       0.000000000000e+00       3.800954003137e-10       3.630795582041e-11      -3.220471154979e-14 
   19       1.204618472904e-10       6.002830344349e-16       1.720699139521e-13       0.000000000000e+00       3.466180179476e-10       3.334747381679e-11      -2.499242123255e-14 
   20       1.221295334156e-10       6.927189249828e-16       1.798290124298e-13       0.000000000000e+00       3.171348861926e-10       3.068579482965e-11      -1.731613561161e-14 
   21       1.238744679482e-10       8.088060460458e-16       1.878026692275e-13       0.000000000000e+00       2.911825410161e-10       2.831357397841e-11      -1.085840582545e-14 
   22       1.256706698179e-10       9.486755728999e-16       1.961548595993e-13       0.000000000000e+00       2.681398790195e-10       2.623279808235e-11      -6.764937176980e-15 
   23       1.275294286915e-10       1.111261091454e-15       2.048388029027e-13       0.000000000000e+00       2.476895831850e-10       2.440546583076e-11      -5.096831911533e-15 
   24       1.294502326926e-10       1.294832385174e-15       2.136843132465e-13       0.000000000000e+00       2.293582736766e-10       2.275493947747e-11      -5.394044884291e-15 
   25       1.314237419305e-10       1.499483315588e-15       2.224559295310e-13       0.000000000000e+00       2.129302593797e-10       2.124236844051e-11      -7.063130144789e-15 
   26       1.334251021670e-10       1.725697940738e-15       2.308553190013e-13       0.000000000000e+00       1.981083461847e-10       1.983301906734e-11      -9.331941950672e-15 
   27       1.354624578828e-10       1.973746340493e-15       2.386104161176e-13       0.000000000000e+00       1.847150208431e-10       1.854440807204e-11      -1.148186818130e-14 
   28       1.375434400166e-10       2.243870560784e-15       2.454523356761e-13       0.000000000000e+00       1.725196317429e-10       1.739794962756e-11      -1.283769802758e-14 
   29       1.396735826626e-10       2.537086664232e-15       2.512379719127e-13       0.000000000000e+00       1.614596300663e-10       1.638144261037e-11      -1.332180457840e-14 
   30       1.418441247951e-10       2.854703950732e-15       2.558600855788e-13       0.000000000000e+00       1.514157070602e-10       1.545734382068e-11      -1.308504373632e-14 
   31       1.440361486175e-10       3.198111358133e-15       2.592335355617e-13       0.000000000000e+00       1.421824325073e-10       1.458085496517e-11      -1.233471447376e-14 
   32       1.462556955328e-10       3.568720470295e-15       2.613781493520e-13       0.000000000000e+00       1.337122062635e-10       1.375393575603e-11      -1.126081826343e-14 
   33       1.485092523632e-10       3.968010825690e-15       2.623706478741e-13       0.000000000000e+00       1.259454520770e-10       1.299018593257e-11      -1.009074580706e-14 
   34       1.507955140175e-10       4.397408879070e-15       2.622928149423e-13       0.000000000000e+00       1.187737918549e-10       1.229780989186e-11      -9.066203766941e-15 
   35       1.531126753646e-10       4.857798334709e-15       2.611161849684e-13       0.000000000000e+00       1.121604885790e-10       1.167036099462e-11      -8.281189885299e-15 
   36       1.554518451040e-10       5.349829690912e-15       2.587775106304e-13       0.000000000000e+00       1.060523253274e-10       1.109173261776e-11      -7.789075720441e-15 
   37       1.578008616243e-10       5.874091447043e-15       2.552108117265e-13       0.000000000000e+00       1.003696376279e-10       1.054371372485e-11      -7.621433154363e-15 
   38       1.601675069263e-10       6.431284819531e-15       2.503549735135e-13       0.000000000000e+00       9.509771994337e-11       1.002584339433e-11      -7.706669052440e-15 
   39       1.625628597904e-10       7.022096906731e-15       2.441479680601e-13       0.000000000000e+00       9.021986440609e-11       9.541531485038e-12      -7.922059922276e-15 
   40       1.649945060061e-10       7.647148423595e-15       2.365243835597e-13       0.000000000000e+00       8.568956190215e-11       9.092521261188e-12      -8.112798432450e-15 
   41       1.674657873803e-10       8.307035646842e-15       2.274201702561e-13       0.000000000000e+00       8.144670481097e-11       8.678677956559e-12      -8.132986634902e-15 
   42       1.699743386789e-10       9.002482963378e-15       2.167895528700e-13       0.000000000000e+00       7.747878813615e-11       8.297689499405e-12      -7.989776255113e-15 
   43       1.725123154667e-10       9.734232776324e-15       2.045930520197e-13       0.000000000000e+00       7.377525585541e-11       7.944975823572e-12      -7.742572286288e-15 
   44       1.750661901404e-10       1.050300248240e-14       1.907928835779e-13       0.000000000000e+00       7.030913492484e-11       7.613544912669e-12      -7.464786408903e-15 
   45       1.776221839974e-10       1.130942862307e-14       1.753572339154e-13       0.000000000000e+00       6.704666673247e-11       7.296055190624e-12      -7.228722212841e-15 
   46       1.801856110148e-10       1.215388207891e-14       1.582745808233e-13       0.000000000000e+00       6.398271460812e-11       6.992153504511e-12      -7.052861422673e-15 
   47       1.827665151171e-10       1.303659571179e-14       1.395436748828e-13       0.000000000000e+00       6.111371884581e-11       6.703030940212e-12      -6.940248266660e-15 
   48       1.853741406381e-10       1.395771012640e-14       1.191698993050e-13       0.000000000000e+00       5.842701814749e-11       6.429328357864e-12      -6.893000487617e-15 
   49       1.880168008467e-10       1.491726939357e-14       9.716552772593e-14       0.000000000000e+00       5.590017276862e-11       6.171088978286e-12      -6.912231079375e-15 
   50       1.907005166852e-10       1.591528271684e-14       7.354105037787e-14       0.000000000000e+00       5.350772275160e-11       5.927897923471e-12      -6.996144343240e-15 
   51       1.934248024026e-10       1.695193908740e-14       4.827577889223e-14       0.000000000000e+00       5.124519556294e-11       5.699455490498e-12      -7.133896366875e-15 
   52       1.961855087178e-10       1.802744350229e-14       2.133970811699e-14       0.000000000000e+00       4.911044507351e-11       5.485077529076e-12      -7.309932758481e-15 
   53       1.989757677694e-10       1.914195496795e-14      -7.298408290498e-15       0.000000000000e+00       4.709646681549e-11       5.283484388178e-12      -7.505508390212e-15 
   54       2.017858037692e-10       2.029558532672e-14      -3.767122038025e-14       0.000000000000e+00       4.519107101444e-11       5.092762300309e-12      -7.698523220278e-15 
   55       2.046062148023e-10       2.148838668232e-14      -6.980948461890e-14       0.000000000000e+00       4.338060017224e-11       4.910889575090e-12      -7.868942422822e-15 
   56       2.074392067084e-10       2.272031270662e-14      -1.037308404944e-13       0.000000000000e+00       4.166291234807e-11       4.737556719654e-12      -8.017009659228e-15 
   57       2.102898182824e-10       2.399124566518e-14      -1.394485304398e-13       0.000000000000e+00       4.003705049315e-11       4.572730836743e-12      -8.149270803934e-15 
   58       2.131626417041e-10       2.530100539370e-14      -1.769746424776e-13       0.000000000000e+00       3.849931478212e-11       4.416114181968e-12      -8.273438282144e-15 
   59       2.160617684314e-10       2.664934768029e-14      -2.163201379386e-13       0.000000000000e+00       3.704309322498e-11       4.267127553637e-12      -8.398444462369e-15 
   60       2.189907350929e-10       2.803596264783e-14      -2.574948791808e-13       0.000000000000e+00       3.565869227912e-11       4.124893682576e-12      -8.534495048966e-15 
   61       2.219523542306e-10       2.946047170797e-14      -3.005044105790e-13       0.000000000000e+00       3.433602826423e-11       3.988498829181e-12      -8.690050853495e-15 
   62       2.249482845418e-10       3.092242128390e-14      -3.453393944521e-13       0.000000000000e+00       3.307379075771e-11       3.857883767318e-12      -8.861860652625e-15 
   63       2.279792677199e-10       3.242128480159e-14      -3.919838423126e-13       0.000000000000e+00       3.187204480025e-11       3.733124226425e-12      -9.042775662607e-15 
   64       2.310451784748e-10       3.395646236368e-14      -4.404180785499e-13       0.000000000000e+00       3.072947453106e-11       3.614162703139e-12      -9.224580547997e-15 
   65       2.341449667720e-10       3.552727908652e-14      -4.906186651334e-13       0.000000000000e+00       2.964330457098e-11       3.500800678433e-12      -9.397949353977e-15 
   66       2.372766000713e-10       3.713298343716e-14      -5.425583263149e-13       0.000000000000e+00       2.860922140557e-11       3.392690834737e-12      -9.552401438675e-15 
   67       2.404370055660e-10       3.877274557031e-14      -5.962058733314e-13       0.000000000000e+00       2.762129476824e-11       3.289329273069e-12      -9.676257405480e-15 
   68       2.436232080286e-10       4.044567012850e-14      -6.515294952828e-13       0.000000000000e+00       2.667356097412e-11       3.190196428976e-12      -9.759430289033e-15 
   69       2.468361401894e-10       4.215084137126e-14      -7.085075743984e-13       0.000000000000e+00       2.576532120288e-11       3.095230374051e-12      -9.802554367045e-15 
   70       2.500775042239e-10       4.388728424484e-14      -7.671199370300e-13       0.000000000000e+00       2.489678048938e-11       3.004435876918e-12      -9.809635419814e-15 
   71       2.533486177643e-10       4.565394945825e-14      -8.273446919768e-13       0.000000000000e+00       2.406744529767e-11       2.917740281422e-12      -9.785407075742e-15 
   72       2.566503867163e-10       4.744971219023e-14      -8.891582412799e-13       0.000000000000e+00       2.327608740919e-11       2.834989526800e-12      -9.735359256538e-15 
   73       2.599832780766e-10       4.927337079609e-14      -9.525352910164e-13       0.000000000000e+00       2.252070781109e-11       2.755944167844e-12      -9.665766622419e-15 
   74       2.633472927501e-10       5.112364551467e-14      -1.017448862093e-12       0.000000000000e+00       2.179850058437e-11       2.680275395070e-12      -9.583717017311e-15 
   75       2.667419383668e-10       5.299917717519e-14      -1.083870301043e-12       0.000000000000e+00       2.110581679219e-11       2.607561054886e-12      -9.497139914049e-15 
   76       2.701666577028e-10       5.489857213941e-14      -1.151768890070e-12       0.000000000000e+00       2.043907005288e-11       2.537389767935e-12      -9.413116695509e-15 
   77       2.736222642260e-10       5.682054944787e-14      -1.221110571247e-12       0.000000000000e+00       1.979772373192e-11       2.469704001307e-12      -9.332392888832e-15 
   78       2.771097201596e-10       5.876381828184e-14      -1.291859008198e-12       0.000000000000e+00       1.918178540189e-11       2.404512617307e-12      -9.253912240478e-15 
   79       2.806296865502e-10       6.072703376914e-14      -1.363975968745e-12       0.000000000000e+00       1.859089695274e-11       2.341786590630e-12      -9.176439425078e-15 
   80       2.841825054270e-10       6.270879663907e-14      -1.437421327477e-12       0.000000000000e+00       1.802431779006e-11       2.281457245167e-12      -9.098553258293e-15 
   81       2.877681819620e-10       6.470765287748e-14      -1.512153068335e-12       0.000000000000e+00       1.748090803334e-11       2.223414490813e-12      -9.018639909670e-15 
   82       2.913863666295e-10       6.672209338174e-14      -1.588127287182e-12       0.000000000000e+00       1.695911171418e-11       2.167505060279e-12      -8.934886115494e-15 
   83       2.950363373657e-10       6.875055361568e-14      -1.665298194381e-12       0.000000000000e+00       1.645693997459e-11       2.113530745893e-12      -8.845272391644e-15 
   84       2.987173500390e-10       7.079142293854e-14      -1.743617880604e-12       0.000000000000e+00       1.597245436403e-11       2.061299053414e-12      -8.748151364898e-15 
   85       3.024297956961e-10       7.284307512416e-14      -1.823035563987e-12       0.000000000000e+00       1.550534559116e-11       2.010788674034e-12      -8.644107792270e-15 
   86       3.061742033450e-10       7.490384229218e-14      -1.903498222313e-12       0.000000000000e+00       1.505558690740e-11       1.962008338945e-12      -8.534395883266e-15 
   87       3.099508772240e-10       7.697200550426e-14      -1.984950817300e-12       0.000000000000e+00       1.462294900534e-11       1.914945972105e-12      -8.420384599298e-15 
   88       3.137598851512e-10       7.904579458164e-14      -2.067336293205e-12       0.000000000000e+00       1.420699162203e-11       1.869567808001e-12      -8.303560700464e-15 
   89       3.176010468744e-10       8.112338792278e-14      -2.150595575415e-12       0.000000000000e+00       1.380705514222e-11       1.825817509419e-12      -8.185531792331e-15 
   90       3.214739224207e-10       8.320291232088e-14      -2.234667569047e-12       0.000000000000e+00       1.342225220165e-11       1.783615285204e-12      -8.068029372706e-15 
   91       3.253778004463e-10       8.528244278148e-14      -2.319489157547e-12       0.000000000000e+00       1.305145929034e-11       1.742857008030e-12      -7.952911878420e-15 
   92       3.293116865866e-10       8.736000234007e-14      -2.404995201282e-12       0.000000000000e+00       1.269330835580e-11       1.703413332166e-12      -7.842167732105e-15 
   93       3.332746174083e-10       8.943360987291e-14      -2.491120146166e-12       0.000000000000e+00       1.234651131654e-11       1.665161363803e-12      -7.737514216593e-15 
   94       3.372666815854e-10       9.150143215158e-14      -2.577803129316e-12       0.000000000000e+00       1.201090767070e-11       1.628087036955e-12      -7.639118469507e-15 
   95       3.412881314826e-10       9.356165442659e-14      -2.664983642262e-12       0.000000000000e+00       1.168655965624e-11       1.592196575384e-12      -7.546688864285e-15 
   96       3.453390641532e-10       9.561243494175e-14      -2.752600009771e-12       0.000000000000e+00       1.137342960405e-11       1.557484882415e-12      -7.459859574965e-15 
   97       3.494194141580e-10       9.765190541055e-14      -2.840589410538e-12       0.000000000000e+00       1.107137611104e-11       1.523935105542e-12      -7.378188074961e-15 
   98       3.535289463850e-10       9.967817149253e-14      -2.928887897888e-12       0.000000000000e+00       1.078015021322e-11       1.491518201038e-12      -7.301152635835e-15 
   99       3.576672488683e-10       1.016893132696e-13      -3.017430420473e-12       0.000000000000e+00       1.049939155875e-11       1.460192498568e-12      -7.228149826062e-15 
  100       3.618337256076e-10       1.036833857227e-13      -3.106150842971e-12       0.000000000000e+00       1.022862458103e-11       1.429903265795e-12      -7.158492009809e-15 
  101       3.660275893875e-10       1.056584192075e-13      -3.194981966781e-12       0.000000000000e+00       9.967254671790e-12       1.400582272990e-12      -7.091404845695e-15 
  102       3.702478545965e-10       1.076124199318e-13      -3.283855550720e-12       0.000000000000e+00       9.714564354126e-12       1.372147357644e-12      -7.026024785573e-15 
  103       3.744933300467e-10       1.095433704308e-13      -3.372702331727e-12       0.000000000000e+00       9.469709455603e-12       1.344501989073e-12      -6.961396573292e-15 
  104       3.787628713801e-10       1.114492748612e-13      -3.461452336659e-12       0.000000000000e+00       9.231910450317e-12       1.317557523745e-12      -6.896666564617e-15 
  105       3.830561925871e-10       1.133283008230e-13      -3.550035821101e-12       0.000000000000e+00       9.001064164972e-12       1.291304332902e-12      -6.831697815758e-15 
  106       3.873731512359e-10       1.151786576728e-13      -3.638382496552e-12       0.000000000000e+00       8.777207955569e-12       1.265749516282e-12      -6.766533808137e-15 
  107       3.917134943984e-10       1.169985543747e-13      -3.726421274259e-12       0.000000000000e+00       8.560330255470e-12       1.240894885612e-12      -6.701209701877e-15 
  108       3.960768543222e-10       1.187862004694e-13      -3.814080289106e-12       0.000000000000e+00       8.350368893178e-12       1.216736778566e-12      -6.635751986459e-15 
  109       4.004627441022e-10       1.205398070431e-13      -3.901286923518e-12       0.000000000000e+00       8.147209410131e-12       1.193265872725e-12      -6.570178131373e-15 
  110       4.048705533530e-10       1.222575876963e-13      -3.987967831352e-12       0.000000000000e+00       7.950683378487e-12       1.170466999531e-12      -6.504496236765e-15 
  111       4.092995438803e-10       1.239377595123e-13      -4.074048961798e-12       0.000000000000e+00       7.760566718913e-12       1.148318958252e-12      -6.438704684095e-15 
  112       4.137488453531e-10       1.255785440268e-13      -4.159455583273e-12       0.000000000000e+00       7.576578018377e-12       1.126794329933e-12      -6.372791786781e-15 
  113       4.182174509753e-10       1.271781681961e-13      -4.244112307319e-12       0.000000000000e+00       7.398376847928e-12       1.105859291356e-12      -6.306735440856e-15 
  114       4.227042131579e-10       1.287348653665e-13      -4.327943112499e-12       0.000000000000e+00       7.225562080495e-12       1.085473429001e-12      -6.240502775619e-15 
  115       4.272078391908e-10       1.302468762427e-13      -4.410871368294e-12       0.000000000000e+00       7.057670208666e-12       1.065589552999e-12      -6.174049804284e-15 
  116       4.317270702097e-10       1.317124993281e-13      -4.492820790121e-12       0.000000000000e+00       6.894276954459e-12       1.046164869406e-12      -6.107349708902e-15 
  117       4.362612520364e-10       1.331302471316e-13      -4.573718385025e-12       0.000000000000e+00       6.735319710219e-12       1.027196435751e-12      -6.040482343390e-15 
  118       4.408098259374e-10       1.344987108601e-13      -4.653491910664e-12       0.000000000000e+00       6.580811323985e-12       1.008689686921e-12      -5.973555007007e-15 
  119       4.453721488610e-10       1.358165140379e-13      -4.732069008023e-12       0.000000000000e+00       6.430739554717e-12       9.906473778766e-13      -5.906674688650e-15 
  120       4.499474907294e-10       1.370823139130e-13      -4.809377233537e-12       0.000000000000e+00       6.285066303358e-12       9.730694980359e-13      -5.839947970674e-15 
  121       4.545350317319e-10       1.382948028633e-13      -4.885344091221e-12       0.000000000000e+00       6.143726843903e-12       9.559531856627e-13      -5.773480932723e-15 
  122       4.591338596166e-10       1.394527098029e-13      -4.959897064803e-12       0.000000000000e+00       6.006629054473e-12       9.392926422496e-13      -5.707379055561e-15 
  123       4.637429669838e-10       1.405548015883e-13      -5.032963649848e-12       0.000000000000e+00       5.873652648376e-12       9.230790469039e-13      -5.641747124895e-15 
  124       4.683612485778e-10       1.415998844248e-13      -5.104471385895e-12       0.000000000000e+00       5.744648405181e-12       9.073004707322e-13      -5.576689135206e-15 
  125       4.729874985799e-10       1.425868052727e-13      -5.174347888579e-12       0.000000000000e+00       5.619437401782e-12       8.919417912259e-13      -5.512308193575e-15 
  126       4.776204079007e-10       1.435144532538e-13      -5.242520881762e-12       0.000000000000e+00       5.497810243472e-12       8.769846066461e-13      -5.448706423513e-15 
  127       4.822585614729e-10       1.443817610571e-13      -5.308918229669e-12       0.000000000000e+00       5.379526295004e-12       8.624071504088e-13      -5.385984868788e-15 
  128       4.869004355434e-10       1.451877063460e-13      -5.373467969007e-12       0.000000000000e+00       5.264312911668e-12       8.481842054699e-13      -5.324243397255e-15 
  129       4.915445537533e-10       1.459313525992e-13      -5.436099058626e-12       0.000000000000e+00       5.151924033882e-12       8.342923493165e-13      -5.263548977923e-15 
  130       4.961899804859e-10       1.466119737161e-13      -5.496743653205e-12       0.000000000000e+00       5.042324871778e-12       8.207265213317e-13      -5.203836781818e-15 
  131       5.008358767747e-10       1.472289458022e-13      -5.555335140868e-12       0.000000000000e+00       4.935526121934e-12       8.074851195557e-13      -5.144997999520e-15 
  132       5.054813448121e-10       1.477817106309e-13      -5.611807484916e-12       0.000000000000e+00       4.831526079188e-12       7.945647859921e-13      -5.086910176075e-15 
  133       5.101254263782e-10       1.482697773317e-13      -5.666095261094e-12       0.000000000000e+00       4.730310292488e-12       7.819603591368e-13      -5.029436888519e-15 
