# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730365444e+01 
       2.321812845909e-05       1.108985117021e+02 
       3.609173376214e-05       1.695113043054e+02 
       4.904439972694e-05       2.276638484468e+02 
       6.211104704304e-05       2.857257440336e+02 
       7.532746857735e-05       3.439710497375e+02 
       8.873064804491e-05       4.026322273087e+02 
       1.023590926816e-04       4.619221131128e+02 
       1.162531841578e-04       5.220451374081e+02 
       1.304555520066e-04       5.832040470439e+02 
       1.450114738457e-04       6.456045231764e+02 
       1.599693066204e-04       7.093807666737e+02 
       1.753809529236e-04       7.748950093962e+02 
       1.913023661048e-04       8.423166136793e+02 
       2.077940972509e-04       9.118940434249e+02 
       2.249218861033e-04       9.838930585064e+02 
       2.427572963948e-04       1.058599240439e+03 
       2.613783937365e-04       1.136320544304e+03 
       2.808704608154e-04       1.217389819498e+03 
       3.013267399410e-04       1.302167319281e+03 
       3.228491865615e-04       1.391043068620e+03 
       3.455492088575e-04       1.484439016149e+03 
       3.695483575494e-04       1.582810778498e+03 
       3.949789163640e-04       1.686648792446e+03 
       4.219843271948e-04       1.796478562312e+03 
       4.507193653101e-04       1.912859692308e+03 
       4.813499602484e-04       2.036383253340e+03 
       5.140525396193e-04       2.167667044295e+03 
       5.490127597170e-04       2.307348232759e+03 
       5.864234841228e-04       2.456072905291e+03 
       6.264818863381e-04       2.614482190924e+03 
       6.693855925968e-04       2.783194739110e+03 
       7.153278528513e-04       2.962785766640e+03 
       7.644918338936e-04       3.153763254997e+03 
       8.170442633386e-04       3.356542485755e+03 
       8.731288006755e-04       3.571420632575e+03 
       9.328596442615e-04       3.798553487216e+03 
       9.963159659542e-04       4.037936920797e+03 
       1.063537764581e-03       4.289395185536e+03 
       1.134523626239e-03       4.552577970134e+03 
       1.209230679194e-03       4.826966874823e+03 
       1.287576767919e-03       5.111891299358e+03 
       1.369444599257e-03       5.406536454636e+03 
       1.454687391959e-03       5.709990869128e+03 
       1.543135431684e-03       6.021309673730e+03 
       1.634602912099e-03       6.339486017009e+03 
       1.728894515478e-03       6.663503313128e+03 
       1.825811320550e-03       6.992359747589e+03 
       1.925155782887e-03       7.325087805946e+03 
       2.026735681319e-03       7.660769177404e+03 
       2.130367042364e-03       7.998544840872e+03 
       2.235876135455e-03       8.337621923523e+03 
       2.343100676636e-03       8.677275596291e+03 
       2.451890394377e-03       9.016849467081e+03 
       2.562107107073e-03       9.355753834989e+03 
       2.673624445823e-03       9.693461972032e+03 
       2.786327334635e-03       1.002950648666e+04 
       2.900111317649e-03       1.036347416894e+04 
       3.014881802039e-03       1.069500331560e+04 
       3.130553267074e-03       1.102377532343e+04 
       3.247048475047e-03       1.134951476468e+04 
       3.364297708069e-03       1.167197991416e+04 
       3.482238045923e-03       1.199096491318e+04 
       3.600812693636e-03       1.230628917562e+04 
       3.719970362791e-03       1.261780289207e+04 
       3.839664707406e-03       1.292537335201e+04 
       3.959853813072e-03       1.322889254216e+04 
       4.080499736700e-03       1.352827050723e+04 
       4.201568093487e-03       1.382342910632e+04 
       4.323027687306e-03       1.411431152989e+04 
       4.444850180647e-03       1.440086313814e+04 
       4.567009800288e-03       1.468305475090e+04 
       4.689483075068e-03       1.496085321172e+04 
       4.812248602367e-03       1.523424285732e+04 
       4.935286840186e-03       1.550321621391e+04 
       5.058579921982e-03       1.576776556471e+04 
       5.182111491712e-03       1.602789281855e+04 
       5.305866556801e-03       1.628360762474e+04 
       5.429831356981e-03       1.653491923449e+04 
       5.553993247203e-03       1.678184739952e+04 
       5.678340593006e-03       1.702440558202e+04 
       5.802862676925e-03       1.726262245910e+04 
       5.927549614681e-03       1.749652991251e+04 
       6.052392280055e-03       1.772617605394e+04 
       6.177382237450e-03       1.795152577358e+04 
       6.302511681309e-03       1.817262869210e+04 
       6.427773381594e-03       1.838954919195e+04 
       6.553160634691e-03       1.860228950643e+04 
       6.678667219122e-03       1.881077269141e+04 
       6.804287355565e-03       1.901528212580e+04 
       6.930015670697e-03       1.921573384360e+04 
       7.055847164479e-03       1.941217498419e+04 
       7.181777180500e-03       1.960463212609e+04 
       7.307801379070e-03       1.979314390741e+04 
       7.433915712780e-03       1.997776615769e+04 
       7.560116404275e-03       2.015852251520e+04 
       7.686399926014e-03       2.033545800597e+04 
       7.812762981824e-03       2.050861309714e+04 
       7.939202490069e-03       2.067802616756e+04 
       8.065715568266e-03       2.084373400440e+04 
       8.192299519032e-03       2.100578294114e+04 
       8.318951817208e-03       2.116420600947e+04 
       8.445670098061e-03       2.131904265822e+04 
       8.572452146473e-03       2.147033357750e+04 
       8.699295887004e-03       2.161812384730e+04 
       8.826199374762e-03       2.176244989402e+04 
       8.953160787016e-03       2.190334283260e+04 
       9.080178415458e-03       2.204084495506e+04 
       9.207250659091e-03       2.217501979935e+04 
       9.334376017655e-03       2.230587110641e+04 
       9.461553085571e-03       2.243345097015e+04 
       9.588780546346e-03       2.255779579429e+04 
       9.716057167395e-03       2.267894114024e+04 
       9.843381795261e-03       2.279692298489e+04 
       9.970753351188e-03       2.291179322200e+04 
       1.009817082702e-02       2.302356537619e+04 
       1.022563328138e-02       2.313228986600e+04 
       1.035313983621e-02       2.323799622446e+04 
       1.048068967341e-02       2.334070321318e+04 
       1.060828203188e-02       2.344049467449e+04 
       1.073591620467e-02       2.353738190989e+04 
       1.086359153639e-02       2.363135719409e+04 
       1.099130742072e-02       2.372251386395e+04 
       1.111906329821e-02       2.381087536533e+04 
       1.124685865418e-02       2.389642129253e+04 
       1.137469301670e-02       2.397924502287e+04 
       1.150256595483e-02       2.405937664432e+04 
       1.163047707693e-02       2.413680358557e+04 
       1.175842602905e-02       2.421161390564e+04 
       1.188641249350e-02       2.428380081250e+04 
       1.201443618746e-02       2.435340467916e+04 
       1.214249686173e-02       2.442045887964e+04 
       1.227059429957e-02       2.448500302462e+04 
       1.239872831558e-02       2.454705845286e+04 
       1.252689875467e-02       2.460664515669e+04 
       1.265510549116e-02       2.466380171419e+04 
       1.278334842789e-02       2.471857645934e+04 
       1.291162749538e-02       2.477097085153e+04 
       1.303994265110e-02       2.482104318470e+04 
       1.316829387881e-02       2.486879715003e+04 
       1.329668118784e-02       2.491427969600e+04 
       1.342510461258e-02       2.495749913074e+04 
       1.355356421189e-02       2.499850485623e+04 
       1.368206006859e-02       2.503730304064e+04 
       1.381059228906e-02       2.507395679529e+04 
       1.393916100277e-02       2.510844932021e+04 
       1.406776636193e-02       2.514083472546e+04 
       1.419640854111e-02       2.517114382923e+04 
       1.432508773700e-02       2.519939905698e+04 
       1.445380416806e-02       2.522560500403e+04 
       1.458255807434e-02       2.524981443348e+04 
       1.471134971720e-02       2.527204271100e+04 
       1.484017937920e-02       2.529231935597e+04 
       1.496904736387e-02       2.531066806258e+04 
       1.509795399561e-02       2.532711476634e+04 
       1.522689961960e-02       2.534168436423e+04 
       1.535588460168e-02       2.535440592299e+04 
       1.548490932832e-02       2.536529880929e+04 
       1.561397420656e-02       2.537438827440e+04 
       1.574307966400e-02       2.538170556660e+04 
       1.587222614882e-02       2.538727616079e+04 
       1.600141412980e-02       2.539110161844e+04 
       1.613064409636e-02       2.539321794938e+04 
       1.625991655862e-02       2.539366317400e+04 
       1.638923204749e-02       2.539244801710e+04 
       1.651859111480e-02       2.538959369104e+04 
       1.664799433338e-02       2.538514575540e+04 
       1.677744229721e-02       2.537909317016e+04 
       1.690693562161e-02       2.537150072066e+04 
       1.703647494338e-02       2.536232938414e+04 
       1.716606092099e-02       2.535163167070e+04 
       1.729569423481e-02       2.533945788230e+04 
       1.742537558732e-02       2.532578960985e+04 
       1.755510570338e-02       2.531069965651e+04 
       1.768488533045e-02       2.529415013660e+04 
       1.781471523888e-02       2.527620718842e+04 
       1.794459622222e-02       2.525687366377e+04 
       1.807452909752e-02       2.523613653341e+04 
       1.820451470563e-02       2.521407552253e+04 
       1.833455391158e-02       2.519071016685e+04 
       1.846464760492e-02       2.516602295895e+04 
       1.859479670009e-02       2.514003981214e+04 
       1.872500213684e-02       2.511281743869e+04 
       1.885526488061e-02       2.508433247301e+04 
       1.898558592297e-02       2.505461210879e+04 
       1.911596628205e-02       2.502369913049e+04 
       1.924640700304e-02       2.499159265775e+04 
       1.937690915863e-02       2.495832004873e+04 
       1.950747384953e-02       2.492391587365e+04 
       1.963810220498e-02       2.488837448320e+04 
       1.976879538328e-02       2.485173347963e+04 
       1.989955457238e-02       2.481400624597e+04 
       2.003038099040e-02       2.477516755313e+04 
       2.016127588626e-02       2.473534802714e+04 
       2.029224054028e-02       2.469446024493e+04 
       2.042327626483e-02       2.465252058426e+04 
       2.055438440499e-02       2.460962505222e+04 
       2.068556633919e-02       2.456575405640e+04 
       2.081682347996e-02       2.452093204752e+04 
       2.094815727463e-02       2.447512247119e+04 
       2.107956920606e-02       2.442843043787e+04 
       2.121106079346e-02       2.438081056495e+04 
       2.134263359312e-02       2.433230500280e+04 
       2.147428919931e-02       2.428292114093e+04 
       2.160602924503e-02       2.423268054583e+04 
       2.173785540298e-02       2.418160879849e+04 
       2.186976938640e-02       2.412970376967e+04 
       2.200177295002e-02       2.407694150497e+04 
       2.213386789099e-02       2.402348138057e+04 
       2.226605604995e-02       2.396923095141e+04 
       2.239833931192e-02       2.391416756546e+04 
       2.253071960749e-02       2.385841163803e+04 
       2.266319891380e-02       2.380193192421e+04 
       2.279577925570e-02       2.374473474354e+04 
       2.292846270690e-02       2.368681361549e+04 
       2.306125139117e-02       2.362824243030e+04 
       2.319414748354e-02       2.356894078022e+04 
       2.332715321158e-02       2.350906746398e+04 
       2.346027085672e-02       2.344851792976e+04 
       2.359350275556e-02       2.338736285697e+04 
       2.372685130130e-02       2.332558560514e+04 
       2.386031894513e-02       2.326322998695e+04 
       2.399390819777e-02       2.320027450755e+04 
       2.412762163093e-02       2.313683017812e+04 
       2.426146187892e-02       2.307277705443e+04 
       2.439543164029e-02       2.300818912527e+04 
       2.452953367946e-02       2.294303842476e+04 
       2.466377082853e-02       2.287742649067e+04 
       2.479814598899e-02       2.281131455570e+04 
       2.493266213362e-02       2.274474958093e+04 
       2.506732230841e-02       2.267769579127e+04 
       2.520212963448e-02       2.261014902054e+04 
       2.533708731018e-02       2.254217900569e+04 
       2.547219861317e-02       2.247375160810e+04 
       2.560746690259e-02       2.240493177473e+04 
       2.574289562134e-02       2.233573169190e+04 
       2.587848829840e-02       2.226609503984e+04 
       2.601424855124e-02       2.219611749091e+04 
       2.615018008833e-02       2.212567852554e+04 
       2.628628671169e-02       2.205494615746e+04 
       2.642257231958e-02       2.198388067469e+04 
       2.655904090928e-02       2.191244931475e+04 
       2.669569657994e-02       2.184065247845e+04 
       2.683254353554e-02       2.176865692643e+04 
       2.696958608796e-02       2.169624148956e+04 
       2.710682866019e-02       2.162358328944e+04 
       2.724427578962e-02       2.155062794415e+04 
       2.738193213142e-02       2.147741749139e+04 
       2.751980246214e-02       2.140393994093e+04 
       2.765789168337e-02       2.133017851595e+04 
       2.779620482556e-02       2.125623865975e+04 
       2.793474705194e-02       2.118199648554e+04 
       2.807352366270e-02       2.110755553736e+04 
       2.821254009921e-02       2.103286563743e+04 
       2.835180194844e-02       2.095804508944e+04 
       2.849131494763e-02       2.088298567160e+04 
       2.863108498899e-02       2.080777853761e+04 
       2.877111812472e-02       2.073231134786e+04 
       2.891142057220e-02       2.065667444289e+04 
       2.905199871931e-02       2.058095323132e+04 
       2.919285913007e-02       2.050506663085e+04 
       2.933400855045e-02       2.042900502648e+04 
       2.947545391441e-02       2.035280407764e+04 
       2.961720235026e-02       2.027651611253e+04 
       2.975926118717e-02       2.020001818873e+04 
       2.990163796208e-02       2.012351701594e+04 
       3.004434042682e-02       2.004687462808e+04 
       3.018737655555e-02       1.997012955879e+04 
       3.033075455253e-02       1.989326062288e+04 
       3.047448286026e-02       1.981633414325e+04 
       3.061857016788e-02       1.973933064729e+04 
       3.076302542009e-02       1.966222342576e+04 
       3.090785782629e-02       1.958508197339e+04 
       3.105307687032e-02       1.950791755487e+04 
       3.119869232049e-02       1.943063183405e+04 
