# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854625536653e-10       7.806752114420e-15       5.603733905941e-13       4.801532469378e-15       8.295499407873e-09       4.690126592714e-10      -2.069992388920e-12 
    3       2.442186581636e-10       1.011698533648e-14       4.540261007014e-13       4.836400782207e-15       5.166338602616e-09       3.332178195109e-10      -1.657372579442e-12 
    4       2.251804905484e-10       9.681591840656e-15       3.882083944421e-13       4.206585881526e-15       3.599552055429e-09       2.524017936899e-10      -1.177779947383e-12 
    5       2.145273119992e-10       7.468730328963e-15       3.249306313768e-13       3.295429736065e-15       2.687554259247e-09       1.994441057321e-10      -7.495389949104e-13 
    6       2.075480699022e-10       4.911892409591e-15       2.623741835724e-13       2.391294571462e-15       2.097867602921e-09       1.623480954573e-10      -4.080360070531e-13 
    7       2.029912559683e-10       2.946002593424e-15       2.059103378623e-13       1.653091767558e-15       1.690585096368e-09       1.350824225606e-10      -1.621424598259e-13 
    8       2.000079491670e-10       1.815170569329e-15       1.591337620470e-13       1.133970702133e-15       1.396373119105e-09       1.143629058353e-10      -5.652073015491e-15 
    9       1.981638430325e-10       1.327551698654e-15       1.236892203642e-13       8.220849765728e-16       1.176034768518e-09       9.825814950511e-11       7.614562758826e-14 
   10       1.971354011282e-10       1.181851440767e-15       9.950201786007e-14       6.755209051720e-16       1.005692562282e-09       8.547102437161e-11       1.021464160427e-13 
   11       1.966161131131e-10       1.164152676161e-15       8.526541484834e-14       6.461125927840e-16       8.468410012653e-10       7.532723813350e-11       9.186644485605e-14 
   12       1.965307721455e-10       1.187546097361e-15       7.881428867357e-14       6.918629487598e-16       7.398913501625e-10       6.670070243806e-11       6.312193668079e-14 
   13       1.967395993613e-10       1.242408182841e-15       7.768471853794e-14       7.820402368043e-16       6.521035877820e-10       5.944239344045e-11       2.907289200810e-14 
   14       1.971671754552e-10       1.338064036032e-15       7.959192520899e-14       8.964532679310e-16       5.790603816172e-10       5.335073102352e-11      -9.920111607630e-16 
   15       1.977843049056e-10       1.473451400309e-15       8.266468705404e-14       1.023904090253e-15       5.175843585439e-10       4.820283707016e-11      -2.218687737930e-14 
   16       1.985094097695e-10       1.638004180413e-15       8.572886227431e-14       1.158890172594e-15       4.653196103102e-10       4.377013241467e-11      -3.331320282698e-14 
   17       1.993947980738e-10       1.822804644466e-15       8.813954013237e-14       1.298638511476e-15       4.204858090367e-10       3.982061364595e-11      -3.583226163614e-14 
   18       2.003434652126e-10       2.025536083801e-15       8.963047608576e-14       1.442810239364e-15       3.815721939635e-10       3.638582317421e-11      -3.220311352557e-14 
   19       2.013725845157e-10       2.250118494030e-15       9.036474707520e-14       1.591189394745e-15       3.479631620737e-10       3.342008942027e-11      -2.499078882253e-14 
   20       2.024534442409e-10       2.501831138522e-15       9.066880660675e-14       1.743537557216e-15       3.183632407574e-10       3.075350409867e-11      -1.731450841790e-14 
   21       2.035969282172e-10       2.782417775173e-15       9.078876215008e-14       1.899754511024e-15       2.923074187885e-10       2.837675168708e-11      -1.085685397063e-14 
   22       2.047716128314e-10       3.091756815864e-15       9.092241677645e-14       2.059855671931e-15       2.691721864727e-10       2.629185733977e-11      -6.763533852531e-15 
   23       2.059962347233e-10       3.428639375698e-15       9.105662248231e-14       2.223743142789e-15       2.486391354515e-10       2.446076872130e-11      -5.095615613929e-15 
   24       2.072642093031e-10       3.791263134239e-15       9.106031084433e-14       2.391310226384e-15       2.302332364143e-10       2.280672854966e-11      -5.393004225777e-15 
   25       2.085721164690e-10       4.179663825514e-15       9.072821236626e-14       2.562364896339e-15       2.137380313669e-10       2.129086020972e-11      -7.062229452958e-15 
