# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.345593985115e-10       5.479321549681e-15       3.692470004184e-13       2.575061211826e-19       7.789173688337e-09       4.800288814065e-10      -2.013584093749e-12 
    3       1.268922604174e-10       8.566558607528e-15       4.587556637226e-13       5.151663896562e-19       4.907639410858e-09       3.422808165662e-10      -1.709236866721e-12 
    4       1.195932601522e-10       9.153844833030e-15       4.657406826208e-13       8.589486667417e-19       3.444086521219e-09       2.604319071149e-10      -1.295985080858e-12 
    5       1.140151923634e-10       7.682628054937e-15       4.272163297907e-13       1.289046033310e-18       2.585365005941e-09       2.067073550594e-10      -8.961851679687e-13 
    6       1.100608538011e-10       5.353917722896e-15       3.679712673019e-13       1.805689516685e-18       2.026937092027e-09       1.688424901816e-10      -5.520056542428e-13 
    7       1.073969273942e-10       3.237865731141e-15       3.045285785135e-13       2.409141784246e-18       1.639359133797e-09       1.408718547727e-10      -2.814524294950e-13 
    8       1.057878758172e-10       1.841556154422e-15       2.463486814925e-13       3.099690121867e-18       1.358288070469e-09       1.195759668201e-10      -8.825219040453e-14 
    9       1.049729016124e-10       1.152823571125e-15       1.985581774392e-13       3.877638958324e-18       1.147187407574e-09       1.029712099893e-10       3.311057664029e-14 
   10       1.047289016126e-10       9.027580349239e-16       1.633848940231e-13       4.743302211894e-18       9.835897201112e-10       8.971800531956e-11       9.422675422940e-14 
   11       1.049589823543e-10       8.181148495908e-16       1.408144998818e-13       5.696995739433e-18       8.293442436780e-10       7.915619758646e-11       1.097858717821e-13 
   12       1.055686117204e-10       7.469137563719e-16       1.292721273440e-13       6.739030161256e-18       7.261122098478e-10       6.999974127248e-11       9.542021173663e-14 
   13       1.064050737365e-10       6.582410490314e-16       1.264533703065e-13       7.869704317314e-18       6.411791292179e-10       6.256886595803e-11       6.550067533921e-14 
   14       1.075159000954e-10       5.802704012174e-16       1.297768903695e-13       9.089299582323e-18       5.703798649101e-10       5.624539222877e-11       3.078189489480e-14 
   15       1.087803123116e-10       5.415092531731e-16       1.367105840600e-13       1.039807523072e-17       5.106745606119e-10       5.078468306167e-11      -7.834279084850e-16 
   16       1.101850123433e-10       5.462412067537e-16       1.452327254187e-13       1.179626499815e-17       4.598212822732e-10       4.612946538877e-11      -2.440651894942e-14 
   17       1.117207628565e-10       5.803228850354e-16       1.539963052663e-13       1.328407493625e-17       4.161258249487e-10       4.211797553069e-11      -3.838291378547e-14 
   18       1.133541590613e-10       6.269184057438e-16       1.621764248590e-13       1.486168198317e-17       3.781420545154e-10       3.858669475840e-11      -4.327007288140e-14 
   19       1.150941319879e-10       6.831809995955e-16       1.695854373476e-13       1.652923758597e-17       3.452864864823e-10       3.547854407988e-11      -4.083477759263e-14 
   20       1.169099898020e-10       7.513028666486e-16       1.762611158901e-13       1.828686267380e-17       3.163095006828e-10       3.269208971906e-11      -3.397121989516e-14 
   21       1.187948472616e-10       8.388176457192e-16       1.824966625551e-13       2.013465975145e-17       2.907670162395e-10       3.021130156676e-11      -2.507363300348e-14 
   22       1.207224881792e-10       9.545715370239e-16       1.887086834810e-13       2.207270704070e-17       2.680584091038e-10       2.800588207571e-11      -1.662433148573e-14 
   23       1.227038079842e-10       1.099966176673e-15       1.951795345668e-13       2.410107334520e-17       2.478788053606e-10       2.603647617824e-11      -9.945212375108e-15 
   24       1.247400691747e-10       1.273126670150e-15       2.021049465478e-13       2.621981214255e-17       2.297689993325e-10       2.424034216520e-11      -5.888289799882e-15 
   25       1.268244093448e-10       1.472006066306e-15       2.093932363988e-13       2.842897942639e-17       2.135208083920e-10       2.261376702679e-11      -4.435769363128e-15 
   26       1.289357231320e-10       1.694225196977e-15       2.168105523585e-13       3.072862652453e-17       1.988448465325e-10       2.115396465436e-11      -5.112631469783e-15 
   27       1.310822979417e-10       1.939611517223e-15       2.241149477270e-13       3.311881594774e-17       1.855687490057e-10       1.984104233665e-11      -7.202589539322e-15 
   28       1.332713911236e-10       2.208487943520e-15       2.310202132689e-13       3.559961668792e-17       1.734673889086e-10       1.864115153477e-11      -9.827551072006e-15 
   29       1.355072612298e-10       2.501038445668e-15       2.372479453176e-13       3.817112371486e-17       1.624811508074e-10       1.754611111524e-11      -1.242972188204e-14 
   30       1.377803267545e-10       2.817213188614e-15       2.424734627468e-13       4.083344577211e-17       1.524942234935e-10       1.654496375652e-11      -1.445182151037e-14 
   31       1.400716583876e-10       3.157035468027e-15       2.463712996374e-13       4.358670522958e-17       1.433055672400e-10       1.561848563180e-11      -1.536087191727e-14 
   32       1.423872015603e-10       3.521844697903e-15       2.488604368945e-13       4.643105356993e-17       1.348692119746e-10       1.476326297070e-11      -1.521030334609e-14 
   33       1.447340149678e-10       3.913536656635e-15       2.499524506587e-13       4.936666511933e-17       1.271268736888e-10       1.397495454340e-11      -1.429638066880e-14 
   34       1.471123076166e-10       4.334099200795e-15       2.496864676616e-13       5.239373359688e-17       1.199718302741e-10       1.324427780299e-11      -1.297010118781e-14 
   35       1.495225055579e-10       4.785048941156e-15       2.481142157833e-13       5.551246662247e-17       1.133683291654e-10       1.256753532856e-11      -1.145830051681e-14 
   36       1.519589844547e-10       5.267808937324e-15       2.453135449235e-13       5.872309263656e-17       1.072641954891e-10       1.193877428973e-11      -9.987880555996e-15 
   37       1.544124441817e-10       5.783719022522e-15       2.413629783629e-13       6.202585342787e-17       1.015809534592e-10       1.134945948046e-11      -8.786347199815e-15 
