# Matter power spectrum P(k) at redshift z=0
# for k=1.0117e-05 to 103.777 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.011704584828e-05       4.256425338139e+01 
       2.252863818979e-05       9.478102693240e+01 
       3.498088032007e-05       1.471664247519e+02 
       4.750487403730e-05       1.998499281282e+02 
       6.013220002994e-05       2.529629483428e+02 
       7.289517939661e-05       3.066398906439e+02 
       8.582714296666e-05       3.610192682635e+02 
       9.896271176565e-05       4.162448133038e+02 
       1.123380919965e-04       4.724666795529e+02 
       1.259913879373e-04       5.298427035926e+02 
       1.399629361710e-04       5.885397376569e+02 
       1.542956645395e-04       6.487350837920e+02 
       1.690354791123e-04       7.106180228885e+02 
       1.842316822480e-04       7.743914571118e+02 
       1.999374244202e-04       8.402736756643e+02 
       2.162101918264e-04       9.085002377183e+02 
       2.331123307588e-04       9.793259763343e+02 
       2.507116081840e-04       1.053027113225e+03 
       2.690818057615e-04       1.129903462190e+03 
       2.883033414221e-04       1.210280686607e+03 
       3.084639083901e-04       1.294512556254e+03 
       3.296591158741e-04       1.382983124755e+03 
       3.519931082993e-04       1.476108708824e+03 
       3.755791306615e-04       1.574339528965e+03 
       4.005399962074e-04       1.678160791416e+03 
       4.270083992841e-04       1.788092973038e+03 
       4.551270013341e-04       1.904690987939e+03 
       4.850482027281e-04       2.028541853672e+03 
       5.169334993868e-04       2.160260450180e+03 
       5.509523139774e-04       2.300482922605e+03 
       5.872801911229e-04       2.449857294585e+03 
       6.260962597852e-04       2.609030953264e+03 
       6.675798993602e-04       2.778634859463e+03 
       7.119066036400e-04       2.959264525356e+03 
       7.592431201027e-04       3.151458266574e+03 
       8.097420468834e-04       3.355673686784e+03 
       8.635361844246e-04       3.572263692007e+03 
       9.207330432723e-04       3.801453961410e+03 
       9.814099782593e-04       4.043324000126e+03 
       1.045610427440e-03       4.297793640666e+03 
       1.113341665747e-03       4.564616955450e+03 
       1.184574339565e-03       4.843384552340e+03 
       1.259243850777e-03       5.133534062174e+03 
       1.337253445067e-03       5.434346886218e+03 
       1.418478672696e-03       5.745016020085e+03 
       1.502772766077e-03       6.064666774104e+03 
       1.589972434630e-03       6.392351638036e+03 
       1.679903610174e-03       6.727094794290e+03 
       1.772386765405e-03       7.067916358812e+03 
       1.867241546247e-03       7.413853143903e+03 
       1.964290579685e-03       7.763975287987e+03 
       2.063362423007e-03       8.117398257474e+03 
       2.164293698214e-03       8.473293114460e+03 
       2.266930504760e-03       8.830889584290e+03 
       2.371129228266e-03       9.189479346835e+03 
       2.476756868247e-03       9.548417087366e+03 
       2.583691000757e-03       9.907116898114e+03 
       2.691819477583e-03       1.026505170710e+04 
       2.801039946507e-03       1.062174750561e+04 
       2.911259259849e-03       1.097678438681e+04 
       3.022392822777e-03       1.132978484933e+04 
       3.134363919317e-03       1.168041827002e+04 
       3.247103042989e-03       1.202838856262e+04 
       3.360547250279e-03       1.237343999563e+04 
       3.474639548549e-03       1.271534057907e+04 
       3.589328325050e-03       1.305389595012e+04 
       3.704566820194e-03       1.338892819491e+04 
       3.820312645754e-03       1.372028817695e+04 
       3.936527347007e-03       1.404784597379e+04 
       4.053176006781e-03       1.437148587532e+04 
       4.170226888739e-03       1.469111675096e+04 
       4.287651116916e-03       1.500665052404e+04 
       4.405422388403e-03       1.531802412475e+04 
       4.523516716143e-03       1.562518093160e+04 
       4.641912198876e-03       1.592800009472e+04 
       4.760588815496e-03       1.622659182377e+04 
       4.879528241270e-03       1.652083200261e+04 
       4.998713683568e-03       1.681071123781e+04 
       5.118129735009e-03       1.709626314655e+04 
       5.237762242115e-03       1.737748616579e+04 
       5.357598187746e-03       1.765432018101e+04 
       5.477625585815e-03       1.792675256469e+04 
       5.597833386906e-03       1.819418481347e+04 
       5.718211393600e-03       1.845784130529e+04 
       5.838750184427e-03       1.871693570474e+04 
       5.959441045495e-03       1.897208668121e+04 
       6.080275908970e-03       1.922277497750e+04 
       6.201247297638e-03       1.946903399900e+04 
       6.322348274908e-03       1.971097751037e+04 
       6.443572399668e-03       1.994877072454e+04 
       6.564913685469e-03       2.018252877685e+04 
       6.686366563591e-03       2.041253733061e+04 
       6.807925849569e-03       2.063784395593e+04 
       6.929586712844e-03       2.085921540630e+04 
       7.051344649183e-03       2.107641285124e+04 
       7.173195455620e-03       2.128952460017e+04 
       7.295135207642e-03       2.149862133466e+04 
       7.417160238401e-03       2.170350791748e+04 
       7.539267119756e-03       2.190457852598e+04 
       7.661452644959e-03       2.210163687186e+04 
       7.783713812831e-03       2.229472107672e+04 
       7.906047813282e-03       2.248411315408e+04 
       8.028452014050e-03       2.267045058468e+04 
       8.150923948543e-03       2.285216053036e+04 
       8.273461304679e-03       2.303012387900e+04 
       8.396061914638e-03       2.320433839116e+04 
       8.518723745440e-03       2.337488560740e+04 
       8.641444890274e-03       2.354181669791e+04 
       8.764223560511e-03       2.370500138167e+04 
       8.887058078344e-03       2.386465157122e+04 
       9.009946869996e-03       2.401997491604e+04 
       9.132888459452e-03       2.417260563707e+04 
       9.255881462665e-03       2.432254975813e+04 
       9.378924582200e-03       2.446823157352e+04 
       9.502016602281e-03       2.461051674552e+04 
       9.625156384198e-03       2.474845233915e+04 
       9.748342862059e-03       2.488498316513e+04 
       9.871575038850e-03       2.501638245158e+04 
       9.994851982776e-03       2.514622196627e+04 
       1.011817282387e-02       2.527208922743e+04 
       1.024153675085e-02       2.539452191603e+04 
       1.036494300818e-02       2.551399895733e+04 
       1.048839089335e-02       2.563011354265e+04 
       1.061187975437e-02       2.574208732835e+04 
       1.073540898739e-02       2.585341455647e+04 
       1.085897803453e-02       2.596025996816e+04 
       1.098258638184e-02       2.606336879563e+04 
       1.110623355740e-02       2.616441397179e+04 
       1.122991912956e-02       2.626356987719e+04 
       1.135364270531e-02       2.635874401106e+04 
       1.147740392871e-02       2.645105329312e+04 
       1.160120247953e-02       2.654040901936e+04 
       1.172503807188e-02       2.662706354894e+04 
       1.184891045297e-02       2.670984360011e+04 
       1.197281940201e-02       2.679083127002e+04 
       1.209676472911e-02       2.687032649716e+04 
       1.222074627427e-02       2.694601021499e+04 
       1.234476390652e-02       2.701798463683e+04 
       1.246881752300e-02       2.708837326393e+04 
       1.259290704822e-02       2.715718314904e+04 
       1.271703243327e-02       2.722142650106e+04 
       1.284119365521e-02       2.728446497625e+04 
       1.296539071638e-02       2.734411956410e+04 
       1.308962364386e-02       2.740168645845e+04 
       1.321389248889e-02       2.745789759692e+04 
       1.333819732647e-02       2.751065728148e+04 
       1.346253825480e-02       2.756035822878e+04 
       1.358691539496e-02       2.760899956599e+04 
       1.371132889049e-02       2.765359053900e+04 
       1.383577890708e-02       2.769725163149e+04 
       1.396026563224e-02       2.773904255666e+04 
       1.408478927505e-02       2.777691501153e+04 
       1.420935006591e-02       2.781407566015e+04 
       1.433394825634e-02       2.784758795154e+04 
       1.445858411876e-02       2.788048651457e+04 
       1.458325794640e-02       2.791051317167e+04 
       1.470797005310e-02       2.793828432800e+04 
       1.483272077323e-02       2.796404731086e+04 
       1.495751046162e-02       2.798662972803e+04 
       1.508233949349e-02       2.800919934229e+04 
       1.520720826440e-02       2.802750739815e+04 
       1.533211719025e-02       2.804557825499e+04 
       1.545706670728e-02       2.806108496360e+04 
       1.558205727209e-02       2.807444467856e+04 
       1.570708936169e-02       2.808643389803e+04 
       1.583216347355e-02       2.809595723139e+04 
       1.595728012572e-02       2.810476719269e+04 
       1.608243985687e-02       2.810971668204e+04 
       1.620764322646e-02       2.811386996361e+04 
       1.633289081486e-02       2.811636721911e+04 
       1.645818322350e-02       2.811698216458e+04 
       1.658352107504e-02       2.811589302832e+04 
       1.670890501356e-02       2.811304381884e+04 
       1.683433570478e-02       2.810966161027e+04 
       1.695981383625e-02       2.810220387882e+04 
       1.708534011761e-02       2.809426592700e+04 
       1.721091528085e-02       2.808470493648e+04 
       1.733654008055e-02       2.807350291452e+04 
       1.746221529421e-02       2.806163919616e+04 
       1.758794172252e-02       2.804634862292e+04 
       1.771372018970e-02       2.803043851991e+04 
       1.783955154381e-02       2.801400112496e+04 
       1.796543665714e-02       2.799408550351e+04 
       1.809137642655e-02       2.797461965661e+04 
       1.821737177387e-02       2.795227153514e+04 
       1.834342364632e-02       2.792946308515e+04 
       1.846953301687e-02       2.790448324121e+04 
       1.859570088476e-02       2.787853851149e+04 
       1.872192827589e-02       2.785101429263e+04 
       1.884821624332e-02       2.782220371055e+04 
       1.897456586779e-02       2.779078978387e+04 
       1.910097825816e-02       2.775959190827e+04 
       1.922745455199e-02       2.772684448729e+04 
       1.935399591608e-02       2.769262145549e+04 
       1.948060354704e-02       2.765712654672e+04 
       1.960727867184e-02       2.762057771118e+04 
       1.973402254846e-02       2.758333974718e+04 
       1.986083646652e-02       2.754389397170e+04 
       1.998772174787e-02       2.750478563624e+04 
       2.011467974732e-02       2.746277859628e+04 
       2.024171185332e-02       2.742019073848e+04 
       2.036881948865e-02       2.737668950622e+04 
       2.049600411117e-02       2.733226401417e+04 
       2.062326721459e-02       2.728638432794e+04 
       2.075061032927e-02       2.723953370831e+04 
       2.087803502296e-02       2.719179620337e+04 
       2.100554290174e-02       2.714298334451e+04 
       2.113313561079e-02       2.709372855321e+04 
       2.126081483534e-02       2.704232751957e+04 
       2.138858230158e-02       2.699055108474e+04 
       2.151643977757e-02       2.693801998196e+04 
       2.164438907425e-02       2.688459909082e+04 
       2.177243204646e-02       2.682951414176e+04 
       2.190057059394e-02       2.677405393759e+04 
       2.202880666244e-02       2.671824877195e+04 
       2.215714224479e-02       2.666133122445e+04 
       2.228557938207e-02       2.660266304040e+04 
       2.241412016479e-02       2.654379296709e+04 
       2.254276673408e-02       2.648409257159e+04 
       2.267152128294e-02       2.642365533369e+04 
       2.280038605756e-02       2.636236293935e+04 
       2.292936335865e-02       2.630042390040e+04 
       2.305845554279e-02       2.623771171745e+04 
       2.318766502387e-02       2.617429178646e+04 
       2.331699427454e-02       2.611055416587e+04 
       2.344644582775e-02       2.604595973850e+04 
       2.357602227829e-02       2.597978479279e+04 
       2.370572628440e-02       2.591358345621e+04 
       2.383556056945e-02       2.584672980050e+04 
       2.396552792365e-02       2.577923774159e+04 
       2.409563120582e-02       2.571116576430e+04 
       2.422587334525e-02       2.564254906183e+04 
       2.435625734356e-02       2.557324259965e+04 
       2.448678627669e-02       2.550343878661e+04 
       2.461746329692e-02       2.543294985442e+04 
       2.474829163493e-02       2.536197879836e+04 
       2.487927460203e-02       2.529052178028e+04 
       2.501041559232e-02       2.521896739111e+04 
       2.514171808506e-02       2.514593366654e+04 
       2.527318564707e-02       2.507281632841e+04 
       2.540482193514e-02       2.499946890950e+04 
