# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.0117e-05 to 103.777 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.011704584828e-05       4.256425328115e+01      -4.356647839809e-09      -3.430001161178e-07       1.852727998786e+00      -2.228686185209e-01      -3.804588472531e+00       2.287290493253e+00      -1.435598308192e-06 
       2.252863818979e-05       9.478102583393e+01      -4.810511868646e-08      -3.314822630568e+00      -2.164327925857e+00      -1.773516501386e+00      -4.717301961889e+00       3.029547108964e+00      -1.016304371176e-05 
       3.498088032007e-05       1.471664206868e+02      -1.800819600100e-07      -5.874928477313e+00      -2.181152573830e+00      -1.781270935703e+00      -4.716961839824e+00       3.030276621278e+00      -3.471424825450e-05 
       4.750487403730e-05       1.998499177773e+02      -4.510039423566e-07      -7.655635739764e+00      -2.198059130290e+00      -1.788895416120e+00      -4.715648826292e+00       3.030790826120e+00      -8.422635883993e-05 
       6.013220002994e-05       2.529629275160e+02      -9.146840414733e-07      -9.027227112353e+00      -2.188196473846e+00      -1.784577666412e+00      -4.713468710541e+00       3.031142465466e+00      -1.683869499180e-04 
       7.289517939661e-05       3.066398533632e+02      -1.629394590461e-06      -1.014714475769e+01      -2.195344231893e+00      -1.787774933137e+00      -4.710522598784e+00       3.031463018941e+00      -2.976872688528e-04 
       8.582714296666e-05       3.610192075780e+02      -2.659375689157e-06      -1.109726233166e+01      -2.191473628695e+00      -1.786075291606e+00      -4.706775013647e+00       3.031719306036e+00      -4.836944267458e-04 
       9.896271176565e-05       4.162447200142e+02      -4.076542835362e-06      -1.192561574992e+01      -2.191167938334e+00      -1.785932282741e+00      -4.702223322204e+00       3.031953009429e+00      -7.393587968865e-04 
       1.123380919965e-04       4.724665433767e+02      -5.962457186355e-06      -1.266284051269e+01      -2.192490782124e+00      -1.786474370804e+00      -4.696828348762e+00       3.032167893593e+00      -1.079368670186e-03 
       1.259913879373e-04       5.298425110941e+02      -8.410632943455e-06      -1.332968837105e+01      -2.194326605746e+00      -1.787203523966e+00      -4.690537726184e+00       3.032366905659e+00      -1.520565667277e-03 
