# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.345589020027e-10       5.479064043517e-15       3.692470048432e-13       0.000000000000e+00       7.789173688337e-09       4.800288814065e-10      -2.013584093749e-12 
    3       1.268912695598e-10       8.566043440710e-15       4.587556834246e-13       0.000000000000e+00       4.907639410858e-09       3.422808165662e-10      -1.709236866721e-12 
    4       1.195916134682e-10       9.152985882259e-15       4.657407391677e-13       0.000000000000e+00       3.444086521219e-09       2.604319071149e-10      -1.295985080858e-12 
    5       1.140127311044e-10       7.681339001704e-15       4.272164584290e-13       0.000000000000e+00       2.585365005941e-09       2.067073550594e-10      -8.961851679687e-13 
    6       1.100574225048e-10       5.352112013763e-15       3.679715198231e-13       0.000000000000e+00       2.026937092027e-09       1.688424901816e-10      -5.520056542428e-13 
    7       1.073923743639e-10       3.235456543764e-15       3.045290257900e-13       0.000000000000e+00       1.639359133797e-09       1.408718547727e-10      -2.814524294950e-13 
    8       1.057820535144e-10       1.838456370163e-15       2.463494156405e-13       0.000000000000e+00       1.358288070469e-09       1.195759668201e-10      -8.825219040453e-14 
    9       1.049656669567e-10       1.148945754940e-15       1.985593135865e-13       0.000000000000e+00       1.147187407574e-09       1.029712099893e-10       3.311057664029e-14 
   10       1.047201161847e-10       8.980144230293e-16       1.633865716707e-13       0.000000000000e+00       9.835897201112e-10       8.971800531956e-11       9.422675422940e-14 
   11       1.049485125018e-10       8.124173452472e-16       1.408168838637e-13       0.000000000000e+00       8.293442436780e-10       7.915619758646e-11       1.097858717821e-13 
