# Matter power spectrum P(k) at redshift z=1
# for k=1.0117e-05 to 103.777 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.011704584828e-05       1.613791700072e+01 
       2.252863818979e-05       3.593556094926e+01 
       3.498088032007e-05       5.579722814835e+01 
       4.750487403730e-05       7.577206043940e+01 
       6.013220002994e-05       9.590993562935e+01 
       7.289517939661e-05       1.162618716536e+02 
       8.582714296666e-05       1.368804447240e+02 
       9.896271176565e-05       1.578202200757e+02 
       1.123380919965e-04       1.791382041802e+02 
       1.259913879373e-04       2.008943245959e+02 
       1.399629361710e-04       2.231519398465e+02 
       1.542956645395e-04       2.459783814923e+02 
       1.690354791123e-04       2.694455400161e+02 
       1.842316822480e-04       2.936304878268e+02 
       1.999374244202e-04       3.186161526747e+02 
       2.162101918264e-04       3.444920346487e+02 
       2.331123307588e-04       3.713549689300e+02 
       2.507116081840e-04       3.993099334064e+02 
       2.690818057615e-04       4.284708862594e+02 
       2.883033414221e-04       4.589616276758e+02 
       3.084639083901e-04       4.909166599024e+02 
       3.296591158741e-04       5.244820147346e+02 
       3.519931082993e-04       5.598160091910e+02 
       3.755791306615e-04       5.970898651573e+02 
       4.005399962074e-04       6.364881204600e+02 
       4.270083992841e-04       6.782087293143e+02 
       4.551270013341e-04       7.224627330289e+02 
       4.850482027281e-04       7.694733578770e+02 
       5.169334993868e-04       8.194743755526e+02 
       5.509523139774e-04       8.727075624878e+02 
       5.872801911229e-04       9.294190943675e+02 
       6.260962597852e-04       9.898547435526e+02 
       6.675798993602e-04       1.054253829543e+03 
       7.119066036400e-04       1.122841969325e+03 
       7.592431201027e-04       1.195822799950e+03 
       8.097420468834e-04       1.273369077486e+03 
       8.635361844246e-04       1.355613656030e+03 
       9.207330432723e-04       1.442641070316e+03 
       9.814099782593e-04       1.534480501584e+03 
       1.045610427440e-03       1.631100843463e+03 
       1.113341665747e-03       1.732408498325e+03 
       1.184574339565e-03       1.838248230009e+03 
       1.259243850777e-03       1.948407107292e+03 
       1.337253445067e-03       2.062612957774e+03 
       1.418478672696e-03       2.180559918117e+03 
       1.502772766077e-03       2.301916125139e+03 
       1.589972434630e-03       2.426321752663e+03 
       1.679903610174e-03       2.553406034233e+03 
       1.772386765405e-03       2.682796683425e+03 
       1.867241546247e-03       2.814127926084e+03 
       1.964290579685e-03       2.947046865616e+03 
       2.063362423007e-03       3.081217974180e+03 
       2.164293698214e-03       3.216326825315e+03 
       2.266930504760e-03       3.352081177714e+03 
       2.371129228266e-03       3.488212195215e+03 
       2.476756868247e-03       3.624474875790e+03 
       2.583691000757e-03       3.760646747224e+03 
       2.691819477583e-03       3.896527708992e+03 
       2.801039946507e-03       4.031937853734e+03 
       2.911259259849e-03       4.166717814969e+03 
       3.022392822777e-03       4.300724391746e+03 
       3.134363919317e-03       4.433832159142e+03 
       3.247103042989e-03       4.565928665726e+03 
       3.360547250279e-03       4.696916804750e+03 
       3.474639548549e-03       4.826708662515e+03 
       3.589328325050e-03       4.955230311924e+03 
       3.704566820194e-03       5.082414314676e+03 
       3.820312645754e-03       5.208204076662e+03 
       3.936527347007e-03       5.332550324196e+03 
       4.053176006781e-03       5.455409225149e+03 
       4.170226888739e-03       5.576746114785e+03 
       4.287651116916e-03       5.696527555517e+03 
       4.405422388403e-03       5.814729619250e+03 
       4.523516716143e-03       5.931330825479e+03 
       4.641912198876e-03       6.046312472556e+03 
       4.760588815496e-03       6.159661845389e+03 
       4.879528241270e-03       6.271367534906e+03 
       4.998713683568e-03       6.381422274400e+03 
       5.118129735009e-03       6.489820762434e+03 
       5.237762242115e-03       6.596557912865e+03 
       5.357598187746e-03       6.701636894223e+03 
       5.477625585815e-03       6.805053838006e+03 
       5.597833386906e-03       6.906813764831e+03 
       5.718211393600e-03       7.006919249705e+03 
       5.838750184427e-03       7.105375368258e+03 
       5.959441045495e-03       7.202234976761e+03 
       6.080275908970e-03       7.297551490532e+03 
       6.201247297638e-03       7.391093338180e+03 
       6.322348274908e-03       7.482961157013e+03 
       6.443572399668e-03       7.573175594325e+03 
       6.564913685469e-03       7.661844486534e+03 
       6.686366563591e-03       7.748969104119e+03 
       6.807925849569e-03       7.834535152172e+03 
       6.929586712844e-03       7.918679217536e+03 
       7.051344649183e-03       8.001084689504e+03 
       7.173195455620e-03       8.081951230557e+03 
       7.295135207642e-03       8.161288802473e+03 
       7.417160238401e-03       8.239108438943e+03 
       7.539267119756e-03       8.315425195836e+03 
       7.661452644959e-03       8.390249647740e+03 
       7.783713812831e-03       8.463587099218e+03 
       7.906047813282e-03       8.535456662818e+03 
       8.028452014050e-03       8.605897655530e+03 
       8.150923948543e-03       8.674878367521e+03 
       8.273461304679e-03       8.742426817307e+03 
       8.396061914638e-03       8.808561270349e+03 
       8.518723745440e-03       8.873295173566e+03 
       8.641444890274e-03       8.936643750622e+03 
       8.764223560511e-03       8.998617214229e+03 
       8.887058078344e-03       9.059225119420e+03 
       9.009946869996e-03       9.118473122676e+03 
       9.132888459452e-03       9.176384339300e+03 
       9.255881462665e-03       9.233018322403e+03 
       9.378924582200e-03       9.288315863477e+03 
       9.502016602281e-03       9.342326237679e+03 
       9.625156384198e-03       9.395030479010e+03 
       9.748342862059e-03       9.446516803832e+03 
       9.871575038850e-03       9.496693571820e+03 
       9.994851982776e-03       9.545680794066e+03 
       1.011817282387e-02       9.593427495085e+03 
       1.024153675085e-02       9.639931044405e+03 
       1.036494300818e-02       9.685248431272e+03 
       1.048839089335e-02       9.729373433536e+03 
       1.061187975437e-02       9.772281615591e+03 
       1.073540898739e-02       9.814099919899e+03 
       1.085897803453e-02       9.854712319940e+03 
       1.098258638184e-02       9.894164605201e+03 
       1.110623355740e-02       9.932521556484e+03 
       1.122991912956e-02       9.969797565101e+03 
       1.135364270531e-02       1.000592603891e+04 
       1.147740392871e-02       1.004096749509e+04 
       1.160120247953e-02       1.007492055385e+04 
       1.172503807188e-02       1.010781080591e+04 
       1.184891045297e-02       1.013959656009e+04 
       1.197281940201e-02       1.017038460345e+04 
       1.209676472911e-02       1.020016073715e+04 
       1.222074627427e-02       1.022889970628e+04 
       1.234476390652e-02       1.025656921987e+04 
       1.246881752300e-02       1.028328532371e+04 
       1.259290704822e-02       1.030905892285e+04 
       1.271703243327e-02       1.033376264914e+04 
       1.284119365521e-02       1.035753639852e+04 
       1.296539071638e-02       1.038036398265e+04 
       1.308962364386e-02       1.040225064028e+04 
       1.321389248889e-02       1.042323595511e+04 
       1.333819732647e-02       1.044325912309e+04 
       1.346253825480e-02       1.046232809886e+04 
       1.358691539496e-02       1.048057954899e+04 
       1.371132889049e-02       1.049785167649e+04 
       1.383577890708e-02       1.051428459740e+04 
       1.396026563224e-02       1.052990194158e+04 
       1.408478927505e-02       1.054455368991e+04 
       1.420935006591e-02       1.055844808504e+04 
       1.433394825634e-02       1.057142235473e+04 
       1.445858411876e-02       1.058366017303e+04 
       1.458325794640e-02       1.059503253013e+04 
       1.470797005310e-02       1.060559001696e+04 
       1.483272077323e-02       1.061534995831e+04 
       1.495751046162e-02       1.062426116862e+04 
       1.508233949349e-02       1.063250642054e+04 
       1.520720826440e-02       1.063987105413e+04 
       1.533211719025e-02       1.064653464992e+04 
       1.545706670728e-02       1.065244085437e+04 
       1.558205727209e-02       1.065760922598e+04 
       1.570708936169e-02       1.066204013821e+04 
       1.583216347355e-02       1.066575810445e+04 
       1.595728012572e-02       1.066879226399e+04 
       1.608243985687e-02       1.067104524000e+04 
       1.620764322646e-02       1.067263910726e+04 
       1.633289081486e-02       1.067355208732e+04 
       1.645818322350e-02       1.067378109032e+04 
       1.658352107504e-02       1.067334040501e+04 
       1.670890501356e-02       1.067225372407e+04 
       1.683433570478e-02       1.067058380159e+04 
       1.695981383625e-02       1.066813025297e+04 
       1.708534011761e-02       1.066512293952e+04 
       1.721091528085e-02       1.066148900064e+04 
       1.733654008055e-02       1.065724523947e+04 
       1.746221529421e-02       1.065244940945e+04 
       1.758794172252e-02       1.064694118844e+04 
       1.771372018970e-02       1.064090662239e+04 
       1.783955154381e-02       1.063434017352e+04 
       1.796543665714e-02       1.062710371888e+04 
       1.809137642655e-02       1.061939503491e+04 
       1.821737177387e-02       1.061073541994e+04 
       1.834342364632e-02       1.060224212858e+04 
       1.846953301687e-02       1.059282912196e+04 
       1.859570088476e-02       1.058290797138e+04 
       1.872192827589e-02       1.057246083192e+04 
       1.884821624332e-02       1.056149458240e+04 
       1.897456586779e-02       1.054996282513e+04 
       1.910097825816e-02       1.053799341628e+04 
       1.922745455199e-02       1.052558743580e+04 
       1.935399591608e-02       1.051257896458e+04 
       1.948060354704e-02       1.049916584020e+04 
       1.960727867184e-02       1.048507065261e+04 
       1.973402254846e-02       1.047097281150e+04 
       1.986083646652e-02       1.045611920101e+04 
       1.998772174787e-02       1.044098119431e+04 
       2.011467974732e-02       1.042496352664e+04 
       2.024171185332e-02       1.040910401590e+04 
       2.036881948865e-02       1.039234213928e+04 
       2.049600411117e-02       1.037540268871e+04 
       2.062326721459e-02       1.035803537912e+04 
       2.075061032927e-02       1.034058267057e+04 
       2.087803502296e-02       1.032212242237e+04 
       2.100554290174e-02       1.030358664539e+04 
       2.113313561079e-02       1.028500117278e+04 
       2.126081483534e-02       1.026538124957e+04 
       2.138858230158e-02       1.024599678518e+04 
       2.151643977757e-02       1.022590621336e+04 
       2.164438907425e-02       1.020560221157e+04 
       2.177243204646e-02       1.018484304734e+04 
       2.190057059394e-02       1.016373386346e+04 
       2.202880666244e-02       1.014240843722e+04 
       2.215714224479e-02       1.012084057643e+04 
       2.228557938207e-02       1.009873657074e+04 
       2.241412016479e-02       1.007639201705e+04 
       2.254276673408e-02       1.005369452958e+04 
       2.267152128294e-02       1.003068102923e+04 
       2.280038605756e-02       1.000740704355e+04 
       2.292936335865e-02       9.983899574215e+03 
       2.305845554279e-02       9.960101167087e+03 
       2.318766502387e-02       9.936009952245e+03 
       2.331699427454e-02       9.911733809056e+03 
       2.344644582775e-02       9.887221663178e+03 
       2.357602227829e-02       9.862189207966e+03 
       2.370572628440e-02       9.837110084852e+03 
       2.383556056945e-02       9.811704214777e+03 
       2.396552792365e-02       9.786032958927e+03 
       2.409563120582e-02       9.760198795522e+03 
       2.422587334525e-02       9.734233223085e+03 
       2.435625734356e-02       9.707898453604e+03 
       2.448678627669e-02       9.681412686014e+03 
       2.461746329692e-02       9.654622891694e+03 
       2.474829163493e-02       9.627682243625e+03 
       2.487927460203e-02       9.600484500128e+03 
       2.501041559232e-02       9.573314485345e+03 
       2.514171808506e-02       9.545596305209e+03 
       2.527318564707e-02       9.517945618824e+03 
       2.540482193514e-02       9.490036864078e+03 
       2.553663069870e-02       9.461933918238e+03 
       2.566861578237e-02       9.433733253087e+03 
       2.580078112879e-02       9.405313167361e+03 
       2.593313078141e-02       9.376737766374e+03 
       2.606566888749e-02       9.348001900867e+03 
       2.619839970110e-02       9.319096491631e+03 
       2.633132758633e-02       9.290178209991e+03 
       2.646445702057e-02       9.260900280783e+03 
       2.659779259789e-02       9.231669967930e+03 
       2.673133903258e-02       9.202153449167e+03 
       2.686510116282e-02       9.172587549425e+03 
       2.699908395447e-02       9.142846081427e+03 
       2.713329250503e-02       9.113031119397e+03 
       2.726773204771e-02       9.083004852160e+03 
       2.740240795570e-02       9.053006196661e+03 
       2.753732574657e-02       9.022898555451e+03 
       2.767249108690e-02       8.992622770926e+03 
       2.780790979698e-02       8.962207312055e+03 
       2.794358785585e-02       8.931734111903e+03 
       2.807953140640e-02       8.901259643852e+03 
       2.821574676075e-02       8.870475468124e+03 
       2.835224040585e-02       8.839765893919e+03 
       2.848901900927e-02       8.808953126793e+03 
       2.862608942528e-02       8.777979630752e+03 
       2.876345870113e-02       8.747055849736e+03 
       2.890113408362e-02       8.715940704139e+03 
       2.903912302596e-02       8.684856574701e+03 
       2.917743319492e-02       8.653685329102e+03 
       2.931607247824e-02       8.622440673840e+03 
       2.945504899246e-02       8.591219269263e+03 
       2.959437109095e-02       8.559713929177e+03 
       2.973404737248e-02       8.528319935048e+03 
       2.987408668997e-02       8.496853494495e+03 
       3.001449815981e-02       8.465330073188e+03 
       3.015529117149e-02       8.433899734771e+03 
       3.029647539772e-02       8.402149301742e+03 
       3.043806080502e-02       8.370559988067e+03 
       3.058005766476e-02       8.338873336584e+03 
       3.072247656477e-02       8.307154749065e+03 
       3.086532842151e-02       8.275434026751e+03 
       3.100862449274e-02       8.243647563330e+03 
       3.115237639092e-02       8.211872996549e+03 
       3.129659609718e-02       8.180027300943e+03 
       3.144129597601e-02       8.148190005606e+03 
       3.158648879069e-02       8.116427449171e+03 
       3.173218771950e-02       8.084410483008e+03 
       3.187840637274e-02       8.052561962822e+03 
       3.202515881061e-02       8.020637620642e+03 
       3.217245956208e-02       7.988716607247e+03 
       3.232032364471e-02       7.956869215142e+03 
       3.246876658549e-02       7.924846518301e+03 
       3.261780444288e-02       7.892865311398e+03 
       3.276745382995e-02       7.860966829103e+03 
       3.291773193891e-02       7.829026514650e+03 
       3.306865656683e-02       7.797128281390e+03 
       3.322024614298e-02       7.765122971966e+03 
       3.337251975760e-02       7.733118972124e+03 
       3.352549719235e-02       7.701202491836e+03 
       3.367919895253e-02       7.669254128268e+03 
       3.383364630118e-02       7.637263411082e+03 
       3.398886129524e-02       7.605324431567e+03 
       3.414486682378e-02       7.573456281440e+03 
       3.430168664866e-02       7.541461131762e+03 
       3.445934544763e-02       7.509539727122e+03 
       3.461786886010e-02       7.477625672569e+03 
       3.477728353583e-02       7.445761576823e+03 
       3.493761718667e-02       7.413831030824e+03 
       3.509889864168e-02       7.381935001914e+03 
       3.526115790582e-02       7.350098280870e+03 
       3.542442622253e-02       7.318232629896e+03 
       3.558873614052e-02       7.286366801274e+03 
       3.575412158505e-02       7.254599229400e+03 
       3.592061793415e-02       7.222741444768e+03 
       3.608826210012e-02       7.190910761128e+03 
       3.625709261684e-02       7.159090857644e+03 
       3.642714973325e-02       7.127392793446e+03 
       3.659847551371e-02       7.095512142359e+03 
       3.677111394562e-02       7.063844753510e+03 
       3.694511105527e-02       7.031987832461e+03 
       3.712051503224e-02       7.000246655833e+03 
       3.729737636356e-02       6.968467978749e+03 
       3.747574797822e-02       6.936757305739e+03 
       3.765568540315e-02       6.905012881517e+03 
       3.783724693177e-02       6.873288945018e+03 
       3.802049380627e-02       6.841587961977e+03 
       3.820549041506e-02       6.809846762614e+03 
       3.839230450673e-02       6.778121481412e+03 
       3.858100742255e-02       6.746477537838e+03 
       3.877167434897e-02       6.714704000738e+03 
       3.896438459262e-02       6.682952983564e+03 
       3.915922188003e-02       6.651291277810e+03 
       3.935627468476e-02       6.619473586333e+03 
       3.955563658496e-02       6.587744635537e+03 
       3.975740665497e-02       6.555949369000e+03 
       3.996168989453e-02       6.524199092380e+03 
       4.016859770034e-02       6.492361704398e+03 
       4.037824838469e-02       6.460520881666e+03 
       4.059076774710e-02       6.428662630117e+03 
       4.080628970531e-02       6.396769867887e+03 
       4.102495699326e-02       6.364847605113e+03 
       4.124692193448e-02       6.332871993053e+03 
