# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319837711637e-10       6.278406151817e-15       4.008052136840e-13       2.486234203274e-19       8.040341709356e-09       4.664455864557e-10      -2.160369218879e-12 
    3       1.248463908126e-10       9.845728910974e-15       4.955335672076e-13       4.974149319323e-19       4.997166930716e-09       3.332551996599e-10      -1.838362586746e-12 
    4       1.178489030543e-10       1.057282142550e-14       5.026237484907e-13       8.293932040648e-19       3.495607774404e-09       2.542414511049e-10      -1.399211267996e-12 
    5       1.124510504662e-10       8.922051087251e-15       4.608400487514e-13       1.244768026846e-18       2.622048713671e-09       2.021744630447e-10      -9.732479598064e-13 
    6       1.086054291136e-10       6.249625170465e-15       3.964551588756e-13       1.743789759858e-18       2.056985712728e-09       1.653873560393e-10      -6.054531324077e-13 
    7       1.060182358238e-10       3.787309004645e-15       3.270809629488e-13       2.326742085602e-18       1.665841591372e-09       1.381698828358e-10      -3.150770572008e-13 
    8       1.044933264788e-10       2.137655518808e-15       2.629478333726e-13       2.993933950630e-18       1.381560904964e-09       1.173874053748e-10      -1.063791269188e-13 
    9       1.036977196912e-10       1.307757879231e-15       2.098316627003e-13       3.745690998742e-18       1.166949798114e-09       1.011299725175e-10       2.611811849464e-14 
   10       1.035182361534e-10       9.995220516954e-16       1.702933961534e-13       4.582346818016e-18       1.000061196411e-09       8.814165350630e-11       9.434784138019e-14 
   11       1.037872155223e-10       8.978865006687e-16       1.444302919222e-13       5.504234327933e-18       8.440867371922e-10       7.783435854625e-11       1.135903285047e-13 
   12       1.043968898757e-10       8.203563317014e-16       1.307535894056e-13       6.511677624431e-18       7.391327982713e-10       6.882412620130e-11       1.003008684561e-13 
   13       1.052831540717e-10       7.234645079331e-16       1.267671158340e-13       7.604984579578e-18       6.527741072121e-10       6.151836141822e-11       6.965208376458e-14 
   14       1.064093129839e-10       6.353370071061e-16       1.296138998430e-13       8.784440459675e-18       5.807796322317e-10       5.538058059499e-11       3.321980885689e-14 
   15       1.076978680549e-10       5.880339889025e-16       1.365432556374e-13       1.005030278233e-17       5.200604292716e-10       5.004940450634e-11      -4.885655127469e-16 
   16       1.091212500127e-10       5.873534980174e-16       1.452322250816e-13       1.140279758104e-17       4.683381415227e-10       4.545829864798e-11      -2.610542997736e-14 
   17       1.106542664955e-10       6.177135820084e-16       1.541096617487e-13       1.284211718724e-17       4.238911260447e-10       4.147004928012e-11      -4.160354130834e-14 
   18       1.123101818332e-10       6.594481461213e-16       1.623132647859e-13       1.436841884483e-17       3.852501390197e-10       3.800390407840e-11      -4.739907841290e-14 
   19       1.140782678418e-10       7.086289385990e-16       1.695969423539e-13       1.598182926714e-17       3.518218740734e-10       3.498965853891e-11      -4.525724262965e-14 
   20       1.158856832835e-10       7.672539984732e-16       1.759359666324e-13       1.768243898063e-17       3.223369188152e-10       3.227246464203e-11      -3.816692977893e-14 
   21       1.177497223316e-10       8.443840240330e-16       1.816978723239e-13       1.947031680936e-17       2.963441630024e-10       2.982213606420e-11      -2.866527576643e-14 
   22       1.196863931572e-10       9.510174627035e-16       1.874260226218e-13       2.134550324340e-17       2.732328012550e-10       2.761512215822e-11      -1.942915108194e-14 
   23       1.216869991332e-10       1.089195081396e-15       1.934397661914e-13       2.330802808524e-17       2.526930811923e-10       2.565002069060e-11      -1.193123348490e-14 
   24       1.237182210677e-10       1.257052592275e-15       1.999530257697e-13       2.535790376833e-17       2.342581953065e-10       2.390587402952e-11      -7.164511577940e-15 
   25       1.257917891228e-10       1.452154906875e-15       2.069389646876e-13       2.749514638196e-17       2.177164405749e-10       2.235270730351e-11      -5.164287758410e-15 
   26       1.279174487851e-10       1.671477497021e-15       2.142293435294e-13       2.971976753146e-17       2.027734257124e-10       2.094147957208e-11      -5.480661897837e-15 
   27       1.300876282032e-10       1.914258860924e-15       2.215437737608e-13       3.203179295635e-17       1.892543142454e-10       1.964777400475e-11      -7.430049508200e-15 
   28       1.322818031944e-10       2.180223939450e-15       2.285227010416e-13       3.443125723997e-17       1.769306382688e-10       1.844776588551e-11      -1.015081165887e-14 
   29       1.345073618340e-10       2.469312279963e-15       2.348628504734e-13       3.691822635652e-17       1.657417646523e-10       1.734311656298e-11      -1.302232550157e-14 
   30       1.367702680616e-10       2.781315502257e-15       2.402258781579e-13       3.949278394870e-17       1.555695792334e-10       1.633514455155e-11      -1.537685023965e-14 
   31       1.390667075024e-10       3.116107377172e-15       2.442679010998e-13       4.215503120747e-17       1.462092041166e-10       1.541630760246e-11      -1.655913304057e-14 
   32       1.413987008250e-10       3.475009375245e-15       2.468834207534e-13       4.490510412199e-17       1.376140356132e-10       1.457948691758e-11      -1.657150582409e-14 
   33       1.437618290005e-10       3.859956957133e-15       2.480536453373e-13       4.774316700868e-17       1.297250861384e-10       1.381033295318e-11      -1.567719421988e-14 
   34       1.461451387671e-10       4.273023230982e-15       2.477926853313e-13       5.066940854620e-17       1.224340367603e-10       1.308991096458e-11      -1.420865812587e-14 
   35       1.485495963402e-10       4.715915153269e-15       2.461717977443e-13       5.368403418253e-17       1.157045600826e-10       1.241578146713e-11      -1.245124224750e-14 
   36       1.509744625715e-10       5.190318751139e-15       2.433081900927e-13       5.678727525376e-17       1.094835014886e-10       1.178734193417e-11      -1.072876450727e-14 
   37       1.534158050831e-10       5.697831233161e-15       2.393210671502e-13       5.997938012514e-17       1.036909111537e-10       1.120143610842e-11      -9.362651229774e-15 
   38       1.558808857154e-10       6.239249430171e-15       2.341929207213e-13       6.326056871220e-17       9.831247543916e-11       1.065773437879e-11      -8.409393088195e-15 
   39       1.583775334202e-10       6.815038263300e-15       2.278634342579e-13       6.663106573472e-17       9.333178371794e-11       1.015459025899e-11      -7.837613815182e-15 
   40       1.609097029390e-10       7.425507406139e-15       2.202658647550e-13       7.009111450113e-17       8.870220188193e-11       9.687252006274e-12      -7.596428212439e-15 
