# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.028185622909e-05       1.519066943178e+01      -1.662153348320e-09      -3.513344121865e-07       2.657880196805e-01      -3.025601729200e-02      -5.620907447247e-01       3.383781535787e-01      -2.034055616414e-07 
       2.292362608534e-05       3.386761478033e+01      -1.837765326144e-08      -4.921337800990e-01      -3.170411132429e-01      -2.620889155220e-01      -6.963230379393e-01       4.474889436880e-01      -1.434944691323e-06 
       3.560828760542e-05       5.260718387342e+01      -6.879074228941e-08      -8.704112132130e-01      -3.198357519271e-01      -2.635529187731e-01      -6.967360407779e-01       4.478883436831e-01      -4.895592425902e-06 
       4.836871162854e-05       7.145751662887e+01      -1.722554739051e-07      -1.133635975590e+00      -3.222032472771e-01      -2.647486271396e-01      -6.968711303475e-01       4.481663848511e-01      -1.187180928506e-05 
       6.123829341056e-05       9.046749477568e+01      -3.493308467158e-07      -1.336500496549e+00      -3.207891379537e-01      -2.642160284272e-01      -6.968103380016e-01       4.483743379937e-01      -2.372903363012e-05 
       7.425123948469e-05       1.096871648489e+02      -6.223263255395e-07      -1.502243486679e+00      -3.217149884664e-01      -2.647094345719e-01      -6.965960598700e-01       4.485488969066e-01      -4.194907595563e-05 
       8.744286337900e-05       1.291681563273e+02      -1.015904036660e-06      -1.642948166311e+00      -3.211397591014e-01      -2.645183852683e-01      -6.962378043298e-01       4.486949563508e-01      -6.817021497832e-05 
       1.008498939898e-04       1.489641256408e+02      -1.557761530694e-06      -1.765704518496e+00      -3.211091965521e-01      -2.645594339969e-01      -6.957435698104e-01       4.488239501015e-01      -1.042325458983e-04 
       1.145108004402e-04       1.691312171680e+02      -2.279421735747e-06      -1.875034936378e+00      -3.212994104756e-01      -2.646880793836e-01      -6.951129359020e-01       4.489398361882e-01      -1.522304436869e-04 
       1.284661372837e-04       1.897285538861e+02      -3.217161483429e-06      -1.974003575527e+00      -3.215766327531e-01      -2.648449335433e-01      -6.943418783991e-01       4.490454550743e-01      -2.145742397359e-04 
       1.427589139274e-04       2.108187610173e+02      -4.413116390992e-06      -2.064785791898e+00      -3.216812889318e-01      -2.649202697341e-01      -6.934232487851e-01       4.491427321750e-01      -2.940636226321e-04 
       1.574349921059e-04       2.324685263675e+02      -5.916608304910e-06      -2.148984545310e+00      -3.214662436534e-01      -2.648561939952e-01      -6.923475395366e-01       4.492333781817e-01      -3.939758315882e-04 
       1.725435151069e-04       2.547491977298e+02      -7.785751717053e-06      -2.227814269784e+00      -3.215537774479e-01      -2.649156721947e-01      -6.911033379160e-01       4.493193381042e-01      -5.181723892423e-04 
       1.881373721651e-04       2.777374320694e+02      -1.008941031408e-05      -2.302221960597e+00      -3.218186395026e-01      -2.650430308142e-01      -6.896754549702e-01       4.494013206376e-01      -6.712290983020e-04 
       2.042737009284e-04       3.015158878351e+02      -1.290959052210e-05      -2.372961257555e+00      -3.216835466407e-01      -2.649996117563e-01      -6.880456106752e-01       4.494798020108e-01      -8.585950713780e-04 
       2.210144300569e-04       3.261739669293e+02      -1.634438125901e-05      -2.440640940872e+00      -3.219047402337e-01      -2.650995139259e-01      -6.861931909882e-01       4.495559649450e-01      -1.086788044637e-03 
       2.384268627075e-04       3.518086035207e+02      -2.051157630637e-05      -2.505763470405e+00      -3.219417891682e-01      -2.651181031152e-01      -6.840928098885e-01       4.496299995959e-01      -1.363635032519e-03 
       2.565842997080e-04       3.785250977961e+02      -2.555314839038e-05      -2.568747650750e+00      -3.220485530238e-01      -2.651609055446e-01      -6.817154228038e-01       4.497025703836e-01      -1.698569547385e-03 
       2.755666984252e-04       4.064379799630e+02      -3.164078530261e-05      -2.629947484636e+00      -3.221888183689e-01      -2.652119020800e-01      -6.790267428619e-01       4.497740207997e-01      -2.102999342386e-03 
       2.954613594086e-04       4.356718930255e+02      -3.898274883009e-05      -2.689664782792e+00      -3.222775429414e-01      -2.652363899383e-01      -6.759868235703e-01       4.498447064305e-01      -2.590761978738e-03 
       3.163636275512e-04       4.663624669855e+02      -4.783237696518e-05      -2.748158777049e+00      -3.224587911960e-01      -2.652924354388e-01      -6.725490892173e-01       4.499149509908e-01      -3.178689472206e-03 
       3.383775873987e-04       4.986571500695e+02      -5.849862101458e-05      -2.805653306528e+00      -3.225796390381e-01      -2.653171687230e-01      -6.686591686578e-01       4.499849833091e-01      -3.887307981328e-03 
