# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319832638077e-10       6.278157528350e-15       4.008052182511e-13       0.000000000000e+00       8.010321015484e-09       4.658944035464e-10      -2.160318530708e-12 
    3       1.248453783043e-10       9.845231495582e-15       4.955335875415e-13       0.000000000000e+00       4.977210653035e-09       3.328008138089e-10      -1.838325879834e-12 
    4       1.178472203813e-10       1.057199203003e-14       5.026238068431e-13       0.000000000000e+00       3.481733700441e-09       2.538575151784e-10      -1.399192193689e-12 
    5       1.124485354000e-10       8.920806311484e-15       4.608401814736e-13       0.000000000000e+00       2.611962328520e-09       2.018428648479e-10      -9.732420264821e-13 
    6       1.086019227774e-10       6.247881359609e-15       3.964554193597e-13       0.000000000000e+00       2.049393356523e-09       1.650962463880e-10      -6.054559790233e-13 
    7       1.060135831810e-10       3.784982213515e-15       3.270814242193e-13       0.000000000000e+00       1.659978954065e-09       1.379116919044e-10      -3.150851801213e-13 
    8       1.044873767327e-10       2.134661483561e-15       2.629485902866e-13       0.000000000000e+00       1.376955678978e-09       1.171560012470e-10      -1.063898349347e-13 
    9       1.036903265899e-10       1.304011997450e-15       2.098328337321e-13       0.000000000000e+00       1.163298734491e-09       1.009197024522e-10       2.610680472838e-14 
   10       1.035092581956e-10       9.949393713406e-16       1.702951247536e-13       0.000000000000e+00       9.971632248174e-10       8.794863797652e-11       9.433724300520e-14 
   11       1.037765160639e-10       8.923817182265e-16       1.444327474581e-13       0.000000000000e+00       8.400401577517e-10       7.766036230667e-11       1.135826310892e-13 
   12       1.043843371410e-10       8.138437995834e-16       1.307569677019e-13       0.000000000000e+00       7.355459086493e-10       6.866514876647e-11       1.002942916971e-13 
   13       1.052686210744e-10       7.158582509680e-16       1.267716393475e-13       0.000000000000e+00       6.495726146553e-10       6.137199965983e-11       6.964730276371e-14 
   14       1.063926773667e-10       6.265507477136e-16       1.296198175149e-13       0.000000000000e+00       5.779047136587e-10       5.524546708427e-11       3.321560570267e-14 
   15       1.076790118601e-10       5.779811803146e-16       1.365508424735e-13       0.000000000000e+00       5.174660200932e-10       4.992485491100e-11      -4.914373677747e-16 
   16       1.091000593953e-10       5.759473647068e-16       1.452417815185e-13       0.000000000000e+00       4.659857768080e-10       4.534195102695e-11      -2.610771906126e-14 
   17       1.106306313948e-10       6.048671662977e-16       1.541215128631e-13       0.000000000000e+00       4.217494480862e-10       4.136266577966e-11      -4.160557261944e-14 
   18       1.122839956110e-10       6.450743602125e-16       1.623277593756e-13       0.000000000000e+00       3.832934107749e-10       3.790430445315e-11      -4.740104102026e-14 
   19       1.140494269431e-10       6.926406182356e-16       1.696144521131e-13       0.000000000000e+00       3.500281477098e-10       3.489634939788e-11      -4.525926819795e-14 
   20       1.158540868280e-10       7.495639636489e-16       1.759568850157e-13       0.000000000000e+00       3.206881755874e-10       3.218500040913e-11      -3.816896567465e-14 
   21       1.177152718258e-10       8.249051338669e-16       1.817226138424e-13       0.000000000000e+00       2.948241979904e-10       2.974015732480e-11      -2.866722931354e-14 
   22       1.196489921273e-10       9.296626779887e-16       1.874550217847e-13       0.000000000000e+00       2.718285459240e-10       2.753813692372e-11      -1.943094516314e-14 
   23       1.216465529200e-10       1.065877516299e-15       1.934734769070e-13       0.000000000000e+00       2.513926971796e-10       2.557763276589e-11      -1.193283249706e-14 
   24       1.236746365420e-10       1.231685573953e-15       1.999919203843e-13       0.000000000000e+00       2.330517002563e-10       2.383789199087e-11      -7.165934657081e-15 
   25       1.257449746097e-10       1.424652018243e-15       2.069835334532e-13       0.000000000000e+00       2.165947737585e-10       2.228891796361e-11      -5.165589432981e-15 
   26       1.278673138901e-10       1.641752629645e-15       2.142800937003e-13       0.000000000000e+00       2.017289434756e-10       2.088159694324e-11      -5.481909021123e-15 
   27       1.300340838338e-10       1.882226250794e-15       2.216012289373e-13       0.000000000000e+00       1.882801206831e-10       1.959143555438e-11      -7.431229993324e-15 
   28       1.322247615188e-10       2.145798209336e-15       2.285874001579e-13       0.000000000000e+00       1.760208380991e-10       1.839456558013e-11      -1.015182051513e-14 
   29       1.344467365216e-10       2.432408452426e-15       2.349353466773e-13       0.000000000000e+00       1.648907358074e-10       1.729269020847e-11      -1.302310201023e-14 
   30       1.367059743291e-10       2.741849035498e-15       2.403067375470e-13       0.000000000000e+00       1.547723047614e-10       1.628723971432e-11      -1.537743802236e-14 
   31       1.389986621703e-10       3.073994200221e-15       2.443577010784e-13       0.000000000000e+00       1.454617043104e-10       1.537080541461e-11      -1.655967324818e-14 
   32       1.413268226845e-10       3.430165886659e-15       2.469827473459e-13       0.000000000000e+00       1.369125086214e-10       1.453626999294e-11      -1.657210524927e-14 
   33       1.436860390168e-10       3.812300046019e-15       2.481630909780e-13       0.000000000000e+00       1.290659436535e-10       1.376925351242e-11      -1.567786986107e-14 
   34       1.460653602519e-10       4.222470302427e-15       2.479128462055e-13       0.000000000000e+00       1.218141586721e-10       1.305080662826e-11      -1.420933912996e-14 
   35       1.484657552234e-10       4.662384138165e-15       2.463032690231e-13       0.000000000000e+00       1.151210028254e-10       1.237851409066e-11      -1.245186553078e-14 
   36       1.508864876462e-10       5.133728124688e-15       2.434515622758e-13       0.000000000000e+00       1.089336129811e-10       1.175182441861e-11      -1.072930965586e-14 
   37       1.533236281885e-10       5.638100044103e-15       2.394769217978e-13       0.000000000000e+00       1.031724697550e-10       1.116763476474e-11      -9.363140213004e-15 
   38       1.557844417207e-10       6.176297356075e-15       2.343618227631e-13       0.000000000000e+00       9.782332771891e-11       1.062560171074e-11      -8.409851208682e-15 
   39       1.582767603747e-10       6.748785647474e-15       2.280459262173e-13       0.000000000000e+00       9.286984837714e-11       1.012404564046e-11      -7.838056869399e-15 
   40       1.608045422981e-10       7.355875287162e-15       2.204624615678e-13       0.000000000000e+00       8.826562534208e-11       9.658181202844e-12      -7.596859794636e-15 
   41       1.633679361417e-10       7.997813556101e-15       2.115382429663e-13       0.000000000000e+00       8.395049066349e-11       9.221752280798e-12      -7.616322704786e-15 
