# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319837739544e-10       6.278419606447e-15       4.008052136782e-13       2.620780511024e-19       8.010321015484e-09       4.658944035464e-10      -2.160318530708e-12 
    3       1.248463964010e-10       9.845755820079e-15       4.955335671822e-13       5.243240453236e-19       4.977210653035e-09       3.328008138089e-10      -1.838325879834e-12 
    4       1.178489123833e-10       1.057286627365e-14       5.026237484191e-13       8.742413944652e-19       3.481733700441e-09       2.538575151784e-10      -1.399192193689e-12 
    5       1.124510644872e-10       8.922118358765e-15       4.608400485921e-13       1.312039683837e-18       2.611962328520e-09       2.018428648479e-10      -9.732420264821e-13 
    6       1.086054487876e-10       6.249719349319e-15       3.964551585719e-13       1.837969011205e-18       2.049393356523e-09       1.650962463880e-10      -6.054559790233e-13 
    7       1.060182621222e-10       3.787434574349e-15       3.270809624294e-13       2.452312737000e-18       1.659978954065e-09       1.379116919044e-10      -3.150851801213e-13 
    8       1.044933603836e-10       2.137816962264e-15       2.629478325545e-13       3.155379422135e-18       1.376955678978e-09       1.171560012470e-10      -1.063898349347e-13 
    9       1.036977621951e-10       1.307959678565e-15       2.098316614944e-13       3.947494258099e-18       1.163298734491e-09       1.009197024522e-10       2.610680472838e-14 
   10       1.035182882586e-10       9.997686880578e-16       1.702933944715e-13       4.828990311364e-18       9.971632248174e-10       8.794863797652e-11       9.433724300520e-14 
   11       1.037872782393e-10       8.981824540145e-16       1.444302896865e-13       5.800199908677e-18       8.400401577517e-10       7.766036230667e-11       1.135826310892e-13 
   12       1.043969642212e-10       8.207060805370e-16       1.307535865605e-13       6.861446481309e-18       7.355459086493e-10       6.866514876647e-11       1.002942916971e-13 
   13       1.052832410665e-10       7.238725290418e-16       1.267671123588e-13       8.013037165204e-18       6.495726146553e-10       6.137199965983e-11       6.964730276371e-14 
   14       1.064094136497e-10       6.358077752498e-16       1.296138957679e-13       9.255256421045e-18       5.779047136587e-10       5.524546708427e-11       3.321560570267e-14 
   15       1.076979834117e-10       5.885719765032e-16       1.365432510591e-13       1.058836089490e-17       5.174660200932e-10       4.992485491100e-11      -4.914373677747e-16 
   16       1.091213810750e-10       5.879631748226e-16       1.452322201808e-13       1.201257568810e-17       4.659857768080e-10       4.534195102695e-11      -2.610771906126e-14 
   17       1.106544142691e-10       6.183994147428e-16       1.541096568087e-13       1.352809214632e-17       4.217494480862e-10       4.136266577966e-11      -4.160557261944e-14 
   18       1.123103473117e-10       6.602145981278e-16       1.623132602106e-13       1.513506648185e-17       3.832934107749e-10       3.790430445315e-11      -4.740104102026e-14 
   19       1.140784520034e-10       7.094804694830e-16       1.695969386859e-13       1.683362434569e-17       3.500281477098e-10       3.489634939788e-11      -4.525926819795e-14 
   20       1.158858870875e-10       7.681950637262e-16       1.759359645720e-13       1.862385517253e-17       3.206881755874e-10       3.218500040913e-11      -3.816896567465e-14 
   21       1.177499467160e-10       8.454190746834e-16       1.816978727450e-13       2.050582669156e-17       2.948241979904e-10       2.974015732480e-11      -2.866722931354e-14 
   22       1.196866390358e-10       9.521509449450e-16       1.874260265900e-13       2.247957829515e-17       2.718285459240e-10       2.753813692372e-11      -1.943094516314e-14 
   23       1.216872673941e-10       1.090431436251e-15       1.934397749777e-13       2.454513871270e-17       2.513926971796e-10       2.557763276589e-11      -1.193283249706e-14 
   24       1.237185125710e-10       1.258396255236e-15       1.999530408661e-13       2.670251932970e-17       2.330517002563e-10       2.383789199087e-11      -7.165934657081e-15 
   25       1.257921047006e-10       1.453610307593e-15       2.069389878183e-13       2.895173524096e-17       2.165947737585e-10       2.228891796361e-11      -5.165589432981e-15 
   26       1.279177892397e-10       1.673049058962e-15       2.142293766640e-13       3.129279711061e-17       2.017289434756e-10       2.088159694324e-11      -5.481909021123e-15 
   27       1.300879943081e-10       1.915951001074e-15       2.215438191234e-13       3.372572981410e-17       1.882801206831e-10       1.959143555438e-11      -7.431229993324e-15 
   28       1.322821956939e-10       2.182041067996e-15       2.285227611214e-13       3.625056714929e-17       1.760208380991e-10       1.839456558013e-11      -1.015182051513e-14 
   29       1.345077814449e-10       2.471258800030e-15       2.348629280308e-13       3.886737440282e-17       1.648907358074e-10       1.729269020847e-11      -1.302310201023e-14 
   30       1.367707154739e-10       2.783395809601e-15       2.402259762334e-13       4.157623462909e-17       1.547723047614e-10       1.628723971432e-11      -1.537743802236e-14 
   31       1.390671833800e-10       3.118325859874e-15       2.442680230235e-13       4.437724853288e-17       1.454617043104e-10       1.537080541461e-11      -1.655967324818e-14 
   32       1.413992058079e-10       3.477370413452e-15       2.468835701511e-13       4.727055171649e-17       1.369125086214e-10       1.453626999294e-11      -1.657210524927e-14 
