# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185622909e-05       4.062494344921e+01 
       2.292362608534e-05       9.057326512724e+01 
       3.560828760542e-05       1.406888362113e+02 
       4.836871162854e-05       1.911002774418e+02 
       6.123829341056e-05       2.419381897774e+02 
       7.425123948469e-05       2.933362699525e+02 
       8.744286337900e-05       3.454324421521e+02 
       1.008498939898e-04       3.983700279487e+02 
       1.145108004402e-04       4.522989864484e+02 
       1.284661372837e-04       5.073772188099e+02 
       1.427589139274e-04       5.637719661414e+02 
       1.574349921059e-04       6.215863172365e+02 
       1.725435151069e-04       6.811456631911e+02 
       1.881373721651e-04       7.425928050490e+02 
       2.042737009284e-04       8.061481707417e+02 
       2.210144300569e-04       8.720501318700e+02 
       2.384268627075e-04       9.405570870414e+02 
       2.565842997080e-04       1.011949683390e+03 
       2.755666984252e-04       1.086533098621e+03 
       2.954613594086e-04       1.164639391257e+03 
       3.163636275512e-04       1.246629813373e+03 
       3.383775873987e-04       1.332897011016e+03 
       3.616167230514e-04       1.423866979629e+03 
       3.862045015520e-04       1.520000583570e+03 
       4.122748246813e-04       1.621794417315e+03 
       4.399722779238e-04       1.729780696629e+03 
       4.694520878688e-04       1.844525843126e+03 
       5.008796821419e-04       1.966627307274e+03 
       5.344297319924e-04       2.096708199545e+03 
       5.702845511269e-04       2.235409238996e+03 
       6.086317309585e-04       2.383377605991e+03 
       6.496609187059e-04       2.541252410271e+03 
       6.935596970390e-04       2.709646724383e+03 
       7.405086061108e-04       2.889126470788e+03 
       7.906754593871e-04       3.080186951657e+03 
       8.442092339807e-04       3.283228238108e+03 
       9.012339445199e-04       3.498531240393e+03 
       9.618430087101e-04       3.726236559102e+03 
       1.026094651636e-03       3.966328352393e+03 
       1.094008850266e-03       4.218625232290e+03 
       1.165566182719e-03       4.482779519104e+03 
       1.240708735874e-03       4.758283168880e+03 
       1.319342979432e-03       5.044446611423e+03 
       1.401344285732e-03       5.340542874604e+03 
       1.486562608957e-03       5.645712938811e+03 
       1.574828762325e-03       5.959034685887e+03 
       1.665960749640e-03       6.279551156795e+03 
       1.759769698314e-03       6.606295929459e+03 
       1.856065072773e-03       6.938315144679e+03 
       1.954658987774e-03       7.274685167919e+03 
       2.055369565667e-03       7.614525996670e+03 
       2.158023376380e-03       7.957011239861e+03 
       2.262457060233e-03       8.301372359547e+03 
       2.368518264944e-03       8.646904498921e+03 
       2.476066036375e-03       8.992960133210e+03 
       2.584970795220e-03       9.338958109924e+03 
       2.695114015810e-03       9.684371373164e+03 
       2.806387703506e-03       1.002872773588e+04 
       2.918693747237e-03       1.037160873864e+04 
       3.031943205484e-03       1.071263758128e+04 
       3.146055568483e-03       1.105148647473e+04 
       3.260958026758e-03       1.138785989509e+04 
       3.376584766143e-03       1.172150119509e+04 
       3.492876301982e-03       1.205218509941e+04 
       3.609778859657e-03       1.237971092735e+04 
       3.727243804616e-03       1.270390676508e+04 
       3.845227122414e-03       1.302462025714e+04 
       3.963688947416e-03       1.334172338116e+04 
       4.082593137699e-03       1.365509986444e+04 
       4.201906893053e-03       1.396465743322e+04 
       4.321600412638e-03       1.427030794896e+04 
       4.441646588792e-03       1.457198786283e+04 
       4.562020733544e-03       1.486963898424e+04 
       4.682700334553e-03       1.516318327034e+04 
       4.803664837402e-03       1.545261167739e+04 
       4.924895451436e-03       1.573791255079e+04 
       5.046374976562e-03       1.601902994661e+04 
       5.168087648701e-03       1.629596311091e+04 
       5.290019001810e-03       1.656877305156e+04 
       5.412155744608e-03       1.683736992736e+04 
       5.534485650354e-03       1.710173707171e+04 
