# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319832638077e-10       6.278157528350e-15       4.008052182511e-13       0.000000000000e+00       8.040342709213e-09       4.664456438726e-10      -2.160369242479e-12 
    3       1.248453783043e-10       9.845231495582e-15       4.955335875415e-13       0.000000000000e+00       4.997168290048e-09       3.332552801988e-10      -1.838362599566e-12 
    4       1.178472203813e-10       1.057199203003e-14       5.026238068431e-13       0.000000000000e+00       3.495609474086e-09       2.542415535515e-10      -1.399211257887e-12 
    5       1.124485354000e-10       8.920806311484e-15       4.608401814736e-13       0.000000000000e+00       2.622050729832e-09       2.021745850663e-10      -9.732479272618e-13 
    6       1.086019227774e-10       6.247881359609e-15       3.964554193597e-13       0.000000000000e+00       2.056988026835e-09       1.653874970076e-10      -6.054530823848e-13 
    7       1.060135831810e-10       3.784982213515e-15       3.270814242193e-13       0.000000000000e+00       1.665844193754e-09       1.381700416039e-10      -3.150769961197e-13 
    8       1.044873767327e-10       2.134661483561e-15       2.629485902866e-13       0.000000000000e+00       1.381563782473e-09       1.173875802023e-10      -1.063790624102e-13 
    9       1.036903265899e-10       1.304011997450e-15       2.098328337321e-13       0.000000000000e+00       1.166952927634e-09       1.011301638021e-10       2.611817848489e-14 
   10       1.035092581956e-10       9.949393713406e-16       1.702951247536e-13       0.000000000000e+00       1.000064552982e-09       8.814185775328e-11       9.434789166961e-14 
   11       1.037765160639e-10       8.923817182265e-16       1.444327474581e-13       0.000000000000e+00       8.440902529247e-10       7.783431221234e-11       1.135904804417e-13 
   12       1.043843371410e-10       8.138437995834e-16       1.307569677019e-13       0.000000000000e+00       7.391366034620e-10       6.882453966593e-11       1.003007391256e-13 
   13       1.052686210744e-10       7.158582509680e-16       1.267716393475e-13       0.000000000000e+00       6.527780991113e-10       6.151851297623e-11       6.965237574590e-14 
   14       1.063926773667e-10       6.265507477136e-16       1.296198175149e-13       0.000000000000e+00       5.807834806463e-10       5.538068843723e-11       3.321956380257e-14 
   15       1.076790118601e-10       5.779811803146e-16       1.365508424735e-13       0.000000000000e+00       5.200648451941e-10       5.005005507499e-11      -4.884606354071e-16 
   16       1.091000593953e-10       5.759473647068e-16       1.452417815185e-13       0.000000000000e+00       4.683426859800e-10       4.545813749828e-11      -2.610541331191e-14 
   17       1.106306313948e-10       6.048671662977e-16       1.541215128631e-13       0.000000000000e+00       4.238956608825e-10       4.147066999593e-11      -4.160370040017e-14 
   18       1.122839956110e-10       6.450743602125e-16       1.623277593756e-13       0.000000000000e+00       3.852547321484e-10       3.800483902165e-11      -4.739937522505e-14 
   19       1.140494269431e-10       6.926406182356e-16       1.696144521131e-13       0.000000000000e+00       3.518265628388e-10       3.499012964095e-11      -4.525762998746e-14 
   20       1.158540868280e-10       7.495639636489e-16       1.759568850157e-13       0.000000000000e+00       3.223417066007e-10       3.227262286622e-11      -3.816728203610e-14 
   21       1.177152718258e-10       8.249051338669e-16       1.817226138424e-13       0.000000000000e+00       2.963490635288e-10       2.982221845708e-11      -2.866549021731e-14 
   22       1.196489921273e-10       9.296626779887e-16       1.874550217847e-13       0.000000000000e+00       2.732378439399e-10       2.761517340462e-11      -1.942919258265e-14 
   23       1.216465529200e-10       1.065877516299e-15       1.934734769070e-13       0.000000000000e+00       2.526982548036e-10       2.565007094956e-11      -1.193112108620e-14 
   24       1.236746365420e-10       1.231685573953e-15       1.999919203843e-13       0.000000000000e+00       2.342634362089e-10       2.390598756027e-11      -7.164315995016e-15 
   25       1.257449746097e-10       1.424652018243e-15       2.069835334532e-13       0.000000000000e+00       2.177217107706e-10       2.235292358485e-11      -5.164102007756e-15 
   26       1.278673138901e-10       1.641752629645e-15       2.142800937003e-13       0.000000000000e+00       2.027787305343e-10       2.094179085242e-11      -5.480573599750e-15 
   27       1.300340838338e-10       1.882226250794e-15       2.216012289373e-13       0.000000000000e+00       1.892596339594e-10       1.964814221643e-11      -7.430057535218e-15 
   28       1.322247615188e-10       2.145798209336e-15       2.285874001579e-13       0.000000000000e+00       1.769359148428e-10       1.844813334403e-11      -1.015081197249e-14 
   29       1.344467365216e-10       2.432408452426e-15       2.349353466773e-13       0.000000000000e+00       1.657469676060e-10       1.734344468664e-11      -1.302224064318e-14 
   30       1.367059743291e-10       2.741849035498e-15       2.403067375470e-13       0.000000000000e+00       1.555747353297e-10       1.633543312337e-11      -1.537668402525e-14 
   31       1.389986621703e-10       3.073994200221e-15       2.443577010784e-13       0.000000000000e+00       1.462143918268e-10       1.541659368619e-11      -1.655896803510e-14 
   32       1.413268226845e-10       3.430165886659e-15       2.469827473459e-13       0.000000000000e+00       1.376193072407e-10       1.457979961087e-11      -1.657140666025e-14 
   33       1.436860390168e-10       3.812300046019e-15       2.481630909780e-13       0.000000000000e+00       1.297304338919e-10       1.381067535407e-11      -1.567716890884e-14 
   34       1.460653602519e-10       4.222470302427e-15       2.479128462055e-13       0.000000000000e+00       1.224393949390e-10       1.309026115475e-11      -1.420865980562e-14 
   35       1.484657552234e-10       4.662384138165e-15       2.463032690231e-13       0.000000000000e+00       1.157098721485e-10       1.241612180746e-11      -1.245123097951e-14 
   36       1.508864876462e-10       5.133728124688e-15       2.434515622758e-13       0.000000000000e+00       1.094887451807e-10       1.178767006228e-11      -1.072873022765e-14 
   37       1.533236281885e-10       5.638100044103e-15       2.394769217978e-13       0.000000000000e+00       1.036960983500e-10       1.120176428901e-11      -9.362613344088e-15 
   38       1.557844417207e-10       6.176297356075e-15       2.343618227631e-13       0.000000000000e+00       9.831762194454e-11       1.065807355497e-11      -8.409372314326e-15 
   39       1.582767603747e-10       6.748785647474e-15       2.280459262173e-13       0.000000000000e+00       9.333689937789e-11       1.015494438004e-11      -7.837622768736e-15 
   40       1.608045422981e-10       7.355875287162e-15       2.204624615678e-13       0.000000000000e+00       8.870728855843e-11       9.687616307327e-12      -7.596469237251e-15 
   41       1.633679361417e-10       7.997813556101e-15       2.115382429663e-13       0.000000000000e+00       8.436831316312e-11       9.249850276200e-12      -7.615975918608e-15 
   42       1.659646105055e-10       8.675123110662e-15       2.011951524260e-13       0.000000000000e+00       8.030760354318e-11       8.840105269697e-12      -7.812414009363e-15 
   43       1.685880795712e-10       9.388355494382e-15       1.893481399788e-13       0.000000000000e+00       7.651467385361e-11       8.456914467848e-12      -8.082166444186e-15 
   44       1.712267958221e-10       1.013799402961e-14       1.759041132811e-13       0.000000000000e+00       7.296232111697e-11       8.097019538212e-12      -8.298529208840e-15 
   45       1.738689402614e-10       1.092448529658e-14       1.607777859396e-13       0.000000000000e+00       6.961642265499e-11       7.756500564812e-12      -8.343514731813e-15 
   46       1.765195040785e-10       1.174835358680e-14       1.439461635810e-13       0.000000000000e+00       6.647196182792e-11       7.434901778787e-12      -8.217840218073e-15 
   47       1.791875895174e-10       1.261011431896e-14       1.254094150118e-13       0.000000000000e+00       6.352550553197e-11       7.132098798154e-12      -7.961482655029e-15 
   48       1.818815151595e-10       1.351024013899e-14       1.051762762856e-13       0.000000000000e+00       6.076433527363e-11       6.847068041928e-12      -7.623877087741e-15 
   49       1.846086905705e-10       1.444915921625e-14       8.326444710132e-14       0.000000000000e+00       5.816575542977e-11       6.577818584114e-12      -7.264452447554e-15 
   50       1.873745165990e-10       1.542721586761e-14       5.969304718190e-14       0.000000000000e+00       5.570397385398e-11       6.322053738361e-12      -6.941519306771e-15 
   51       1.901790251859e-10       1.644454378260e-14       3.445665180532e-14       0.000000000000e+00       5.337455032604e-11       6.079525617715e-12      -6.674134101743e-15 
   52       1.930191107889e-10       1.750115544139e-14       7.544893711187e-15       0.000000000000e+00       5.117538864291e-11       5.850201898954e-12      -6.470809596867e-15 
   53       1.958892578710e-10       1.859697338497e-14      -2.105019064752e-14       0.000000000000e+00       4.909941684890e-11       5.633558947634e-12      -6.340246203841e-15 
   54       1.987813696959e-10       1.973182673845e-14      -5.133413835392e-14       0.000000000000e+00       4.713425184143e-11       5.428548012359e-12      -6.291319665640e-15 
   55       2.016875742403e-10       2.090550913512e-14      -8.331258298066e-14       0.000000000000e+00       4.526600185774e-11       5.233920855670e-12      -6.329659527142e-15 
   56       2.046098504097e-10       2.211797730401e-14      -1.169996095203e-13       0.000000000000e+00       4.349254847014e-11       5.049378821590e-12      -6.446417407889e-15 
   57       2.075524933025e-10       2.336919572607e-14      -1.524114351494e-13       0.000000000000e+00       4.181297665431e-11       4.874650007721e-12      -6.626686954673e-15 
   58       2.105192925988e-10       2.465907849484e-14      -1.895641201404e-13       0.000000000000e+00       4.022355560647e-11       4.709135467555e-12      -6.852526610910e-15 
   59       2.135134773462e-10       2.598748823200e-14      -2.284736442936e-13       0.000000000000e+00       3.871756456537e-11       4.551889408753e-12      -7.102814474123e-15 
   60       2.165376607476e-10       2.735423500293e-14      -2.691559833707e-13       0.000000000000e+00       3.728511863431e-11       4.401599391439e-12      -7.353103153425e-15 
   61       2.195938588910e-10       2.875906963989e-14      -3.116245300031e-13       0.000000000000e+00       3.591592792820e-11       4.256953152219e-12      -7.581120209551e-15 
   62       2.226836767616e-10       3.020166441365e-14      -3.558815070231e-13       0.000000000000e+00       3.460869276771e-11       4.117880089692e-12      -7.785040568537e-15 
   63       2.258080661956e-10       3.168162607929e-14      -4.019247536226e-13       0.000000000000e+00       3.336351785265e-11       3.984554573398e-12      -7.969076655016e-15 
   64       2.289672038012e-10       3.319849984881e-14      -4.497502031321e-13       0.000000000000e+00       3.217908552665e-11       3.857026522853e-12      -8.138228042848e-15 
   65       2.321604380918e-10       3.475176812922e-14      -4.993518751952e-13       0.000000000000e+00       3.105257467128e-11       3.735213873183e-12      -8.298315442670e-15 
   66       2.353862366189e-10       3.634084926067e-14      -5.507218679435e-13       0.000000000000e+00       2.997957960024e-11       3.618895040751e-12      -8.456014689440e-15 
   67       2.386421331049e-10       3.796509625456e-14      -6.038503501719e-13       0.000000000000e+00       2.895402895356e-11       3.507701388790e-12      -8.618890729988e-15 
   68       2.419256990276e-10       3.962377867799e-14      -6.587239525269e-13       0.000000000000e+00       2.796981448204e-11       3.401228942722e-12      -8.793193597585e-15 
   69       2.452378051516e-10       4.131602686557e-14      -7.153205800187e-13       0.000000000000e+00       2.702624193960e-11       3.299416663603e-12      -8.976651769259e-15 
   70       2.485799289328e-10       4.304087408459e-14      -7.736135295011e-13       0.000000000000e+00       2.612354405794e-11       3.202231639946e-12      -9.164272900346e-15 
   71       2.519531623534e-10       4.479727072590e-14      -8.335729497577e-13       0.000000000000e+00       2.526123167690e-11       3.109552215710e-12      -9.350429800919e-15 
   72       2.553581852552e-10       4.658408261093e-14      -8.951657927318e-13       0.000000000000e+00       2.443805636977e-11       3.021163505804e-12      -9.528837185157e-15 
   73       2.587952386741e-10       4.840008929883e-14      -9.583557647544e-13       0.000000000000e+00       2.365197306871e-11       2.936752911577e-12      -9.692528420703e-15 
   74       2.622640981734e-10       5.024398239344e-14      -1.023103277774e-12       0.000000000000e+00       2.290010269014e-11       2.855905636313e-12      -9.833832278037e-15 
   75       2.657640471778e-10       5.211436385046e-14      -1.089365400585e-12       0.000000000000e+00       2.217869476011e-11       2.778100200727e-12      -9.944349679831e-15 
   76       2.692943592021e-10       5.400980060431e-14      -1.157099469954e-12       0.000000000000e+00       2.148406205327e-11       2.702838246113e-12      -1.001688731110e-14 
   77       2.728559050046e-10       5.592900369171e-14      -1.226274792045e-12       0.000000000000e+00       2.081566389350e-11       2.630071183899e-12      -1.005171692160e-14 
   78       2.764497914203e-10       5.787067886823e-14      -1.296862996113e-12       0.000000000000e+00       2.017351981814e-11       2.559843561726e-12      -1.005142049870e-14 
   79       2.800768624976e-10       5.983347265678e-14      -1.368834589756e-12       0.000000000000e+00       1.955727028371e-11       2.492163975045e-12      -1.001905126933e-14 
   80       2.837376832673e-10       6.181597180961e-14      -1.442158985197e-12       0.000000000000e+00       1.896615922323e-11       2.427003336293e-12      -9.958150576344e-15 
   81       2.874325235118e-10       6.381670277024e-14      -1.516804525559e-12       0.000000000000e+00       1.839901660353e-11       2.364293144065e-12      -9.872764754898e-15 
   82       2.911613415342e-10       6.583413113540e-14      -1.592738511144e-12       0.000000000000e+00       1.785424098253e-11       2.303923752285e-12      -9.767462008839e-15 
   83       2.949237679275e-10       6.786666111700e-14      -1.669927225712e-12       0.000000000000e+00       1.732978206659e-11       2.245742639374e-12      -9.647349287083e-15 
